"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140"
"S0",12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,12.165435791015625,46.332977294921875,119.247314453125,169.17770385742188,175.3272705078125,175.3272705078125,175.3272705078125,186.20477294921875,199.84280395507812,199.84280395507812,221.61102294921875,234.11380004882812,238.8868408203125,239.19415283203125,239.19415283203125,251.28453063964844,251.28453063964844,251.28453063964844,269.21543884277344,269.21543884277344,269.21543884277344,269.21543884277344,269.21543884277344,269.21543884277344,269.21543884277344,356.4022521972656,356.4022521972656,356.4022521972656,358.9773712158203,358.9773712158203,358.9773712158203,358.9773712158203,358.9773712158203,358.9773712158203,358.9773712158203,358.9773712158203,380.59500885009766,380.8427276611328,380.8427276611328,389.10365295410156
"S1",49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,49.83740234375,80.85781860351562,90.8583984375,93.760986328125,93.760986328125,93.760986328125,93.760986328125,95.7523193359375,152.5987548828125,177.76205444335938,255.75860595703125,262.99473571777344,288.7919006347656,288.7919006347656,299.4429931640625,332.6407928466797,333.88038635253906,346.4138488769531,346.4138488769531,346.4138488769531,355.38063049316406,356.186767578125,356.186767578125,356.186767578125,356.186767578125,374.0285339355469,379.5104446411133,381.76261138916016,381.76261138916016,392.0240173339844,392.0240173339844,410.20125579833984,413.93445587158203,413.93445587158203,413.93445587158203,413.93445587158203,413.93445587158203,413.93445587158203,413.93445587158203,413.93445587158203,413.93445587158203,413.93445587158203,413.93445587158203,436.1397132873535,440.01885986328125,440.01885986328125,446.9534378051758
"S2",-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-15.474365234375,-13.882568359375,-13.882568359375,21.240234375,21.240234375,21.240234375,21.240234375,21.240234375,21.240234375,112.24978637695312,129.76666259765625,160.93460083007812,160.93460083007812,162.57351684570312,162.57351684570312,162.57351684570312,162.57351684570312,162.57351684570312,195.36224365234375,198.1907958984375,214.38433837890625,241.91259765625,241.91259765625,256.556884765625,256.556884765625,257.3686828613281,276.77130126953125,276.77130126953125,276.77130126953125,276.77130126953125,276.77130126953125,276.77130126953125,319.9447021484375,346.1343231201172,346.1343231201172,346.1343231201172,346.1343231201172,346.1343231201172,346.1343231201172,346.1343231201172,346.1343231201172,346.1343231201172,346.1343231201172,363.75067138671875,386.7959213256836,395.5398406982422,400.30545806884766,400.30545806884766
"S3",-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-255.5784912109375,-169.4630126953125,-169.4630126953125,-169.4630126953125,-169.4630126953125,-169.4630126953125,-169.4630126953125,-169.4630126953125,-169.4630126953125,-145.51568603515625,-145.51568603515625,-145.51568603515625,-145.51568603515625,-145.51568603515625,-145.51568603515625,-100.26666259765625,-100.26666259765625,-100.26666259765625,-100.26666259765625,-100.26666259765625,-100.26666259765625,-100.26666259765625,-100.26666259765625,-100.26666259765625,-96.75299072265625,-72.019287109375,-47.37762451171875,12.129638671875,14.190765380859375,27.904144287109375,27.904144287109375,64.85202026367188,71.53890991210938,71.53890991210938,71.53890991210938,71.53890991210938,71.53890991210938,71.53890991210938,136.88925170898438,163.86972045898438,163.86972045898438,163.86972045898438,163.86972045898438,163.86972045898438,163.86972045898438,163.86972045898438,163.86972045898438,163.86972045898438,163.86972045898438,218.21923828125,244.25477600097656,252.9510040283203,258.6072998046875,258.6072998046875
"S4",-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-148.6368408203125,-117.116943359375,-117.116943359375,-117.116943359375,-117.116943359375,-117.116943359375,-117.116943359375,-117.116943359375,-117.116943359375,-117.116943359375,-22.2666015625,-22.2666015625,-5.030487060546875,-5.030487060546875,-5.030487060546875,-5.030487060546875,-5.030487060546875,-5.030487060546875,25.97998046875,46.835174560546875,46.835174560546875,46.835174560546875,46.835174560546875,46.835174560546875,48.739288330078125,48.739288330078125,48.739288330078125,48.739288330078125,48.739288330078125,48.739288330078125,48.739288330078125,48.739288330078125,48.739288330078125,48.739288330078125,70.91839599609375,79.833984375,104.2352294921875,108.59664916992188,108.59664916992188,108.59664916992188,108.59664916992188,108.59664916992188,108.59664916992188,108.59664916992188,108.59664916992188,108.59664916992188,108.59664916992188,156.69091796875,156.69091796875,156.69091796875,156.69091796875,156.69091796875,156.69091796875,156.69091796875,156.69091796875,156.69091796875,156.69091796875,156.69091796875,191.98504638671875,191.98504638671875,191.98504638671875,205.00390625,205.00390625
"S5",-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,-76.2666015625,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,97.90335083007812,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,128.35531616210938,144.24887084960938,144.24887084960938,144.24887084960938,144.24887084960938,144.24887084960938,144.24887084960938,151.96340942382812,151.96340942382812,151.96340942382812,151.96340942382812,151.96340942382812,151.96340942382812,151.96340942382812,151.96340942382812,179.92999267578125,179.92999267578125
"S6",39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,39.128448486328125,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,70.9822998046875,110.84878540039062,110.84878540039062,114.75289916992188,114.75289916992188,114.75289916992188,123.36318969726562,139.8677978515625,139.8677978515625,139.8677978515625,191.67929077148438,196.75494384765625,196.75494384765625,196.75494384765625,196.75494384765625,196.75494384765625,196.75494384765625,196.75494384765625,196.75494384765625,196.75494384765625,196.75494384765625,196.75494384765625
"S7",113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,113.00604248046875,115.45462036132812,115.45462036132812,121.5081787109375,121.5081787109375,121.5081787109375,121.5081787109375,123.53811645507812,123.53811645507812,123.53811645507812,123.53811645507812,123.53811645507812,123.53811645507812,123.53811645507812,123.53811645507812,123.53811645507812,123.53811645507812,123.53811645507812,141.29824829101562,141.29824829101562,141.29824829101562,141.29824829101562,141.29824829101562,141.29824829101562,141.29824829101562,141.29824829101562
"S8",81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,81.36285400390625,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,101.73065185546875,119.16259765625,119.16259765625,119.16259765625,119.16259765625,119.16259765625,119.16259765625,119.16259765625,119.16259765625,119.16259765625,119.16259765625,119.16259765625,119.16259765625,119.16259765625,119.16259765625,137.42758178710938,137.42758178710938,137.42758178710938,137.42758178710938,137.42758178710938,137.42758178710938,137.42758178710938,137.42758178710938,137.42758178710938,147.65438842773438,147.65438842773438,147.65438842773438,147.65438842773438,149.31301879882812,149.31301879882812,156.99594116210938,156.99594116210938,156.99594116210938,156.99594116210938,156.99594116210938,156.99594116210938,156.99594116210938,156.99594116210938
"S9",-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-205.68072509765625,-84.69696044921875,-81.42657470703125,-44.31304931640625,-44.31304931640625,-44.31304931640625,-44.31304931640625,-22.61663818359375,-8.411865234375,-8.411865234375,-8.411865234375,3.021484375,30.117340087890625,30.117340087890625,30.117340087890625,30.117340087890625,30.117340087890625,30.117340087890625,30.117340087890625,30.117340087890625,30.117340087890625,30.117340087890625,30.117340087890625,104.21743774414062,104.21743774414062,104.21743774414062,104.21743774414062,104.21743774414062,110.75982666015625,128.83316040039062,137.36688232421875,165.84317016601562,172.46551513671875,172.46551513671875,172.46551513671875,172.46551513671875,172.46551513671875,205.35910034179688
