"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",450.3342399597168,454.9521598815918,456.6432113647461,458.92955017089844,460.0882759094238,453.71407318115234,458.5778274536133,457.4900588989258,459.33781814575195,458.78813552856445,459.279296875,462.68283462524414,458.564998626709,457.49100494384766,460.2049217224121,467.1920394897461,466.71031188964844,464.2137451171875,467.37977600097656,468.39632415771484,469.67133140563965,468.98651123046875,468.44947624206543,470.42679023742676,471.21106338500977,470.6960144042969,469.60715103149414,464.7082328796387,466.0126838684082,465.4748992919922,465.0020942687988,464.9831771850586,466.8863639831543,469.7157344818115,466.3479118347168,465.62717056274414,463.5945701599121,467.26134872436523,464.2313003540039,461.33713150024414,459.47368240356445,455.3472671508789,451.6836471557617,438.31543731689453,431.952392578125,428.0688247680664,431.1825180053711,419.37808990478516,413.7153625488281,411.59239959716797,377.79693603515625,324.4659423828125,301.28131103515625,259.5325164794922,271.75103759765625,264.1434783935547,261.2002868652344,246.8146209716797,202.63735961914062,193.6055908203125,217.86849975585938,183.20111083984375,72.7984619140625,122.55899047851562,100.83297729492188,99.138427734375,96.3236083984375,117.6781005859375,99.58505249023438,118.09414672851562,66.00494384765625,83.48257446289062,76.84698486328125,64.99090576171875,80.68109130859375,96.89532470703125,83.41558837890625,56.6644287109375,84.49505615234375,104.36892700195312,146.82476806640625,110.776611328125,103.02056884765625,82.92254638671875,106.8074951171875,28.385345458984375,46.83837890625,50.32135009765625,88.18963623046875,182.39764404296875,186.20223999023438,214.60125732421875,159.05276489257812,169.58050537109375,196.26345825195312,196.83108520507812,230.05722045898438,223.39944458007812,224.531494140625,210.88333129882812,174.35626220703125,193.7845458984375,231.39956665039062,158.24111938476562,168.32757568359375,204.16473388671875,203.231689453125,216.963623046875,263.6378479003906,322.0498504638672,346.8768310546875,358.31640625,359.76722717285156,367.9171600341797,366.98207092285156,378.7409973144531,383.9105224609375,368.5916748046875,383.3086853027344,386.3875198364258,393.7710418701172,391.97444915771484,404.16038513183594,396.7386474609375,405.3661117553711,406.94905853271484,399.56946563720703,400.13319396972656,411.0515594482422,409.39263916015625,415.0768508911133,403.16395568847656,408.9253692626953,421.1401596069336,386.60352325439453,384.4685821533203,414.906005859375,424.1434555053711,420.5327377319336,429.93184661865234
"S1",450.3342399597168,454.9521598815918,456.6432113647461,458.92955017089844,460.0882759094238,453.71407318115234,458.5778274536133,457.4900588989258,459.33781814575195,458.78813552856445,459.279296875,462.68283462524414,458.564998626709,457.49100494384766,460.2049217224121,467.1920394897461,466.71031188964844,464.2137451171875,467.37977600097656,468.39632415771484,469.67133140563965,468.98651123046875,468.44947624206543,470.42679023742676,471.21106338500977,470.6960144042969,469.60715103149414,464.7082328796387,466.0126838684082,465.4748992919922,465.0020942687988,464.9831771850586,466.8863639831543,469.7157344818115,466.3479118347168,465.62717056274414,463.5945701599121,467.26134872436523,464.2313003540039,461.33713150024414,459.47368240356445,455.3472671508789,451.6836471557617,438.31543731689453,431.952392578125,428.0688247680664,431.1825180053711,419.37808990478516,413.7153625488281,411.59239959716797,377.79693603515625,324.4659423828125,301.28131103515625,259.5325164794922,271.75103759765625,264.1434783935547,261.2002868652344,246.8146209716797,202.63735961914062,193.6055908203125,217.86849975585938,183.20111083984375,72.7984619140625,122.55899047851562,100.83297729492188,99.138427734375,96.3236083984375,117.6781005859375,99.58505249023438,123.55398559570312,66.00494384765625,83.48257446289062,76.84698486328125,64.99090576171875,80.68109130859375,96.89532470703125,83.41558837890625,56.6644287109375,84.49505615234375,104.36892700195312,146.82476806640625,110.776611328125,103.02056884765625,82.92254638671875,106.8074951171875,28.385345458984375,46.83837890625,50.32135009765625,88.18963623046875,182.39764404296875,186.20223999023438,214.60125732421875,159.05276489257812,169.58050537109375,196.26345825195312,196.83108520507812,230.05722045898438,223.39944458007812,224.531494140625,210.88333129882812,174.35626220703125,193.7845458984375,231.39956665039062,182.24490356445312,168.32757568359375,204.16473388671875,203.231689453125,216.963623046875,263.6378479003906,322.0498504638672,346.8768310546875,358.31640625,359.76722717285156,367.9171600341797,366.98207092285156,378.7409973144531,383.9105224609375,368.5916748046875,383.3086853027344,386.3875198364258,393.7710418701172,391.97444915771484,404.16038513183594,396.7386474609375,405.3661117553711,406.94905853271484,399.56946563720703,400.13319396972656,411.0515594482422,409.39263916015625,415.0768508911133,403.16395568847656,408.9253692626953,421.1401596069336,386.60352325439453,384.4685821533203,414.906005859375,424.1434555053711,420.5327377319336,429.93184661865234
"S2",450.3342399597168,454.9521598815918,456.6432113647461,458.92955017089844,460.0882759094238,453.71407318115234,458.5778274536133,457.4900588989258,459.33781814575195,458.78813552856445,459.279296875,462.68283462524414,458.564998626709,457.49100494384766,460.2049217224121,467.1920394897461,466.71031188964844,464.2137451171875,467.37977600097656,468.39632415771484,469.67133140563965,468.98651123046875,468.44947624206543,470.42679023742676,471.21106338500977,470.6960144042969,469.60715103149414,464.7082328796387,466.0126838684082,465.4748992919922,465.0020942687988,464.9831771850586,466.8863639831543,469.7157344818115,466.3479118347168,465.62717056274414,463.5945701599121,467.26134872436523,464.2313003540039,461.33713150024414,459.47368240356445,455.3472671508789,451.6836471557617,438.31543731689453,431.952392578125,428.0688247680664,431.1825180053711,419.37808990478516,413.7153625488281,411.59239959716797,377.79693603515625,324.4659423828125,301.28131103515625,259.5325164794922,271.75103759765625,264.1434783935547,261.2002868652344,246.8146209716797,202.63735961914062,193.6055908203125,217.86849975585938,183.20111083984375,68.6900634765625,103.68377685546875,80.10308837890625,99.138427734375,90.49362182617188,117.6781005859375,99.58505249023438,123.55398559570312,66.00494384765625,72.63217163085938,59.13372802734375,49.07177734375,43.736114501953125,45.145538330078125,42.363800048828125,-12.5634765625,28.61517333984375,-3.34228515625,59.4610595703125,27.930938720703125,42.49163818359375,11.86517333984375,51.996307373046875,20.890838623046875,-8.278656005859375,-4.5771484375,55.30877685546875,182.39764404296875,186.20223999023438,214.60125732421875,159.05276489257812,169.58050537109375,196.26345825195312,196.83108520507812,230.05722045898438,223.39944458007812,224.531494140625,210.88333129882812,174.35626220703125,193.7845458984375,231.39956665039062,182.24490356445312,168.32757568359375,204.16473388671875,203.231689453125,216.963623046875,263.6378479003906,322.0498504638672,346.8768310546875,358.31640625,359.76722717285156,367.9171600341797,366.98207092285156,378.7409973144531,383.9105224609375,368.5916748046875,383.3086853027344,386.3875198364258,393.7710418701172,391.97444915771484,404.16038513183594,396.7386474609375,405.3661117553711,406.94905853271484,399.56946563720703,400.13319396972656,411.0515594482422,409.39263916015625,415.0768508911133,403.16395568847656,408.9253692626953,421.1401596069336,386.60352325439453,384.4685821533203,414.906005859375,424.1434555053711,420.5327377319336,429.93184661865234
"S3",382.7679748535156,390.2079849243164,393.59266662597656,396.77093505859375,399.1356506347656,393.70355224609375,394.43560791015625,387.49527740478516,387.25921630859375,392.2299575805664,393.6686019897461,406.67657470703125,398.1248321533203,394.4065933227539,396.78102111816406,420.9540786743164,419.5767059326172,417.0938262939453,423.40834045410156,420.5401916503906,426.2881546020508,426.9231262207031,427.6959991455078,433.73486328125,436.5955390930176,434.8712921142578,434.31327056884766,421.6592330932617,421.53014373779297,423.1823959350586,419.3680877685547,419.83255767822266,423.3827209472656,429.13878631591797,425.57008361816406,421.60546875,422.14833068847656,427.7337341308594,422.97643280029297,423.1492462158203,419.01265716552734,407.73731231689453,397.15858459472656,381.5824966430664,359.02630615234375,358.4521179199219,348.8551940917969,324.13787841796875,280.5533142089844,232.23513793945312,206.64837646484375,150.05462646484375,122.09332275390625,96.239013671875,102.5694580078125,103.95437622070312,83.8157958984375,85.42547607421875,76.49026489257812,49.800994873046875,73.27005004882812,70.42437744140625,20.24407958984375,77.0457763671875,54.586212158203125,79.88134765625,71.28610229492188,71.77474975585938,80.79788208007812,123.55398559570312,55.547882080078125,56.965240478515625,49.673309326171875,60.053314208984375,26.238037109375,27.2564697265625,29.125701904296875,-54.90191650390625,-12.93975830078125,-46.7706298828125,-4.748291015625,44.744598388671875,29.72747802734375,62.189300537109375,23.46026611328125,-17.16790771484375,-70.5013427734375,-9.818328857421875,13.941070556640625,111.49581909179688,101.64373779296875,141.59548950195312,78.4923095703125,97.51962280273438,117.03564453125,129.81353759765625,171.67922973632812,179.52215576171875,187.2725830078125,180.3948974609375,146.25656127929688,182.99932861328125,210.74493408203125,182.24490356445312,117.24880981445312,112.87887573242188,137.472412109375,112.6741943359375,169.48095703125,170.50189208984375,189.64508056640625,203.99984741210938,219.23684692382812,247.8166961669922,246.4486846923828,271.90586853027344,261.24989318847656,261.62339782714844,293.14414978027344,299.10382080078125,307.31011962890625,305.8575439453125,315.5243225097656,280.6187744140625,308.82179260253906,301.9852600097656,298.5895233154297,301.89356994628906,325.16368103027344,320.8512725830078,336.7843475341797,319.93603515625,323.4663543701172,317.3857727050781,269.3548583984375,296.59996032714844,331.57994079589844,345.1881408691406,353.9742889404297,352.66217041015625
"S4",296.8928527832031,319.5712890625,309.9754638671875,317.5317840576172,324.7868957519531,318.2574768066406,327.0323486328125,328.26068115234375,329.6682434082031,308.50242614746094,306.0059356689453,341.32456970214844,337.4560546875,340.3263702392578,356.7814636230469,310.051025390625,304.95216369628906,305.12794494628906,319.15594482421875,316.9351806640625,329.4794006347656,329.7650604248047,326.8441467285156,340.96336364746094,346.92877197265625,344.6844787597656,345.83973693847656,363.226318359375,364.11268615722656,365.06500244140625,366.68910217285156,363.5739288330078,363.63946533203125,361.6902160644531,351.765869140625,352.3047790527344,317.51356506347656,325.6155242919922,318.615234375,317.54054260253906,308.79559326171875,291.6268310546875,266.1018524169922,236.61279296875,218.30426025390625,157.117919921875,151.4559326171875,111.40484619140625,97.02413940429688,182.70150756835938,187.24911499023438,187.56427001953125,177.12811279296875,189.2333984375,181.40029907226562,197.73275756835938,200.03067016601562,190.2603759765625,201.070068359375,178.7677001953125,179.29254150390625,185.38275146484375,197.47564697265625,196.4263916015625,165.11697387695312,174.00140380859375,195.58465576171875,154.77276611328125,165.2864990234375,219.55718994140625,183.22686767578125,210.38653564453125,208.59231567382812,217.8795166015625,210.68557739257812,219.55191040039062,214.99691772460938,102.63702392578125,186.2982177734375,201.50186157226562,198.15878295898438,226.1702880859375,198.1851806640625,208.51904296875,194.95458984375,194.32168579101562,190.6280517578125,199.8721923828125,196.57638549804688,83.67391967773438,103.66610717773438,100.05917358398438,104.33883666992188,44.757049560546875,68.3892822265625,87.3836669921875,116.50875854492188,129.41168212890625,143.27114868164062,117.36279296875,121.88204956054688,134.0699462890625,112.46319580078125,101.64385986328125,93.57937622070312,95.76361083984375,115.39898681640625,89.93106079101562,121.11065673828125,116.35952758789062,97.19155883789062,114.27487182617188,109.6083984375,104.59396362304688,119.49331665039062,74.29159545898438,119.19122314453125,139.58456420898438,123.3870849609375,135.67086791992188,115.74252319335938,134.66928100585938,130.49432373046875,64.84585571289062,133.33737182617188,247.39492797851562,258.1694793701172,247.46559143066406,263.33265686035156,241.23443603515625,249.35841369628906,249.80682373046875,262.68780517578125,271.4989318847656,264.4662780761719,252.19398498535156,265.9317169189453,248.89630126953125,275.06492614746094,255.36158752441406
"S5",294.37371826171875,319.5712890625,298.64317321777344,317.5317840576172,324.7868957519531,329.7751159667969,333.8964080810547,328.448974609375,329.6682434082031,308.50242614746094,300.11631774902344,341.32456970214844,351.708740234375,346.14097595214844,366.8556365966797,340.33119201660156,320.7876892089844,344.26220703125,344.2138214111328,347.9744567871094,352.18089294433594,345.6290588378906,347.07562255859375,358.53089904785156,352.12974548339844,355.0920104980469,356.1361083984375,367.39793395996094,369.7099151611328,373.0414276123047,370.95469665527344,370.14781188964844,362.61973571777344,359.7906036376953,361.55946350097656,367.22605895996094,356.23023986816406,357.4512481689453,351.2695007324219,356.80316162109375,351.7688293457031,331.22808837890625,288.18548583984375,284.11346435546875,277.7864990234375,224.99871826171875,251.34664916992188,169.4471435546875,132.56927490234375,241.33468627929688,187.24911499023438,187.56427001953125,177.12811279296875,189.2333984375,181.40029907226562,224.99517822265625,228.56698608398438,229.48672485351562,228.84075927734375,178.7677001953125,187.63006591796875,205.29568481445312,239.22958374023438,230.753173828125,228.187744140625,241.65914916992188,244.35739135742188,182.76617431640625,214.71310424804688,243.32452392578125,231.76693725585938,249.5774688720703,241.09765625,249.5584716796875,229.7498779296875,254.12815856933594,252.1865234375,237.42388916015625,256.5575866699219,250.3926239013672,240.52667236328125,228.60446166992188,202.83053588867188,235.06884765625,239.601806640625,237.35708618164062,235.41845703125,236.12948608398438,204.58474731445312,180.866455078125,206.9071044921875,215.74423217773438,210.04507446289062,202.94921875,197.8734130859375,208.99160766601562,193.865234375,208.91482543945312,213.80630493164062,195.48406982421875,210.59927368164062,204.40213012695312,203.9339599609375,235.90115356445312,238.30783081054688,222.59011840820312,219.52462768554688,204.93582153320312,219.42160034179688,188.79122924804688,142.82479858398438,142.75689697265625,176.83111572265625,174.87322998046875,184.72592163085938,177.81304931640625,192.33267211914062,191.17218017578125,142.14193725585938,164.58895874023438,139.74725341796875,148.81198120117188,148.27438354492188,132.95065307617188,152.52587890625,247.39492797851562,258.1694793701172,247.46559143066406,263.33265686035156,241.23443603515625,249.35841369628906,249.80682373046875,262.68780517578125,271.4989318847656,264.4662780761719,252.19398498535156,265.9317169189453,253.5902557373047,253.64662170410156,249.6143341064453
"S6",294.37371826171875,319.5712890625,298.64317321777344,317.5317840576172,324.7868957519531,329.7751159667969,333.8964080810547,328.448974609375,329.6682434082031,308.50242614746094,300.11631774902344,341.32456970214844,351.708740234375,346.14097595214844,366.8556365966797,340.33119201660156,333.46116638183594,344.26220703125,346.71739196777344,347.9744567871094,352.18089294433594,345.6290588378906,347.07562255859375,358.53089904785156,352.3907165527344,355.0920104980469,356.1361083984375,367.39793395996094,369.7099151611328,373.0414276123047,370.95469665527344,370.14781188964844,362.61973571777344,359.7906036376953,361.55946350097656,367.22605895996094,356.23023986816406,357.4512481689453,351.2695007324219,356.80316162109375,351.7688293457031,331.22808837890625,294.1287841796875,292.00579833984375,277.7864990234375,224.99871826171875,251.34664916992188,212.3551025390625,209.50311279296875,241.33468627929688,187.24911499023438,187.56427001953125,177.12811279296875,189.2333984375,181.40029907226562,224.99517822265625,228.56698608398438,229.48672485351562,228.84075927734375,187.169677734375,197.52053833007812,205.29568481445312,239.22958374023438,230.753173828125,228.187744140625,241.65914916992188,244.35739135742188,182.76617431640625,214.71310424804688,243.32452392578125,231.76693725585938,249.5774688720703,241.09765625,249.5584716796875,229.7498779296875,254.12815856933594,252.1865234375,237.42388916015625,256.5575866699219,250.3926239013672,240.52667236328125,228.60446166992188,202.83053588867188,235.06884765625,239.601806640625,237.35708618164062,235.41845703125,236.12948608398438,216.99856567382812,230.998291015625,237.244873046875,240.11114501953125,220.13815307617188,221.58526611328125,223.33489990234375,227.43280029296875,205.8638916015625,232.18942260742188,228.0916748046875,210.73309326171875,226.33111572265625,210.16043090820312,203.9339599609375,235.90115356445312,238.30783081054688,222.59011840820312,219.52462768554688,204.93582153320312,219.42160034179688,188.79122924804688,166.76614379882812,183.56686401367188,206.57327270507812,176.26263427734375,184.72592163085938,177.81304931640625,192.33267211914062,191.17218017578125,159.7972412109375,164.58895874023438,141.19873046875,162.20220947265625,148.27438354492188,147.10427856445312,171.5928955078125,247.39492797851562,258.1694793701172,247.46559143066406,263.33265686035156,241.23443603515625,249.35841369628906,249.80682373046875,262.68780517578125,271.4989318847656,264.4662780761719,252.19398498535156,265.9317169189453,253.5902557373047,253.64662170410156,249.6143341064453
"S7",294.37371826171875,314.57728576660156,271.68157958984375,292.827392578125,310.5091552734375,329.7751159667969,333.8964080810547,328.59593200683594,322.73028564453125,333.6130065917969,329.7599639892578,334.5531463623047,351.708740234375,346.14097595214844,366.8556365966797,348.70249938964844,356.4386749267578,356.7523193359375,363.5356750488281,364.5148162841797,366.40570068359375,364.9004821777344,369.63258361816406,376.7944869995117,373.8784713745117,373.11720275878906,373.5938491821289,372.0986557006836,372.64086151123047,373.0414276123047,377.0622329711914,375.7225036621094,362.61973571777344,359.7906036376953,361.55946350097656,367.22605895996094,365.7928924560547,366.91490173339844,355.44976806640625,356.80316162109375,351.7688293457031,331.22808837890625,324.5579376220703,317.65867614746094,291.71746826171875,244.07574462890625,251.34664916992188,230.82894897460938,218.67218017578125,241.33468627929688,187.21255493164062,198.54953002929688,182.28924560546875,198.38336181640625,213.95050048828125,224.99517822265625,228.56698608398438,229.48672485351562,228.84075927734375,187.169677734375,197.52053833007812,205.29568481445312,239.22958374023438,230.753173828125,228.187744140625,241.65914916992188,244.35739135742188,193.06170654296875,214.71310424804688,243.32452392578125,231.76693725585938,249.5774688720703,241.09765625,249.5584716796875,229.7498779296875,254.12815856933594,252.1865234375,237.42388916015625,256.5575866699219,250.3926239013672,240.52667236328125,228.60446166992188,202.83053588867188,235.06884765625,239.601806640625,237.35708618164062,235.41845703125,236.12948608398438,216.99856567382812,230.998291015625,237.244873046875,240.11114501953125,220.13815307617188,221.58526611328125,223.33489990234375,227.43280029296875,205.8638916015625,232.18942260742188,228.0916748046875,210.73309326171875,226.33111572265625,210.16043090820312,203.9339599609375,235.90115356445312,238.30783081054688,222.59011840820312,219.52462768554688,204.93582153320312,219.42160034179688,188.79122924804688,166.76614379882812,183.56686401367188,206.57327270507812,176.26263427734375,184.72592163085938,177.81304931640625,192.33267211914062,191.17218017578125,168.98611450195312,172.45285034179688,173.04559326171875,187.0501708984375,173.8465576171875,187.30807495117188,171.5928955078125,210.93466186523438,193.76925659179688,197.86090087890625,207.96401977539062,216.956298828125,213.83810424804688,215.83160400390625,225.36871337890625,236.95755004882812,226.32427978515625,233.36334228515625,236.65484619140625,253.5902557373047,218.7384033203125,215.71017456054688
"S8",291.0122528076172,284.6247100830078,277.6328125,289.7570495605469,310.5091552734375,319.50193786621094,333.8065948486328,328.59593200683594,322.73028564453125,333.6130065917969,329.7599639892578,334.5531463623047,339.8587341308594,333.67893981933594,346.8152770996094,354.24267578125,357.6418762207031,361.8695831298828,363.5356750488281,364.5148162841797,366.40570068359375,364.9004821777344,369.63258361816406,376.7944869995117,373.8784713745117,373.11720275878906,373.5938491821289,372.0986557006836,372.64086151123047,372.66780853271484,377.0622329711914,375.7225036621094,359.96051025390625,361.4272003173828,358.1941223144531,355.60643005371094,365.7928924560547,366.91490173339844,355.44976806640625,352.7536926269531,348.87330627441406,326.65065002441406,324.5579376220703,317.65867614746094,291.71746826171875,244.07574462890625,250.3965606689453,230.82894897460938,218.67218017578125,197.81744384765625,187.21255493164062,198.54953002929688,182.28924560546875,198.38336181640625,213.95050048828125,214.29458618164062,207.38153076171875,192.15789794921875,192.4168701171875,187.169677734375,197.52053833007812,202.532470703125,197.85446166992188,218.68115234375,208.78433227539062,201.02835083007812,209.88735961914062,193.06170654296875,214.54815673828125,206.66265869140625,206.02203369140625,185.61947631835938,138.28985595703125,158.57086181640625,143.47918701171875,176.95529174804688,186.29800415039062,213.6221923828125,215.12640380859375,161.8182373046875,178.16854858398438,188.79833984375,187.54257202148438,191.56964111328125,199.43563842773438,207.18194580078125,215.99041748046875,216.25909423828125,216.99856567382812,230.998291015625,237.244873046875,240.11114501953125,220.13815307617188,221.58526611328125,223.33489990234375,227.43280029296875,205.8638916015625,232.18942260742188,228.0916748046875,210.73309326171875,226.33111572265625,210.16043090820312,180.57150268554688,187.72006225585938,218.66378784179688,221.067138671875,173.74130249023438,168.52334594726562,158.05465698242188,186.05148315429688,166.76614379882812,183.56686401367188,206.57327270507812,176.26263427734375,146.039794921875,163.68670654296875,142.65472412109375,162.28436279296875,168.98611450195312,172.45285034179688,173.04559326171875,187.0501708984375,173.8465576171875,187.30807495117188,171.5928955078125,180.2999267578125,193.76925659179688,197.86090087890625,207.06585693359375,189.5950927734375,195.91537475585938,193.43215942382812,199.6781005859375,214.43954467773438,222.71578979492188,229.70086669921875,221.97915649414062,208.368408203125,196.37579345703125,217.24667358398438
"S9",291.0122528076172,284.6247100830078,277.6328125,289.7570495605469,310.5091552734375,319.50193786621094,333.8065948486328,328.59593200683594,322.73028564453125,333.6130065917969,329.7599639892578,334.5531463623047,339.8587341308594,333.67893981933594,346.8152770996094,354.24267578125,357.6418762207031,361.8695831298828,363.5356750488281,364.5148162841797,366.40570068359375,364.9004821777344,369.63258361816406,376.7944869995117,373.8784713745117,373.11720275878906,373.5938491821289,372.0986557006836,372.64086151123047,372.66780853271484,377.0622329711914,375.7225036621094,359.96051025390625,361.4272003173828,358.1941223144531,355.60643005371094,365.7928924560547,366.91490173339844,355.44976806640625,352.7536926269531,348.87330627441406,336.4642333984375,324.5579376220703,317.65867614746094,291.71746826171875,244.07574462890625,250.3965606689453,230.82894897460938,218.67218017578125,197.81744384765625,187.21255493164062,198.54953002929688,182.28924560546875,198.38336181640625,213.95050048828125,214.29458618164062,207.38153076171875,190.45639038085938,174.75277709960938,179.88079833984375,196.29159545898438,179.86993408203125,195.45794677734375,218.68115234375,208.78433227539062,201.02835083007812,209.88735961914062,193.06170654296875,214.54815673828125,206.66265869140625,206.02203369140625,171.70303344726562,138.28985595703125,158.57073974609375,143.47918701171875,168.89913940429688,186.00933837890625,199.04278564453125,187.00991821289062,161.8182373046875,170.14547729492188,171.00936889648438,172.87240600585938,174.78857421875,186.43405151367188,201.38717651367188,209.1776123046875,216.25909423828125,213.28567504882812,185.72482299804688,203.38723754882812,208.40814208984375,185.45492553710938,196.00759887695312,198.69342041015625,185.00015258789062,162.25802612304688,185.0650634765625,180.01406860351562,160.41156005859375,188.95071411132812,173.1026611328125,132.40386962890625,32.91943359375,41.688995361328125,82.97885131835938,82.10687255859375,80.3343505859375,51.912841796875,180.48605346679688,162.81369018554688,177.81353759765625,191.84103393554688,166.6466064453125,146.039794921875,163.68670654296875,142.65472412109375,162.28436279296875,168.98611450195312,172.45285034179688,176.95596313476562,187.0501708984375,173.8465576171875,187.30807495117188,165.41909790039062,180.2999267578125,193.76925659179688,197.86090087890625,207.06585693359375,189.5950927734375,195.91537475585938,193.43215942382812,199.6781005859375,214.43954467773438,222.71578979492188,229.70086669921875,221.97915649414062,208.368408203125,196.37579345703125,217.24667358398438
