"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140"
"S0",446.3998222351074,452.183780670166,462.6464653015137,462.5100975036621,460.2123222351074,462.2338981628418,450.9953727722168,462.55157470703125,459.70899200439453,461.77573013305664,462.55157470703125,464.2059631347656,464.0242156982422,458.19074630737305,463.88416290283203,463.97883224487305,462.64413833618164,462.0531425476074,459.2169494628906,462.7173614501953,463.77213287353516,465.19217681884766,464.34836196899414,463.70235443115234,465.90828704833984,466.77136611938477,466.1282653808594,464.8700981140137,466.1741256713867,471.3750762939453,466.73065185546875,468.1954822540283,470.07678413391113,459.60240936279297,462.88513946533203,458.6609992980957,457.6402359008789,457.0960350036621,460.6936950683594,456.9029121398926,453.39421463012695,450.915771484375,445.7909965515137,441.2706832885742,425.12377166748047,417.20665740966797,412.1727600097656,415.3577575683594,400.88512420654297,393.66458892822266,420.53248596191406,365.74310302734375,313.77256774902344,318.4547576904297,259.0669250488281,298.3437194824219,292.3310852050781,289.5785369873047,270.00318908691406,201.217529296875,227.2120361328125,255.415283203125,215.47430419921875,149.73486328125,199.68136596679688,157.8043212890625,191.44375610351562,171.61373901367188,188.17361450195312,187.31173706054688,195.5894775390625,150.24649047851562,158.90414428710938,141.21676635742188,135.43377685546875,134.32205200195312,142.89193725585938,133.89004516601562,85.19046020507812,153.62615966796875,130.67428588867188,154.81491088867188,106.21734619140625,125.32064819335938,98.24038696289062,140.90673828125,81.5804443359375,101.76068115234375,88.89407348632812,155.95352172851562,39.168426513671875,93.20712280273438,104.21853637695312,39.94818115234375,35.62939453125,57.84515380859375,65.72573852539062,107.37542724609375,105.65643310546875,133.87448120117188,82.06732177734375,57.88983154296875,118.26882934570312,163.43359375,105.33651733398438,118.82138061523438,161.79537963867188,158.29586791992188,175.54116821289062,229.21780395507812,299.43064880371094,327.4248046875,340.3645477294922,341.83580017089844,351.04542541503906,349.9225158691406,363.1009826660156,368.94578552246094,341.1467742919922,368.6385040283203,372.1805725097656,380.5702819824219,378.28880310058594,391.8858337402344,383.48883056640625,393.14505767822266,403.6533889770508,399.3220977783203,403.73242950439453,417.87454986572266,410.74627685546875,420.16451263427734,400.2992248535156,415.02393341064453,430.11973571777344,368.1107940673828,386.95704650878906,431.1719970703125,434.8021469116211,420.11131286621094,438.55693435668945
"S1",446.3998222351074,452.183780670166,462.6464653015137,462.5100975036621,460.2123222351074,462.2338981628418,450.9953727722168,462.55157470703125,459.70899200439453,461.77573013305664,462.55157470703125,464.2059631347656,464.0242156982422,458.19074630737305,463.88416290283203,463.97883224487305,462.64413833618164,462.0531425476074,459.2169494628906,462.7173614501953,463.77213287353516,465.19217681884766,464.34836196899414,463.70235443115234,465.90828704833984,466.77136611938477,466.1282653808594,464.8700981140137,466.1741256713867,471.3750762939453,466.73065185546875,468.1954822540283,470.07678413391113,459.60240936279297,462.88513946533203,458.6609992980957,457.6402359008789,457.0960350036621,460.6936950683594,456.9029121398926,453.39421463012695,450.915771484375,445.7909965515137,441.2706832885742,425.12377166748047,417.20665740966797,412.1727600097656,415.3577575683594,400.88512420654297,393.66458892822266,420.53248596191406,365.74310302734375,313.77256774902344,318.4547576904297,259.0669250488281,298.3437194824219,292.3310852050781,289.5785369873047,270.00318908691406,201.217529296875,227.2120361328125,255.415283203125,218.11737060546875,153.99005126953125,212.95547485351562,170.00332641601562,223.8287353515625,187.7958984375,197.71878051757812,212.73968505859375,237.48068237304688,166.00650024414062,173.08255004882812,168.054443359375,174.95034790039062,134.32205200195312,146.64947509765625,158.4234619140625,85.19046020507812,170.409912109375,138.886962890625,154.81491088867188,106.21734619140625,125.32064819335938,117.079833984375,140.90673828125,81.5804443359375,110.19845581054688,94.40176391601562,175.52224731445312,71.86996459960938,93.20712280273438,120.01776123046875,48.290435791015625,61.680145263671875,87.90335083007812,96.1748046875,138.427490234375,138.39276123046875,147.06448364257812,139.7193603515625,102.4569091796875,143.7430419921875,178.36196899414062,161.5233154296875,118.82138061523438,161.79537963867188,158.29586791992188,175.54116821289062,229.21780395507812,299.43064880371094,327.4248046875,340.3645477294922,341.83580017089844,351.04542541503906,349.9225158691406,363.1009826660156,368.94578552246094,341.1467742919922,368.6385040283203,372.1805725097656,380.5702819824219,378.28880310058594,391.8858337402344,383.48883056640625,393.14505767822266,403.6533889770508,399.3220977783203,403.73242950439453,417.87454986572266,410.74627685546875,420.16451263427734,400.2992248535156,415.02393341064453,430.11973571777344,368.1107940673828,386.95704650878906,431.1719970703125,434.8021469116211,420.11131286621094,438.55693435668945
"S2",446.3998222351074,452.183780670166,462.6464653015137,462.5100975036621,460.2123222351074,462.2338981628418,450.9953727722168,462.55157470703125,459.70899200439453,461.77573013305664,462.55157470703125,464.2059631347656,464.0242156982422,458.19074630737305,463.88416290283203,463.97883224487305,462.64413833618164,462.0531425476074,459.2169494628906,462.7173614501953,463.77213287353516,465.19217681884766,464.34836196899414,463.70235443115234,465.90828704833984,466.77136611938477,466.1282653808594,464.8700981140137,466.1741256713867,471.3750762939453,466.73065185546875,468.1954822540283,470.07678413391113,459.60240936279297,462.88513946533203,458.6609992980957,457.6402359008789,457.0960350036621,460.6936950683594,456.9029121398926,453.39421463012695,450.915771484375,445.7909965515137,441.2706832885742,425.12377166748047,417.20665740966797,412.1727600097656,415.3577575683594,400.88512420654297,393.66458892822266,420.53248596191406,365.74310302734375,313.77256774902344,318.4547576904297,259.0669250488281,298.3437194824219,292.3310852050781,289.5785369873047,270.00318908691406,201.217529296875,227.2120361328125,255.415283203125,218.11737060546875,153.99005126953125,212.95547485351562,170.00332641601562,223.8287353515625,187.7958984375,197.71878051757812,212.73968505859375,237.48068237304688,166.00650024414062,173.08255004882812,168.054443359375,174.95034790039062,134.32205200195312,146.64947509765625,158.4234619140625,81.2508544921875,170.409912109375,69.94552612304688,147.51016235351562,101.67718505859375,125.32064819335938,117.079833984375,140.90673828125,81.5804443359375,110.19845581054688,94.40176391601562,175.52224731445312,71.86996459960938,93.20712280273438,120.01776123046875,48.290435791015625,61.680145263671875,87.90335083007812,96.1748046875,138.427490234375,138.39276123046875,147.06448364257812,139.7193603515625,102.4569091796875,143.7430419921875,178.36196899414062,161.5233154296875,118.82138061523438,161.79537963867188,158.29586791992188,175.54116821289062,229.21780395507812,299.43064880371094,327.4248046875,340.3645477294922,341.83580017089844,351.04542541503906,349.9225158691406,363.1009826660156,368.94578552246094,341.1467742919922,368.6385040283203,372.1805725097656,380.5702819824219,378.28880310058594,391.8858337402344,383.48883056640625,393.14505767822266,403.6533889770508,399.3220977783203,403.73242950439453,417.87454986572266,410.74627685546875,420.16451263427734,400.2992248535156,415.02393341064453,430.11973571777344,368.1107940673828,386.95704650878906,431.1719970703125,434.8021469116211,420.11131286621094,438.55693435668945
"S3",399.53658294677734,396.3398971557617,407.36195373535156,410.34156036376953,409.0166549682617,409.4684066772461,408.1454620361328,408.08011627197266,399.813720703125,403.67430877685547,410.5366744995117,410.36365509033203,421.3946762084961,410.4957962036133,411.0479965209961,413.0399856567383,381.2391128540039,379.05877685546875,383.3733901977539,409.60620880126953,403.2573776245117,407.42494201660156,406.5044479370117,390.7239761352539,405.6047134399414,418.1208724975586,414.84283447265625,415.49251556396484,434.71216583251953,435.63417053222656,436.5157051086426,436.5959663391113,435.5248565673828,433.25279235839844,435.280029296875,429.47168731689453,428.7988586425781,404.5433578491211,414.3561248779297,408.64542388916016,408.7934875488281,403.56006622314453,389.7615509033203,376.83555603027344,358.2145233154297,330.9180908203125,329.60682678222656,317.40904235839844,287.8470001220703,235.99618530273438,290.74977111816406,266.1444549560547,227.84640502929688,217.77313232421875,239.83624267578125,223.78839111328125,213.88772583007812,173.82516479492188,150.73580932617188,189.24130249023438,140.41845703125,231.35601806640625,218.11737060546875,153.99005126953125,212.95547485351562,170.00332641601562,223.8287353515625,187.7958984375,197.71878051757812,212.73968505859375,237.48068237304688,166.00650024414062,173.08255004882812,168.054443359375,174.95034790039062,133.74252319335938,146.64947509765625,158.4234619140625,81.2508544921875,170.409912109375,28.094329833984375,141.788330078125,98.37417602539062,124.96099853515625,117.079833984375,131.76654052734375,43.8353271484375,110.19845581054688,94.40176391601562,175.52224731445312,57.91998291015625,48.276092529296875,90.35928344726562,16.78350830078125,41.639862060546875,66.1103515625,81.58673095703125,129.15713500976562,138.39276123046875,147.06448364257812,139.7193603515625,102.4569091796875,143.7430419921875,175.97805786132812,161.5233154296875,93.15609741210938,93.48052978515625,118.24349975585938,122.75820922851562,183.183837890625,140.44052124023438,129.2889404296875,154.84466552734375,163.26596069335938,192.28802490234375,190.44015502929688,209.04302978515625,184.61944580078125,168.56622314453125,215.44976806640625,224.21343994140625,247.85621643066406,229.08370971679688,250.52796936035156,227.05642700195312,223.64749145507812,329.2062530517578,327.8931579589844,330.3808898925781,352.2115173339844,344.0060272216797,361.88629150390625,343.0277099609375,344.0305480957031,332.6964874267578,310.1581268310547,330.06227111816406,357.3473358154297,368.9486083984375,376.39906311035156,370.5953826904297
"S4",291.9885711669922,270.9266662597656,287.7367706298828,300.6526794433594,286.41017150878906,299.3611145019531,316.6532897949219,300.9079284667969,287.5355682373047,293.2508850097656,314.7480010986328,311.2022705078125,337.6749725341797,320.2440948486328,309.2990417480469,324.01768493652344,294.2433776855469,290.34674072265625,296.4312744140625,312.8707733154297,310.58924865722656,323.2235870361328,323.5850830078125,320.3633117675781,334.8320007324219,341.06752014160156,338.5911102294922,339.51441955566406,365.2632598876953,358.20204162597656,370.211669921875,355.9040222167969,360.9496154785156,350.49853515625,348.2902526855469,339.3616485595703,343.6436767578125,306.1455993652344,316.36279296875,308.96083068847656,307.3992004394531,297.6698303222656,279.2916259765625,251.83900451660156,219.93539428710938,160.15533447265625,132.47702026367188,112.63729858398438,61.761444091796875,-17.4918212890625,119.86166381835938,138.45166015625,129.88455200195312,115.00732421875,111.7200927734375,110.71688842773438,126.38192749023438,112.054931640625,112.95404052734375,134.40997314453125,106.25674438476562,100.12594604492188,93.2491455078125,101.93893432617188,107.46929931640625,73.881103515625,101.95367431640625,106.58627319335938,60.955108642578125,62.4022216796875,137.69845581054688,85.71783447265625,121.10626220703125,120.673828125,135.73220825195312,122.27938842773438,135.18536376953125,127.81002807617188,-100.06781005859375,88.9593505859375,111.1064453125,108.16470336914062,146.54745483398438,111.03271484375,130.38580322265625,106.32696533203125,105.19961547851562,99.83847045898438,112.476318359375,108.32855224609375,8.617889404296875,32.23870849609375,27.62493896484375,33.955108642578125,-33.798828125,-5.905609130859375,16.593902587890625,50.980743408203125,66.52389526367188,82.45947265625,52.71270751953125,58.18389892578125,72.46597290039062,48.402374267578125,168.24368286132812,158.44143676757812,147.92739868164062,177.7821044921875,133.84246826171875,174.85940551757812,56.279541015625,34.370758056640625,53.04058837890625,49.156219482421875,43.874420166015625,60.508026123046875,45.085906982421875,62.1680908203125,87.9334716796875,107.993408203125,118.68319702148438,106.66995239257812,126.36923217773438,121.98486328125,35.718719482421875,119.48379516601562,184.8990478515625,207.7904052734375,180.9410400390625,217.501708984375,205.21453857421875,241.09036254882812,211.40316772460938,203.31842041015625,202.14102172851562,196.16021728515625,228.13360595703125,232.62774658203125,247.2510528564453,281.7224426269531,236.74703979492188
"S5",259.716552734375,252.07461547851562,287.7367706298828,273.9560089111328,286.41017150878906,276.99940490722656,307.4254455566406,295.2866516113281,276.9178466796875,289.90956115722656,264.28138732910156,266.43328857421875,320.7506866455078,336.8526916503906,309.2990417480469,345.2731018066406,294.2433776855469,290.34674072265625,296.4312744140625,297.40802001953125,295.58404541015625,308.1847229003906,306.1251678466797,311.6933898925781,322.6705017089844,317.0948486328125,314.98448181152344,318.9000701904297,337.0977020263672,342.1510925292969,348.13230895996094,341.380615234375,341.5419006347656,326.4567108154297,323.42970275878906,313.5811767578125,320.6064910888672,297.99656677246094,298.4548034667969,294.6222381591797,293.80389404296875,282.2920227050781,265.3211975097656,237.80435180664062,181.6246337890625,171.0380859375,77.23373413085938,115.15188598632812,20.433349609375,-17.4918212890625,147.29312133789062,138.45166015625,129.88455200195312,115.00732421875,111.7200927734375,110.71688842773438,135.50900268554688,129.2271728515625,129.75527954101562,149.70913696289062,106.25674438476562,109.11105346679688,101.74099731445312,142.88308715820312,131.3154296875,127.78125,146.45974731445312,150.45266723632812,71.91714477539062,110.71768188476562,150.11444091796875,134.62274169921875,158.78970336914062,147.85540771484375,159.28228759765625,132.113525390625,166.51156616210938,162.70535278320312,143.74017333984375,169.89459228515625,162.75311279296875,148.46694946289062,146.54745483398438,120.80075073242188,146.03018188476562,150.09774780273438,147.03045654296875,145.12802124023438,146.490234375,109.955322265625,23.59051513671875,62.82269287109375,76.14974975585938,69.91781616210938,61.436920166015625,54.7452392578125,71.63900756835938,58.626983642578125,77.88760375976562,87.53713989257812,61.3077392578125,76.54940795898438,75.53802490234375,74.79254150390625,176.02822875976562,201.775390625,147.92739868164062,177.7821044921875,146.00949096679688,177.75833129882812,56.5604248046875,34.370758056640625,53.04058837890625,49.156219482421875,43.874420166015625,60.508026123046875,45.085906982421875,64.79055786132812,87.9334716796875,107.993408203125,118.68319702148438,106.66995239257812,126.36923217773438,121.98486328125,35.718719482421875,119.48379516601562,184.8990478515625,207.7904052734375,180.9410400390625,205.89913940429688,175.87789916992188,213.78717041015625,210.73379516601562,203.31842041015625,202.14102172851562,196.16021728515625,194.77297973632812,221.12939453125,216.3902587890625,251.16061401367188,205.00390625
"S6",212.662841796875,250.17156982421875,273.30772399902344,225.95233154296875,264.0605773925781,265.5890350341797,302.2576599121094,295.2866516113281,299.3388671875,289.2578125,296.2281951904297,287.54449462890625,320.6322479248047,336.9359130859375,322.8672332763672,345.40733337402344,272.20164489746094,257.5666046142578,277.7223663330078,277.58860778808594,282.6979064941406,288.4707946777344,279.5076599121094,281.0384063720703,297.4433288574219,288.2203063964844,292.29539489746094,293.47564697265625,359.5318603515625,352.1549987792969,351.2238311767578,353.068603515625,348.2407684326172,361.1472930908203,351.92237854003906,358.0449981689453,358.3560791015625,290.0033874511719,291.38050842285156,282.1939392089844,285.45909118652344,280.13214111328125,242.94744873046875,199.42669677734375,181.6246337890625,171.0380859375,92.78082275390625,128.14041137695312,40.20745849609375,35.948150634765625,233.52536010742188,177.93093872070312,211.52301025390625,154.41937255859375,201.75112915039062,220.05328369140625,219.12454223632812,227.50277709960938,230.61273193359375,229.97555541992188,226.109130859375,235.11737060546875,239.6318359375,223.24563598632812,225.09408569335938,233.7154541015625,212.88082885742188,225.4957275390625,201.0552978515625,226.43789672851562,234.33493041992188,242.74639892578125,215.54437255859375,182.47665405273438,203.98428344726562,168.8974609375,220.7427978515625,217.22213745117188,252.05430603027344,238.9796142578125,196.27651977539062,222.08489990234375,233.37429809570312,232.14181518554688,216.15087890625,235.08041381835938,248.6136932373047,239.74136352539062,236.26791381835938,248.7696533203125,78.76437377929688,88.98553466796875,92.93014526367188,78.788818359375,70.11770629882812,69.53097534179688,79.51165771484375,58.626983642578125,84.38314819335938,87.53713989257812,61.3077392578125,83.08523559570312,75.53802490234375,74.79254150390625,206.60052490234375,257.02940368652344,223.88473510742188,177.7821044921875,183.06723022460938,177.75833129882812,56.5604248046875,34.370758056640625,53.04058837890625,50.814788818359375,43.874420166015625,60.508026123046875,44.793701171875,64.79055786132812,85.84732055664062,68.301513671875,82.5728759765625,54.252044677734375,74.77169799804688,75.09982299804688,2.194915771484375,80.911865234375,184.8990478515625,187.59603881835938,158.09393310546875,189.66323852539062,172.7213134765625,178.95065307617188,176.51470947265625,193.02166748046875,202.14102172851562,196.16021728515625,176.56927490234375,197.0924072265625,184.6712646484375,181.15814208984375,179.92999267578125
"S7",228.04180908203125,267.9866943359375,273.30772399902344,240.10379028320312,265.01292419433594,288.1750030517578,302.77679443359375,295.2866516113281,304.02601623535156,297.3043670654297,314.1660461425781,306.1658020019531,320.6322479248047,336.9359130859375,322.8672332763672,345.40733337402344,272.20164489746094,275.40663146972656,277.7223663330078,286.2888641357422,287.6577911376953,290.4624328613281,288.23541259765625,295.28285217285156,306.4552917480469,301.7530975341797,300.3583526611328,300.9931335449219,359.5318603515625,355.8795928955078,357.4694366455078,363.6937561035156,362.01002502441406,365.7845001220703,360.88258361816406,362.5821228027344,358.3560791015625,290.0033874511719,291.38050842285156,282.1939392089844,289.8699493408203,282.2920227050781,251.95338439941406,217.02127075195312,205.2476806640625,171.0380859375,92.78082275390625,130.05526733398438,61.3740234375,41.876251220703125,233.52536010742188,177.93093872070312,211.52301025390625,154.41937255859375,201.75112915039062,220.05328369140625,219.12454223632812,227.50277709960938,230.61273193359375,229.97555541992188,226.109130859375,235.11737060546875,239.6318359375,223.24563598632812,225.09408569335938,233.7154541015625,212.88082885742188,225.4957275390625,201.0552978515625,226.43789672851562,234.33493041992188,242.74639892578125,215.54437255859375,182.47665405273438,203.98428344726562,168.8974609375,220.7427978515625,217.22213745117188,252.05430603027344,238.9796142578125,196.27651977539062,222.08489990234375,233.37429809570312,232.14181518554688,216.15087890625,235.08041381835938,248.6136932373047,239.74136352539062,236.26791381835938,248.7696533203125,78.76437377929688,88.98553466796875,92.93014526367188,78.788818359375,70.11770629882812,69.53097534179688,79.51165771484375,58.626983642578125,84.38314819335938,87.53713989257812,61.3077392578125,83.08523559570312,75.53802490234375,74.79254150390625,206.60052490234375,257.02940368652344,223.88473510742188,170.45947265625,183.06723022460938,177.75833129882812,56.5604248046875,-8.2596435546875,14.2144775390625,50.814788818359375,38.0638427734375,55.6744384765625,44.793701171875,64.79055786132812,63.390380859375,-2.820770263671875,29.119232177734375,-4.923858642578125,16.982666015625,7.300201416015625,16.1768798828125,12.71710205078125,146.73446655273438,155.09945678710938,164.60540771484375,172.06497192382812,172.7213134765625,151.77679443359375,163.99349975585938,158.3231201171875,175.0177001953125,180.96145629882812,178.53445434570312,187.82568359375,190.00643920898438,166.9388427734375,165.6434326171875
"S8",296.63185119628906,298.7955322265625,294.8922882080078,307.1222839355469,304.1659851074219,326.0218505859375,340.7883605957031,355.4610290527344,335.78431701660156,330.9427032470703,343.35581970214844,339.41139221191406,342.82289123535156,345.44798278808594,347.91700744628906,363.81333923339844,322.32456970214844,324.5970764160156,333.5116882324219,333.49322509765625,328.5355224609375,336.5595703125,329.12281799316406,332.8412322998047,339.9054412841797,331.11940002441406,337.06483459472656,337.9936218261719,367.4092254638672,372.5899658203125,374.41588592529297,373.0137405395508,363.33807373046875,366.8022766113281,368.0222625732422,362.5821228027344,358.4587860107422,312.8937530517578,312.76622009277344,297.8070068359375,291.03155517578125,291.3570098876953,280.76930236816406,274.2637176513672,251.58651733398438,216.19021606445312,152.105712890625,132.36306762695312,80.23760986328125,41.876251220703125,233.52536010742188,177.93093872070312,211.52301025390625,154.41937255859375,201.75112915039062,220.05328369140625,208.77313232421875,227.50277709960938,230.61273193359375,229.97555541992188,226.109130859375,235.11737060546875,239.6318359375,217.86123657226562,225.09408569335938,233.7154541015625,211.41189575195312,225.4957275390625,201.0552978515625,226.43789672851562,234.33493041992188,242.74639892578125,211.33023071289062,136.98919677734375,203.98428344726562,152.72772216796875,220.7427978515625,217.22213745117188,252.05430603027344,238.9796142578125,135.37646484375,222.08489990234375,233.37429809570312,232.14181518554688,216.15087890625,235.08041381835938,248.6136932373047,239.74136352539062,236.26791381835938,248.7696533203125,78.76437377929688,88.98553466796875,92.93014526367188,62.537933349609375,66.26470947265625,69.53097534179688,76.03439331054688,43.649139404296875,84.38314819335938,78.26531982421875,51.583221435546875,75.93978881835938,52.233245849609375,6.95855712890625,206.60052490234375,257.02940368652344,223.88473510742188,149.7689208984375,183.06723022460938,157.99588012695312,19.058441162109375,-10.212738037109375,14.2144775390625,50.814788818359375,5.785919189453125,-50.92340087890625,-20.980224609375,-49.2574462890625,-22.933837890625,-11.691192626953125,-5.80877685546875,24.82244873046875,40.73052978515625,32.349273681640625,52.804534912109375,12.453399658203125,146.73446655273438,155.09945678710938,164.60540771484375,170.29058837890625,147.65438842773438,151.77679443359375,165.859375,158.3231201171875,175.0177001953125,194.81951904296875,223.00344848632812,229.84078979492188,163.96176147460938,218.35137939453125,253.4488067626953
"S9",296.63185119628906,298.7955322265625,294.8922882080078,307.1222839355469,304.1659851074219,326.0218505859375,340.7883605957031,355.4610290527344,335.78431701660156,330.9427032470703,343.35581970214844,339.41139221191406,342.82289123535156,345.44798278808594,347.91700744628906,363.81333923339844,322.32456970214844,324.5970764160156,333.5116882324219,333.49322509765625,328.5355224609375,336.5595703125,329.12281799316406,332.8412322998047,339.9054412841797,331.11940002441406,337.06483459472656,337.9936218261719,367.4092254638672,372.5899658203125,374.41588592529297,373.0137405395508,363.33807373046875,366.8022766113281,368.5925598144531,362.5821228027344,358.4587860107422,326.65728759765625,322.69639587402344,305.11395263671875,297.93096923828125,305.91221618652344,293.58636474609375,274.2637176513672,251.58651733398438,216.19021606445312,152.105712890625,135.5833740234375,80.23760986328125,41.876251220703125,153.97171020507812,143.18450927734375,155.822509765625,136.50140380859375,154.59585571289062,172.60293579101562,172.56106567382812,165.29348754882812,145.61300659179688,126.38955688476562,133.0821533203125,151.50906372070312,132.52572631835938,150.40609741210938,177.04312133789062,165.84927368164062,157.31539916992188,167.90017700195312,148.90823364257812,173.62393188476562,165.416748046875,164.43209838867188,125.303466796875,81.36285400390625,110.29104614257812,93.73385620117188,122.609375,141.04000854492188,157.63095092773438,143.78787231445312,112.49114990234375,126.02493286132812,128.5811767578125,130.52902221679688,133.29464721679688,146.86630249023438,164.23434448242188,166.35488891601562,181.80752563476562,173.46795654296875,-0.940277099609375,27.584381103515625,35.517303466796875,-0.193023681640625,17.266845703125,22.113555908203125,0.63836669921875,-34.230712890625,1.949493408203125,-5.369598388671875,-35.847412109375,9.8394775390625,-14.080078125,-77.21234130859375,92.06784057617188,101.56271362304688,147.01153564453125,145.770751953125,144.73519897460938,84.60354614257812,1.11065673828125,-26.10858154296875,-3.842071533203125,19.565704345703125,-18.4794921875,-3.387939453125,38.578399658203125,41.45648193359375,36.3922119140625,80.11279296875,64.90228271484375,109.66778564453125,77.32089233398438,32.349273681640625,52.804534912109375,32.90802001953125,137.42758178710938,155.09945678710938,162.17474365234375,170.29058837890625,147.65438842773438,151.77679443359375,165.859375,158.3231201171875,175.0177001953125,194.81951904296875,223.00344848632812,229.84078979492188,163.96176147460938,218.35137939453125,253.4488067626953
