"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138"
"S0",52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,52.88706588745117,55.901649475097656,56.143741607666016,56.143741607666016,56.143741607666016,56.143741607666016,56.143741607666016,56.143741607666016,56.143741607666016,56.143741607666016,56.978172302246094,66.10082244873047,77.78174591064453,77.78174591064453,77.78174591064453,77.78174591064453,77.78174591064453,77.78174591064453,77.78174591064453,77.78174591064453,77.78174591064453,77.78174591064453,77.78174591064453,77.78174591064453,92.90406036376953,132.91285705566406,157.37669372558594,161.331298828125,163.24916076660156,163.24916076660156,169.36700439453125,195.25921630859375,229.5868682861328,250.58096313476562,266.5999450683594,270.8250427246094,274.2986145019531,275.81976318359375,291.590576171875,292.9140319824219,292.9140319824219,308.2443542480469,309.6633605957031,310.2157287597656,311.8215637207031,315.3152770996094,315.3152770996094,315.3152770996094,356.8642578125,357.5626220703125,357.5626220703125,359.6058654785156,360.33148193359375,360.39007568359375,360.39007568359375,360.39007568359375,360.39007568359375,360.39007568359375,360.39007568359375,379.9049987792969,382.612060546875,382.7900390625
"S1",46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,46.81464767456055,49.21522521972656,51.13284683227539,54.256736755371094,54.256736755371094,54.256736755371094,54.256736755371094,54.256736755371094,54.256736755371094,54.256736755371094,55.237884521484375,76.16102600097656,97.96438598632812,99.1554946899414,99.1554946899414,99.1554946899414,99.17845916748047,113.58341979980469,119.85859680175781,119.91043853759766,119.91043853759766,119.91043853759766,119.91043853759766,119.91043853759766,163.31182861328125,193.01443481445312,214.7601776123047,221.86524963378906,251.59237670898438,255.02499389648438,262.2237548828125,297.03387451171875,327.3882141113281,353.4952392578125,364.2950744628906,364.900146484375,370.6361389160156,371.26171875,378.0409240722656,379.9064025878906,379.91766357421875,384.09637451171875,388.16534423828125,392.21258544921875,392.9122009277344,395.6717834472656,396.3915710449219,399.1456604003906,404.0770263671875,404.0770263671875,404.0770263671875,404.0770263671875,404.0770263671875,404.0770263671875,404.0770263671875,404.0770263671875,404.0770263671875,404.0770263671875,404.0770263671875,428.9008483886719,436.4422607421875,437.06195068359375
"S2",-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-38.37578582763672,-22.530357360839844,-22.530357360839844,-22.530357360839844,-22.530357360839844,-22.530357360839844,-22.530357360839844,-22.530357360839844,-10.688791275024414,15.400169372558594,46.47966003417969,47.7662353515625,47.7662353515625,47.7662353515625,48.377079010009766,48.60614776611328,59.468666076660156,71.68437194824219,71.68437194824219,71.68437194824219,71.68437194824219,71.68437194824219,114.43838500976562,131.88348388671875,140.71644592285156,140.71644592285156,147.82554626464844,163.095947265625,168.7236328125,197.01589965820312,210.60574340820312,220.86001586914062,237.65908813476562,250.34254455566406,272.9601745605469,276.594970703125,287.213623046875,288.1403503417969,288.7189636230469,306.87890625,309.96539306640625,310.8957824707031,310.9568176269531,311.13507080078125,311.13507080078125,320.4868469238281,337.8799743652344,337.8799743652344,337.8799743652344,337.8799743652344,337.8799743652344,337.8799743652344,337.8799743652344,337.8799743652344,337.8799743652344,337.8799743652344,349.0876159667969,374.90234375,385.4858093261719,391.5998840332031
"S3",-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-251.55426025390625,-230.88876342773438,-230.69058227539062,-230.69058227539062,-230.69058227539062,-230.69058227539062,-230.69058227539062,-230.69058227539062,-189.59539794921875,-163.43479919433594,-152.84625244140625,-152.84625244140625,-152.84625244140625,-152.84625244140625,-151.47108459472656,-151.47108459472656,-149.70758056640625,-141.73863220214844,-141.73863220214844,-141.73863220214844,-141.73863220214844,-141.73863220214844,-122.39613342285156,-122.39613342285156,-122.39613342285156,-122.39613342285156,-122.39613342285156,-104.22847747802734,-91.47523498535156,-77.63212585449219,-64.00045776367188,-63.48838806152344,-37.29740905761719,-22.216615676879883,36.7335319519043,44.27190017700195,67.88185119628906,69.0225601196289,85.7370376586914,114.33597564697266,118.92012786865234,118.92012786865234,119.14603424072266,119.14603424072266,119.14603424072266,144.27633666992188,170.62786865234375,170.69358825683594,170.69358825683594,170.69358825683594,170.69358825683594,170.69358825683594,170.69358825683594,170.69358825683594,170.69358825683594,170.69358825683594,220.77117919921875,249.22544860839844,257.387939453125,270.79779052734375
"S4",-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-46.043643951416016,-45.75592803955078,-33.132606506347656,-30.075637817382812,-30.075637817382812,-30.075637817382812,-30.075637817382812,-30.075637817382812,-30.075637817382812,-30.075637817382812,-13.520898818969727,-3.712141752243042,2.0676934719085693,2.0676934719085693,2.0676934719085693,2.0676934719085693,2.0676934719085693,2.0676934719085693,18.61603546142578,31.34201431274414,31.34201431274414,31.34201431274414,31.34201431274414,31.34201431274414,31.968351364135742,31.968351364135742,31.968351364135742,31.968351364135742,31.968351364135742,42.6796875,47.167518615722656,53.4462890625,63.07512664794922,63.07512664794922,86.36872863769531,95.7806167602539,116.4388198852539,130.6138458251953,132.64759826660156,134.71820068359375,145.32876586914062,149.04539489746094,149.53094482421875,149.53094482421875,149.53094482421875,149.53094482421875,149.53094482421875,180.16390991210938,216.9283447265625,217.21826171875,217.21826171875,217.21826171875,217.21826171875,217.21826171875,217.21826171875,217.21826171875,217.21826171875,217.21826171875,233.89173889160156,245.84146118164062,247.38638305664062,258.4551696777344
"S5",42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,42.63713073730469,84.54405212402344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.72227478027344,95.76648712158203,96.98785400390625,96.98785400390625,96.98785400390625,102.7793197631836,102.7793197631836,102.7793197631836,102.7793197631836,102.7793197631836,102.7793197631836,102.7793197631836,102.7793197631836,102.7793197631836,106.8927230834961,117.8486328125,117.8486328125,117.8486328125,117.8486328125,117.8486328125,117.8486328125,117.8486328125,117.89228820800781,118.80790710449219,120.2925033569336,127.72219848632812,127.72219848632812,127.72219848632812,127.72219848632812,127.72219848632812,130.7771453857422,149.3819580078125,150.27426147460938,150.27426147460938,150.27426147460938,150.27426147460938,150.27426147460938,150.27426147460938,150.27426147460938,150.27426147460938,150.7197723388672,150.7728271484375,151.89109802246094,152.20428466796875,153.37884521484375,158.55296325683594,158.55296325683594,158.83786010742188,158.83786010742188,158.83786010742188,159.93824768066406,159.99020385742188,159.99020385742188,162.10313415527344,162.10313415527344,162.10313415527344,162.10313415527344,162.10313415527344,162.58218383789062,162.58218383789062,187.5626983642578,215.4460906982422,215.5439910888672,215.5439910888672,215.5439910888672,215.5439910888672,220.58056640625,221.4427490234375,221.97044372558594,221.97044372558594,221.97044372558594,221.97044372558594,222.06484985351562,222.06484985351562,222.41502380371094
"S6",76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.46829223632812,76.79568481445312,76.79568481445312,76.79568481445312,82.53361511230469,112.57557678222656,119.94631958007812,119.94631958007812,119.94631958007812,119.94631958007812,119.94631958007812,119.94631958007812,120.68711853027344,124.15444946289062,124.15444946289062,124.15444946289062,124.15444946289062,124.15444946289062,124.15444946289062,124.15444946289062,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.24134826660156,124.25759887695312,124.78504180908203,125.73259735107422,125.73259735107422,125.73259735107422,126.77323913574219,126.77323913574219,126.77323913574219,126.77323913574219,126.77323913574219,126.77323913574219,126.77323913574219,126.77323913574219,127.38536834716797,127.38536834716797,127.57561492919922,127.69932556152344,129.77635192871094,136.2075958251953,136.2075958251953,136.2075958251953,182.9617156982422,190.6813507080078,190.6813507080078,190.98326110839844,190.98745727539062,190.98745727539062,190.98745727539062,190.98745727539062,190.98745727539062,190.98745727539062,190.98745727539062
"S7",145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.8929901123047,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,145.94993591308594,148.2982177734375,149.76507568359375,149.76507568359375,149.76507568359375,149.76507568359375,149.76507568359375,149.76507568359375,150.06419372558594,150.8817138671875,151.5181121826172,152.91139221191406,152.91139221191406,152.91139221191406,153.1129913330078,153.96224975585938,154.7589111328125,162.41033935546875,174.37330627441406,174.37330627441406,174.37330627441406,174.37330627441406,174.37330627441406,174.37330627441406,174.37330627441406,184.5857391357422,187.59959411621094,187.59959411621094,187.59959411621094,187.59959411621094,187.59959411621094,187.59959411621094
"S8",103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.14929962158203,103.63589477539062,109.74113464355469,110.43855285644531,111.67752075195312,111.67752075195312,111.67752075195312,111.67752075195312,111.98457336425781,113.76925659179688,113.82894897460938,113.95248413085938,114.32543182373047,114.6714859008789,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,114.69615173339844,117.0117416381836,118.65013885498047,125.15911865234375,129.41098022460938,129.41098022460938,129.41098022460938,133.94039916992188,133.94039916992188,133.94039916992188,133.94039916992188,133.94039916992188,133.94039916992188,133.9410400390625,133.9410400390625,141.63357543945312,145.48980712890625,146.1238250732422,146.8347625732422,147.7105712890625,148.5113525390625,148.70669555664062,149.49290466308594,171.4501495361328,185.7928466796875,188.35772705078125,188.35772705078125,188.35772705078125,190.24488830566406,190.83177185058594,192.2107391357422,195.13601684570312,195.13601684570312,195.13601684570312,195.13601684570312,195.13601684570312,195.13601684570312
"S9",-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.90721130371094,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-141.22006225585938,-137.9705047607422,-133.57040405273438,-132.7265167236328,-125.72569274902344,-124.09257507324219,-123.9543228149414,-123.11248016357422,-122.1346664428711,-122.1346664428711,-122.1346664428711,-122.1346664428711,-122.1346664428711,-122.1346664428711,-122.1346664428711,-122.1346664428711,-117.95553588867188,-117.3412857055664,-117.14861297607422,-110.57498931884766,-105.09809875488281,-104.66864013671875,-98.13298797607422,-93.89997863769531,-57.20692825317383,-52.763877868652344,-52.763877868652344,-52.763877868652344,15.706877708435059,29.5070858001709,42.31208038330078,42.31478500366211,42.31478500366211,59.87351989746094,70.06310272216797,70.08956909179688,70.08956909179688,71.19847869873047,71.76781463623047,71.76781463623047,71.76781463623047,71.76781463623047,71.76781463623047,71.76781463623047,98.87242126464844,101.01671600341797,101.01671600341797,101.01671600341797,101.01671600341797,105.31047058105469,123.2315444946289,134.5513153076172,160.24331665039062,176.34886169433594,178.7458038330078,178.7458038330078,178.7458038330078,178.7458038330078
