"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138"
"S0",1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1113.7412109375,1387.2767333984375,1384.043701171875,1384.043701171875,1384.043701171875,1384.043701171875,1384.043701171875,1384.043701171875,1384.043701171875,1384.043701171875,1467.8885498046875,1663.2205810546875,2297.58984375,2297.58984375,2297.58984375,2297.58984375,2297.58984375,2297.58984375,2297.58984375,2297.58984375,2297.58984375,2297.58984375,2297.58984375,2297.58984375,2759.00244140625,1857.9462890625,1955.33447265625,1989.7181396484375,1828.856201171875,1828.856201171875,1958.8955078125,1427.94287109375,1727.885498046875,1345.4530029296875,1141.169921875,988.6807250976562,839.3988037109375,751.128173828125,806.1997680664062,707.6303100585938,707.6303100585938,756.0264282226562,638.8339233398438,624.5979614257812,551.1431884765625,387.7547302246094,387.7547302246094,387.7547302246094,466.8056335449219,418.5321350097656,418.5321350097656,431.35797119140625,391.1620788574219,388.1376953125,388.1376953125,388.1376953125,388.1376953125,388.1376953125,388.1376953125,370.3533935546875,248.4213104248047,242.3555908203125
"S1",1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1685.4881591796875,1892.9415283203125,1767.7908935546875,1865.200439453125,1865.200439453125,1865.200439453125,1865.200439453125,1865.200439453125,1865.200439453125,1865.200439453125,1967.314697265625,1444.224365234375,1719.1256103515625,1767.3759765625,1767.3759765625,1767.3759765625,1768.79443359375,1942.3336181640625,1607.86767578125,1608.776611328125,1608.776611328125,1608.776611328125,1608.776611328125,1608.776611328125,1224.8946533203125,771.9837646484375,1251.7398681640625,1369.2144775390625,1049.802978515625,827.8347778320312,1004.1709594726562,584.969482421875,562.1576538085938,294.1161193847656,241.0477752685547,244.39552307128906,258.0450134277344,229.37249755859375,166.04930114746094,144.97280883789062,144.9362335205078,232.27476501464844,150.48696899414062,138.42071533203125,125.73641967773438,135.60121154785156,123.1728515625,161.69842529296875,242.7794189453125,242.7794189453125,242.7794189453125,242.7794189453125,242.7794189453125,242.7794189453125,242.7794189453125,242.7794189453125,242.7794189453125,242.7794189453125,242.7794189453125,139.7921600341797,55.81092834472656,51.12037658691406
"S2",2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,2537.74755859375,1908.395263671875,1908.395263671875,1908.395263671875,1908.395263671875,1908.395263671875,1908.395263671875,1908.395263671875,2826.22802734375,1404.2003173828125,2871.86279296875,2755.76708984375,2755.76708984375,2755.76708984375,2806.9453125,2784.628173828125,3190.22216796875,2331.193359375,2331.193359375,2331.193359375,2331.193359375,2331.193359375,1742.0439453125,999.5978393554688,1280.0992431640625,1280.0992431640625,1370.410888671875,1273.2703857421875,975.5545043945312,1004.5980224609375,1273.3031005859375,1655.82275390625,1165.3131103515625,1268.6871337890625,1143.88232421875,802.7092895507812,819.0912475585938,738.9730224609375,750.6353149414062,522.8234252929688,355.402099609375,333.0858154296875,331.4483947753906,328.41278076171875,328.41278076171875,451.9024963378906,271.75408935546875,271.75408935546875,271.75408935546875,271.75408935546875,271.75408935546875,271.75408935546875,271.75408935546875,271.75408935546875,271.75408935546875,271.75408935546875,484.032470703125,311.2657775878906,228.1899871826172,172.94126892089844
"S3",4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,4633.5048828125,2237.6142578125,2226.550537109375,2226.550537109375,2226.550537109375,2226.550537109375,2226.550537109375,2226.550537109375,3571.2158203125,1921.4259033203125,3304.819091796875,3304.819091796875,3304.819091796875,3304.819091796875,3409.891845703125,3409.891845703125,3780.4912109375,2762.874755859375,2762.874755859375,2762.874755859375,2762.874755859375,2762.874755859375,3738.1103515625,3738.1103515625,3738.1103515625,3738.1103515625,3738.1103515625,4006.265380859375,3269.526611328125,4754.921875,6434.0419921875,6529.029296875,5627.3837890625,5302.9150390625,4098.02001953125,2971.93310546875,2292.0087890625,2182.245849609375,3013.8642578125,1409.2086181640625,1046.1591796875,1046.1591796875,1036.0389404296875,1036.0389404296875,1036.0389404296875,1309.2921142578125,1513.9771728515625,1507.616455078125,1507.616455078125,1507.616455078125,1507.616455078125,1507.616455078125,1507.616455078125,1507.616455078125,1507.616455078125,1507.616455078125,1496.3026123046875,919.7538452148438,940.0092163085938,538.5972290039062
"S4",2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2392.084716796875,2448.29931640625,1279.1209716796875,1091.76953125,1091.76953125,1091.76953125,1091.76953125,1091.76953125,1091.76953125,1091.76953125,1633.3023681640625,1078.494873046875,1591.8665771484375,1591.8665771484375,1591.8665771484375,1591.8665771484375,1591.8665771484375,1591.8665771484375,1545.9473876953125,1198.4794921875,1198.4794921875,1198.4794921875,1198.4794921875,1198.4794921875,1222.8160400390625,1222.8160400390625,1222.8160400390625,1222.8160400390625,1222.8160400390625,1607.0386962890625,1592.59228515625,2263.69677734375,3287.91650390625,3287.91650390625,2641.32958984375,2533.867919921875,2347.737548828125,1712.474365234375,1577.02685546875,1494.5748291015625,922.72802734375,705.131591796875,685.8024291992188,685.8024291992188,685.8024291992188,685.8024291992188,685.8024291992188,1094.1070556640625,1158.8394775390625,1134.0174560546875,1134.0174560546875,1134.0174560546875,1134.0174560546875,1134.0174560546875,1134.0174560546875,1134.0174560546875,1134.0174560546875,1134.0174560546875,1251.5452880859375,922.37939453125,803.6696166992188,724.8427124023438
"S5",3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,3121.332763671875,1780.283935546875,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1398.3519287109375,1401.18017578125,1359.5863037109375,1359.5863037109375,1359.5863037109375,1440.1512451171875,1440.1512451171875,1440.1512451171875,1440.1512451171875,1440.1512451171875,1440.1512451171875,1440.1512451171875,1440.1512451171875,1440.1512451171875,1843.90283203125,1277.282958984375,1277.282958984375,1277.282958984375,1277.282958984375,1277.282958984375,1277.282958984375,1277.282958984375,1277.42236328125,1316.2132568359375,1305.2435302734375,1624.106689453125,1624.106689453125,1624.106689453125,1624.106689453125,1624.106689453125,1870.0123291015625,664.0877075195312,655.9802856445312,655.9802856445312,655.9802856445312,655.9802856445312,655.9802856445312,655.9802856445312,655.9802856445312,655.9802856445312,652.30224609375,654.6052856445312,692.0477294921875,700.6277465820312,795.3273315429688,1055.590576171875,1055.590576171875,1045.5677490234375,1045.5677490234375,1045.5677490234375,995.3448486328125,993.63037109375,993.63037109375,808.512451171875,808.512451171875,808.512451171875,808.512451171875,808.512451171875,779.6631469726562,779.6631469726562,1356.2967529296875,1388.741455078125,1382.8692626953125,1382.8692626953125,1382.8692626953125,1382.8692626953125,1504.3912353515625,1406.3968505859375,1374.56982421875,1374.56982421875,1374.56982421875,1374.56982421875,1369.9832763671875,1369.9832763671875,1386.587646484375
"S6",846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,846.3157958984375,877.9690551757812,877.9690551757812,877.9690551757812,614.1224365234375,1827.0604248046875,1412.2698974609375,1412.2698974609375,1412.2698974609375,1412.2698974609375,1412.2698974609375,1412.2698974609375,1518.2275390625,1224.5654296875,1224.5654296875,1224.5654296875,1224.5654296875,1224.5654296875,1224.5654296875,1224.5654296875,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1237.5615234375,1238.2972412109375,1299.8779296875,1379.743896484375,1379.743896484375,1379.743896484375,1360.33935546875,1360.33935546875,1360.33935546875,1360.33935546875,1360.33935546875,1360.33935546875,1360.33935546875,1360.33935546875,1313.205810546875,1313.205810546875,1308.2906494140625,1308.31884765625,1476.1624755859375,2112.426513671875,2112.426513671875,2112.426513671875,2252.181640625,1846.8955078125,1846.8955078125,1856.425048828125,1856.697998046875,1856.697998046875,1856.697998046875,1856.697998046875,1856.697998046875,1856.697998046875,1856.697998046875
"S7",871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,871.9823608398438,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,881.598388671875,941.4863891601562,1093.591552734375,1093.591552734375,1093.591552734375,1093.591552734375,1093.591552734375,1093.591552734375,1118.922607421875,1043.6781005859375,1093.297607421875,1004.6859130859375,1004.6859130859375,1004.6859130859375,1020.3681030273438,970.4639282226562,1036.2655029296875,1127.160888671875,1662.2325439453125,1662.2325439453125,1662.2325439453125,1662.2325439453125,1662.2325439453125,1662.2325439453125,1662.2325439453125,1868.4276123046875,1506.754638671875,1506.754638671875,1506.754638671875,1506.754638671875,1506.754638671875,1506.754638671875
"S8",484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,484.472412109375,521.657470703125,387.9510192871094,448.5375671386719,445.6705322265625,445.6705322265625,445.6705322265625,445.6705322265625,475.8041687011719,514.6066284179688,521.1142578125,533.9493408203125,582.2579345703125,619.2757568359375,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,621.2994384765625,735.3604736328125,759.3275146484375,717.2039794921875,712.1613159179688,712.1613159179688,712.1613159179688,1054.3787841796875,1054.3787841796875,1054.3787841796875,1054.3787841796875,1054.3787841796875,1054.3787841796875,1054.413330078125,1054.413330078125,1315.9688720703125,1187.8173828125,1170.4886474609375,1129.4744873046875,1106.1549072265625,1073.6490478515625,1071.6558837890625,1057.9566650390625,2588.144775390625,1836.3782958984375,1610.000732421875,1610.000732421875,1610.000732421875,1708.9312744140625,1660.07080078125,1657.2655029296875,1429.45849609375,1429.45849609375,1429.45849609375,1429.45849609375,1429.45849609375,1429.45849609375
"S9",1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1573.7996826171875,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1651.76318359375,1941.3187255859375,1990.1868896484375,2127.22607421875,2271.9306640625,2434.214111328125,2450.269287109375,2549.01220703125,2675.632568359375,2675.632568359375,2675.632568359375,2675.632568359375,2675.632568359375,2675.632568359375,2675.632568359375,2675.632568359375,2582.856201171875,2583.149169921875,2584.61572265625,2981.164794921875,3077.968505859375,3119.804443359375,4148.849609375,3502.0126953125,2493.244140625,1909.4185791015625,1909.4185791015625,1909.4185791015625,3617.34375,1986.579345703125,2068.44677734375,2068.987060546875,2068.987060546875,1780.58984375,1537.2891845703125,1535.4888916015625,1535.4888916015625,1475.0308837890625,1439.47265625,1439.47265625,1439.47265625,1439.47265625,1439.47265625,1439.47265625,3062.89404296875,2716.89208984375,2716.89208984375,2716.89208984375,2716.89208984375,2911.09228515625,2721.297607421875,2261.542724609375,2327.9853515625,1488.744384765625,1344.4749755859375,1344.4749755859375,1344.4749755859375,1344.4749755859375
