"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138"
"S0",417.9609680175781,419.42303466796875,422.35577392578125,428.39630126953125,426.918212890625,424.9261474609375,432.565185546875,434.07867431640625,438.9490661621094,437.7240295410156,432.51171875,440.2673034667969,441.072998046875,437.4307861328125,442.48358154296875,445.426025390625,441.2258605957031,432.3270568847656,431.9399719238281,438.4314880371094,443.9609375,445.552001953125,443.6180419921875,444.3491516113281,445.3044128417969,444.7644958496094,444.97808837890625,446.15509033203125,445.0111999511719,447.6481628417969,449.3882751464844,445.68341064453125,443.7562255859375,446.79180908203125,445.04656982421875,444.3330993652344,443.8360595703125,438.0919494628906,435.57574462890625,430.5143737792969,428.12249755859375,422.9173583984375,421.2040100097656,418.0556335449219,396.4988708496094,389.6873474121094,384.4024658203125,377.309814453125,365.7425537109375,362.77362060546875,347.3692626953125,303.8592834472656,270.1292724609375,244.8390655517578,245.63734436035156,247.4076690673828,232.3341827392578,232.23158264160156,223.46890258789062,192.28712463378906,204.5015411376953,176.85226440429688,140.01846313476562,130.24966430664062,142.91136169433594,139.31939697265625,141.54190063476562,139.02264404296875,136.93357849121094,134.78546142578125,123.28865051269531,115.2176742553711,114.9991683959961,94.04913330078125,97.93257141113281,117.17073059082031,115.13412475585938,86.55868530273438,89.10162353515625,104.3439712524414,141.31813049316406,138.19403076171875,121.70341491699219,113.16664123535156,128.30807495117188,127.67713928222656,97.82482147216797,88.8321304321289,118.76531982421875,120.74898529052734,137.11239624023438,153.77908325195312,121.22077178955078,101.29439544677734,124.24748229980469,131.47792053222656,153.1157684326172,148.82308959960938,143.0495147705078,126.58761596679688,87.5544204711914,101.01876068115234,157.5232391357422,162.9595184326172,165.998046875,179.3555908203125,170.77125549316406,174.71246337890625,207.5677490234375,229.7118682861328,250.82595825195312,266.970947265625,271.229736328125,283.3794250488281,276.6890563964844,301.91436767578125,304.0145263671875,294.4291687011719,312.6585693359375,313.15252685546875,314.1075134277344,319.3756103515625,349.6249084472656,340.9502868652344,316.8904724121094,361.769775390625,363.39910888671875,358.14691162109375,361.2427978515625,368.3119201660156,371.526611328125,368.069091796875,370.3998107910156,389.03558349609375,382.5732116699219,360.3901672363281,379.9092712402344,384.6935119628906,383.3255920410156
"S1",458.1816101074219,462.0760803222656,465.385986328125,466.3944396972656,466.5731201171875,464.0562744140625,464.8119812011719,465.62921142578125,465.8685607910156,465.9663391113281,466.4273376464844,468.7899475097656,466.5985412597656,464.2208251953125,467.262939453125,467.7823791503906,468.6640625,468.07965087890625,467.48321533203125,468.7331237792969,470.1789855957031,469.6708679199219,469.1463317871094,471.53753662109375,471.3967590332031,471.5029296875,470.9739074707031,470.55523681640625,471.02496337890625,472.9766845703125,470.47674560546875,470.9217529296875,470.3619079589844,468.3803405761719,469.6553955078125,466.1812438964844,465.3204040527344,467.5815734863281,468.9725036621094,464.25030517578125,461.426025390625,458.7753601074219,455.3095397949219,450.7779235839844,433.2996520996094,436.6348571777344,431.5279235839844,437.0924072265625,419.7171936035156,425.3001708984375,431.5845642089844,367.66619873046875,330.7964782714844,320.71551513671875,299.7263488769531,310.7668151855469,305.57470703125,300.86346435546875,274.0068359375,234.06854248046875,257.5801086425781,259.6642761230469,216.06234741210938,148.17628479003906,154.49388122558594,158.33155822753906,167.58502197265625,167.24183654785156,191.5522003173828,151.9326629638672,132.66676330566406,114.26988220214844,109.81187438964844,96.01964569091797,106.06680297851562,130.16619873046875,116.5693359375,79.05570983886719,66.6697769165039,76.29495239257812,111.11421203613281,117.7131576538086,118.03050994873047,112.55169677734375,118.34732055664062,124.2073745727539,99.20735168457031,72.95507049560547,108.63695526123047,105.01758575439453,143.03118896484375,171.5394744873047,125.29463195800781,102.73621368408203,116.14930725097656,127.92510986328125,159.85879516601562,164.75758361816406,185.00958251953125,178.7283935546875,122.73448181152344,171.19561767578125,210.8256378173828,216.2822265625,221.86532592773438,252.67926025390625,260.39227294921875,262.79364013671875,301.5913391113281,327.38824462890625,353.6198425292969,365.593505859375,365.7763671875,372.2300109863281,372.3006286621094,382.9609375,388.2588806152344,385.5697021484375,386.877197265625,391.60809326171875,398.46014404296875,398.1923522949219,407.5274963378906,403.3960266113281,409.3943786621094,424.2495422363281,418.3677062988281,418.1953430175781,426.633056640625,427.2833251953125,429.95050048828125,425.2844543457031,424.59393310546875,434.574951171875,430.26739501953125,404.0770568847656,428.9007873535156,438.7118225097656,438.5506286621094
"S2",413.915771484375,417.33734130859375,421.7203369140625,424.6356201171875,424.19952392578125,420.7964782714844,420.9544982910156,417.0528259277344,415.13531494140625,418.72515869140625,421.2430725097656,429.1166687011719,427.4627380371094,420.77520751953125,424.400634765625,428.022705078125,429.9100036621094,427.0845947265625,429.6190490722656,427.8072204589844,432.2032775878906,434.2334289550781,434.84515380859375,440.1258544921875,442.0161437988281,441.6636047363281,440.80633544921875,441.0498352050781,441.2397766113281,442.2901611328125,440.85601806640625,439.2655334472656,439.7209777832031,439.9917297363281,438.2579040527344,434.7022705078125,433.2096862792969,433.66058349609375,431.98272705078125,428.4844970703125,425.7437744140625,420.29412841796875,411.2339782714844,399.0314025878906,377.6274719238281,363.6102600097656,359.1571350097656,351.6994934082031,320.72454833984375,298.1422424316406,294.499267578125,263.9059753417969,225.66259765625,206.02801513671875,191.69630432128906,207.66224670410156,201.28213500976562,190.2836151123047,190.7303924560547,160.0045928955078,164.48716735839844,148.81735229492188,115.95519256591797,67.8585205078125,93.90196990966797,104.20406341552734,110.06460571289062,81.7389907836914,85.1524887084961,85.51425170898438,82.84479522705078,34.001346588134766,57.76323699951172,59.431331634521484,56.957942962646484,57.07085418701172,55.89409255981445,29.43735122680664,-5.771469593048096,-28.479957580566406,29.282453536987305,54.70204544067383,69.22002410888672,75.1275863647461,74.24524688720703,52.80881881713867,3.6146819591522217,7.014443874359131,43.333744049072266,54.90525817871094,79.42807006835938,100.95313262939453,70.36931610107422,61.79441833496094,57.542301177978516,62.04191970825195,100.58999633789062,110.28606414794922,125.10372924804688,111.562744140625,75.55274200439453,139.76800537109375,175.66490173339844,161.18995666503906,144.19903564453125,151.5630340576172,169.89955139160156,176.4488067626953,223.92593383789062,217.94435119628906,220.8599853515625,237.6590576171875,250.34249877929688,274.2493896484375,277.4457702636719,295.9053039550781,294.2210998535156,289.93597412109375,315.2256774902344,323.5007019042969,329.9804382324219,329.6454162597656,336.9515686035156,317.3448181152344,329.7744140625,355.00909423828125,353.6045227050781,355.47015380859375,371.3406982421875,370.308349609375,379.5204162597656,372.79266357421875,370.268798828125,366.2223815917969,341.01324462890625,349.08758544921875,374.9024353027344,385.48590087890625,392.41778564453125
"S3",307.1617431640625,309.3999328613281,314.795654296875,321.17645263671875,320.8341979980469,319.003662109375,316.3550720214844,301.67608642578125,296.5693664550781,307.1311950683594,311.5848388671875,332.7908935546875,328.6168212890625,315.6240539550781,318.68218994140625,328.3414001464844,329.7414855957031,325.77813720703125,333.50457763671875,326.2635498046875,337.1937255859375,340.93927001953125,343.4837646484375,355.1831359863281,359.5629577636719,358.2743225097656,358.137451171875,359.29412841796875,356.55535888671875,360.7541809082031,359.06976318359375,352.82257080078125,355.6375732421875,358.1834411621094,348.41717529296875,345.15399169921875,342.6910400390625,337.9990234375,333.6592712402344,331.5994567871094,324.6696472167969,312.4632873535156,293.2919921875,266.9950256347656,233.6918487548828,179.29771423339844,180.65997314453125,151.76341247558594,91.7562484741211,28.461809158325195,33.737003326416016,37.376953125,2.912829875946045,-35.96650695800781,-28.465858459472656,-12.4122953414917,-27.180553436279297,-26.662025451660156,18.37403106689453,3.0137360095977783,-43.591670989990234,-90.67611694335938,-110.53736114501953,-103.00257110595703,-56.93955993652344,-36.434749603271484,-44.07683563232422,-102.61651611328125,-143.59324645996094,-69.93394470214844,-56.466270446777344,-132.5546112060547,-78.52993774414062,-45.174827575683594,-47.05649948120117,-102.23046875,-87.72671508789062,-100.4607162475586,-143.89321899414062,-228.49468994140625,-147.0725555419922,-88.68014526367188,-62.059059143066406,-24.347122192382812,-13.301907539367676,-128.71005249023438,-213.08761596679688,-147.921142578125,-107.04049682617188,-83.76673889160156,-72.35224151611328,-74.29022216796875,-97.25184631347656,-71.2942123413086,-76.11262512207031,-107.87865447998047,-67.19104766845703,-60.251712799072266,-48.58146667480469,-69.9279556274414,-104.1674575805664,-2.0837454795837402,33.291465759277344,16.059968948364258,-43.68585968017578,-92.88294219970703,-48.6152458190918,-38.59038162231445,18.11602020263672,-4.448890209197998,-63.48838424682617,-37.29740905761719,-22.21660804748535,38.53893280029297,45.35749435424805,85.46300506591797,79.75345611572266,88.56442260742188,137.69766235351562,151.6351318359375,153.87733459472656,175.7900390625,178.2054901123047,124.7024154663086,163.38002014160156,199.84674072265625,206.3529052734375,212.07093811035156,240.33078002929688,234.53883361816406,257.09063720703125,245.19802856445312,240.3238525390625,215.6916046142578,171.0461883544922,220.77114868164062,249.30679321289062,257.387939453125,281.763916015625
"S4",295.17559814453125,312.8769836425781,310.25897216796875,319.5216369628906,322.49267578125,314.6160888671875,316.6071472167969,312.83062744140625,314.0495910644531,309.9774169921875,303.1798400878906,335.44561767578125,331.9649658203125,324.5205383300781,335.1197204589844,335.0194091796875,332.9645690917969,336.1752624511719,336.64996337890625,334.4288635253906,344.52398681640625,345.377685546875,348.237548828125,356.9871520996094,354.47515869140625,352.6487121582031,354.58221435546875,358.4712219238281,356.0372314453125,358.3382873535156,357.21844482421875,355.4024963378906,350.66424560546875,352.3427429199219,346.5240173339844,343.6873474121094,344.24481201171875,341.685302734375,337.4351806640625,339.0040588378906,331.4248962402344,323.16180419921875,302.4439697265625,276.1770935058594,216.82496643066406,191.63986206054688,84.6554946899414,116.33161163330078,155.06544494628906,99.83529663085938,113.31355285644531,120.11561584472656,101.6878890991211,85.09545135498047,86.64956665039062,96.99854278564453,84.6948471069336,87.6174087524414,109.18151092529297,101.1270523071289,74.56845092773438,55.424686431884766,41.578182220458984,57.364341735839844,59.82123565673828,65.58267974853516,68.76664733886719,45.6145133972168,17.984952926635742,88.37171936035156,88.01653289794922,51.829322814941406,75.56102752685547,94.49284362792969,84.2380142211914,66.13793182373047,70.4872817993164,34.105552673339844,-29.14459800720215,-1.0849609375,29.691917419433594,78.78929901123047,89.14408874511719,97.02124786376953,86.62675476074219,37.927120208740234,-8.15550422668457,30.611814498901367,47.938560485839844,48.639617919921875,55.980777740478516,64.34567260742188,54.94660568237305,38.88920593261719,15.175086975097656,39.85361862182617,79.07145690917969,95.57487487792969,100.97614288330078,84.03431701660156,67.59710693359375,115.951416015625,127.78926849365234,115.42344665527344,88.3685073852539,63.69972229003906,94.23605346679688,97.85073852539062,126.84719848632812,115.18623352050781,63.190467834472656,86.62238311767578,96.1001968383789,117.49493408203125,133.86021423339844,137.34568786621094,140.53546142578125,167.66656494140625,184.3494110107422,193.56105041503906,186.34083557128906,198.6034393310547,198.69442749023438,153.42726135253906,191.60232543945312,224.23988342285156,239.01718139648438,239.22259521484375,252.02394104003906,237.7943572998047,250.15257263183594,244.86444091796875,251.73757934570312,242.17018127441406,218.09193420410156,233.8916473388672,253.29962158203125,248.6255340576172,266.5866394042969
"S5",269.70050048828125,298.3335266113281,289.72802734375,296.02508544921875,305.6259460449219,298.9798583984375,307.06646728515625,311.2789306640625,310.8465881347656,300.15057373046875,277.1141662597656,321.6322937011719,326.56207275390625,321.69268798828125,339.74273681640625,339.2686767578125,331.1173095703125,340.5790100097656,338.5948791503906,339.57098388671875,347.73907470703125,344.47265625,345.7403259277344,354.48175048828125,350.0912170410156,347.9169921875,351.70037841796875,349.02374267578125,347.27313232421875,348.7528991699219,349.835693359375,349.6175537109375,340.75238037109375,342.3536071777344,338.8437805175781,340.0716552734375,346.78143310546875,344.8282470703125,339.512451171875,343.3484802246094,334.6816101074219,326.8388366699219,304.7945556640625,271.8799743652344,225.90626525878906,222.99412536621094,51.11582946777344,111.46745300292969,179.2737274169922,147.57037353515625,150.57723999023438,159.25730895996094,149.66798400878906,149.99757385253906,153.81951904296875,155.15908813476562,162.6244659423828,164.1927490234375,157.67176818847656,152.4917449951172,139.40335083007812,144.0445098876953,159.6822052001953,165.07977294921875,133.73069763183594,125.92443084716797,151.0534210205078,153.498291015625,122.22595977783203,173.95298767089844,183.1384735107422,165.00181579589844,175.9918975830078,178.0362548828125,176.6264190673828,182.0264892578125,181.23114013671875,142.15138244628906,134.76846313476562,184.5282440185547,167.96377563476562,184.7070770263672,192.11627197265625,167.07611083984375,161.4958038330078,157.15625,156.03469848632812,160.1623992919922,160.292724609375,159.3482208251953,171.78585815429688,180.9031219482422,175.4862060546875,162.22598266601562,140.80838012695312,169.51429748535156,186.62721252441406,202.94784545898438,208.38720703125,198.59445190429688,192.35272216796875,203.9108428955078,188.3960723876953,191.31130981445312,192.72586059570312,191.23757934570312,201.4533233642578,195.73486328125,204.2119903564453,199.78573608398438,177.96929931640625,187.04339599609375,186.19149780273438,180.6772918701172,191.89520263671875,175.32835388183594,190.7001953125,214.55191040039062,201.93682861328125,205.82168579101562,194.29150390625,200.3752899169922,204.46572875976562,169.73324584960938,203.76144409179688,222.63351440429688,233.66986083984375,228.56118774414062,237.0044403076172,220.0313262939453,221.4606475830078,224.55393981933594,238.69912719726562,246.39181518554688,240.69683837890625,229.19998168945312,238.39019775390625,232.43670654296875,225.2104949951172
"S6",275.8145446777344,297.9601135253906,282.03924560546875,273.7279968261719,292.70013427734375,313.9783935546875,324.2347106933594,316.5313720703125,291.4798583984375,271.7400207519531,260.7828369140625,313.7026062011719,340.1644592285156,344.0087585449219,353.2607727050781,362.1479187011719,346.4036865234375,358.56036376953125,364.3475646972656,363.05078125,367.07208251953125,364.16143798828125,362.5706787109375,371.75823974609375,370.1009826660156,369.48748779296875,371.1063537597656,358.2879638671875,355.7237854003906,360.5284423828125,360.6888427734375,357.73712158203125,358.1952209472656,364.28570556640625,360.7601623535156,366.3209228515625,373.1509704589844,371.4266357421875,366.63604736328125,369.9254150390625,369.1144104003906,359.33917236328125,325.08489990234375,299.2820739746094,304.4178466796875,290.2120666503906,269.8163757324219,273.4413146972656,159.24436950683594,204.52679443359375,244.3867950439453,105.57561492919922,89.8206558227539,123.60041046142578,188.34034729003906,186.29017639160156,232.3385772705078,207.25332641601562,207.84666442871094,178.26434326171875,142.28021240234375,179.97874450683594,208.38552856445312,228.7544708251953,197.02139282226562,217.26739501953125,226.18861389160156,196.6712646484375,174.1395263671875,212.33233642578125,220.16015625,218.52720642089844,226.8846893310547,220.5663604736328,214.57652282714844,220.1644744873047,234.23902893066406,215.78208923339844,225.3735809326172,228.89251708984375,222.8397979736328,200.8017578125,180.24374389648438,201.09365844726562,222.29595947265625,218.38937377929688,210.13360595703125,207.11790466308594,190.01087951660156,204.8037109375,236.23660278320312,247.13462829589844,242.30926513671875,236.0669708251953,229.52301025390625,236.51609802246094,234.79428100585938,234.86264038085938,242.69264221191406,230.9282684326172,237.94627380371094,241.13931274414062,234.53347778320312,236.74681091308594,226.8277587890625,222.88705444335938,206.20291137695312,201.1610107421875,206.58920288085938,223.7017364501953,200.00128173828125,178.38294982910156,208.6963653564453,217.20596313476562,223.0166015625,220.1480712890625,226.67788696289062,228.55010986328125,193.13070678710938,199.83529663085938,193.6599578857422,188.47398376464844,189.60751342773438,181.8189239501953,192.24502563476562,187.8101806640625,175.8721466064453,136.59603881835938,182.96173095703125,202.24456787109375,200.48995971679688,193.03248596191406,205.56622314453125,214.47259521484375,206.56756591796875,210.34512329101562,215.5721435546875,232.4702606201172,225.12982177734375
"S7",270.4532165527344,274.47442626953125,258.22235107421875,267.9143371582031,281.9613037109375,304.7309265136719,316.8888244628906,323.0975341796875,314.49761962890625,315.4274597167969,315.9095458984375,325.90167236328125,339.80816650390625,343.8480529785156,348.66473388671875,342.31011962890625,346.1712951660156,357.7778625488281,360.3721008300781,361.6382141113281,357.9666442871094,356.1549987792969,359.2925720214844,363.3905334472656,365.3902282714844,366.2344055175781,363.7088623046875,367.40234375,370.4183654785156,367.49676513671875,367.211669921875,366.0742492675781,363.46636962890625,366.7677307128906,362.64239501953125,365.5312805175781,365.24041748046875,362.6484069824219,361.3402404785156,356.3052978515625,351.5927429199219,342.76153564453125,304.5126037597656,319.08612060546875,305.1812438964844,266.33697509765625,241.45086669921875,260.4389953613281,246.7400360107422,247.3264617919922,243.61245727539062,219.82652282714844,230.7082977294922,208.8257293701172,236.2878875732422,245.08668518066406,238.38665771484375,251.96295166015625,252.76873779296875,246.40924072265625,249.93963623046875,254.7611541748047,260.1660461425781,244.4446258544922,247.12979125976562,252.1180419921875,239.5623779296875,233.3177490234375,236.33944702148438,248.4903106689453,255.3446044921875,259.1102294921875,218.7052764892578,207.0425567626953,214.80101013183594,222.88623046875,251.04794311523438,256.5284423828125,275.4018249511719,242.4665069580078,223.8199005126953,249.57716369628906,251.42626953125,251.08355712890625,249.21163940429688,258.8817443847656,268.1292419433594,265.6119079589844,265.3675842285156,262.998779296875,256.00323486328125,262.24237060546875,253.0337371826172,244.76644897460938,247.74423217773438,252.96035766601562,249.6132354736328,249.67466735839844,259.8073425292969,240.12078857421875,247.2744903564453,250.71449279785156,218.0238800048828,226.9779052734375,252.03306579589844,267.6034851074219,232.55682373046875,207.02931213378906,207.21896362304688,212.28668212890625,206.8281707763672,212.13189697265625,232.61953735351562,224.04067993164062,186.67764282226562,182.0975799560547,187.05581665039062,182.35960388183594,193.69741821289062,200.8559112548828,186.34927368164062,192.90765380859375,188.33761596679688,183.5675811767578,202.9312286376953,208.4608154296875,189.59201049804688,189.4089813232422,206.24374389648438,199.08152770996094,193.78294372558594,177.5492706298828,185.5718231201172,205.31814575195312,208.13009643554688,217.2601776123047,207.96231079101562,192.93246459960938,187.59962463378906
"S8",283.838623046875,286.3009033203125,266.02520751953125,283.3216857910156,304.7769775390625,316.0871887207031,319.1933288574219,323.4038391113281,322.6988220214844,328.09014892578125,330.53973388671875,330.54937744140625,335.31878662109375,333.2125244140625,340.311279296875,349.9734802246094,356.8903503417969,358.0531921386719,362.95977783203125,366.1361389160156,366.4128112792969,365.8699645996094,369.4539794921875,376.2247314453125,375.329833984375,373.4447021484375,373.13555908203125,369.3086853027344,370.4922790527344,369.9846496582031,373.1676940917969,375.5508728027344,369.01483154296875,370.40838623046875,367.73016357421875,366.3151550292969,366.0347900390625,365.14764404296875,357.4985656738281,351.7948913574219,349.1619567871094,335.1150817871094,320.1954650878906,322.57843017578125,305.82586669921875,270.8340759277344,244.8191375732422,243.28338623046875,226.07281494140625,208.77703857421875,179.98330688476562,196.65243530273438,198.14906311035156,184.76983642578125,209.68618774414062,215.50857543945312,209.8101043701172,197.45849609375,172.56626892089844,166.65249633789062,189.0000762939453,198.9499053955078,183.7953338623047,203.85211181640625,218.98919677734375,200.50033569335938,198.6252899169922,203.1900177001953,201.23086547851562,207.8125457763672,199.66226196289062,189.0618133544922,144.6169891357422,136.15673828125,152.23455810546875,150.90261840820312,178.41473388671875,187.3008575439453,193.0528564453125,163.548828125,154.9833526611328,168.4737091064453,172.66275024414062,171.64508056640625,175.73606872558594,189.7783660888672,211.64259338378906,204.5371551513672,209.50445556640625,192.00267028808594,196.3489227294922,208.82017517089844,192.0730438232422,192.2930450439453,197.62059020996094,191.8236846923828,172.35528564453125,181.02108764648438,182.83612060546875,162.9022216796875,185.86294555664062,188.37738037109375,142.64175415039062,143.77590942382812,149.1176300048828,175.8218994140625,187.03399658203125,182.5145263671875,170.5395965576172,180.45623779296875,170.1641387939453,179.08999633789062,194.09458923339844,177.2045135498047,156.99285888671875,168.34506225585938,153.67967224121094,167.03102111816406,175.23194885253906,178.29092407226562,179.86888122558594,192.7589111328125,183.56716918945312,193.4139862060547,178.61294555664062,171.4501495361328,188.396484375,195.72531127929688,201.2584228515625,196.6821746826172,191.77999877929688,191.47482299804688,194.71987915039062,207.5499267578125,217.3224639892578,223.80996704101562,217.70152282714844,210.19314575195312,196.9350128173828
"S9",274.8598327636719,281.0828857421875,278.1328430175781,281.59552001953125,291.7035217285156,310.5527038574219,327.6496887207031,326.60791015625,321.40753173828125,328.206298828125,325.3866882324219,332.50543212890625,338.5782165527344,333.3233947753906,345.1268310546875,349.81866455078125,351.3065490722656,355.7439880371094,350.6303405761719,348.21649169921875,356.9656982421875,355.8780822753906,354.7050476074219,358.60089111328125,355.1842956542969,354.8116760253906,356.2241516113281,355.8871765136719,357.41424560546875,361.034423828125,364.97796630859375,362.5299987792969,354.9747619628906,350.2033996582031,354.3716735839844,352.5086364746094,348.8194580078125,347.57403564453125,336.0129699707031,326.0585632324219,328.19659423828125,326.55950927734375,306.9318542480469,282.5191955566406,279.9496154785156,251.81436157226562,207.8346710205078,186.70965576171875,146.2052459716797,103.38890838623047,80.339599609375,57.067935943603516,49.818580627441406,68.46566772460938,62.12449264526367,62.96839904785156,38.889190673828125,-8.439441680908203,15.681767463684082,-1.5338422060012817,-62.78517532348633,-77.7547836303711,-58.81196594238281,-9.316722869873047,-13.017253875732422,-33.41498565673828,-13.588736534118652,-24.783584594726562,7.91842794418335,12.44128704071045,3.6702089309692383,-17.36627960205078,-36.18302917480469,-34.19148254394531,-30.777063369750977,-16.307952880859375,-19.68164825439453,-31.324535369873047,-50.4011344909668,-30.16739273071289,-0.856546938419342,-80.60800170898438,-64.25060272216797,-45.20901870727539,-47.759178161621094,-37.311222076416016,-18.593408584594727,-13.291834831237793,0.019000548869371414,3.3879382610321045,8.860189437866211,12.832411766052246,-15.127209663391113,13.21407699584961,18.181201934814453,-30.375337600708008,-65.10990905761719,-37.8131103515625,-28.037778854370117,-60.91920471191406,-25.214963912963867,7.525822639465332,-41.053794860839844,-91.62226867675781,-87.42414855957031,-20.591386795043945,-4.779088020324707,-15.239030838012695,-40.25328063964844,21.8588924407959,36.839942932128906,62.015506744384766,65.05558013916016,54.38508224487305,81.5561752319336,112.88024139404297,109.56517791748047,106.60668182373047,129.72964477539062,135.7171630859375,158.44976806640625,148.67974853515625,119.48786163330078,125.484130859375,100.73391723632812,116.87561798095703,144.79605102539062,140.73268127441406,128.11497497558594,108.11245727539062,105.31051635742188,123.2315444946289,134.5513458251953,160.2433319091797,188.47274780273438,207.37989807128906,200.84512329101562,198.08326721191406,183.26976013183594
