"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138"
"S0",18.014022827148438,18.40212631225586,41.72059631347656,33.043731689453125,22.09332275390625,49.501243591308594,4.958723068237305,37.95951461791992,22.810157775878906,31.84725570678711,32.86635208129883,23.553739547729492,37.815887451171875,27.399791717529297,32.400753021240234,20.043418884277344,29.103496551513672,37.926326751708984,12.151386260986328,17.049388885498047,18.191787719726562,20.358314514160156,21.152721405029297,21.32526206970215,13.583892822265625,19.80194854736328,23.850505828857422,23.19194793701172,20.353731155395508,32.39814376831055,25.316722869873047,30.148496627807617,51.5943489074707,20.026962280273438,54.076839447021484,50.836952209472656,37.297584533691406,26.793598175048828,43.138668060302734,48.28996276855469,50.39548873901367,64.84646606445312,73.5719985961914,121.60497283935547,123.44523620605469,166.61761474609375,126.96408081054688,219.09210205078125,239.7191619873047,232.8304901123047,468.0635986328125,832.8549194335938,865.981201171875,1114.235107421875,478.5541687011719,1305.4822998046875,1438.539794921875,1590.5830078125,1659.6212158203125,960.8018798828125,895.82958984375,1744.3104248046875,2313.119873046875,790.9696655273438,1983.3543701171875,1392.75146484375,1919.1839599609375,1314.587646484375,1833.4945068359375,1509.8824462890625,2546.719970703125,1572.5228271484375,1967.1181640625,1879.88671875,1455.3812255859375,1255.8468017578125,1663.145751953125,2688.753662109375,767.3972778320312,2564.4931640625,836.984619140625,1788.568603515625,624.9895629882812,1583.57177734375,314.3993835449219,2337.83056640625,1099.880615234375,1392.227294921875,249.73953247070312,1771.6400146484375,449.1861267089844,844.4376831054688,2401.958740234375,348.65625,190.05735778808594,1223.0863037109375,208.15234375,1361.783935546875,615.9332275390625,1648.0206298828125,2067.25341796875,434.97113037109375,353.0497741699219,696.4776611328125,536.8189697265625,519.9154052734375,1111.212890625,423.80841064453125,199.14300537109375,186.98019409179688,360.2218322753906,342.8172912597656,308.2396240234375,150.5413360595703,243.10009765625,151.59620666503906,155.53866577148438,457.93609619140625,14.149236679077148,167.57359313964844,126.36166381835938,202.55242919921875,41.21723937988281,203.31785583496094,98.65386962890625,99.88162231445312,119.46533203125,86.55448913574219,37.720787048339844,127.42198944091797,47.338069915771484,177.2950439453125,36.34235763549805,33.9049186706543,248.52565002441406,28.180788040161133,0.39931628108024597,96.59294128417969,128.07286071777344
"S1",18.014022827148438,18.40212631225586,41.72059631347656,33.043731689453125,22.09332275390625,49.501243591308594,4.958723068237305,37.95951461791992,22.810157775878906,31.84725570678711,32.86635208129883,23.553739547729492,37.815887451171875,27.399791717529297,32.400753021240234,20.043418884277344,29.103496551513672,37.926326751708984,12.151386260986328,17.049388885498047,18.191787719726562,20.358314514160156,21.152721405029297,21.32526206970215,13.583892822265625,19.80194854736328,23.850505828857422,23.19194793701172,20.353731155395508,32.39814376831055,25.316722869873047,30.148496627807617,51.5943489074707,20.026962280273438,54.076839447021484,50.836952209472656,37.297584533691406,26.793598175048828,43.138668060302734,48.28996276855469,50.39548873901367,64.84646606445312,73.5719985961914,119.31611633300781,122.6032485961914,164.83935546875,126.96408081054688,219.09210205078125,239.7191619873047,232.8304901123047,468.0635986328125,832.8549194335938,865.981201171875,1105.7716064453125,463.323974609375,1233.270751953125,1427.9654541015625,1521.7501220703125,1523.8988037109375,860.7539672851562,765.2413940429688,1339.18359375,1781.1181640625,364.1272277832031,1524.7772216796875,661.7985229492188,1466.4844970703125,882.1542358398438,1068.3934326171875,772.3414916992188,1682.1038818359375,924.4910278320312,1210.4261474609375,1242.1256103515625,1578.835205078125,807.0228271484375,1085.4136962890625,2372.466064453125,364.1670227050781,2498.642333984375,710.3206787109375,1466.7176513671875,431.2148132324219,1113.9239501953125,455.3288269042969,2028.93017578125,752.9612426757812,1154.0048828125,117.0527114868164,1713.346923828125,285.4051513671875,598.44140625,1948.0704345703125,166.5255126953125,146.0098114013672,806.8165893554688,134.87411499023438,878.0333862304688,384.5284423828125,989.6968994140625,1657.5545654296875,278.3692321777344,54.779945373535156,303.7821044921875,685.3350219726562,307.94122314453125,724.62451171875,258.6951904296875,110.31425476074219,181.62518310546875,355.1966857910156,341.236083984375,306.4857177734375,148.91209411621094,243.10009765625,148.33026123046875,155.53866577148438,454.43035888671875,12.852399826049805,165.1039276123047,125.02236938476562,201.7305450439453,39.93049240112305,201.23907470703125,98.65386962890625,99.88162231445312,119.46533203125,86.55448913574219,37.720787048339844,127.42198944091797,47.338069915771484,177.2950439453125,36.34235763549805,33.9049186706543,248.52565002441406,27.73333740234375,0.39931628108024597,96.59294128417969,128.07286071777344
"S2",19.278209686279297,18.40212631225586,41.72059631347656,33.17137145996094,22.09332275390625,51.06792068481445,5.671964168548584,39.70697784423828,24.679471969604492,33.29096221923828,33.761653900146484,24.891992568969727,40.17338562011719,29.396268844604492,34.6864013671875,20.39980697631836,29.103496551513672,37.926326751708984,12.151386260986328,17.049388885498047,18.191787719726562,20.358314514160156,21.152721405029297,21.32526206970215,13.583892822265625,19.80194854736328,23.850505828857422,24.679933547973633,21.227968215942383,34.322967529296875,27.174583435058594,31.53502655029297,51.5943489074707,20.026962280273438,54.076839447021484,50.836952209472656,37.33683395385742,26.793598175048828,43.138668060302734,48.28996276855469,50.39548873901367,65.09288024902344,76.39370727539062,126.08140563964844,129.30914306640625,173.44285583496094,130.2139434814453,227.23028564453125,250.11619567871094,241.3638916015625,496.3994445800781,908.22314453125,937.963623046875,1165.0994873046875,531.0667724609375,1272.648193359375,1596.7510986328125,1848.6986083984375,1637.275634765625,1121.9136962890625,829.7013549804688,1330.59765625,1934.1842041015625,475.223388671875,1672.964111328125,752.012939453125,1599.093017578125,978.8121337890625,1176.06982421875,834.078125,1803.30419921875,1043.1556396484375,1349.923095703125,1357.8131103515625,1779.4959716796875,1047.7381591796875,1323.720947265625,2581.622314453125,575.8220825195312,2459.593017578125,103.77074432373047,1610.09814453125,624.1119384765625,1285.02880859375,722.5764770507812,2037.26220703125,1095.6116943359375,1466.770751953125,228.52120971679688,2116.56396484375,413.98773193359375,761.4212646484375,2239.840576171875,228.49957275390625,283.5214538574219,887.9916381835938,144.62945556640625,950.406005859375,410.5873718261719,998.75732421875,1708.9754638671875,291.6927795410156,78.75370025634766,334.071533203125,785.854736328125,374.3556213378906,786.1312255859375,300.3396301269531,121.47737121582031,191.58706665039062,364.51507568359375,346.5106201171875,312.6948547363281,153.6970672607422,243.10009765625,154.46884155273438,155.5472412109375,458.1402587890625,12.852399826049805,165.1039276123047,125.02236938476562,201.7305450439453,42.24996566772461,204.90493774414062,98.65386962890625,107.68763732910156,129.14117431640625,95.08356475830078,41.820430755615234,136.0275421142578,51.97476577758789,188.21987915039062,41.382564544677734,38.314720153808594,269.5934143066406,36.328582763671875,0.5980134606361389,102.0036849975586,134.96810913085938
"S3",116.82925415039062,46.66399002075195,115.57701873779297,114.69544982910156,55.24244689941406,82.484375,71.19902801513672,84.34044647216797,46.377559661865234,43.40654754638672,89.25433349609375,34.329593658447266,89.1188735961914,71.0699691772461,98.64649200439453,117.80554962158203,187.7490692138672,163.01559448242188,20.87350082397461,63.32573699951172,32.60198974609375,81.24052429199219,131.83453369140625,93.59626770019531,46.5020866394043,76.78178405761719,69.41708374023438,33.64724349975586,37.44022750854492,35.890499114990234,42.838218688964844,45.967037200927734,100.45832824707031,63.828041076660156,113.11603546142578,113.01150512695312,119.41869354248047,50.53900909423828,97.98895263671875,84.4452896118164,130.27256774902344,147.03775024414062,192.00131225585938,278.8824462890625,409.3990173339844,309.3324279785156,480.39117431640625,646.2214965820312,1048.2716064453125,637.9326171875,836.6673583984375,1194.9476318359375,1209.608154296875,1284.77099609375,1334.9176025390625,1300.6131591796875,1777.71484375,1834.315673828125,1565.8951416015625,1910.6912841796875,443.0496826171875,1814.5302734375,2348.90625,866.7650756835938,1979.2431640625,1075.8369140625,1827.22607421875,1590.6417236328125,1595.3570556640625,1012.9118041992188,2091.29150390625,1381.4420166015625,1595.9281005859375,1462.8370361328125,2017.3768310546875,1557.9425048828125,1673.42041015625,2864.8466796875,1108.006591796875,2871.83837890625,148.04095458984375,1666.0159912109375,1028.1279296875,1335.315673828125,1405.18017578125,2426.739013671875,1322.1370849609375,1936.81103515625,613.0013427734375,2929.497802734375,1490.3734130859375,1081.4024658203125,3060.935546875,885.1431884765625,1793.9195556640625,2180.150634765625,1000.3779907226562,1874.2406005859375,1326.1171875,1806.1396484375,2507.556884765625,847.2372436523438,511.468505859375,600.1365356445312,1419.7216796875,103.18780517578125,149.40451049804688,1169.9215087890625,13.683929443359375,1315.95556640625,307.9531555175781,575.6168823242188,372.49725341796875,148.9544219970703,603.3407592773438,204.7504425048828,917.1433715820312,686.6185302734375,177.63702392578125,511.4150695800781,321.3017883300781,506.875732421875,294.8701477050781,788.890869140625,114.28184509277344,137.75259399414062,257.2856140136719,221.92755126953125,55.97319793701172,238.1016082763672,57.503536224365234,298.8832702636719,124.70536041259766,171.2069854736328,404.0443420410156,72.4606704711914,41.199790954589844,111.6507797241211,138.8694305419922
"S4",186.65330505371094,5.115111827850342,78.04566192626953,77.24890899658203,4.230136871337891,27.081809997558594,127.79438781738281,74.73101043701172,23.59600830078125,46.03172302246094,210.98583984375,9.853715896606445,212.6382293701172,194.8799591064453,41.992191314697266,131.6160125732422,107.39190673828125,40.67351531982422,27.14032745361328,49.74666976928711,9.400004386901855,106.040771484375,102.326171875,48.76622009277344,98.13488006591797,169.78948974609375,98.9656753540039,85.87007904052734,132.6279296875,53.1336784362793,164.4725341796875,78.55683898925781,225.68707275390625,314.78326416015625,362.0538024902344,300.7294921875,301.199951171875,125.57282257080078,220.62152099609375,210.58676147460938,322.5315246582031,394.56640625,530.1377563476562,849.563232421875,1024.98193359375,1621.0914306640625,1785.430419921875,1911.9859619140625,2146.773193359375,1865.5140380859375,1476.383544921875,2099.27197265625,2374.488037109375,2199.759521484375,2584.10595703125,1727.73974609375,2198.47998046875,2628.176025390625,1520.8369140625,2593.738525390625,2451.67041015625,2303.1142578125,2550.041748046875,2599.263916015625,3055.74365234375,1821.707763671875,1854.9068603515625,3595.11181640625,2773.523193359375,586.06396484375,3337.42626953125,1138.639892578125,2258.340087890625,1739.8826904296875,2303.58447265625,1937.4481201171875,2211.187744140625,4272.33251953125,5.207805156707764,2921.306640625,2636.3681640625,786.7831420898438,2706.33154296875,1210.9842529296875,2227.543212890625,2140.16162109375,2498.35302734375,1674.6881103515625,1989.8408203125,2227.448974609375,1557.5670166015625,2549.82421875,1695.1639404296875,3597.7568359375,531.6161499023438,2469.744140625,1610.4434814453125,1975.291259765625,1365.2418212890625,2335.904541015625,1622.373779296875,1463.499267578125,1580.0579833984375,806.0332641601562,1729.17529296875,1550.5074462890625,782.407958984375,1825.3885498046875,327.0453186035156,2210.953857421875,1967.1038818359375,1332.344482421875,1495.7354736328125,991.84130859375,803.1099243164062,1194.65478515625,220.4829559326172,1007.9346923828125,414.4547119140625,82.21710968017578,273.66253662109375,20.614221572875977,132.3810577392578,994.6990356445312,7.130438461899757E-10,114.99864196777344,66.44129180908203,258.7779235839844,0.9803835153579712,189.611328125,10.669595718383789,402.3886413574219,40.855918884277344,56.94586944580078,314.544189453125,44.8251838684082,73.5314712524414,102.61394500732422,38.97616195678711
"S5",207.7919921875,22.446636199951172,422.2910461425781,100.75177764892578,122.28633880615234,73.26069641113281,250.8288116455078,185.55043029785156,99.93197631835938,348.0196228027344,167.75347900390625,5.493281841278076,215.60646057128906,355.368408203125,25.932268142700195,261.8200378417969,243.0213623046875,14.362109184265137,239.3498992919922,73.86228942871094,73.9477767944336,174.96253967285156,64.37184143066406,28.585983276367188,171.73709106445312,78.08978271484375,96.44896697998047,144.7760772705078,86.76646423339844,89.65103149414062,149.31455993652344,120.66553497314453,176.21156311035156,314.6646728515625,336.5917663574219,329.67315673828125,307.4374694824219,235.6968536376953,271.9546813964844,232.2163543701172,411.3872375488281,563.4069213867188,656.0198974609375,605.524169921875,1189.2069091796875,2190.95263671875,1326.8104248046875,2427.25341796875,2520.13134765625,268.2752685546875,2148.5185546875,2003.442626953125,2269.7333984375,1477.037841796875,2464.0185546875,342.90679931640625,1934.76904296875,1747.993896484375,1715.7418212890625,2537.3173828125,1108.8040771484375,1807.950927734375,1315.377685546875,1978.70849609375,1602.2420654296875,1702.716064453125,1734.55126953125,2598.457275390625,479.74139404296875,1002.8909301757812,1947.0933837890625,996.2279663085938,1664.8377685546875,1132.718017578125,1684.0352783203125,558.0250244140625,1520.69091796875,1989.653564453125,962.6719360351562,1441.33203125,1632.912841796875,904.6344604492188,1805.2327880859375,378.9422607421875,1528.723388671875,1487.6153564453125,1259.321533203125,871.3543701171875,1578.3521728515625,295.664306640625,1239.1519775390625,1501.780029296875,1355.94189453125,1864.9769287109375,1423.5615234375,907.8601684570312,1504.599853515625,417.9307556152344,692.0091552734375,1177.79638671875,565.3856811523438,1106.349365234375,771.2745971679688,1425.224853515625,813.54736328125,1480.3271484375,333.72967529296875,1236.2957763671875,256.7870788574219,765.730224609375,1670.950439453125,507.52215576171875,295.1993103027344,993.7468872070312,536.230712890625,1035.205078125,363.9366455078125,398.5571594238281,359.186767578125,56.231441497802734,451.47821044921875,27.102025985717773,185.57037353515625,808.078857421875,10.777383804321289,280.88519287109375,212.98634338378906,628.6829833984375,92.2320327758789,578.2781372070312,123.14888763427734,562.7737426757812,346.3451843261719,242.04493713378906,466.430908203125,331.908203125,143.03224182128906,485.6191711425781,353.9237976074219
"S6",10.11728286743164,32.49416732788086,553.8265380859375,9.596830368041992,88.67752838134766,27.773426055908203,232.3949432373047,116.38017272949219,280.98876953125,234.6437530517578,413.1265563964844,34.575008392333984,124.30671691894531,291.1922607421875,37.654212951660156,366.65667724609375,293.6313781738281,177.7235107421875,266.65203857421875,178.5836944580078,108.35929870605469,231.63380432128906,147.7393035888672,62.82758331298828,226.79254150390625,212.86895751953125,133.54176330566406,116.88320922851562,187.97816467285156,125.48595428466797,123.09881591796875,157.53521728515625,162.5755615234375,301.98760986328125,218.55845642089844,237.8236541748047,334.890380859375,237.55491638183594,312.2314147949219,267.7261657714844,446.8544921875,678.43603515625,834.2308349609375,970.394287109375,1141.069580078125,1996.8209228515625,790.412353515625,2366.87646484375,2560.640625,1082.1685791015625,1892.114013671875,872.9810791015625,2307.474609375,574.70556640625,1461.5340576171875,1415.474853515625,1243.7862548828125,1410.31787109375,1383.126220703125,1683.135498046875,1448.2857666015625,1397.0167236328125,1391.8707275390625,1129.6304931640625,1291.82080078125,1487.0472412109375,883.8876342773438,1970.783935546875,1153.5760498046875,990.1915893554688,1235.121826171875,1351.2940673828125,1308.8609619140625,694.7890625,1390.3670654296875,192.87696838378906,1230.225341796875,747.03271484375,1260.3355712890625,1350.111572265625,900.437255859375,1102.6015625,1376.7255859375,1109.9693603515625,714.5068969726562,987.2824096679688,1114.7655029296875,902.5355224609375,911.3602294921875,1834.5914306640625,970.4417724609375,1184.7938232421875,1405.8018798828125,1083.664306640625,1246.3302001953125,1184.5042724609375,1656.7130126953125,382.0365295410156,1220.54150390625,1183.50634765625,608.0432739257812,1354.3104248046875,833.2601318359375,778.4154052734375,378.072509765625,998.8309936523438,978.7683715820312,597.00732421875,493.0533447265625,566.6966552734375,1227.8326416015625,636.256103515625,666.1881103515625,1377.0966796875,610.1821899414062,1147.6552734375,435.64190673828125,536.5070190429688,540.6436157226562,404.25958251953125,807.2540893554688,118.75263977050781,494.6860656738281,914.81103515625,174.75218200683594,293.21014404296875,364.513427734375,790.7098999023438,58.015174865722656,560.8665771484375,264.0804443359375,353.6314392089844,365.5045166015625,186.6737518310547,386.8725280761719,382.2055969238281,108.4887466430664,550.0798950195312,767.997802734375
"S7",5.529351711273193,134.02426147460938,643.3895874023438,32.8407096862793,59.493736267089844,61.57221603393555,133.92205810546875,38.3895149230957,196.83615112304688,69.54671478271484,254.5211181640625,56.36336898803711,47.50418472290039,180.8919677734375,16.99256706237793,233.65110778808594,100.39771270751953,93.99310302734375,122.16023254394531,117.49536895751953,81.02103424072266,119.81283569335938,85.89077758789062,64.22661590576172,139.9359893798828,103.4292984008789,68.28157043457031,78.93791198730469,104.70899200439453,81.5261459350586,87.14292907714844,167.46435546875,175.3890838623047,233.37265014648438,189.55809020996094,203.5045928955078,234.35760498046875,143.5579376220703,236.52236938476562,237.48023986816406,370.13055419921875,664.037353515625,479.5203552246094,567.6179809570312,819.365478515625,1370.5145263671875,568.3123168945312,1601.5537109375,1718.5289306640625,1081.135986328125,1809.341552734375,652.6865844726562,2029.8209228515625,413.84893798828125,1158.373046875,1328.8878173828125,1231.911865234375,1495.95849609375,1554.6500244140625,1689.920654296875,1372.7518310546875,1532.873779296875,1470.024169921875,986.8790893554688,1124.0919189453125,1451.7850341796875,830.7449951171875,1676.5614013671875,805.7263793945312,1087.14990234375,1195.176513671875,1433.713623046875,1440.948486328125,805.9515380859375,1626.6231689453125,229.31871032714844,1293.7008056640625,732.87744140625,1247.0205078125,1419.132080078125,953.669677734375,1375.4012451171875,1650.2021484375,1247.9117431640625,750.3480224609375,1011.1800537109375,1071.2593994140625,857.593994140625,810.059326171875,1703.864013671875,852.3103637695312,1023.3817138671875,1412.203857421875,925.6470947265625,1005.86669921875,1118.879150390625,1765.1317138671875,401.38250732421875,1342.0059814453125,1295.63623046875,624.1271362304688,1532.63134765625,1118.5654296875,891.3591918945312,379.2642517089844,1012.4058837890625,1137.2979736328125,452.499267578125,794.79931640625,568.622314453125,1368.6859130859375,854.81982421875,633.4434814453125,1508.5667724609375,1129.5589599609375,1224.496826171875,855.1795043945312,1062.4415283203125,866.53955078125,736.142333984375,980.5164184570312,176.17405700683594,888.2753295898438,375.4666748046875,438.0184326171875,405.4450378417969,168.08322143554688,211.27114868164062,128.3788604736328,340.5420227050781,315.9583740234375,181.39279174804688,194.3436279296875,57.893768310546875,144.39691162109375,90.30963134765625,106.76251983642578,252.6390380859375,981.030029296875
"S8",230.41998291015625,249.9807586669922,325.5847473144531,363.9610900878906,119.26541900634766,165.23651123046875,172.95254516601562,297.55950927734375,200.2681884765625,86.08223724365234,241.83251953125,169.55572509765625,125.38511657714844,154.49179077148438,77.98301696777344,206.69993591308594,114.65859985351562,92.26632690429688,134.4715576171875,143.7799835205078,70.64167785644531,215.5861358642578,87.03338623046875,91.34304809570312,158.14144897460938,67.53008270263672,121.43065643310547,133.52561950683594,92.70015716552734,128.4968719482422,127.61163330078125,174.6231231689453,114.14096069335938,148.24241638183594,159.72039794921875,154.0224151611328,152.71981811523438,129.36981201171875,187.91212463378906,171.86944580078125,159.9322509765625,397.72906494140625,471.485107421875,508.75335693359375,659.935546875,1070.81005859375,584.6207275390625,1192.290283203125,1611.9068603515625,1356.5284423828125,1969.6590576171875,730.33056640625,2150.194580078125,508.3372802734375,1242.4124755859375,1529.286865234375,1004.0745239257812,1692.3572998046875,1868.08203125,1766.51513671875,1459.3905029296875,1635.991455078125,1721.6826171875,993.7184448242188,1229.9803466796875,1707.258544921875,1021.04931640625,1822.8553466796875,908.5404663085938,1318.197509765625,1305.1539306640625,2028.852783203125,2477.042724609375,570.1444091796875,2482.21728515625,499.1996154785156,1790.3426513671875,841.0482788085938,1740.48779296875,2238.8515625,253.4329833984375,1731.2054443359375,1785.210205078125,1643.2779541015625,1037.6822509765625,1146.60595703125,1175.3670654296875,945.532958984375,879.2327880859375,2038.6468505859375,1210.03369140625,1369.1793212890625,1957.611572265625,1273.024169921875,1317.708251953125,1618.583740234375,2296.826171875,754.3658447265625,1881.4603271484375,1906.3355712890625,1098.21435546875,2123.69677734375,2428.49462890625,836.834716796875,771.14794921875,1330.4486083984375,1457.528076171875,398.8584289550781,1252.7374267578125,560.8650512695312,1507.412841796875,1082.5291748046875,829.67431640625,2003.4613037109375,1808.21826171875,269.77490234375,1601.33447265625,402.6212158203125,604.0410766601562,809.24169921875,572.6884765625,106.43826293945312,623.926025390625,208.82603454589844,402.87457275390625,703.5460815429688,238.66036987304688,195.21395874023438,228.03709411621094,673.0856323242188,217.78021240234375,312.0367736816406,493.8949279785156,223.18594360351562,154.71006774902344,89.01293182373047,375.8875732421875,894.231689453125,79.14891052246094
"S9",251.05657958984375,262.1905822753906,328.29327392578125,379.65118408203125,130.70394897460938,181.99746704101562,178.57957458496094,323.80316162109375,209.52059936523438,92.12577819824219,253.4150848388672,175.6390380859375,149.2237548828125,178.4342803955078,91.42403411865234,157.38087463378906,86.53591918945312,71.9922866821289,117.46588897705078,124.97856140136719,40.910587310791016,162.362060546875,50.92787170410156,59.61969757080078,120.58505249023438,36.91841125488281,95.16350555419922,159.16746520996094,114.37066650390625,150.9958038330078,134.10252380371094,184.52406311035156,139.4788360595703,156.6981658935547,177.48748779296875,179.71185302734375,89.2365951538086,89.34564208984375,131.55368041992188,116.53839874267578,109.24037170410156,273.82342529296875,365.2352294921875,411.28778076171875,499.8838195800781,812.1412353515625,533.86083984375,989.2162475585938,1433.053466796875,2384.92431640625,2080.327880859375,2571.050537109375,2981.047607421875,2312.04638671875,2765.906005859375,3018.895263671875,3243.541015625,3660.016357421875,3691.238037109375,3065.796875,3211.818115234375,4082.0966796875,2935.462158203125,2290.215087890625,3319.886962890625,3310.8505859375,2675.095947265625,3709.629638671875,2424.453125,3234.920654296875,2963.371337890625,4207.58837890625,4601.79833984375,2587.37353515625,4624.4248046875,2860.066162109375,3321.03466796875,2687.801025390625,3331.76416015625,3624.490966796875,2453.541748046875,3571.48193359375,3665.68994140625,3236.364013671875,2260.36865234375,2281.03515625,2798.242919921875,1597.27490234375,2056.172607421875,1655.3253173828125,445.1304626464844,1152.149658203125,1513.850341796875,767.7840576171875,1007.1365356445312,1515.6612548828125,1633.857666015625,475.2324523925781,1102.0057373046875,1209.995361328125,575.2576904296875,1719.757080078125,1887.42578125,1228.389892578125,867.44677734375,427.541748046875,1510.0107421875,1488.2216796875,1712.827392578125,96.91402435302734,1214.7816162109375,839.4209594726562,629.3867797851562,1585.09619140625,1176.3121337890625,104.7931900024414,675.9371337890625,78.14524841308594,170.73745727539062,74.28223419189453,42.34355163574219,84.85139465332031,488.1499938964844,193.08648681640625,578.0230102539062,67.37406921386719,185.33274841308594,248.14405822753906,298.9002990722656,839.8634643554688,363.0692443847656,415.4545593261719,618.1201171875,267.2314453125,201.75537109375,122.82682800292969,448.5118713378906,964.012939453125,126.07223510742188
