"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138"
"S0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S1",0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.15390008687973022,0.13440006971359253,0.13440006971359253,0.13440006971359253,0.13440006971359253,0.13440006971359253,0.13440006971359253,0.13440006971359253,0.13440006971359253,0.13440006971359253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S2",0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.1716000884771347,0.2451000213623047,0.25,0.18239997327327728,0.1539001613855362,0.1539001613855362,0.1539001613855362,0.1539001613855362,0.1539001613855362,0.1539001613855362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599977880716324,0.019599977880716324,0.019599977880716324,0.019599977880716324,0.019599977880716324,0.019599977880716324,0.019599977880716324,0.019599977880716324,0.019599977880716324,0.019599977880716324,0.019599977880716324,0.019599977880716324,0.029100006446242332,0.029100006446242332,0.029100006446242332,0.029100006446242332,0.029100006446242332,0.04750002920627594,0.04750002920627594,0.11310004442930222,0.18239997327327728,0.18239997327327728,0.21000002324581146,0.2303999662399292,0.21390001475811005,0.21000003814697266,0.07360009849071503,0.07360009849071503,0.07360009849071503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S4",0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.13440018892288208,0.13440018892288208,0.13440018892288208,0.13440018892288208,0.13440018892288208,0.13440018892288208,0.13440018892288208,0.13440018892288208,0.23999996483325958,0.249599888920784,0.249599888920784,0.249599888920784,0.249599888920784,0.249599888920784,0.249599888920784,0.249599888920784,0.1875,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.12039995193481445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S5",0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.038400016725063324,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.009900003671646118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S6",0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.009900002740323544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02910001203417778,0.02910001203417778,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.23789992928504944,0.2275000363588333,0.1658998727798462,0.1658998727798462,0.1658998727798462,0.019599998369812965,0.019599998369812965,0.019599998369812965,0.019599998369812965,0.019599998369812965,0.019599998369812965,0.019599998369812965,0.019599998369812965,0.019599998369812965,0.019599998369812965,0.019599998369812965,0.019599998369812965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
