"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140"
"S0",434.6204071044922,438.82793045043945,444.5289077758789,446.6527519226074,449.4134407043457,450.7621879577637,442.75792694091797,448.8763008117676,447.4676094055176,449.7104835510254,449.0627021789551,449.6287612915039,453.8172378540039,448.7083053588867,447.4460105895996,450.7303123474121,453.25633239746094,452.6354446411133,448.98642349243164,453.41910552978516,454.8716049194336,456.6344108581543,455.66429901123047,454.97913360595703,457.70093154907227,458.7614402770996,457.9211730957031,456.2663803100586,455.91735076904297,458.0607795715332,457.349063873291,456.70141983032227,456.64445877075195,452.45835876464844,456.4922866821289,451.62532806396484,450.61877822875977,447.0181770324707,453.1528549194336,448.6201629638672,444.3778495788574,441.6257133483887,435.8402633666992,430.41674041748047,410.65364837646484,401.45050048828125,395.6628952026367,399.9825897216797,382.9052963256836,374.763671875,387.35923767089844,344.1221008300781,281.88893127441406,260.4216613769531,248.89964294433594,255.67056274414062,239.21603393554688,217.02694702148438,200.70794677734375,196.00723266601562,186.82009887695312,215.03872680664062,186.56771850585938,132.03717041015625,170.92465209960938,150.85366821289062,153.74713134765625,159.66629028320312,167.03164672851562,167.16494750976562,182.46881103515625,138.69070434570312,144.39495849609375,132.76504516601562,123.22186279296875,119.13327026367188,123.66104125976562,118.20184326171875,76.63571166992188,106.2841796875,112.12106323242188,154.81491088867188,106.21734619140625,125.32064819335938,98.24038696289062,140.90673828125,81.5804443359375,91.97283935546875,88.89407348632812,130.62884521484375,100.439208984375,146.97171020507812,150.12277221679688,58.758026123046875,84.10955810546875,134.12319946289062,125.0908203125,161.74307250976562,150.4622802734375,152.52545166015625,135.28500366210938,90.0999755859375,114.5426025390625,162.20132446289062,162.04763793945312,165.36868286132812,187.61135864257812,194.3997802734375,184.12936401367188,222.06265258789062,246.69583129882812,281.4181213378906,297.65760803222656,300.19720458984375,311.5316925048828,311.42481994628906,328.40440368652344,335.8439636230469,314.21580505371094,335.2877960205078,339.98777770996094,350.4943542480469,347.89625549316406,364.8872833251953,354.48358154296875,366.65599060058594,385.0532455444336,376.0440139770508,376.58570861816406,390.0570526123047,387.8619384765625,394.77677154541016,379.9328384399414,387.12622833251953,402.08292388916016,359.21681213378906,356.9277801513672,394.5790100097656,405.9442138671875,401.12184143066406,412.8099899291992
"S1",434.6204071044922,438.82793045043945,444.5289077758789,446.6527519226074,449.4134407043457,450.7621879577637,442.75792694091797,448.8763008117676,447.4676094055176,449.7104835510254,449.0627021789551,449.6287612915039,453.8172378540039,448.7083053588867,447.4460105895996,450.7303123474121,453.25633239746094,452.6354446411133,448.98642349243164,453.41910552978516,454.8716049194336,456.6344108581543,455.66429901123047,454.97913360595703,457.70093154907227,458.7614402770996,457.9211730957031,456.2663803100586,455.91735076904297,458.0607795715332,457.349063873291,456.70141983032227,456.64445877075195,452.45835876464844,456.4922866821289,451.62532806396484,450.61877822875977,447.0181770324707,453.1528549194336,448.6201629638672,444.3778495788574,441.6257133483887,435.8402633666992,430.41674041748047,410.65364837646484,401.45050048828125,395.6628952026367,399.9825897216797,382.9052963256836,374.763671875,387.35923767089844,344.1221008300781,281.88893127441406,260.4216613769531,249.87557983398438,255.67056274414062,247.39268493652344,217.02694702148438,213.47702026367188,201.217529296875,187.43759155273438,223.408203125,189.26654052734375,132.03717041015625,170.92465209960938,150.85366821289062,166.52029418945312,159.66629028320312,167.03164672851562,167.16494750976562,201.2744140625,146.87515258789062,148.8111572265625,143.02117919921875,143.95880126953125,119.17596435546875,123.66104125976562,118.20184326171875,76.63571166992188,106.2841796875,112.12106323242188,154.81491088867188,106.21734619140625,125.32064819335938,104.57135009765625,140.90673828125,81.5804443359375,91.97283935546875,94.40176391601562,130.62884521484375,100.439208984375,146.97171020507812,150.12277221679688,58.758026123046875,94.40780639648438,134.12319946289062,129.841064453125,161.74307250976562,153.882080078125,162.529296875,155.1361083984375,118.69537353515625,158.48202514648438,188.37417602539062,187.8677978515625,165.36868286132812,198.8970947265625,196.6270751953125,211.135986328125,258.24583435058594,246.69583129882812,281.4181213378906,297.65760803222656,300.19720458984375,311.5316925048828,311.42481994628906,328.40440368652344,335.8439636230469,314.21580505371094,335.2877960205078,339.98777770996094,350.4943542480469,347.89625549316406,364.8872833251953,354.48358154296875,366.65599060058594,385.0532455444336,376.0440139770508,376.58570861816406,390.0570526123047,387.8619384765625,394.77677154541016,379.9328384399414,387.12622833251953,402.08292388916016,359.21681213378906,363.5076599121094,394.5790100097656,405.9442138671875,401.6341247558594,412.8099899291992
"S2",434.6204071044922,438.82793045043945,444.5289077758789,446.6527519226074,449.4134407043457,450.7621879577637,442.75792694091797,448.8763008117676,447.4676094055176,449.7104835510254,449.0627021789551,449.6287612915039,453.8172378540039,448.7083053588867,447.4460105895996,450.7303123474121,453.25633239746094,452.6354446411133,448.98642349243164,453.41910552978516,454.8716049194336,456.6344108581543,455.66429901123047,454.97913360595703,457.70093154907227,458.7614402770996,457.9211730957031,456.2663803100586,455.91735076904297,458.0607795715332,457.349063873291,456.70141983032227,456.64445877075195,452.45835876464844,456.4922866821289,451.62532806396484,450.61877822875977,447.0181770324707,453.1528549194336,448.6201629638672,444.3778495788574,441.6257133483887,435.8402633666992,430.41674041748047,410.65364837646484,401.45050048828125,395.6628952026367,399.9825897216797,382.9052963256836,374.763671875,387.35923767089844,344.1221008300781,281.88893127441406,260.4216613769531,249.87557983398438,254.98678588867188,247.39268493652344,217.02694702148438,205.65762329101562,197.72576904296875,179.81768798828125,223.408203125,189.26654052734375,132.03717041015625,170.92465209960938,150.85366821289062,166.52029418945312,159.66629028320312,167.03164672851562,167.16494750976562,201.2744140625,146.87515258789062,148.8111572265625,143.02117919921875,143.95880126953125,119.17596435546875,120.42840576171875,118.20184326171875,72.28494262695312,106.2841796875,69.94552612304688,132.07345581054688,101.67718505859375,107.78927612304688,91.25521850585938,114.71099853515625,53.401336669921875,73.89569091796875,76.740234375,127.26998901367188,96.84707641601562,104.80465698242188,140.39654541015625,58.758026123046875,83.253662109375,116.78433227539062,117.01956176757812,158.92877197265625,153.882080078125,162.529296875,155.1361083984375,118.69537353515625,158.48202514648438,188.37417602539062,187.8677978515625,161.63827514648438,198.8970947265625,196.6270751953125,211.135986328125,258.24583435058594,246.69583129882812,281.4181213378906,297.65760803222656,300.19720458984375,311.5316925048828,311.42481994628906,328.40440368652344,335.8439636230469,314.21580505371094,335.2877960205078,339.98777770996094,350.4943542480469,347.89625549316406,364.8872833251953,354.48358154296875,366.65599060058594,385.0532455444336,376.0440139770508,376.58570861816406,390.0570526123047,387.8619384765625,394.77677154541016,379.9328384399414,387.12622833251953,402.08292388916016,359.21681213378906,363.5076599121094,394.5790100097656,405.9442138671875,401.6341247558594,412.8099899291992
"S3",404.22342681884766,396.3398971557617,412.9130325317383,417.4148712158203,409.0166549682617,409.4684066772461,408.1454620361328,408.08011627197266,399.813720703125,403.67430877685547,412.70755767822266,413.6781463623047,423.72853088378906,410.4957962036133,418.1990737915039,415.43907928466797,425.0709686279297,421.18289947509766,413.78455352783203,417.8056411743164,417.18900299072266,426.5708770751953,427.13023376464844,432.82520294189453,432.51759338378906,435.95655059814453,434.2532958984375,433.54557037353516,434.71216583251953,435.63417053222656,436.5157051086426,436.5959663391113,435.5248565673828,433.5038833618164,439.80794525146484,434.0854797363281,430.3774108886719,425.1124725341797,430.2248764038086,424.6812973022461,425.9944152832031,417.0585479736328,407.7701187133789,397.1986083984375,381.0948257446289,357.56065368652344,357.5327606201172,349.92555236816406,324.82440185546875,286.0475616455078,290.74977111816406,266.1444549560547,227.84640502929688,216.60400390625,186.17471313476562,201.76217651367188,202.50726318359375,173.82516479492188,182.30279541015625,177.4150390625,140.41845703125,167.0133056640625,159.2613525390625,118.36550903320312,163.95269775390625,145.7574462890625,166.52029418945312,159.39230346679688,160.02801513671875,167.093017578125,201.2744140625,146.87515258789062,148.8111572265625,143.02117919921875,143.95880126953125,119.17596435546875,111.86788940429688,117.98504638671875,62.39447021484375,95.20059204101562,28.094329833984375,101.8031005859375,93.0457763671875,88.58111572265625,109.61148071289062,89.81314086914062,38.019073486328125,47.340423583984375,58.830902099609375,118.2662353515625,77.38650512695312,70.55059814453125,113.57766723632812,46.21697998046875,65.77481079101562,86.481201171875,100.00436401367188,145.32962036132812,153.882080078125,162.529296875,155.1361083984375,118.69537353515625,158.48202514648438,188.37417602539062,187.8677978515625,96.56903076171875,130.52554321289062,157.52743530273438,137.96221923828125,208.118408203125,153.072265625,195.36224365234375,196.6422119140625,208.84466552734375,243.82150268554688,238.77310180664062,271.3442840576172,249.4169921875,253.1216583251953,291.5011291503906,293.17987060546875,298.65794372558594,298.10133361816406,304.31471252441406,259.26171875,319.9447021484375,329.2062530517578,327.8931579589844,330.3808898925781,352.4098358154297,344.0060272216797,362.43125915527344,343.0277099609375,344.0305480957031,332.6964874267578,310.1581268310547,338.34437561035156,362.4073944091797,375.3771209716797,378.7414779663086,370.5953826904297
"S4",291.9885711669922,270.9266662597656,287.7367706298828,300.6526794433594,286.41017150878906,299.3611145019531,316.6532897949219,300.9079284667969,287.5355682373047,293.2508850097656,314.7480010986328,311.2022705078125,337.6749725341797,320.2440948486328,309.2990417480469,324.01768493652344,316.14939880371094,311.26487731933594,318.78875732421875,324.64141845703125,320.2559814453125,342.97987365722656,344.9562072753906,348.3400115966797,358.149169921875,364.6089630126953,358.25978088378906,361.53076171875,365.2632598876953,358.20204162597656,370.211669921875,355.9040222167969,360.9496154785156,370.59336853027344,363.7641906738281,355.9532165527344,357.5304412841797,338.4193878173828,342.880859375,341.01910400390625,339.88600158691406,329.8663787841797,311.8337097167969,289.0187072753906,264.6180877685547,222.99407958984375,200.02392578125,184.635498046875,143.38363647460938,108.572265625,108.00241088867188,124.61856079101562,114.14266967773438,101.74612426757812,117.25076293945312,106.7882080078125,126.99533081054688,130.254150390625,112.95404052734375,131.16702270507812,102.79519653320312,103.41275024414062,111.42459106445312,126.09796142578125,111.3885498046875,73.881103515625,96.95294189453125,123.72543334960938,73.24832153320312,85.97088623046875,153.671875,97.09768676757812,142.359375,138.64068603515625,150.21084594726562,141.32391357421875,152.67520141601562,141.19125366210938,-100.06781005859375,111.34356689453125,131.99563598632812,111.187744140625,162.41378784179688,111.03271484375,130.38580322265625,118.37387084960938,122.52703857421875,110.24557495117188,120.55648803710938,116.24932861328125,114.47601318359375,146.09762573242188,122.4632568359375,147.07162475585938,25.03765869140625,115.66326904296875,132.583984375,159.27297973632812,161.5628662109375,175.2843017578125,145.49508666992188,160.02963256835938,150.6688232421875,140.45709228515625,168.24368286132812,158.44143676757812,147.92739868164062,177.7821044921875,133.84246826171875,174.85940551757812,136.05224609375,130.369873046875,136.43896484375,123.29537963867188,126.68878173828125,152.31820678710938,88.06155395507812,158.79812622070312,161.0848388671875,138.4599609375,156.4830322265625,131.5150146484375,156.548095703125,146.46441650390625,57.843719482421875,177.46218872070312,184.8990478515625,207.7904052734375,180.9410400390625,217.501708984375,205.21453857421875,241.09036254882812,211.40316772460938,203.31842041015625,202.14102172851562,196.16021728515625,228.13360595703125,232.62774658203125,247.2510528564453,274.3124237060547,236.74703979492188
"S5",259.716552734375,252.07461547851562,287.7367706298828,273.9560089111328,286.41017150878906,276.99940490722656,303.97576904296875,295.2866516113281,276.9178466796875,289.90956115722656,264.28138732910156,266.43328857421875,320.7506866455078,323.6926727294922,309.2990417480469,342.8882141113281,333.7376251220703,311.26487731933594,342.86651611328125,331.6773986816406,339.56214904785156,347.03965759277344,335.2401428222656,337.5796661376953,354.83949279785156,343.1004333496094,348.686279296875,346.5503234863281,337.0977020263672,342.1510925292969,348.13230895996094,341.380615234375,341.5419006347656,356.03892517089844,351.52516174316406,348.70343017578125,353.48468017578125,346.6483612060547,344.0642852783203,342.0565948486328,342.4217071533203,332.02259826660156,320.0782012939453,273.4884490966797,241.63613891601562,234.3026123046875,134.13565063476562,168.21295166015625,125.57928466796875,119.38088989257812,141.75363159179688,124.61856079101562,114.14266967773438,101.74612426757812,117.25076293945312,106.7882080078125,157.82424926757812,161.20196533203125,148.35455322265625,160.79864501953125,102.79519653320312,130.606201171875,142.98837280273438,156.35043334960938,154.9736328125,119.62893676757812,130.27288818359375,155.001953125,96.14547729492188,121.30886840820312,183.0673828125,142.07388305664062,173.25265502929688,171.841796875,181.65884399414062,168.8974609375,184.13565063476562,178.88616943359375,92.53115844726562,148.1751708984375,166.83139038085938,162.55120849609375,179.98147583007812,136.58807373046875,176.6290283203125,162.57229614257812,161.8941650390625,158.3265380859375,169.140380859375,116.24932861328125,167.19210815429688,183.93017578125,180.5399169921875,185.47555541992188,138.78628540039062,158.64358520507812,174.22610473632812,172.72802734375,199.65383911132812,199.40408325195312,181.31390380859375,204.996337890625,188.59432983398438,198.90707397460938,176.02822875976562,201.775390625,147.92739868164062,177.7821044921875,146.00949096679688,177.75833129882812,181.50054931640625,130.369873046875,136.43896484375,175.76806640625,173.75946044921875,184.13735961914062,166.64028930664062,184.45135498046875,161.0848388671875,138.4599609375,162.97442626953125,129.55633544921875,156.548095703125,146.46441650390625,114.75289916992188,177.46218872070312,184.8990478515625,207.7904052734375,180.9410400390625,205.89913940429688,175.87789916992188,213.78717041015625,210.73379516601562,203.31842041015625,202.14102172851562,196.16021728515625,194.77297973632812,221.12939453125,216.3902587890625,247.64068603515625,205.00390625
"S6",212.662841796875,250.17156982421875,277.57171630859375,225.95233154296875,267.3233642578125,265.5890350341797,299.2961730957031,295.2866516113281,299.3388671875,289.2578125,296.2281951904297,287.54449462890625,319.9836120605469,323.6926727294922,322.8672332763672,342.9184112548828,333.7376251220703,334.5641174316406,345.4989318847656,344.5148162841797,339.56214904785156,347.03965759277344,341.0893096923828,340.4031677246094,354.83949279785156,350.3679656982422,348.686279296875,349.6798095703125,352.0419158935547,352.1549987792969,351.2238311767578,353.068603515625,348.2407684326172,356.1646270751953,351.92237854003906,353.28277587890625,353.83753967285156,346.6483612060547,347.24916076660156,342.0565948486328,342.4217071533203,332.02259826660156,320.0782012939453,295.00611877441406,282.35804748535156,253.1063232421875,186.140380859375,214.13565063476562,197.13278198242188,194.61398315429688,210.22207641601562,165.853759765625,186.20266723632812,148.04904174804688,176.4085693359375,195.78726196289062,194.65261840820312,204.61264038085938,207.2484130859375,207.50830078125,202.20187377929688,212.09634399414062,216.95718383789062,212.3299560546875,209.68325805664062,210.536376953125,198.56619262695312,205.03558349609375,175.12380981445312,202.66848754882812,211.31692504882812,220.5245361328125,203.25314331054688,171.841796875,181.65884399414062,168.8974609375,196.23931884765625,204.97763061523438,230.7554931640625,232.57366943359375,170.76492309570312,199.12496948242188,210.77288818359375,210.19805908203125,213.77157592773438,221.54940795898438,228.87680053710938,237.23956298828125,236.26791381835938,238.791748046875,221.86956787109375,231.29421997070312,234.08456420898438,213.22372436523438,216.966796875,219.4273681640625,224.00119018554688,192.26681518554688,229.971435546875,215.43276977539062,205.20159912109375,226.1524658203125,195.51022338867188,198.90707397460938,206.60052490234375,233.14910888671875,223.88473510742188,177.7821044921875,183.06723022460938,177.75833129882812,181.50054931640625,168.65591430664062,187.36309814453125,206.6702880859375,173.75946044921875,184.13735961914062,166.64028930664062,184.45135498046875,161.0848388671875,163.929931640625,162.97442626953125,125.27487182617188,158.1046142578125,146.46441650390625,142.58612060546875,177.46218872070312,184.8990478515625,202.01040649414062,158.09393310546875,189.66323852539062,172.7213134765625,178.95065307617188,192.11309814453125,193.84515380859375,202.14102172851562,196.16021728515625,176.56927490234375,211.47061157226562,209.7216796875,196.641845703125,179.92999267578125
"S7",228.04180908203125,267.9866943359375,276.7570495605469,240.10379028320312,267.86244201660156,290.2236633300781,300.85101318359375,295.2866516113281,304.02601623535156,297.3043670654297,314.25067138671875,306.1658020019531,319.9836120605469,334.58251953125,322.8672332763672,342.9184112548828,335.17864990234375,340.6723937988281,349.9661102294922,351.212890625,345.71229553222656,349.1712341308594,348.38169860839844,353.54173278808594,362.1583557128906,357.3282470703125,353.15745544433594,354.5021209716797,359.5318603515625,355.8795928955078,357.4694366455078,364.2675476074219,362.1780548095703,366.8022766113281,361.50840759277344,362.5821228027344,361.78814697265625,354.01133728027344,352.91790771484375,350.95330810546875,355.5652770996094,350.3888702392578,321.08055114746094,305.36810302734375,302.38230895996094,276.79115295410156,222.0062255859375,248.86566162109375,227.36605834960938,225.25457763671875,211.7872314453125,177.93093872070312,211.77108764648438,154.41937255859375,210.13787841796875,226.076416015625,226.38058471679688,220.536865234375,207.2484130859375,207.50830078125,202.20187377929688,212.09634399414062,216.95718383789062,212.3299560546875,225.09408569335938,220.6453857421875,212.88082885742188,222.08517456054688,205.99887084960938,227.02032470703125,219.65493774414062,220.5245361328125,203.25314331054688,155.73367309570312,178.40399169921875,162.7498779296875,196.23931884765625,204.97763061523438,230.7554931640625,232.57366943359375,181.64102172851562,199.12496948242188,210.77288818359375,210.19805908203125,213.77157592773438,221.54940795898438,228.87680053710938,237.23956298828125,236.26791381835938,238.791748046875,221.86956787109375,231.29421997070312,234.08456420898438,213.22372436523438,218.85025024414062,222.389404296875,224.00119018554688,192.26681518554688,229.971435546875,215.43276977539062,205.20159912109375,226.1524658203125,195.51022338867188,181.93572998046875,202.34164428710938,233.14910888671875,223.88473510742188,170.45947265625,183.06723022460938,177.75833129882812,181.50054931640625,168.65591430664062,187.36309814453125,206.6702880859375,173.75946044921875,181.15219116210938,166.64028930664062,181.18731689453125,159.23956298828125,163.929931640625,162.97442626953125,119.90731811523438,158.1046142578125,134.775146484375,145.24581909179688,174.62042236328125,146.73446655273438,155.09945678710938,164.60540771484375,172.06497192382812,172.7213134765625,151.77679443359375,163.99349975585938,158.3231201171875,175.0177001953125,180.96145629882812,178.53445434570312,187.82568359375,209.7216796875,166.9388427734375,165.6434326171875
"S8",295.72015380859375,298.7955322265625,294.8922882080078,303.1526794433594,304.1659851074219,324.6854705810547,337.63746643066406,353.06163024902344,335.78431701660156,330.9427032470703,343.35581970214844,339.41139221191406,342.82289123535156,345.44798278808594,347.91700744628906,361.6541748046875,356.2234191894531,360.6124267578125,367.6687927246094,367.9502258300781,358.182373046875,370.81324768066406,360.5598907470703,368.27793884277344,373.90978240966797,361.3091125488281,371.39393615722656,371.70790100097656,367.4092254638672,371.33827209472656,373.2807846069336,373.0137405395508,363.33807373046875,366.8022766113281,368.5925598144531,362.5821228027344,358.4587860107422,358.56243896484375,352.91790771484375,345.46209716796875,340.35894775390625,342.1451873779297,331.847900390625,323.9277038574219,306.35984802246094,280.00645446777344,235.52377319335938,242.50601196289062,227.36605834960938,225.25457763671875,211.7872314453125,177.93093872070312,211.77108764648438,154.41937255859375,210.13787841796875,226.076416015625,208.77313232421875,220.536865234375,207.2484130859375,207.50830078125,202.20187377929688,212.09634399414062,216.95718383789062,212.3299560546875,225.09408569335938,220.6453857421875,211.41189575195312,222.08517456054688,205.99887084960938,227.02032470703125,219.65493774414062,220.5245361328125,203.25314331054688,136.98919677734375,178.40399169921875,152.72772216796875,196.23931884765625,204.97763061523438,230.7554931640625,232.57366943359375,135.37646484375,199.12496948242188,210.77288818359375,210.19805908203125,213.77157592773438,221.54940795898438,228.87680053710938,237.23956298828125,236.26791381835938,238.791748046875,221.86956787109375,231.29421997070312,234.08456420898438,213.22372436523438,218.85025024414062,222.389404296875,224.00119018554688,192.26681518554688,229.971435546875,215.43276977539062,205.20159912109375,226.1524658203125,195.51022338867188,176.70913696289062,202.34164428710938,233.14910888671875,223.88473510742188,149.7689208984375,183.06723022460938,157.99588012695312,181.04473876953125,168.65591430664062,187.36309814453125,206.6702880859375,162.56301879882812,97.21710205078125,160.8951416015625,111.23699951171875,144.19219970703125,163.929931640625,154.51068115234375,119.90731811523438,158.1046142578125,134.48614501953125,145.24581909179688,174.62042236328125,146.73446655273438,155.09945678710938,164.60540771484375,170.29058837890625,147.65438842773438,151.77679443359375,163.44091796875,158.3231201171875,175.0177001953125,194.81951904296875,223.00344848632812,224.88766479492188,163.96176147460938,207.86444091796875,244.77342224121094
"S9",295.72015380859375,298.7955322265625,294.8922882080078,303.1526794433594,304.1659851074219,324.6854705810547,337.63746643066406,353.06163024902344,335.78431701660156,330.9427032470703,343.35581970214844,339.41139221191406,342.82289123535156,345.44798278808594,347.91700744628906,361.6541748046875,356.2234191894531,360.6124267578125,367.6687927246094,367.9502258300781,358.182373046875,370.81324768066406,360.5598907470703,368.27793884277344,373.90978240966797,361.3091125488281,371.39393615722656,371.70790100097656,367.4092254638672,371.33827209472656,373.2807846069336,373.0137405395508,363.33807373046875,366.8022766113281,368.5925598144531,362.5821228027344,358.4587860107422,358.56243896484375,349.54515075683594,341.85577392578125,340.08197021484375,342.1451873779297,337.1912384033203,323.9277038574219,306.35984802246094,280.00645446777344,235.52377319335938,227.76620483398438,200.88104248046875,164.0897216796875,153.97171020507812,153.40823364257812,112.88238525390625,117.72268676757812,120.23587036132812,120.8614501953125,121.24472045898438,113.2264404296875,88.31591796875,67.78204345703125,74.56646728515625,96.05072021484375,74.16998291015625,94.42105102539062,125.09286499023438,112.48486328125,102.474853515625,114.83636474609375,93.10992431640625,121.94952392578125,112.30331420898438,111.9835205078125,68.27835083007812,26.182342529296875,53.380279541015625,36.497650146484375,69.65237426757812,90.52957153320312,110.45803833007812,96.05697631835938,64.7083740234375,76.36495971679688,78.489013671875,81.78564453125,85.43545532226562,101.70001220703125,121.14755249023438,131.67938232421875,141.54580688476562,138.84716796875,111.86126708984375,127.74688720703125,144.26754760742188,119.73773193359375,133.43978881835938,136.29791259765625,120.87539672851562,109.6915283203125,126.07977294921875,127.05752563476562,111.8031005859375,123.76385498046875,110.77203369140625,66.411376953125,89.29293823242188,101.56271362304688,123.34768676757812,129.77276611328125,119.79507446289062,84.60354614257812,136.02133178710938,109.4578857421875,117.89987182617188,135.49365234375,121.64410400390625,83.093017578125,116.55255126953125,76.291748046875,119.59829711914062,110.197509765625,122.192138671875,133.798095703125,141.86965942382812,134.48614501953125,145.24581909179688,96.58248901367188,137.42758178710938,155.09945678710938,164.60540771484375,170.29058837890625,147.65438842773438,151.77679443359375,163.44091796875,158.3231201171875,175.0177001953125,194.81951904296875,223.00344848632812,224.88766479492188,163.96176147460938,207.86444091796875,244.77342224121094
