"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,87.09747314453125,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,93.75648498535156,123.37702178955078,173.7486114501953,173.7486114501953,179.7138214111328,179.7138214111328,179.7138214111328,193.9169158935547,224.25408935546875,248.38330078125,267.582275390625,281.6309814453125,286.2293701171875,287.881103515625,287.881103515625,300.09759521484375,300.09759521484375,300.09759521484375,318.3189697265625,318.3189697265625,318.37518310546875,318.37518310546875,318.37518310546875,318.37518310546875,318.37518310546875,364.3543701171875,364.3543701171875,364.3543701171875,367.3692932128906,367.4730529785156,367.4730529785156,367.4730529785156,367.4730529785156,367.4730529785156,367.4730529785156,367.83416748046875,387.8749084472656,388.1462097167969,388.1462097167969
"S1",60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,60.87705993652344,73.11624145507812,73.11624145507812,76.70067596435547,76.70067596435547,76.70067596435547,76.70067596435547,76.70067596435547,76.70067596435547,76.70067596435547,89.68480682373047,114.27877807617188,114.27877807617188,114.70439147949219,114.70439147949219,114.70439147949219,114.70439147949219,135.0475311279297,138.00250244140625,138.31072998046875,138.31072998046875,138.31072998046875,138.31072998046875,141.11090087890625,190.60897827148438,217.7025604248047,217.7025604248047,230.6807403564453,253.03541564941406,253.03541564941406,269.52862548828125,306.7437438964844,342.7530822753906,360.0904541015625,367.306396484375,368.5226135253906,375.4053039550781,375.64691162109375,377.0965881347656,377.0965881347656,377.0965881347656,392.17266845703125,395.49749755859375,399.7817687988281,399.7817687988281,404.3325500488281,404.3325500488281,405.636962890625,405.636962890625,405.636962890625,405.636962890625,405.636962890625,405.636962890625,405.636962890625,405.636962890625,405.636962890625,405.636962890625,405.636962890625,406.1396484375,432.7368469238281,435.06109619140625,435.06109619140625
"S2",-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.90199089050293,-10.128314971923828,-10.128314971923828,-10.128314971923828,-10.128314971923828,-10.128314971923828,-10.128314971923828,-10.128314971923828,38.941951751708984,57.47092819213867,57.54985427856445,57.54985427856445,57.54985427856445,57.54985427856445,62.141929626464844,62.141929626464844,83.24132537841797,84.10431671142578,84.10431671142578,84.10431671142578,84.10431671142578,84.44644165039062,152.39549255371094,152.39549255371094,152.39549255371094,152.39549255371094,162.0279998779297,181.2220916748047,186.3009033203125,215.15072631835938,215.15072631835938,234.98011779785156,246.46160888671875,255.5589599609375,280.1537780761719,280.2034606933594,292.9423522949219,292.9423522949219,293.8037414550781,310.7280578613281,310.7280578613281,310.7280578613281,310.7280578613281,310.7280578613281,310.7280578613281,334.3004150390625,334.3016357421875,334.3016357421875,334.3016357421875,334.3016357421875,334.3016357421875,334.3016357421875,334.3016357421875,334.3016357421875,334.3016357421875,334.3016357421875,356.4471130371094,380.2099304199219,389.8403015136719,393.9537353515625
"S3",-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-220.4918975830078,-125.29312133789062,-124.90678405761719,-124.90678405761719,-124.90678405761719,-124.90678405761719,-124.90678405761719,-124.90678405761719,-124.90678405761719,-91.4981460571289,-91.4981460571289,-91.4981460571289,-91.4981460571289,-91.4981460571289,-91.4981460571289,-67.90769958496094,-67.90769958496094,-67.90769958496094,-67.90769958496094,-67.90769958496094,-57.572540283203125,-57.572540283203125,-57.572540283203125,-57.572540283203125,-45.687217712402344,-22.96478843688965,6.294178009033203,57.123558044433594,60.29176712036133,71.61234283447266,71.61234283447266,103.25601196289062,103.36917114257812,103.36917114257812,103.36917114257812,103.36917114257812,103.36917114257812,103.36917114257812,167.3903350830078,172.6353759765625,172.6353759765625,172.6353759765625,172.6353759765625,172.6353759765625,172.6353759765625,172.6353759765625,172.6353759765625,172.6353759765625,172.6353759765625,235.57203674316406,254.02703857421875,262.48486328125,266.95074462890625
"S4",-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-33.707611083984375,-18.783981323242188,-15.10226821899414,-15.10226821899414,-15.10226821899414,-15.10226821899414,-15.10226821899414,-15.10226821899414,-15.10226821899414,-15.10226821899414,29.01433563232422,29.01433563232422,29.01433563232422,29.01433563232422,29.01433563232422,29.01433563232422,29.01433563232422,29.01433563232422,60.56718444824219,78.11170959472656,78.11170959472656,78.11170959472656,78.11170959472656,78.11170959472656,84.77532958984375,84.77532958984375,84.77532958984375,84.77532958984375,84.77532958984375,84.7959976196289,84.7959976196289,84.7959976196289,84.7959976196289,88.19734191894531,107.94095611572266,113.91099548339844,136.0535888671875,141.60919189453125,141.60919189453125,141.60919189453125,141.60919189453125,141.60919189453125,141.60919189453125,141.60919189453125,141.60919189453125,141.60919189453125,141.60919189453125,210.91146850585938,223.11932373046875,223.11932373046875,223.11932373046875,223.11932373046875,223.11932373046875,223.11932373046875,223.11932373046875,223.11932373046875,223.11932373046875,223.11932373046875,243.0801239013672,250.98443603515625,250.98443603515625,259.303466796875
"S5",53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,53.819969177246094,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,138.0373077392578,159.33731079101562,164.95001220703125,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,165.18902587890625,219.6231689453125,225.9712371826172,225.9712371826172,225.9712371826172,225.9712371826172,225.9712371826172,231.9552764892578,231.9552764892578,231.9552764892578,231.9552764892578,231.9552764892578,231.9552764892578,231.9552764892578,231.9552764892578,233.9053192138672
"S6",52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,52.093711853027344,123.76360321044922,123.76360321044922,123.76360321044922,123.76360321044922,123.76360321044922,123.76360321044922,123.76360321044922,145.5371856689453,145.5371856689453,145.5371856689453,145.5371856689453,145.5371856689453,145.5371856689453,145.5371856689453,145.5371856689453,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,150.79193115234375,204.4611358642578,207.75186157226562,207.75186157226562,208.0920867919922,208.0920867919922,208.0920867919922,208.0920867919922,208.0920867919922,208.0920867919922,208.0920867919922,208.0920867919922
"S7",182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.17864990234375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.4833984375,182.50985717773438,182.50985717773438,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,184.38209533691406,186.6480712890625,186.6480712890625,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,186.74960327148438,200.4307403564453,200.58993530273438,200.58993530273438,200.58993530273438,200.58993530273438,200.58993530273438,200.7324981689453
"S8",124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,124.71865844726562,131.07582092285156,131.07582092285156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,136.69252014160156,145.28123474121094,148.1349639892578,148.8638916015625,148.8638916015625,148.8638916015625,148.8638916015625,148.8638916015625,148.8638916015625,148.8638916015625,148.8638916015625,148.8638916015625,148.8638916015625,149.10597229003906,149.10597229003906,165.7838134765625,170.6518096923828,170.7611083984375,170.7611083984375,170.7611083984375,170.7611083984375,170.7611083984375,170.7611083984375,188.4064483642578,197.14015197753906,197.14015197753906,197.14015197753906,197.14015197753906,200.20082092285156,200.20082092285156,201.78453063964844,201.78453063964844,201.78453063964844,201.78453063964844,201.78453063964844,201.78453063964844,201.78453063964844
"S9",-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-116.59591674804688,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.81315612792969,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-106.12069702148438,-83.14490509033203,-77.18700408935547,-41.55275344848633,-41.55275344848633,-41.55275344848633,-41.55275344848633,38.06102752685547,47.814849853515625,60.7708740234375,60.78105163574219,63.92975616455078,86.07930755615234,97.06067657470703,97.06067657470703,97.06067657470703,97.06067657470703,97.06067657470703,97.06067657470703,97.06067657470703,97.06067657470703,97.06067657470703,97.06067657470703,112.6145248413086,112.6145248413086,112.6145248413086,112.6145248413086,112.6145248413086,120.57463836669922,139.5323486328125,147.4499969482422,174.4504852294922,179.0785369873047,179.0785369873047,179.0785369873047,179.0785369873047,179.0785369873047
