"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3341.63720703125,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3635.6396484375,3165.90869140625,2465.162841796875,2465.162841796875,2514.662109375,2514.662109375,2514.662109375,1983.5079345703125,1769.9703369140625,1364.9117431640625,1182.3316650390625,1106.4840087890625,1071.6683349609375,1077.1832275390625,1077.1832275390625,998.3504028320312,998.3504028320312,998.3504028320312,876.8939819335938,876.8939819335938,880.1699829101562,880.1699829101562,880.1699829101562,880.1699829101562,880.1699829101562,478.9359130859375,478.9359130859375,478.9359130859375,447.649169921875,440.88702392578125,440.88702392578125,440.88702392578125,440.88702392578125,440.88702392578125,440.88702392578125,418.6009521484375,304.2283020019531,305.7050476074219,305.7050476074219
"S1",2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,2847.784423828125,3004.223388671875,3004.223388671875,3162.9287109375,3162.9287109375,3162.9287109375,3162.9287109375,3162.9287109375,3162.9287109375,3162.9287109375,2420.29052734375,2584.940673828125,2584.940673828125,2607.333740234375,2607.333740234375,2607.333740234375,2607.333740234375,2091.343994140625,2044.98828125,2017.1357421875,2017.1357421875,2017.1357421875,2017.1357421875,1710.2415771484375,1249.5050048828125,1395.932373046875,1395.932373046875,880.66552734375,1104.19873046875,1104.19873046875,687.2828979492188,497.900390625,177.57322692871094,221.01995849609375,301.737548828125,314.0815734863281,308.011962890625,299.82037353515625,318.2333068847656,318.2333068847656,318.2333068847656,198.40798950195312,179.28460693359375,197.4297637939453,197.4297637939453,183.4539794921875,183.4539794921875,193.91561889648438,193.91561889648438,193.91561889648438,193.91561889648438,193.91561889648438,193.91561889648438,193.91561889648438,193.91561889648438,193.91561889648438,193.91561889648438,193.91561889648438,168.44174194335938,60.8575553894043,83.34207916259766,83.34207916259766
"S2",4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4122.6083984375,4157.18603515625,4157.18603515625,4157.18603515625,4157.18603515625,4157.18603515625,4157.18603515625,4157.18603515625,2624.715576171875,2996.40087890625,3001.23193359375,3001.23193359375,3001.23193359375,3001.23193359375,3051.577880859375,3051.577880859375,2445.552001953125,2483.017333984375,2483.017333984375,2483.017333984375,2483.017333984375,2437.990234375,1765.9605712890625,1765.9605712890625,1765.9605712890625,1765.9605712890625,1724.2587890625,1528.583251953125,1409.26220703125,1360.1990966796875,1360.1990966796875,993.3071899414062,1039.89111328125,958.8909301757812,771.259521484375,771.8231201171875,719.8220825195312,719.8220825195312,699.3540649414062,645.835693359375,645.835693359375,645.835693359375,645.835693359375,645.835693359375,645.835693359375,500.88995361328125,500.9235534667969,500.9235534667969,500.9235534667969,500.9235534667969,500.9235534667969,500.9235534667969,500.9235534667969,500.9235534667969,500.9235534667969,500.9235534667969,271.0025939941406,206.92251586914062,177.71914672851562,192.87135314941406
"S3",10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,10436.412109375,8400.8916015625,8453.935546875,8453.935546875,8453.935546875,8453.935546875,8453.935546875,8453.935546875,8453.935546875,6800.3955078125,6800.3955078125,6800.3955078125,6800.3955078125,6800.3955078125,6800.3955078125,7474.61767578125,7474.61767578125,7474.61767578125,7474.61767578125,7474.61767578125,7602.82763671875,7602.82763671875,7602.82763671875,7602.82763671875,5625.029296875,5535.4287109375,4490.74267578125,3889.1630859375,3984.203369140625,4139.90966796875,4139.90966796875,3892.64306640625,3902.969482421875,3902.969482421875,3902.969482421875,3902.969482421875,3902.969482421875,3902.969482421875,2344.395263671875,2451.9208984375,2451.9208984375,2451.9208984375,2451.9208984375,2451.9208984375,2451.9208984375,2451.9208984375,2451.9208984375,2451.9208984375,2451.9208984375,929.63134765625,1195.537841796875,1197.3824462890625,1251.3753662109375
"S4",4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,4379.92626953125,3725.848388671875,3924.4052734375,3924.4052734375,3924.4052734375,3924.4052734375,3924.4052734375,3924.4052734375,3924.4052734375,3924.4052734375,2882.297607421875,2882.297607421875,2882.297607421875,2882.297607421875,2882.297607421875,2882.297607421875,2882.297607421875,2882.297607421875,2339.3603515625,2835.953369140625,2835.953369140625,2835.953369140625,2835.953369140625,2835.953369140625,2963.8779296875,2963.8779296875,2963.8779296875,2963.8779296875,2963.8779296875,2960.9765625,2960.9765625,2960.9765625,2960.9765625,2356.728515625,2369.988525390625,2307.619140625,2306.003662109375,2434.595703125,2434.595703125,2434.595703125,2434.595703125,2434.595703125,2434.595703125,2434.595703125,2434.595703125,2434.595703125,2434.595703125,1118.623291015625,1295.9320068359375,1295.9320068359375,1295.9320068359375,1295.9320068359375,1295.9320068359375,1295.9320068359375,1295.9320068359375,1295.9320068359375,1295.9320068359375,1295.9320068359375,1003.7945556640625,1039.7762451171875,1039.7762451171875,955.633544921875
"S5",3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,3280.40478515625,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,2209.09130859375,1791.4061279296875,2053.8056640625,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,2064.895263671875,1326.2459716796875,1383.81298828125,1383.81298828125,1383.81298828125,1383.81298828125,1383.81298828125,1306.1749267578125,1306.1749267578125,1306.1749267578125,1306.1749267578125,1306.1749267578125,1306.1749267578125,1306.1749267578125,1306.1749267578125,1153.5662841796875
"S6",3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,3374.946044921875,2646.330322265625,2646.330322265625,2646.330322265625,2646.330322265625,2646.330322265625,2646.330322265625,2646.330322265625,2413.699462890625,2413.699462890625,2413.699462890625,2413.699462890625,2413.699462890625,2413.699462890625,2413.699462890625,2413.699462890625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,2660.359619140625,1645.5662841796875,1718.9412841796875,1718.9412841796875,1707.9547119140625,1707.9547119140625,1707.9547119140625,1707.9547119140625,1707.9547119140625,1707.9547119140625,1707.9547119140625,1707.9547119140625
"S7",1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1534.8494873046875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1555.58154296875,1553.5406494140625,1553.5406494140625,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1638.53466796875,1610.5704345703125,1610.5704345703125,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1619.9722900390625,1367.2965087890625,1353.670654296875,1353.670654296875,1353.670654296875,1353.670654296875,1353.670654296875,1336.07275390625
"S8",1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1403.647216796875,1344.18505859375,1344.18505859375,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1608.5770263671875,1700.94677734375,1756.2379150390625,1781.368896484375,1781.368896484375,1781.368896484375,1781.368896484375,1781.368896484375,1781.368896484375,1781.368896484375,1781.368896484375,1781.368896484375,1781.368896484375,1787.9212646484375,1787.9212646484375,1626.77587890625,1694.3082275390625,1699.3140869140625,1699.3140869140625,1699.3140869140625,1699.3140869140625,1699.3140869140625,1699.3140869140625,1351.27197265625,1271.1251220703125,1271.1251220703125,1271.1251220703125,1271.1251220703125,1256.509765625,1256.509765625,1166.9490966796875,1166.9490966796875,1166.9490966796875,1166.9490966796875,1166.9490966796875,1166.9490966796875,1166.9490966796875
"S9",5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,5895.06982421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6681.85107421875,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,6732.7724609375,5795.97265625,5530.15380859375,5736.6318359375,5736.6318359375,5736.6318359375,5736.6318359375,2952.475830078125,2667.358154296875,3302.889404296875,3301.703125,2848.7431640625,3004.730224609375,3384.950927734375,3384.950927734375,3384.950927734375,3384.950927734375,3384.950927734375,3384.950927734375,3384.950927734375,3384.950927734375,3384.950927734375,3384.950927734375,2815.7802734375,2815.7802734375,2815.7802734375,2815.7802734375,2815.7802734375,2511.485107421875,2162.144775390625,2078.3037109375,1903.850341796875,2010.6947021484375,2010.6947021484375,2010.6947021484375,2010.6947021484375,2010.6947021484375
