"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",452.1796569824219,455.2419128417969,459.4872131347656,461.0434265136719,463.0594177246094,464.04510498046875,458.22332763671875,462.71734619140625,461.74066162109375,463.4095764160156,462.9316711425781,463.3882751464844,466.4536437988281,462.7119140625,461.84552001953125,464.2884521484375,466.16949462890625,465.70172119140625,463.0584716796875,466.30291748046875,467.370849609375,468.6794128417969,467.96832275390625,467.4776611328125,469.4785461425781,470.2582702636719,469.6936340332031,468.5205383300781,468.2932434082031,469.87457275390625,469.397705078125,468.9451599121094,468.9465637207031,465.9867248535156,468.9096374511719,465.45782470703125,464.763671875,462.2451477050781,466.73565673828125,463.5605163574219,460.5994567871094,458.6805419921875,454.62042236328125,450.87762451171875,436.99627685546875,430.5816345214844,426.62847900390625,429.86053466796875,417.8734436035156,412.2227783203125,421.2466125488281,390.703857421875,343.1797790527344,322.8503723144531,288.0058898925781,298.1353454589844,290.5848388671875,288.2925720214844,276.2149353027344,241.62037658691406,236.5759735107422,253.69537353515625,223.45904541015625,165.57659912109375,200.09237670898438,183.09368896484375,184.20777893066406,187.6042938232422,195.63388061523438,190.6271514892578,203.5021514892578,163.93519592285156,173.3374481201172,163.40151977539062,153.69610595703125,156.90634155273438,162.88816833496094,156.33139038085938,122.11032104492188,148.9300537109375,147.7347412109375,188.02560424804688,161.04629516601562,159.9874267578125,142.4339599609375,165.9984893798828,117.67147827148438,122.04810333251953,125.27916717529297,163.62718200683594,146.95372009277344,162.43203735351562,182.05001831054688,125.4906234741211,131.51495361328125,160.38858032226562,157.15664672851562,192.4521942138672,181.2469940185547,188.30340576171875,163.0123291015625,127.5914535522461,164.6930694580078,205.30503845214844,202.06033325195312,201.0162353515625,228.5995330810547,226.4463348388672,238.37283325195312,280.2171630859375,313.3919677734375,338.7969665527344,350.82421875,352.5160827636719,360.8891906738281,360.59063720703125,373.08929443359375,378.5047302246094,362.215087890625,377.8685607910156,381.2081604003906,388.99102783203125,386.936279296875,399.677734375,391.9947204589844,401.0747375488281,414.8922119140625,408.1185302734375,408.526611328125,418.5826416015625,417.0449523925781,422.26519775390625,411.2641296386719,416.6697692871094,427.9262390136719,396.312744140625,394.6548767089844,422.3974914550781,430.9442138671875,427.4494934082031
"S1",452.1796569824219,455.2419128417969,459.4872131347656,461.0434265136719,463.0594177246094,464.04510498046875,458.22332763671875,462.71734619140625,461.74066162109375,463.4095764160156,462.9316711425781,463.3882751464844,466.4536437988281,462.7119140625,461.84552001953125,464.2884521484375,466.16949462890625,465.70172119140625,463.0584716796875,466.30291748046875,467.370849609375,468.6794128417969,467.96832275390625,467.4776611328125,469.4785461425781,470.2582702636719,469.6936340332031,468.5205383300781,468.2932434082031,469.87457275390625,469.397705078125,468.9451599121094,468.9465637207031,465.9867248535156,468.9096374511719,465.45782470703125,464.763671875,462.2451477050781,466.73565673828125,463.5605163574219,460.5994567871094,458.6805419921875,454.62042236328125,450.87762451171875,436.99627685546875,430.5816345214844,426.62847900390625,429.86053466796875,417.8734436035156,412.2227783203125,421.2466125488281,390.703857421875,343.1797790527344,322.8503723144531,288.1467590332031,298.24407958984375,290.8534851074219,288.2925720214844,276.3983459472656,242.4505615234375,236.8534698486328,254.4861297607422,229.22500610351562,182.98297119140625,218.48468017578125,203.09410095214844,214.03787231445312,211.6322784423828,214.76693725585938,216.6649169921875,240.27195739746094,197.10910034179688,201.03631591796875,194.54376220703125,192.49160766601562,179.71710205078125,180.14999389648438,178.8715057373047,141.07261657714844,166.85670471191406,154.3111572265625,194.51654052734375,172.18716430664062,171.9884033203125,159.4933624267578,176.0819549560547,127.81343841552734,136.1060028076172,141.4933624267578,182.8817901611328,161.1303253173828,167.7705078125,191.47817993164062,136.63375854492188,147.3839874267578,170.8566436767578,172.4044952392578,207.6501007080078,206.42172241210938,212.80392456054688,201.19476318359375,169.46009826660156,203.72337341308594,232.32518005371094,230.9673309326172,206.48907470703125,229.8701171875,230.14585876464844,239.61085510253906,281.13916015625,313.3919677734375,338.7969665527344,350.82421875,352.5160827636719,360.8891906738281,360.59063720703125,373.08929443359375,378.5047302246094,362.215087890625,377.8685607910156,381.2081604003906,388.99102783203125,386.936279296875,399.677734375,391.9947204589844,401.0747375488281,414.8922119140625,408.1185302734375,408.526611328125,418.5826416015625,417.0449523925781,422.26519775390625,411.2641296386719,416.6697692871094,427.9262390136719,396.312744140625,394.6548767089844,422.3974914550781,430.9442138671875,427.4494934082031
"S2",452.1796569824219,455.2419128417969,459.4872131347656,461.0434265136719,463.0594177246094,464.04510498046875,458.22332763671875,462.71734619140625,461.74066162109375,463.4095764160156,462.9316711425781,463.3882751464844,466.4536437988281,462.7119140625,461.84552001953125,464.2884521484375,466.16949462890625,465.70172119140625,463.0584716796875,466.30291748046875,467.370849609375,468.6794128417969,467.96832275390625,467.4776611328125,469.4785461425781,470.2582702636719,469.6936340332031,468.5205383300781,468.2932434082031,469.87457275390625,469.397705078125,468.9451599121094,468.9465637207031,465.9867248535156,468.9096374511719,465.45782470703125,464.7581787109375,462.2451477050781,466.73565673828125,463.5605163574219,460.5994567871094,458.6805419921875,454.62042236328125,450.87762451171875,436.98211669921875,430.5816345214844,426.62847900390625,429.86053466796875,417.8734436035156,412.2227783203125,421.2466125488281,390.703857421875,342.8608093261719,322.4626159667969,286.0628967285156,296.2513427734375,289.4653625488281,286.7548522949219,273.3847961425781,236.7379913330078,228.29470825195312,251.74575805664062,227.2453155517578,178.05372619628906,214.0736846923828,198.00363159179688,211.13331604003906,207.8424835205078,211.7934112548828,214.27357482910156,239.0164794921875,194.6280517578125,197.15365600585938,190.70068359375,189.26487731933594,173.39222717285156,170.09739685058594,172.11083984375,127.49603271484375,156.08270263671875,123.35821533203125,169.89984130859375,152.41275024414062,155.3943634033203,145.85931396484375,159.1105499267578,112.76275634765625,121.61052703857422,128.44578552246094,175.38851928710938,148.0208282470703,155.3655242919922,181.83267211914062,124.45159912109375,136.63311767578125,157.67669677734375,164.24081420898438,201.3612518310547,202.8711395263672,210.29443359375,199.58761596679688,167.7477569580078,202.32330322265625,230.61947631835938,229.36834716796875,202.54769897460938,227.1081085205078,228.4479522705078,237.75701904296875,280.4742126464844,313.19415283203125,338.7969665527344,350.82421875,352.5160827636719,360.8891906738281,360.59063720703125,373.08929443359375,378.5047302246094,362.215087890625,377.8685607910156,381.2081604003906,388.99102783203125,386.936279296875,399.6636962890625,391.9947204589844,401.0747375488281,414.8922119140625,408.1185302734375,408.526611328125,418.5826416015625,417.0449523925781,422.26519775390625,411.2490539550781,416.6697692871094,427.9239196777344,396.0260925292969,394.3529968261719,422.3974914550781,430.9442138671875,427.4494934082031
"S3",405.2633056640625,406.8179931640625,412.6412048339844,415.4331970214844,417.856689453125,419.6438293457031,415.3691711425781,416.1010437011719,412.1246032714844,412.1966857910156,415.8397521972656,416.1476135253906,426.2646789550781,421.03350830078125,417.2153625488281,418.71356201171875,424.1453857421875,422.79510498046875,420.6436767578125,429.2475891113281,425.874267578125,430.7303466796875,431.0802307128906,430.61077880859375,436.5863342285156,440.1256103515625,438.2497253417969,437.8706359863281,439.8569030761719,439.8652648925781,440.94110107421875,439.71624755859375,439.2633972167969,439.0922546386719,442.1682434082031,438.1781311035156,436.1540222167969,427.2553405761719,433.58428955078125,429.9471740722656,429.2681579589844,425.6337585449219,416.1041259765625,405.5898132324219,390.9243469238281,370.3827819824219,367.3221130371094,360.6275634765625,337.8133239746094,302.54473876953125,297.81317138671875,283.74658203125,246.0420379638672,229.6338653564453,219.47288513183594,225.65283203125,221.4746551513672,190.59320068359375,177.92050170898438,180.37460327148438,162.24838256835938,202.81932067871094,198.7636260986328,161.5299530029297,201.9781494140625,185.87571716308594,204.34669494628906,198.0432586669922,198.53799438476562,204.83128356933594,235.05491638183594,186.9490203857422,188.53067016601562,183.40176391601562,184.35855102539062,162.43968200683594,155.88955688476562,161.28253173828125,111.84326934814453,141.14675903320312,97.95933532714844,146.89657592773438,134.7807159423828,136.7734832763672,135.20115661621094,137.898193359375,87.19082641601562,98.705810546875,109.98500061035156,161.6101531982422,129.755126953125,122.99137878417969,158.4552001953125,100.91277313232422,117.76980590820312,133.49046325683594,145.71188354492188,185.82998657226562,193.12721252441406,200.90777587890625,194.29501342773438,162.2703094482422,197.8417510986328,224.32998657226562,223.4835205078125,169.86839294433594,169.02072143554688,190.05316162109375,177.2431182861328,227.06527709960938,203.8788299560547,211.08119201660156,224.37319946289062,235.16717529296875,261.1007080078125,259.9382629394531,281.36419677734375,269.3326416015625,268.0196228027344,299.24676513671875,305.0760498046875,314.2699890136719,311.36834716796875,321.5030517578125,291.1602478027344,313.74176025390625,339.99920654296875,337.3116760253906,339.70965576171875,358.65167236328125,355.0840148925781,368.0562744140625,354.7671813964844,358.3605041503906,354.3919677734375,324.8105163574219,339.4499206542969,366.104736328125,375.5215759277344,382.3896484375
"S4",298.4559326171875,303.44061279296875,314.9152526855469,311.7392883300781,321.3822326660156,332.94464111328125,333.3690490722656,331.50018310546875,324.4963073730469,322.34228515625,325.4659423828125,325.5010986328125,347.9403991699219,340.0721130371094,327.7131652832031,336.76824951171875,338.5111083984375,334.7541809082031,340.9333190917969,351.67926025390625,350.621337890625,360.0020751953125,359.06463623046875,359.4526062011719,369.81109619140625,372.4635925292969,370.5430603027344,371.87677001953125,373.6561279296875,371.1211242675781,375.54656982421875,370.39581298828125,370.0596618652344,375.9053955078125,374.574462890625,366.6361083984375,367.0732727050781,351.9766540527344,356.36895751953125,351.7875061035156,351.2641296386719,343.0697021484375,330.1167907714844,308.9583740234375,278.3051452636719,241.86717224121094,206.5321807861328,192.34571838378906,162.19210815429688,124.4798812866211,126.81847381591797,136.98297119140625,130.21981811523438,116.7046127319336,126.37823486328125,119.02344512939453,136.55931091308594,137.59210205078125,127.55029296875,143.047119140625,116.51060485839844,113.98719024658203,119.73393249511719,131.2895050048828,131.73358154296875,97.19039154052734,109.23605346679688,131.2969970703125,83.42811584472656,93.43695068359375,160.1909637451172,114.07547760009766,147.68772888183594,146.37948608398438,157.74456787109375,147.02894592285156,157.7882080078125,152.10397338867188,23.44937515258789,116.70128631591797,136.8500518798828,131.80650329589844,167.33843994140625,135.5633544921875,149.33937072753906,131.6160430908203,128.99510192871094,124.11006164550781,135.9761199951172,132.09303283691406,134.08570861816406,151.145263671875,147.72914123535156,152.26516723632812,102.42716979980469,121.32159423828125,138.1276397705078,164.66448974609375,175.7424774169922,188.01425170898438,165.08758544921875,170.17584228515625,178.60679626464844,166.64093017578125,177.91943359375,167.3411102294922,168.70635986328125,185.46475219726562,164.60177612304688,191.83570861816406,163.65643310546875,147.70098876953125,162.8685302734375,158.7140350341797,158.70071411132812,170.29200744628906,145.7310791015625,169.91342163085938,189.47616577148438,189.6125946044922,199.1708526611328,189.99021911621094,203.13165283203125,202.89151000976562,144.7185821533203,199.60276794433594,223.12777709960938,234.23956298828125,231.03070068359375,253.5395965576172,240.7867431640625,261.018798828125,244.01429748535156,253.7819366455078,247.03939819335938,228.26486206054688,241.44322204589844,262.24139404296875,264.0099792480469,285.6470947265625
"S5",267.4383239746094,284.5605773925781,306.7304992675781,291.1438293457031,306.61566162109375,312.055908203125,313.74603271484375,317.88995361328125,313.2841491699219,308.23516845703125,294.8866882324219,289.3226318359375,329.1431579589844,333.73126220703125,330.05609130859375,349.5667724609375,346.8052978515625,334.8458557128906,350.44110107421875,349.7133483886719,352.786376953125,357.98675537109375,352.661376953125,355.2313537597656,365.01837158203125,359.8238220214844,361.2330322265625,363.2565612792969,356.7910461425781,357.2931213378906,360.7008056640625,358.96551513671875,357.4086608886719,366.3851318359375,363.7935791015625,362.4549560546875,367.4643859863281,359.74542236328125,360.38824462890625,355.39593505859375,359.4450378417969,353.6938171386719,335.73046875,302.0776062011719,285.9010009765625,278.9229431152344,224.9959716796875,251.01271057128906,174.51744079589844,145.56069946289062,198.8334197998047,141.80030822753906,137.10658264160156,116.28445434570312,143.9359130859375,135.33741760253906,185.2090606689453,189.00543212890625,187.5376739501953,189.30133056640625,130.76109313964844,148.04742431640625,164.36599731445312,198.50384521484375,189.6163330078125,183.35244750976562,198.91700744628906,203.2324981689453,136.70565795898438,169.23651123046875,206.1121826171875,188.93569946289062,210.6302490234375,202.20736694335938,211.32691955566406,190.86822509765625,215.75511169433594,212.83636474609375,191.77029418945312,215.26634216308594,210.45956420898438,199.14515686035156,196.71365356445312,167.8515625,197.44154357910156,199.62506103515625,197.09213256835938,194.51487731933594,196.8042449951172,168.0613250732422,188.0293731689453,212.36766052246094,218.9087371826172,215.30885314941406,205.5048828125,201.9725799560547,213.2616424560547,204.7488250732422,218.2422332763672,224.65908813476562,206.15570068359375,219.76116943359375,216.9636688232422,213.89939880371094,214.20376586914062,215.14015197753906,202.6082000732422,206.74400329589844,189.1503448486328,209.17286682128906,201.271484375,169.39215087890625,177.380859375,191.25462341308594,189.7352294921875,199.64852905273438,188.22238159179688,205.22003173828125,210.65252685546875,189.52301025390625,202.47915649414062,184.91201782226562,198.72265625,197.50180053710938,157.4435577392578,199.62167358398438,216.1778106689453,228.31509399414062,220.5425262451172,239.43002319335938,221.02880859375,234.32489013671875,228.12396240234375,239.0729522705078,239.14088439941406,226.10520935058594,228.2909393310547,243.5938720703125,238.42251586914062,249.2552490234375
"S6",247.0325927734375,276.6396789550781,297.0513916015625,266.199462890625,286.85467529296875,298.6935119628906,311.6236572265625,318.10345458984375,319.0728759765625,307.3386535644531,305.2630310058594,300.0946044921875,325.8016357421875,339.2226867675781,337.0914001464844,352.6299743652344,346.81878662109375,343.0382080078125,355.7354431152344,357.0340576171875,358.9688415527344,360.1605224609375,355.9248046875,358.0919494628906,366.4512634277344,363.2232666015625,363.1399230957031,365.55780029296875,362.57440185546875,363.5908508300781,364.4170227050781,363.9136962890625,361.9456787109375,370.1961669921875,366.6177978515625,368.2130432128906,371.4908142089844,363.0868225097656,365.5819396972656,359.05828857421875,361.5047302246094,356.6372375488281,334.8125305175781,308.5804443359375,303.0433349609375,287.456298828125,233.53018188476562,258.9429016113281,220.33847045898438,215.5330047607422,234.78501892089844,191.80880737304688,208.38796997070312,174.76673889160156,201.41964721679688,216.67677307128906,221.48883056640625,229.16571044921875,231.2689971923828,232.04771423339844,222.32798767089844,231.8973388671875,237.20745849609375,237.1204071044922,233.6140594482422,233.31214904785156,227.70761108398438,232.83209228515625,199.31837463378906,224.67886352539062,236.89256286621094,240.84539794921875,233.27957153320312,209.71636962890625,222.53565979003906,199.88999938964844,231.4298858642578,234.1729278564453,247.9084014892578,251.89804077148438,218.82101440429688,225.1890869140625,231.97314453125,227.47886657714844,233.84317016601562,239.5516357421875,244.6986083984375,251.13311767578125,251.38055419921875,250.1988525390625,238.90264892578125,247.79483032226562,250.7770538330078,237.56668090820312,235.3335418701172,235.8335723876953,241.67803955078125,225.77627563476562,246.3773956298828,245.78933715820312,229.1508331298828,243.91854858398438,234.2033233642578,221.49366760253906,228.65576171875,246.4393768310547,245.8090362548828,218.8323211669922,207.9986572265625,215.86944580078125,215.24066162109375,191.13694763183594,204.23654174804688,221.8275146484375,204.81968688964844,201.66778564453125,196.18556213378906,207.11651611328125,212.22732543945312,194.73199462890625,204.7949981689453,184.10791015625,198.82351684570312,193.25018310546875,176.55087280273438,205.38587951660156,210.6743621826172,213.02561950683594,202.8050537109375,222.01815795898438,206.2061767578125,209.7398223876953,208.41481018066406,221.82052612304688,232.93045043945312,225.31704711914062,223.02944946289062,228.30128479003906,225.99317932128906,213.09561157226562
"S7",253.57302856445312,282.40643310546875,290.2352294921875,258.33660888671875,279.86328125,298.6197814941406,314.324462890625,319.4962463378906,322.3955993652344,312.1470947265625,322.3753967285156,318.74652099609375,327.9782409667969,340.6961669921875,338.6920166015625,352.4195251464844,347.7182922363281,349.43878173828125,356.8222351074219,360.0223083496094,361.3822937011719,362.1565246582031,359.091552734375,362.2550354003906,370.1051940917969,367.2690734863281,366.8228759765625,368.6086730957031,366.6278076171875,367.4355163574219,367.73321533203125,369.3568420410156,367.76483154296875,373.4553527832031,370.29632568359375,371.8945617675781,372.5722961425781,364.3410949707031,366.8612976074219,359.310546875,361.490966796875,357.0997009277344,333.3778076171875,314.444580078125,309.783935546875,290.3131408691406,238.94384765625,260.87188720703125,227.25189208984375,220.77032470703125,234.84640502929688,193.61793518066406,209.95863342285156,179.75885009765625,204.08399963378906,220.37017822265625,223.4324188232422,229.28109741210938,230.8557586669922,231.08006286621094,222.03338623046875,231.94854736328125,237.0137481689453,236.69854736328125,234.82679748535156,234.2103271484375,228.17506408691406,233.06773376464844,202.54298400878906,227.24017333984375,235.85133361816406,241.02496337890625,232.38624572753906,207.16558837890625,220.66845703125,196.0704345703125,230.1846923828125,233.32504272460938,247.94931030273438,251.89804077148438,218.04710388183594,224.42970275878906,229.48855590820312,226.1627960205078,232.64324951171875,239.19451904296875,244.5501708984375,251.17115783691406,251.4608612060547,250.25399780273438,238.37899780273438,247.20835876464844,250.5347442626953,236.80445861816406,235.54901123046875,235.8216552734375,241.35888671875,223.45736694335938,244.8076171875,243.6143798828125,227.0391082763672,242.69976806640625,231.87139892578125,218.7852325439453,225.5147247314453,245.1582489013672,244.2079315185547,212.10260009765625,203.89068603515625,205.0240478515625,212.4638671875,185.76922607421875,198.77127075195312,219.94174194335938,201.5365753173828,193.68016052246094,195.36329650878906,200.75765991210938,203.3001708984375,183.47491455078125,193.79306030273438,174.9653778076172,189.92845153808594,179.11758422851562,180.9378662109375,193.4825439453125,193.96478271484375,185.35488891601562,191.7490997314453,203.5595245361328,193.95191955566406,195.16209411621094,188.81275939941406,198.28829956054688,212.70582580566406,212.50733947753906,222.83172607421875,219.5258026123047,220.62171936035156,193.76519775390625
"S8",298.16217041015625,310.70794677734375,311.8577880859375,305.9383239746094,313.1456298828125,327.19390869140625,340.0174255371094,354.86798095703125,350.34600830078125,343.95941162109375,350.17840576171875,344.50115966796875,348.1549987792969,354.9856262207031,354.89605712890625,365.41815185546875,362.1571044921875,365.6900634765625,371.85858154296875,372.2916259765625,369.8315124511719,374.4627685546875,369.7735900878906,372.9382019042969,378.2060241699219,373.4196472167969,375.6603088378906,376.7613220214844,375.749267578125,377.03570556640625,377.5727844238281,379.5633544921875,374.1663818359375,374.53558349609375,373.09051513671875,373.1698303222656,370.9950256347656,364.2542724609375,366.06463623046875,356.0674133300781,352.7840881347656,351.1760559082031,334.2628173828125,329.92926025390625,318.0010986328125,293.377685546875,244.6400909423828,248.2264404296875,228.39639282226562,220.23818969726562,228.83822631835938,192.4969940185547,209.33815002441406,179.8151397705078,202.87355041503906,219.82826232910156,219.11265563964844,224.8283233642578,226.0563507080078,226.0025634765625,221.3617401123047,230.95542907714844,234.9423828125,231.12783813476562,231.1703338623047,230.5442352294922,219.60626220703125,225.87368774414062,200.31907653808594,224.54347229003906,229.77072143554688,237.58663940429688,220.2235107421875,174.99630737304688,196.63328552246094,168.34512329101562,212.42579650878906,220.88076782226562,244.56541442871094,245.76913452148438,188.22291564941406,213.57504272460938,224.04388427734375,223.43621826171875,226.46058654785156,233.66030883789062,240.70303344726562,248.36734008789062,248.74044799804688,249.37884521484375,234.63600158691406,241.49073791503906,244.00262451171875,225.0038604736328,227.0478515625,229.2990264892578,232.46401977539062,211.51002502441406,237.4241180419922,233.49063110351562,216.31312561035156,233.2271270751953,218.07911682128906,188.7806854248047,208.18226623535156,238.16578674316406,240.17816162109375,198.77938842773438,195.13551330566406,183.21632385253906,196.55865478515625,178.49388122558594,194.3176727294922,214.17626953125,186.51348876953125,153.75657653808594,171.4215850830078,157.1861114501953,169.95565795898438,178.73585510253906,182.5124053955078,173.80438232421875,186.96080017089844,170.64134216308594,179.75502014160156,186.0850372314453,188.6568145751953,187.69390869140625,195.19467163085938,203.98916625976562,185.53143310546875,190.1664581298828,184.2635955810547,189.48980712890625,205.1768341064453,217.34832763671875,236.6147003173828,235.3895721435547,214.27613830566406,217.02059936523438
"S9",298.16217041015625,310.5907897949219,312.51739501953125,306.8828430175781,314.0943908691406,327.95819091796875,340.23846435546875,355.2885437011719,350.5352478027344,344.6521911621094,350.7106628417969,345.1729431152344,347.9898681640625,353.6410827636719,353.44061279296875,364.4604187011719,362.13897705078125,364.9128112792969,370.9100646972656,370.7987060546875,368.1673889160156,373.84039306640625,369.25433349609375,372.4521179199219,377.49456787109375,371.9749755859375,375.580810546875,375.98004150390625,375.1711730957031,376.42364501953125,377.0592041015625,380.38934326171875,374.1014709472656,372.2981262207031,372.935791015625,371.6456604003906,367.6827087402344,363.3190612792969,362.982666015625,351.1286315917969,346.65106201171875,347.7343444824219,337.2538757324219,329.09222412109375,314.1422119140625,290.0529479980469,242.1513214111328,235.5059356689453,206.2047119140625,185.2621612548828,165.0082244873047,152.11521911621094,160.0830535888672,142.88917541503906,159.50579833984375,175.81187438964844,175.87640380859375,168.1438446044922,147.96371459960938,131.4150848388672,136.71771240234375,155.1418914794922,136.49412536621094,154.3703155517578,180.69610595703125,169.68124389648438,160.64752197265625,170.70025634765625,151.69024658203125,176.00865173339844,166.9742431640625,166.55287170410156,127.22174072265625,90.30033874511719,113.1124038696289,97.39742279052734,125.42826080322266,143.11050415039062,159.4845733642578,146.05899047851562,117.79690551757812,126.8821792602539,127.77180480957031,130.45838928222656,132.7368621826172,146.38616943359375,163.10121154785156,171.6967010498047,180.15325927734375,176.8348388671875,146.72274780273438,166.3041229248047,172.7972869873047,147.84954833984375,159.95787048339844,163.03164672851562,147.46226501464844,124.70916748046875,149.0036163330078,146.36549377441406,123.51826477050781,153.1558837890625,137.8253173828125,92.17890930175781,104.99942016601562,112.51005554199219,147.7533721923828,147.4033660888672,144.19210815429688,120.38990020751953,148.80259704589844,125.98992919921875,140.55731201171875,156.16893005371094,128.6529083251953,111.83802795410156,133.3399658203125,121.57954406738281,131.2140350341797,148.51409912109375,148.86781311035156,167.86370849609375,165.0547332763672,147.2340850830078,162.163330078125,141.2699737548828,161.91307067871094,179.3046875,187.61546325683594,192.1378173828125,170.03919982910156,178.03970336914062,179.34674072265625,181.4394073486328,195.0888214111328,212.5656280517578,233.8931427001953,233.7944793701172,211.6183624267578,214.34341430664062
