"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",39.134971618652344,34.22569274902344,28.061569213867188,25.91582489013672,23.243776321411133,22.032848358154297,29.726346969604492,23.683639526367188,24.998212814331055,22.799196243286133,23.39413070678711,22.802227020263672,19.081056594848633,23.598173141479492,24.739479064941406,21.706127166748047,19.473480224609375,19.996625900268555,23.20592498779297,19.30353355407715,18.118810653686523,16.679903030395508,17.44098472595215,17.98326873779297,15.844501495361328,15.034031867980957,15.589216232299805,16.81645965576172,17.070091247558594,15.390429496765137,15.88354206085205,16.33677864074707,16.3233585357666,19.639259338378906,16.391080856323242,20.21967315673828,20.99913787841797,24.14267349243164,18.7058162689209,22.410388946533203,26.19720458984375,28.71533203125,34.59626007080078,40.46072006225586,66.40547943115234,80.88813781738281,90.31351470947266,82.66368865966797,113.41796112060547,129.88156127929688,104.73554992675781,201.9314422607422,410.1239013671875,522.9483032226562,675.4813842773438,630.939208984375,717.428955078125,745.4785766601562,797.2691650390625,877.7257080078125,896.391357421875,819.9691162109375,1036.9197998046875,1229.93310546875,1024.781005859375,1173.17431640625,1203.33203125,1187.3548583984375,1096.465576171875,1215.8184814453125,1142.5750732421875,1451.4989013671875,1295.73974609375,1325.3544921875,1381.682861328125,1355.6851806640625,1307.0177001953125,1342.536865234375,1664.050048828125,1374.50244140625,1728.510009765625,1309.017333984375,1461.996826171875,1422.9942626953125,1526.1734619140625,1398.923095703125,1851.783447265625,1747.126708984375,1728.7596435546875,1378.559814453125,1515.3594970703125,1401.8070068359375,1193.845703125,1701.92626953125,1630.7733154296875,1416.7789306640625,1425.4827880859375,1135.7958984375,1227.767333984375,1252.3619384765625,1471.3182373046875,1771.5999755859375,1473.8714599609375,1162.3006591796875,1165.033447265625,1252.42626953125,1167.740966796875,1153.3638916015625,1123.0770263671875,802.028076171875,582.581787109375,437.9190979003906,375.69708251953125,367.3321533203125,325.8563537597656,327.6092834472656,271.4799499511719,248.81094360351562,320.7453918457031,251.83016967773438,237.8477783203125,207.7705841064453,216.03515625,170.1778106689453,197.5486297607422,165.88339233398438,123.13079071044922,143.74237060546875,142.42156982421875,112.68325805664062,117.0485610961914,102.86524200439453,134.0679168701172,118.63099670410156,88.65266418457031,180.45974731445312,185.93980407714844,102.6826171875,81.42046356201172,90.00764465332031
"S1",39.134971618652344,34.22569274902344,28.061569213867188,25.91582489013672,23.243776321411133,22.032848358154297,29.726346969604492,23.683639526367188,24.998212814331055,22.799196243286133,23.39413070678711,22.802227020263672,19.081056594848633,23.598173141479492,24.739479064941406,21.706127166748047,19.473480224609375,19.996625900268555,23.20592498779297,19.30353355407715,18.118810653686523,16.679903030395508,17.44098472595215,17.98326873779297,15.844501495361328,15.034031867980957,15.589216232299805,16.81645965576172,17.070091247558594,15.390429496765137,15.88354206085205,16.33677864074707,16.3233585357666,19.639259338378906,16.391080856323242,20.21967315673828,20.99913787841797,24.14267349243164,18.7058162689209,22.410388946533203,26.19720458984375,28.71533203125,34.59626007080078,40.46072006225586,66.40547943115234,80.88813781738281,90.31351470947266,82.66368865966797,113.41796112060547,129.88156127929688,104.73554992675781,201.9314422607422,410.1239013671875,522.9483032226562,663.530517578125,620.6039428710938,687.1443481445312,745.4785766601562,771.760009765625,816.5738525390625,879.0257568359375,755.068603515625,797.911865234375,828.3975830078125,657.509033203125,752.787353515625,761.606201171875,706.7156982421875,702.3556518554688,688.8763427734375,665.712890625,805.4963989257812,765.2828979492188,803.8655395507812,853.0364990234375,874.7867431640625,855.7828369140625,874.2492065429688,1085.213623046875,910.707275390625,1352.73388671875,997.306396484375,1007.2577514648438,966.5798950195312,990.0396728515625,979.4859619140625,1409.32080078125,1153.2958984375,1121.6317138671875,864.8923950195312,1000.2190551757812,1182.176513671875,862.0693969726562,1242.6478271484375,1053.585693359375,965.6777954101562,949.5147705078125,740.676513671875,765.2337646484375,788.4319458007812,909.7388305664062,1140.0369873046875,921.9707641601562,728.1791381835938,738.1511840820312,978.68896484375,1019.4788208007812,891.553466796875,991.93408203125,722.1759643554688,582.581787109375,437.9190979003906,375.69708251953125,367.3321533203125,325.8563537597656,327.6092834472656,271.4799499511719,248.81094360351562,320.7453918457031,251.83016967773438,237.8477783203125,207.7705841064453,216.03515625,170.1778106689453,197.5486297607422,165.88339233398438,123.13079071044922,143.74237060546875,142.42156982421875,112.68325805664062,117.0485610961914,102.86524200439453,134.0679168701172,118.63099670410156,88.65266418457031,180.45974731445312,185.93980407714844,102.6826171875,81.42046356201172,90.00764465332031
"S2",39.134971618652344,34.22569274902344,28.061569213867188,25.91582489013672,23.243776321411133,22.032848358154297,29.726346969604492,23.683639526367188,24.998212814331055,22.799196243286133,23.39413070678711,22.802227020263672,19.081056594848633,23.598173141479492,24.739479064941406,21.706127166748047,19.473480224609375,19.996625900268555,23.20592498779297,19.30353355407715,18.118810653686523,16.679903030395508,17.44098472595215,17.98326873779297,15.844501495361328,15.034031867980957,15.589216232299805,16.81645965576172,17.070091247558594,15.390429496765137,15.88354206085205,16.33677864074707,16.3233585357666,19.639259338378906,16.391080856323242,20.21967315673828,21.019575119018555,24.14267349243164,18.7058162689209,22.410388946533203,26.19720458984375,28.71533203125,34.59626007080078,40.46072006225586,66.4957275390625,80.88813781738281,90.31351470947266,82.66368865966797,113.41796112060547,129.88156127929688,104.73554992675781,201.9314422607422,418.7254943847656,534.3289184570312,703.3233032226562,657.2069702148438,708.7310791015625,775.869140625,850.204345703125,929.7238159179688,1013.61328125,772.0552368164062,793.471923828125,1002.4999389648438,800.4138793945312,893.1539916992188,842.908447265625,841.9405517578125,799.3920288085938,804.3853149414062,716.5530395507812,923.97607421875,904.9954833984375,953.7246704101562,1009.041015625,1057.089111328125,1057.950439453125,1060.780517578125,1338.7353515625,1153.314208984375,1457.0692138671875,1118.4066162109375,1139.8193359375,1099.0703125,1130.2789306640625,1090.3018798828125,1346.6033935546875,1440.9833984375,1309.07080078125,1030.0216064453125,1148.3817138671875,1118.2900390625,925.9530639648438,1265.6549072265625,1185.918701171875,1163.799560546875,1062.121826171875,853.1925048828125,858.2811889648438,818.83740234375,939.9452514648438,1177.4744873046875,968.1290893554688,750.5869750976562,762.6832275390625,924.0811767578125,1055.537841796875,891.9740600585938,1038.374755859375,742.3942260742188,589.4375,437.9190979003906,375.69708251953125,367.3321533203125,325.8563537597656,327.6092834472656,271.4799499511719,248.81094360351562,320.7453918457031,251.83016967773438,237.8477783203125,207.7705841064453,216.03515625,170.33306884765625,197.5486297607422,165.88339233398438,123.13079071044922,143.74237060546875,142.42156982421875,112.68325805664062,117.0485610961914,102.86524200439453,134.21435546875,118.63099670410156,88.67352294921875,184.74244689941406,190.38796997070312,102.6826171875,81.42046356201172,90.00764465332031
"S3",122.71382904052734,114.94817352294922,104.25386047363281,97.58966064453125,91.89830780029297,87.01791381835938,95.27914428710938,92.7748794555664,85.53439331054688,83.08168029785156,79.35316467285156,87.8808822631836,69.68819427490234,65.470703125,82.06359100341797,83.13365936279297,76.24556732177734,79.29424285888672,80.50862121582031,47.19058609008789,54.94060134887695,50.78696823120117,51.909202575683594,63.849124908447266,51.6512565612793,39.44728469848633,42.93507766723633,42.07344055175781,35.51335906982422,34.8506965637207,34.494503021240234,33.117435455322266,34.16009521484375,34.47240447998047,30.604028701782227,37.026554107666016,37.1706428527832,51.911861419677734,40.35953140258789,44.623165130615234,48.568153381347656,52.63628005981445,63.69941329956055,80.73382568359375,113.73849487304688,159.4336395263672,180.4032440185547,186.42535400390625,252.5194091796875,354.04327392578125,388.6432800292969,425.51922607421875,607.8657836914062,716.745361328125,912.6138916015625,807.5103149414062,798.242431640625,879.6758422851562,1167.994140625,908.3984985351562,1012.6981201171875,1025.81689453125,1119.9041748046875,1473.89208984375,1143.697998046875,1271.8258056640625,1125.9200439453125,1173.853271484375,1170.1756591796875,1119.9061279296875,904.3001708984375,1263.585205078125,1251.8623046875,1292.9481201171875,1271.4859619140625,1456.8258056640625,1504.5028076171875,1460.146728515625,1927.10546875,1661.146728515625,2024.71484375,1604.0841064453125,1578.5345458984375,1595.0191650390625,1446.6712646484375,1591.927001953125,1906.0230712890625,2067.412353515625,1840.27197265625,1474.422607421875,1631.1025390625,1631.5550537109375,1438.334716796875,1736.19482421875,1691.56201171875,1706.5101318359375,1587.130126953125,1262.124755859375,1209.77197265625,1138.7442626953125,1204.66357421875,1456.920654296875,1143.735595703125,953.780029296875,970.898193359375,1301.06103515625,1203.966552734375,1070.9127197265625,1016.5430297851562,712.95361328125,814.0250854492188,796.6535034179688,738.7767333984375,663.6988525390625,551.2763061523438,566.9406127929688,517.8760375976562,616.4669189453125,677.6754150390625,499.6768798828125,468.0285949707031,392.0009765625,450.5394592285156,383.8528137207031,450.1643371582031,455.9554748535156,337.1503601074219,353.52069091796875,345.6390380859375,266.78338623046875,279.0992736816406,230.791015625,274.2878112792969,247.86712646484375,240.5956573486328,280.08758544921875,276.10382080078125,205.7492218017578,204.29066467285156,184.35304260253906
"S4",445.6165771484375,422.0013427734375,407.68890380859375,400.7825012207031,361.70001220703125,303.5516357421875,323.4824523925781,325.6270446777344,367.33709716796875,370.7977294921875,357.60321044921875,361.38800048828125,253.18545532226562,291.4071044921875,368.1749572753906,358.3804016113281,332.7203369140625,345.1376037597656,329.7908935546875,254.9716339111328,272.9808654785156,234.13804626464844,236.71875,223.1931610107422,192.46844482421875,190.06787109375,195.83030700683594,188.0779266357422,189.29458618164062,197.96205139160156,183.3314971923828,195.8756103515625,200.1976776123047,180.0536651611328,186.14962768554688,211.10049438476562,207.41404724121094,261.1421203613281,238.6405487060547,255.25152587890625,261.0036926269531,290.1714782714844,340.8782043457031,423.83282470703125,576.9533081054688,836.8428955078125,1082.1715087890625,1167.684326171875,1286.22314453125,1867.6087646484375,1968.5618896484375,1831.8436279296875,2045.07080078125,2267.4013671875,2390.830322265625,2358.475830078125,2236.11474609375,2407.75927734375,2356.822265625,2066.9736328125,2360.40673828125,2466.56005859375,2555.1279296875,2848.8876953125,2502.82568359375,2667.408203125,2446.90380859375,2495.929931640625,3015.909912109375,3111.717529296875,2174.60400390625,3081.9462890625,2517.673828125,2416.451904296875,2176.40478515625,2474.199462890625,2401.054443359375,2423.773681640625,3512.20947265625,3151.469970703125,2829.220703125,2788.08349609375,2249.160400390625,2491.94189453125,2196.57470703125,2542.493408203125,2848.843994140625,3029.234619140625,2748.654296875,2731.9228515625,2581.22900390625,2513.738525390625,2437.105712890625,2532.657470703125,2773.3408203125,2894.141845703125,2669.125732421875,2267.283203125,2144.199462890625,2007.8173828125,2309.0166015625,2328.258056640625,1920.5418701171875,1893.59765625,1882.4163818359375,2245.877197265625,2278.065673828125,1964.39111328125,2171.650146484375,1709.89794921875,2319.106689453125,2439.8447265625,2209.723388671875,2163.341796875,1910.9569091796875,1832.39208984375,1714.3759765625,1793.3868408203125,1541.0673828125,1313.22900390625,1239.0390625,1218.9354248046875,1139.2344970703125,1135.548828125,1670.971435546875,1234.5692138671875,989.2164916992188,930.906982421875,894.7486572265625,719.255859375,741.4014892578125,606.4015502929688,765.377685546875,709.6715698242188,841.1727905273438,1028.1151123046875,783.99169921875,631.2906494140625,616.895263671875,512.757568359375
"S5",784.3076782226562,604.2066650390625,505.2298583984375,696.6023559570312,572.4078369140625,504.6485595703125,401.5919494628906,396.4290771484375,443.4200134277344,548.1588745117188,610.4473266601562,657.3281860351562,410.136962890625,315.0190734863281,345.9709777832031,283.2201843261719,276.9249267578125,350.03985595703125,272.01202392578125,263.51080322265625,264.61907958984375,238.2918701171875,249.27394104003906,246.38304138183594,209.16937255859375,224.17138671875,215.7627716064453,213.94882202148438,250.6387939453125,241.15005493164062,224.63323974609375,238.42027282714844,238.60748291015625,201.32493591308594,209.89334106445312,218.8926239013672,210.00250244140625,242.4359588623047,241.02662658691406,251.91831970214844,251.39315795898438,277.0034484863281,325.6690979003906,484.915771484375,586.5464477539062,655.5806884765625,1043.6871337890625,898.33056640625,1283.52197265625,1543.701904296875,1263.696533203125,1705.171142578125,1785.845458984375,2361.77978515625,1660.32958984375,1715.981689453125,1327.9385986328125,1324.72265625,1315.6182861328125,1286.352783203125,1763.720458984375,1612.8375244140625,1504.809326171875,1244.2667236328125,1313.4281005859375,1411.6409912109375,1271.409912109375,1217.7127685546875,1777.225341796875,1502.0357666015625,1183.727294921875,1334.196044921875,1147.0914306640625,1212.5736083984375,1139.0283203125,1302.3106689453125,1103.6771240234375,1127.7525634765625,1373.8946533203125,1143.5614013671875,1163.1640625,1244.5438232421875,1239.830810546875,1471.27685546875,1240.3031005859375,1242.9493408203125,1259.9505615234375,1283.419189453125,1253.735107421875,1474.8759765625,1332.6650390625,1131.6292724609375,1096.505126953125,1111.3023681640625,1223.5731201171875,1240.84130859375,1143.21142578125,1184.311279296875,1084.7916259765625,1025.807861328125,1175.5596923828125,1078.3804931640625,1075.6959228515625,1103.9835205078125,1084.50390625,1112.4541015625,1180.1611328125,1160.9339599609375,1304.537841796875,1113.27294921875,1194.5380859375,1471.9942626953125,1424.59912109375,1255.2958984375,1238.994140625,1164.12841796875,1265.6072998046875,1130.8079833984375,1060.2320556640625,1361.0738525390625,1180.1497802734375,1347.56787109375,1274.519287109375,1281.6883544921875,1469.9808349609375,1274.6658935546875,1193.107666015625,1148.7781982421875,1227.2322998046875,1062.4261474609375,1122.5589599609375,1080.5869140625,1098.6962890625,1019.61572265625,1029.8514404296875,1126.5338134765625,1029.13037109375,961.22802734375,859.9207763671875,1041.72705078125
"S6",818.2305297851562,614.3009643554688,543.8057250976562,753.84033203125,620.8016357421875,535.335205078125,413.25994873046875,391.3345947265625,441.2862854003906,523.1026000976562,580.8895874023438,633.9848022460938,407.2603454589844,309.94366455078125,346.9310302734375,251.3544158935547,284.0326843261719,351.5361633300781,250.1573486328125,260.8227233886719,241.33934020996094,226.58856201171875,246.47238159179688,244.14913940429688,207.48007202148438,231.57240295410156,216.8425750732422,213.8280487060547,261.881103515625,252.09437561035156,235.75733947753906,245.5355987548828,247.8648681640625,207.60577392578125,213.70603942871094,211.02886962890625,191.7387237548828,215.41448974609375,210.9748992919922,228.0264892578125,226.4306640625,241.54891967773438,353.7663269042969,488.74041748046875,526.3831787109375,525.615966796875,844.5858764648438,693.750244140625,1281.8323974609375,1396.3238525390625,1096.774658203125,1536.0301513671875,1453.3857421875,1768.1064453125,1461.2984619140625,1409.28857421875,1169.23046875,1146.130859375,1162.6265869140625,1143.40478515625,1415.4927978515625,1294.030517578125,1220.94189453125,1080.3408203125,1139.6055908203125,1192.062255859375,1057.6363525390625,1024.3701171875,1521.8612060546875,1288.545166015625,1015.9495239257812,1141.4102783203125,945.9723510742188,975.2609252929688,895.2687377929688,1047.0758056640625,876.3824462890625,928.1868896484375,1088.3223876953125,982.9578857421875,926.9454956054688,1034.31884765625,1097.9136962890625,1229.7357177734375,1079.6295166015625,1084.143310546875,1098.347900390625,1069.4267578125,1065.0352783203125,1133.81787109375,1143.352783203125,982.4747924804688,948.6397705078125,914.7072143554688,1022.3004760742188,1071.81787109375,960.79248046875,996.3504028320312,929.0655517578125,873.8114624023438,992.6214599609375,899.0027465820312,905.5601806640625,893.6305541992188,904.89306640625,951.9645385742188,1034.412841796875,1041.37939453125,1186.3193359375,1023.3721313476562,984.3711547851562,1337.6072998046875,1250.470703125,1126.399169921875,1086.9373779296875,1126.0069580078125,1054.43896484375,1087.40283203125,1056.2581787109375,1257.767578125,1119.614990234375,1293.805419921875,1214.12255859375,1239.4979248046875,1386.7364501953125,1171.7730712890625,1168.2828369140625,1327.6600341796875,1426.143798828125,1202.568359375,1133.253662109375,1161.448486328125,1174.56640625,1099.1435546875,994.7626342773438,1071.2281494140625,998.1126708984375,999.39697265625,978.2438354492188,1135.5914306640625
"S7",581.5462646484375,459.8745422363281,475.97869873046875,575.9387817382812,464.4786071777344,385.7092590332031,342.3422546386719,329.998046875,325.727783203125,342.603271484375,320.6929016113281,339.12860107421875,297.4808349609375,281.2575378417969,308.6503601074219,232.93527221679688,238.48114013671875,226.42034912109375,226.68917846679688,207.91810607910156,200.92601013183594,190.3897705078125,198.07476806640625,185.82705688476562,162.44247436523438,175.7168426513672,173.02706909179688,173.48171997070312,182.1411590576172,180.6044158935547,179.31170654296875,172.52976989746094,176.16224670410156,161.21273803710938,165.62322998046875,164.1696319580078,174.0388641357422,191.7417755126953,190.7875213623047,211.73988342285156,206.0302734375,215.47801208496094,326.6820068359375,344.8036193847656,369.08843994140625,459.3646545410156,687.6267700195312,599.6978149414062,885.029296875,1056.7119140625,1098.485595703125,1321.8922119140625,1304.88037109375,1347.51318359375,1230.586669921875,1153.91552734375,1038.7232666015625,1129.80615234375,1190.30322265625,1195.6268310546875,1421.3349609375,1274.753662109375,1223.6285400390625,1112.0694580078125,1045.5240478515625,1118.4945068359375,1042.5810546875,1026.0167236328125,1269.5615234375,1092.21337890625,1077.376953125,1112.522216796875,983.072265625,1035.4310302734375,940.2125244140625,1086.1370849609375,913.889404296875,963.6683349609375,1087.7127685546875,982.9578857421875,940.8433837890625,1073.1844482421875,1197.5528564453125,1310.23046875,1146.2872314453125,1103.9283447265625,1101.141845703125,1067.485107421875,1042.31298828125,1122.6845703125,1167.6322021484375,1022.3775634765625,967.474853515625,947.8172607421875,1018.7764892578125,1079.5999755859375,976.0296630859375,1059.12841796875,998.1080322265625,934.20751953125,1059.1065673828125,948.880615234375,955.1687622070312,947.9569702148438,958.3697509765625,1018.7605590820312,1110.834716796875,1031.58544921875,1175.342529296875,1031.3780517578125,983.6127319335938,1372.227783203125,1321.41259765625,1197.6309814453125,1094.555908203125,1115.952392578125,1006.3212280273438,1123.2886962890625,1000.88916015625,1307.5662841796875,1102.4893798828125,1177.84130859375,1128.1168212890625,1143.51318359375,1090.0125732421875,1307.8333740234375,1158.21142578125,1008.7210693359375,960.5379638671875,937.3075561523438,1020.7588500976562,978.1264038085938,971.6511840820312,934.33154296875,853.3110961914062,819.796630859375,766.3824462890625,785.1705322265625,846.968505859375,968.9441528320312
"S8",558.9754028320312,473.11090087890625,475.74298095703125,519.6705322265625,470.3813781738281,401.4926452636719,342.0828857421875,288.2008056640625,296.34844970703125,329.4168701171875,299.34307861328125,318.94610595703125,286.7486267089844,245.0180206298828,244.6868133544922,221.8844757080078,249.24830627441406,216.3155517578125,198.2717742919922,183.93328857421875,184.13600158691406,191.6852569580078,193.81495666503906,187.53416442871094,170.53599548339844,172.7565460205078,176.7442626953125,169.14120483398438,165.7223663330078,164.7655487060547,168.0793914794922,164.77915954589844,173.71998596191406,166.9657440185547,174.01222229003906,172.3404541015625,174.41802978515625,193.32630920410156,186.4574737548828,217.19525146484375,227.96420288085938,230.7188262939453,339.96527099609375,327.3236999511719,341.2373962402344,445.2209777832031,702.2733764648438,667.508544921875,814.3318481445312,1074.66064453125,1313.788330078125,1382.4100341796875,1361.8162841796875,1346.3519287109375,1301.2705078125,1203.42236328125,1193.1016845703125,1300.30859375,1417.185791015625,1484.1676025390625,1493.7545166015625,1359.669677734375,1403.9320068359375,1364.449951171875,1192.3427734375,1279.765869140625,1356.8687744140625,1272.6778564453125,1389.3907470703125,1218.5584716796875,1298.0184326171875,1280.860107421875,1533.8260498046875,1953.8360595703125,1725.0289306640625,1917.8927001953125,1593.1324462890625,1463.2935791015625,1278.612548828125,1306.2164306640625,1718.6981201171875,1580.794677734375,1505.9189453125,1500.7103271484375,1474.93505859375,1389.3453369140625,1288.79248046875,1221.1614990234375,1180.3302001953125,1195.1441650390625,1385.61328125,1279.6197509765625,1245.208740234375,1441.1600341796875,1365.544189453125,1338.4342041015625,1397.8876953125,1620.81396484375,1363.3052978515625,1405.08837890625,1588.2191162109375,1369.1351318359375,1514.4871826171875,1884.5498046875,1701.15869140625,1406.40576171875,1345.8731689453125,1468.3812255859375,1468.43017578125,1738.41943359375,1464.61572265625,1633.4776611328125,1501.8636474609375,1408.888427734375,1604.6583251953125,1582.3944091796875,1429.5228271484375,1554.7607421875,1453.36669921875,1355.9940185546875,1296.9827880859375,1129.9986572265625,1085.494140625,1159.41162109375,1079.021728515625,1431.4803466796875,1123.6173095703125,1011.4180297851562,924.44091796875,898.6607666015625,1028.067626953125,981.569580078125,1076.203369140625,1016.011474609375,920.509765625,861.2097778320312,749.5419311523438,785.44140625,888.896240234375,928.0728759765625
"S9",558.9754028320312,479.93890380859375,450.1106262207031,478.2872619628906,432.7431945800781,373.700439453125,333.545654296875,272.602783203125,289.9852600097656,306.4294128417969,283.7200012207031,297.8727111816406,290.96551513671875,274.750244140625,271.4519958496094,244.81005859375,250.52162170410156,234.93084716796875,219.24623107910156,212.86407470703125,209.00213623046875,205.45265197753906,198.5228729248047,191.95779418945312,183.2378692626953,185.73614501953125,172.85809326171875,175.18226623535156,168.7852325439453,169.53025817871094,171.39913940429688,152.55767822265625,171.7660675048828,180.63494873046875,170.35076904296875,181.11048889160156,190.75265502929688,196.6953887939453,201.26185607910156,240.10618591308594,255.69888305664062,240.69345092773438,283.3797607421875,337.5235900878906,402.4649658203125,485.2969665527344,743.4053955078125,806.68701171875,1107.7362060546875,1370.6422119140625,1510.9169921875,1549.4837646484375,1620.202392578125,1762.3232421875,1650.60009765625,1575.188720703125,1599.4715576171875,1727.270751953125,1951.6695556640625,2025.736572265625,2003.559814453125,1859.7918701171875,2056.940185546875,1843.747314453125,1597.89599609375,1678.24169921875,1796.6907958984375,1715.2286376953125,1919.4100341796875,1657.6239013671875,1752.93994140625,1726.5140380859375,2161.34912109375,2468.9365234375,2279.900390625,2416.649169921875,2154.14794921875,1986.444580078125,1832.1082763671875,1970.637451171875,2237.71484375,2163.17578125,2190.05224609375,2159.8447265625,2125.0146484375,1960.89501953125,1793.0496826171875,1697.7454833984375,1602.8248291015625,1631.192138671875,1826.2957763671875,1675.115478515625,1559.447021484375,1796.8023681640625,1680.747314453125,1665.981689453125,1835.353759765625,1987.6348876953125,1786.0902099609375,1710.4415283203125,2000.0858154296875,1880.0579833984375,1914.4354248046875,2520.1953125,2257.801513671875,2083.6689453125,1829.438232421875,1818.7445068359375,1944.578857421875,1974.829345703125,1568.622802734375,1883.0496826171875,1851.5472412109375,1640.3656005859375,1930.1971435546875,1817.9212646484375,1550.8465576171875,1539.84716796875,1551.33349609375,1306.14501953125,1398.04150390625,1162.616455078125,1304.0850830078125,1593.0775146484375,1464.275146484375,1496.2305908203125,1331.8974609375,1194.063720703125,1118.3031005859375,1110.1959228515625,1249.14697265625,1252.251953125,1188.492431640625,1211.796875,1156.0654296875,978.03857421875,796.8300170898438,849.5660400390625,964.1412353515625,1062.849853515625
