"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",102.7071304321289,90.41702270507812,92.20985412597656,82.15087890625,83.02649688720703,86.17184448242188,84.00476837158203,73.68362426757812,74.74449920654297,65.79492950439453,75.91259002685547,75.33655548095703,64.29871368408203,67.77831268310547,69.62496948242188,59.70914077758789,61.540489196777344,72.16405487060547,82.4766616821289,77.36129760742188,64.16114044189453,62.0574951171875,59.309730529785156,66.44924926757812,61.654747009277344,61.83529281616211,60.9965705871582,61.604496002197266,59.169925689697266,63.552696228027344,54.571929931640625,57.809242248535156,63.0195426940918,59.438472747802734,57.82014083862305,62.255706787109375,57.44105911254883,70.75328063964844,67.87012481689453,74.21888732910156,76.3541259765625,82.33688354492188,85.38904571533203,83.03504180908203,107.81632995605469,116.3574447631836,123.37409973144531,126.23828887939453,141.38058471679688,142.19308471679688,153.46212768554688,198.3302764892578,235.1294403076172,265.1464538574219,278.5215148925781,260.0006103515625,284.8183898925781,284.5213623046875,281.2206726074219,342.0372314453125,312.1914367675781,332.5472717285156,366.4962158203125,432.5792541503906,375.5130920410156,387.7889709472656,380.1053771972656,395.5079345703125,383.2850341796875,403.85516357421875,389.65399169921875,425.5000305175781,406.2148132324219,433.9129333496094,454.7955322265625,421.18109130859375,408.3476867675781,435.19647216796875,465.7383117675781,436.5091857910156,424.06781005859375,379.27777099609375,424.2710266113281,410.7543029785156,447.0767822265625,385.8921813964844,432.5184020996094,468.8668212890625,451.1480712890625,415.08953857421875,425.7965087890625,384.2396545410156,399.10308837890625,447.5547790527344,453.3863525390625,407.9272766113281,420.39593505859375,383.31597900390625,409.9934387207031,399.717529296875,448.6666259765625,487.8348693847656,453.6676025390625,380.75262451171875,395.544189453125,368.81207275390625,368.78741455078125,397.7191467285156,363.1094970703125,336.3715515136719,300.1567687988281,278.3887939453125,265.8862609863281,261.1132507324219,248.27734375,260.8060607910156,224.63885498046875,232.05059814453125,248.71534729003906,213.41781616210938,224.181640625,222.88937377929688,206.0684051513672,170.68270874023438,201.0373077392578,230.7846221923828,150.23313903808594,166.1999969482422,170.51177978515625,165.9162139892578,148.11231994628906,155.30955505371094,150.2820281982422,155.25677490234375,119.61621856689453,164.98362731933594,161.545654296875,135.4577178955078,133.136474609375,137.73948669433594
"S1",53.600135803222656,47.81621170043945,37.353519439697266,37.48993682861328,39.78764724731445,37.766109466552734,49.00459289550781,37.44847106933594,40.291011810302734,38.22430419921875,37.44847106933594,35.794010162353516,35.97581481933594,41.80927276611328,36.11579132080078,36.02118682861328,32.95143127441406,32.675045013427734,39.140140533447266,35.65790557861328,33.17839431762695,33.26930618286133,33.82200241088867,30.426530838012695,32.85676193237305,30.7937068939209,30.748310089111328,33.360111236572266,33.82590866088867,28.087316513061523,33.26930618286133,31.80450439453125,29.923179626464844,38.26959991455078,30.657550811767578,35.65790557861328,36.38837432861328,35.24534606933594,31.391923904418945,36.71018981933594,40.109432220458984,42.267032623291016,45.84028625488281,49.425254821777344,70.93225860595703,64.19515991210938,73.8443374633789,63.101566314697266,82.46337127685547,80.72213745117188,68.41564178466797,134.25685119628906,186.22740173339844,181.54510498046875,240.93309020996094,196.92124938964844,204.44215393066406,205.04086303710938,229.9966583251953,307.0019226074219,272.7876892089844,244.5845947265625,284.5255126953125,469.6523742675781,367.236572265625,381.46221923828125,343.57598876953125,398.1093444824219,312.8691711425781,396.55340576171875,380.26171875,427.56219482421875,420.11358642578125,436.2304382324219,456.1561584472656,395.0140380859375,410.02703857421875,439.4932861328125,504.4970397949219,458.2823791503906,474.9492492675781,410.54327392578125,430.39703369140625,408.65777587890625,467.1885986328125,394.1485290527344,418.4194030761719,509.29180908203125,470.1639709472656,430.00360107421875,428.79156494140625,345.76214599609375,390.6954345703125,441.4295654296875,458.9058837890625,419.1420593261719,409.1410217285156,372.3571472167969,371.8123779296875,329.2440185546875,432.678466796875,404.2475891113281,347.40093994140625,322.2381896972656,333.29449462890625,299.1479187011719,258.7344055175781,294.2831726074219,258.3280944824219,217.7356414794922,166.11936950683594,149.9757843017578,152.14161682128906,156.17259216308594,147.87527465820312,140.35455322265625,132.3713836669922,117.91921997070312,158.8533172607422,125.97160339355469,120.48950958251953,113.35128784179688,119.44174194335938,105.9881820678711,107.9759292602539,89.79879760742188,96.3466567993164,100.67781066894531,96.26757049560547,82.12548065185547,89.25379943847656,79.83545684814453,99.70079040527344,84.9760513305664,69.88034057617188,131.88934326171875,113.04296112060547,68.82808685302734,65.19779205322266,79.88867950439453
"S2",95.7764663696289,103.66014862060547,87.08692169189453,82.5850601196289,90.98339080810547,90.53160858154297,91.85449981689453,91.91991424560547,100.1864242553711,96.32575988769531,87.29244232177734,86.32182312011719,76.27147674560547,89.90928649902344,81.80087280273438,84.56098937988281,74.92909240722656,78.81700897216797,86.21537780761719,83.36290740966797,82.8110122680664,73.42916870117188,72.8697280883789,67.17479705810547,67.48241424560547,64.04344940185547,65.74662017822266,66.4544677734375,65.28775024414062,64.36576080322266,63.48434066772461,68.72024536132812,64.47510528564453,66.49610137939453,64.47152709960938,70.75696563720703,69.62256622314453,74.88758850097656,72.08482360839844,76.6865463256836,79.04895782470703,82.94141387939453,92.22988891601562,102.80139923095703,125.632080078125,144.33489990234375,150.31834411621094,150.36529541015625,181.49005126953125,213.9525146484375,209.25006103515625,238.78335571289062,282.7134094238281,299.7679748535156,341.50177001953125,305.0566101074219,306.6699523925781,326.17529296875,317.6972351074219,360.8264465332031,359.5819091796875,365.2382507324219,385.20086669921875,562.992431640625,425.17608642578125,431.0623779296875,398.9996032714844,460.0834045410156,425.29156494140625,492.8583068847656,420.60516357421875,540.1436157226562,471.5469665527344,476.9137878417969,474.8788146972656,477.1051025390625,476.9543762207031,487.9073181152344,537.1327514648438,587.7098388671875,563.9855346679688,488.7694396972656,472.6954040527344,460.5508728027344,468.9922180175781,465.8047180175781,516.0429077148438,625.1200561523438,512.208251953125,514.7344360351562,470.81610107421875,448.2382507324219,452.3008117675781,518.4258422851562,481.9739074707031,527.588623046875,476.6480712890625,438.7581787109375,440.6927795410156,408.6304016113281,484.6689758300781,478.7591552734375,387.7500305175781,371.48004150390625,398.1600341796875,403.43096923828125,395.6918029785156,372.9398193359375,362.03765869140625,304.11279296875,346.9278259277344,304.6381530761719,303.3575439453125,291.15570068359375,256.1783142089844,261.2266845703125,228.6557159423828,250.58270263671875,246.87841796875,208.49876403808594,206.82025146484375,201.34194946289062,201.89849853515625,195.68539428710938,240.73828125,180.0553741455078,170.79385375976562,172.10670471191406,169.61912536621094,147.59005737304688,155.99407958984375,137.56863403320312,156.97242736816406,155.9695281982422,167.3036346435547,215.53314208984375,161.6554718017578,137.59271240234375,124.62297821044922,121.25853729248047
"S3",208.37437438964844,237.73031616210938,214.8634796142578,199.34747314453125,216.4966583251953,221.39837646484375,202.62770080566406,221.4159698486328,242.6230010986328,232.83343505859375,209.17193603515625,211.6009521484375,182.20199584960938,205.43869018554688,197.71270751953125,205.87889099121094,183.8507080078125,196.90216064453125,203.4237823486328,200.9960479736328,205.05197143554688,178.94212341308594,177.33079528808594,167.49810791015625,161.7792510986328,156.9080047607422,161.96189880371094,158.5193328857422,156.92669677734375,164.22071838378906,148.73345947265625,167.5127716064453,160.96092224121094,149.5324249267578,159.3603057861328,167.4776153564453,164.23728942871094,182.3875732421875,181.3895263671875,183.03904724121094,186.30581665039062,196.91790771484375,214.8802947998047,240.91783142089844,270.59906005859375,346.72052001953125,332.7752380371094,357.9944152832031,418.0196533203125,504.2268371582031,521.3203735351562,476.0469055175781,512.979248046875,567.0233764648438,575.683349609375,547.437744140625,546.7842407226562,592.7687377929688,514.119873046875,508.6667175292969,565.1757202148438,638.7234497070312,619.745849609375,738.7430419921875,583.6835327148438,569.160400390625,560.198974609375,626.0938110351562,680.014892578125,714.8680419921875,558.0769653320312,791.3523559570312,619.8397827148438,600.6836547851562,560.1207885742188,668.5106811523438,642.8739624023438,623.8898315429688,655.128662109375,880.7031860351562,768.8646240234375,672.1834106445312,600.570068359375,611.21875,523.5628051757812,663.4265747070312,751.9844360351562,880.9091186523438,645.2969360351562,714.0938110351562,601.5750732421875,696.9765625,631.7391967773438,708.1830444335938,594.027587890625,783.8094482421875,660.039306640625,638.750244140625,644.3750610351562,619.8445434570312,669.320068359375,686.0811157226562,525.581787109375,530.204345703125,570.812255859375,674.7549438476562,697.5654907226562,581.8133544921875,619.515869140625,520.7227172851562,738.3074340820312,648.1016235351562,634.0205078125,582.3602905273438,511.9853210449219,529.0077514648438,446.36077880859375,538.0000610351562,455.1434020996094,400.919189453125,406.0585632324219,405.161376953125,381.6717529296875,400.96844482421875,518.0938110351562,378.8304748535156,353.3637390136719,344.50640869140625,343.3637390136719,306.1620788574219,320.73876953125,278.9803466796875,306.11181640625,325.3012390136719,376.6402587890625,411.4300842285156,293.89019775390625,295.1602783203125,276.3536376953125,237.19985961914062
"S4",240.28326416015625,247.92562866210938,212.2634735107422,226.04421997070312,213.58982849121094,223.00054931640625,221.40252685546875,212.21078491210938,227.63462829589844,210.09042358398438,235.7187042236328,233.56654357910156,179.24928283691406,209.75648498535156,190.70111083984375,187.48631286621094,186.38888549804688,188.73516845703125,189.37173461914062,201.40493774414062,190.46290588378906,172.47747802734375,176.33482360839844,166.34275817871094,162.39842224121094,164.68748474121094,168.0673370361328,160.89849853515625,162.90232849121094,166.87696838378906,160.75885009765625,162.30641174316406,165.81761169433594,155.82057189941406,159.38011169433594,168.48240661621094,165.45013427734375,172.29776000976562,179.42861938476562,173.27732849121094,178.53143310546875,184.66400146484375,206.25584411621094,226.5116729736328,304.8144836425781,309.0116882324219,472.4375305175781,453.0472412109375,347.6405944824219,427.3793029785156,446.1091003417969,397.45831298828125,418.6235656738281,443.9386291503906,454.25250244140625,437.2798767089844,444.9610595703125,457.2603454589844,439.7006530761719,417.66046142578125,450.5833740234375,494.3320617675781,479.1604309082031,530.5146484375,467.4221496582031,483.20672607421875,467.7109069824219,470.6093444824219,516.4561157226562,549.6445922851562,414.2604675292969,573.8632202148438,469.2646179199219,460.0781555175781,433.9844970703125,489.5615234375,475.6175537109375,471.35028076171875,648.6367797851562,578.3711547851562,540.4949340820312,514.0282592773438,430.0933532714844,479.2017822265625,431.07281494140625,498.3096618652344,547.3308715820312,617.1171264648438,493.2197265625,522.2659301757812,481.4804382324219,493.334716796875,482.0546569824219,506.2587585449219,545.0114135742188,546.9647827148438,489.928466796875,446.87640380859375,460.9598693847656,450.1104431152344,483.5966491699219,489.4768371582031,415.3589782714844,423.8519287109375,427.9961853027344,484.2450866699219,495.3505859375,420.6792907714844,466.7851867675781,395.2113342285156,529.3603515625,483.1614074707031,472.5744934082031,462.2776184082031,424.8086242675781,414.54449462890625,419.1562194824219,409.5414733886719,374.5157165527344,361.5395202636719,356.5312194824219,370.44366455078125,343.4516906738281,362.5141906738281,470.29656982421875,328.8712158203125,315.81103515625,292.20941162109375,319.0587158203125,294.10113525390625,324.12255859375,286.2128601074219,289.26605224609375,296.6816101074219,322.5683898925781,343.3087158203125,305.2266845703125,278.8709411621094,308.01519775390625,248.83969116210938
"S5",287.3373718261719,272.6430358886719,222.42828369140625,274.04742431640625,232.6764678955078,234.41079711914062,241.9570770263672,213.43484497070312,223.08204650878906,210.7421875,274.0405578613281,266.5970764160156,185.98516845703125,214.5833740234375,193.50961303710938,175.98240661621094,194.67059326171875,192.58676147460938,181.21112060546875,203.9040985107422,179.74412536621094,172.90623474121094,184.09396362304688,172.22142028808594,166.56954956054688,178.33314514160156,175.80149841308594,167.03123474121094,176.49720764160156,172.35960388183594,173.68870544433594,164.6826171875,175.9676971435547,165.77853393554688,168.05545043945312,171.39541625976562,166.87109375,168.40032958984375,181.24420166015625,169.72958374023438,177.18548583984375,181.74810791015625,203.4595947265625,231.1815948486328,328.9571533203125,277.0058898925781,562.7070922851562,502.3397521972656,323.1427001953125,380.6188659667969,380.1383056640625,361.54852294921875,370.1155090332031,384.9923095703125,366.25921630859375,389.28289794921875,369.9375,354.2279968261719,387.04644775390625,365.5898742675781,393.7434387207031,392.68121337890625,371.584228515625,357.87542724609375,388.61163330078125,426.1186218261719,396.1128845214844,351.58843994140625,415.6147155761719,412.8176574707031,321.2947998046875,402.9023132324219,350.646728515625,361.3593444824219,349.7890930175781,352.7833557128906,345.67718505859375,358.8086242675781,623.105712890625,328.0313720703125,355.0686340332031,388.8124694824219,314.8671569824219,388.96722412109375,369.61370849609375,381.62628173828125,377.4727478027344,389.75421142578125,379.4436340332031,383.7503662109375,385.52374267578125,344.7130126953125,377.5367431640625,347.9371032714844,474.9620361328125,363.2209777832031,362.2435607910156,327.2716064453125,338.4373779296875,324.71533203125,354.5052795410156,339.9705505371094,349.3315734863281,359.5429382324219,331.7560119628906,341.5585632324219,352.072509765625,322.21826171875,366.15765380859375,325.1405944824219,363.94757080078125,369.6302490234375,363.56085205078125,376.7047119140625,373.3111267089844,347.6817932128906,435.84515380859375,325.1387634277344,338.91546630859375,365.2513427734375,343.51715087890625,374.7251892089844,348.8246765136719,353.5352783203125,442.1562805175781,322.5375061035156,315.1011657714844,297.98980712890625,341.9062194824219,310.33642578125,355.7513732910156,321.0492248535156,303.0003967285156,306.1546936035156,297.8592529296875,303.8398132324219,347.2602233886719,288.15081787109375,348.0366516113281,297.5864562988281
"S6",294.4316711425781,249.8282470703125,223.24285888671875,324.1816101074219,251.39503479003906,234.56381225585938,192.57440185546875,204.7130889892578,228.4185028076172,270.0235900878906,276.4975891113281,284.23577880859375,179.3678741455078,163.06422424316406,194.41790771484375,150.74021911621094,166.26248168945312,210.5587921142578,150.0339813232422,168.3224639892578,160.4376983642578,152.960205078125,164.75978088378906,162.42015075683594,145.16038513183594,156.8994598388672,151.31353759765625,153.44947814941406,170.70028686523438,157.8488311767578,151.86790466308594,158.61920166015625,158.45802307128906,140.07345581054688,148.47467041015625,142.35833740234375,138.21189880371094,145.98854064941406,148.58079528808594,149.04681396484375,141.14154052734375,144.49777221679688,178.91970825195312,252.26365661621094,208.5429229736328,211.34249877929688,273.1879577636719,226.85353088378906,415.99639892578125,398.7601318359375,255.74560546875,484.9333190917969,417.908935546875,549.2959594726562,314.2582092285156,401.3711242675781,271.9551086425781,310.0780334472656,307.81396484375,324.7305908203125,493.0635681152344,339.8090515136719,320.9781188964844,276.7540283203125,332.0703430175781,302.47308349609375,287.1191711425781,306.7876281738281,403.8550720214844,319.6792297363281,289.4121398925781,316.0255126953125,284.45550537109375,307.0894470214844,296.6075439453125,331.1020812988281,279.1502685546875,301.7143249511719,312.4317626953125,290.6421813964844,291.40093994140625,328.6309814453125,340.9570617675781,363.411865234375,294.0957336425781,299.9454345703125,317.5738220214844,331.9353942871094,325.6246337890625,399.4683532714844,298.6850280761719,279.9669189453125,288.4005126953125,294.9746398925781,309.0587158203125,314.3598937988281,286.1484069824219,329.0229797363281,300.3458251953125,300.5957336425781,318.6859436035156,286.1912841796875,311.4058532714844,285.12457275390625,323.97216796875,298.224609375,354.55291748046875,329.5408935546875,353.990478515625,322.2418212890625,318.4996032714844,402.1480407714844,394.25811767578125,316.0663757324219,326.2403259277344,315.1664123535156,333.3594970703125,315.5487976074219,340.7602233886719,429.0180358886719,337.0254821777344,389.1510925292969,378.4126892089844,365.224853515625,385.2473449707031,376.6367492675781,356.21307373046875,409.85577392578125,477.7044677734375,327.9351501464844,327.2789306640625,365.07769775390625,336.00628662109375,345.2495422363281,332.9395446777344,350.455322265625,330.4276123046875,317.9145202636719,283.6094970703125,371.3011474609375
"S7",289.09124755859375,259.0659484863281,268.7983703613281,276.4173889160156,269.2602233886719,250.61524963378906,206.90623474121094,206.61529541015625,200.66098022460938,224.1537322998047,203.77163696289062,212.4552764892578,195.02276611328125,172.5529327392578,177.13279724121094,171.5427703857422,191.40560913085938,159.327392578125,160.1218719482422,155.48529052734375,160.44825744628906,164.64935302734375,158.910888671875,159.5967254638672,153.72064208984375,144.89251708984375,161.157470703125,150.32029724121094,140.46803283691406,147.8449249267578,148.77630615234375,146.93157958984375,151.75904846191406,137.1452178955078,148.07740783691406,141.56732177734375,142.83396911621094,156.4141082763672,147.08204650878906,154.53802490234375,160.5197296142578,157.99314880371094,237.13104248046875,188.55450439453125,198.89569091796875,235.50782775878906,305.2593688964844,244.81005859375,263.8164367675781,273.6117858886719,259.0838317871094,322.0687561035156,271.9576110839844,345.5805358886719,283.5662841796875,264.9961242675781,291.2266845703125,260.44482421875,258.7271423339844,267.3419189453125,269.2573547363281,263.1959228515625,248.9412841796875,282.1387023925781,274.9061279296875,255.40086364746094,288.5879211425781,274.5040283203125,294.0014343261719,270.70062255859375,265.09912109375,246.7174072265625,288.6698913574219,363.01129150390625,291.48382568359375,347.27203369140625,258.9530944824219,282.77777099609375,233.0559539794922,261.0201416015625,364.62335205078125,265.8755798339844,261.0755615234375,265.0115966796875,283.8494873046875,264.9197998046875,251.38656616210938,260.2583923339844,263.7322998046875,251.23045349121094,278.1307373046875,263.1152038574219,264.2720642089844,286.77593994140625,281.1499328613281,272.7455139160156,262.2402648925781,307.73291015625,258.2259521484375,284.5669250488281,294.7987060546875,263.66748046875,304.4901123046875,323.2909851074219,293.3998718261719,242.97068786621094,276.1152648925781,368.8636474609375,316.9331359863281,342.0039367675781,318.9551086425781,331.3438720703125,312.6367492675781,293.3299560546875,337.4371337890625,402.78277587890625,339.1050720214844,388.7630615234375,355.80816650390625,336.0702819824219,345.48968505859375,382.7082824707031,341.8949890136719,369.8804931640625,357.4140319824219,325.3793029785156,353.2655944824219,383.0874938964844,355.6353454589844,332.98284912109375,353.34417724609375,361.13531494140625,389.8011474609375,351.7221984863281,333.4144592285156,338.50958251953125,323.43115234375,352.8670654296875,362.24041748046875,333.0609436035156
"S8",273.9531555175781,232.01348876953125,266.0698547363281,259.8963623046875,231.5110321044922,209.77615356445312,209.5572509765625,207.12557983398438,195.97396850585938,202.69546508789062,185.74929809570312,193.83404541015625,189.70899963378906,184.15798950195312,196.47914123535156,169.13790893554688,164.82130432128906,159.61643981933594,168.35150146484375,148.787109375,154.287841796875,150.82888793945312,151.61822509765625,146.4582061767578,137.84173583984375,142.67185974121094,146.84271240234375,145.49798583984375,142.92381286621094,144.12033081054688,142.53048706054688,134.24534606933594,137.82203674316406,133.1975555419922,138.49148559570312,137.41795349121094,145.25558471679688,149.99728393554688,151.28634643554688,161.59449768066406,161.84178161621094,168.24537658691406,202.1564483642578,184.20199584960938,197.6177978515625,231.28256225585938,280.3123779296875,263.0135192871094,284.0408935546875,301.50054931640625,346.0278015136719,322.50732421875,310.4277648925781,350.0545654296875,310.8414001464844,299.8087158203125,305.0098876953125,315.2206726074219,347.3374328613281,366.9605712890625,335.02972412109375,307.9218444824219,346.36859130859375,330.7304992675781,290.6410217285156,316.4725341796875,330.6934814453125,307.5102844238281,331.3656921386719,307.9105529785156,323.74365234375,319.5296936035156,371.99835205078125,418.6368408203125,362.6383972167969,393.8815612792969,346.75567626953125,345.6801452636719,321.5921630859375,356.2123107910156,387.5090637207031,355.7907409667969,348.5587158203125,353.5451965332031,360.0191650390625,347.42755126953125,305.9433288574219,333.6449279785156,315.7226867675781,326.5317077636719,373.5433349609375,318.1484680175781,329.3358154296875,354.2856140136719,338.0682373046875,330.1968688964844,348.0821533203125,386.3996887207031,348.8906555175781,372.94268798828125,382.06414794921875,326.8812255859375,384.6418762207031,407.0531311035156,407.93231201171875,398.4374694824219,337.5294494628906,350.2308349609375,351.80035400390625,415.39605712890625,363.978759765625,375.4984130859375,358.3295593261719,351.92535400390625,376.6133728027344,416.9066162109375,383.44757080078125,423.70819091796875,380.4019775390625,389.8023681640625,377.8081970214844,380.09246826171875,358.1303405761719,365.513916015625,354.7540283203125,415.3749084472656,362.572509765625,344.9005126953125,349.0638732910156,329.7091064453125,352.3455505371094,348.2230224609375,350.6871337890625,341.67718505859375,324.9823913574219,319.0386657714844,321.4652404785156,319.5542297363281,336.0386047363281,342.08062744140625
"S9",282.3189392089844,255.7206573486328,258.0096130371094,244.69725036621094,264.7012939453125,232.7727508544922,202.69741821289062,192.3019561767578,207.79281616210938,202.0697021484375,194.36456298828125,197.1550750732422,177.47142028808594,190.06661987304688,188.88079833984375,166.4617156982422,173.06423950195312,167.61109924316406,165.58714294433594,179.67076110839844,171.94845581054688,153.70794677734375,173.7274627685547,161.21209716796875,162.44041442871094,164.33489990234375,168.4930877685547,159.2175750732422,163.11351013183594,154.82713317871094,151.07740783691406,148.91603088378906,153.3486785888672,166.9737091064453,157.072509765625,154.45579528808594,168.0262908935547,166.2189483642578,175.48707580566406,187.75326538085938,198.16665649414062,179.08509826660156,197.19728088378906,244.31578063964844,225.63282775878906,249.38070678710938,311.5820007324219,320.2417297363281,363.14678955078125,420.8878479003906,442.3530578613281,463.8124084472656,496.4062194824219,451.5144958496094,476.40203857421875,464.5028076171875,472.1445617675781,580.073974609375,514.9254760742188,515.772216796875,615.5968627929688,600.9755249023438,654.1748046875,557.9443969726562,531.8515014648438,608.593505859375,533.2188110351562,568.8202514648438,543.589599609375,518.601806640625,539.9567260742188,535.7344360351562,569.2059326171875,576.9384155273438,586.4776000976562,555.4645385742188,563.0322875976562,588.5546264648438,580.445556640625,650.69921875,514.023681640625,623.6963500976562,661.371337890625,568.6336669921875,649.3623657226562,587.7393188476562,576.9414672851562,577.289306640625,570.7227172851562,544.6475219726562,557.2979125976562,554.8582763671875,562.0667114257812,590.941162109375,522.697998046875,566.113525390625,652.4686889648438,625.8047485351562,624.3593139648438,608.5352172851562,677.5459594726562,561.7577514648438,550.4012451171875,730.645751953125,688.2577514648438,676.8290405273438,555.7176513671875,565.9990844726562,594.7549438476562,666.6443481445312,522.616943359375,486.5664367675781,497.9960632324219,521.754150390625,496.9779052734375,464.2759704589844,446.2344055175781,463.6135559082031,469.1488037109375,433.33172607421875,425.6488342285156,391.17803955078125,448.65875244140625,447.4232177734375,451.0664367675781,508.84100341796875,418.1251220703125,398.4945068359375,444.0703430175781,432.86968994140625,464.64581298828125,447.2422180175781,420.4077453613281,411.6147766113281,366.7030029296875,339.60723876953125,339.3832092285156,339.1055908203125,341.09918212890625,391.44659423828125
