"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S1",0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.1771000623703003,0.10559993982315063,0.10559993982315063,0.10559993982315063,0.10559993982315063,0.10559993982315063,0.10559993982315063,0.10559993982315063,0.10559993982315063,0.10559993982315063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S2",0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.2450999766588211,0.24639993906021118,0.24639993906021118,0.24639993906021118,0.24639993906021118,0.24639993906021118,0.24639993906021118,0.24639993906021118,0.21000003814697266,0.14110009372234344,0.14110009372234344,0.14110009372234344,0.14110009372234344,0.14110009372234344,0.1344001442193985,0.1344001442193985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S3",0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.019599972292780876,0.05640004575252533,0.05640004575252533,0.05640004575252533,0.05640004575252533,0.05640004575252533,0.05640004575252533,0.05640004575252533,0.05640004575252533,0.1275000125169754,0.1275000125169754,0.1275000125169754,0.1275000125169754,0.1275000125169754,0.1275000125169754,0.16589990258216858,0.16589990258216858,0.16589990258216858,0.16589990258216858,0.16589990258216858,0.2015998810529709,0.2015998810529709,0.2015998810529709,0.2015998810529709,0.21000003814697266,0.24749982357025146,0.24909965693950653,0.1771000623703003,0.16589988768100739,0.13440008461475372,0.13440008461475372,0.07360008358955383,0.07360008358955383,0.07360008358955383,0.07360008358955383,0.07360008358955383,0.07360008358955383,0.07360008358955383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S4",0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.22750002145767212,0.24190019071102142,0.24639995396137238,0.24639995396137238,0.24639995396137238,0.24639995396137238,0.24639995396137238,0.24639995396137238,0.24639995396137238,0.24639995396137238,0.21389999985694885,0.21389999985694885,0.21389999985694885,0.21389999985694885,0.21389999985694885,0.21389999985694885,0.21389999985694885,0.21389999985694885,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.07360005378723145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S5",0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.14110004901885986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S6",0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.16589988768100739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S9",0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.09790004044771194,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.11310002207756042,0.13440002501010895,0.13440002501010895,0.1970999538898468,0.1970999538898468,0.1970999538898468,0.1970999538898468,0.22750000655651093,0.1539001315832138,0.1539001315832138,0.1539001315832138,0.04750002920627594,0.04750002920627594,0.04750002920627594,0.04750002920627594,0.04750002920627594,0.04750002920627594,0.04750002920627594,0.04750002920627594,0.04750002920627594,0.04750002920627594,0.04750002920627594,0.04750002920627594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
