"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140"
"S0",397.2927474975586,409.58290100097656,407.79027557373047,417.84912109375,416.973388671875,413.82820892333984,415.99534606933594,426.3162841796875,425.2555694580078,434.2050552368164,424.0874328613281,424.66336822509766,435.70130920410156,432.22169494628906,430.37510681152344,440.2908172607422,438.45958709716797,427.8359909057617,417.5232620239258,422.63877868652344,435.8388137817383,437.94250869750977,440.6902275085449,433.5507125854492,438.34532165527344,438.1647605895996,439.00346755981445,438.39548110961914,440.83007049560547,436.44736099243164,445.4280433654785,442.19072341918945,436.98041915893555,440.56155014038086,442.17992401123047,437.7443313598633,442.5589256286621,429.2468032836914,432.12982177734375,425.781005859375,423.64579010009766,417.66319274902344,414.6110076904297,416.96508026123047,392.1837692260742,383.64249420166016,376.6257629394531,373.7616958618164,358.61961364746094,357.80706787109375,346.53773498535156,301.66949462890625,264.8705139160156,234.85369873046875,221.47842407226562,239.9990234375,215.18161010742188,215.47894287109375,218.77944946289062,157.9627685546875,187.8084716796875,167.45260620117188,133.50357055664062,67.42068481445312,124.48696899414062,112.21121215820312,119.89483642578125,104.49179077148438,116.71527099609375,96.14505004882812,110.34579467773438,74.49984741210938,93.7852783203125,66.08694458007812,45.204620361328125,78.81878662109375,91.652099609375,64.80343627929688,34.26165771484375,63.490631103515625,75.93203735351562,120.72171020507812,75.72860717773438,89.24517822265625,52.92340087890625,114.10787963867188,67.48165893554688,31.133758544921875,48.852447509765625,84.91067504882812,74.20388793945312,115.76034545898438,100.8968505859375,52.444976806640625,46.61419677734375,92.07266235351562,79.6038818359375,116.68453979492188,90.00650024414062,100.2823486328125,51.33349609375,12.165435791015625,46.332977294921875,119.247314453125,104.45599365234375,131.18826293945312,131.21258544921875,102.280517578125,136.89031982421875,163.62796020507812,199.84280395507812,221.61102294921875,234.11380004882812,238.8868408203125,251.72265625,239.19415283203125,275.36090087890625,267.9495849609375,251.28453063964844,286.58229064941406,275.818359375,277.1104431152344,293.9314880371094,329.3171844482422,298.9625244140625,269.21543884277344,349.7669982910156,333.8000793457031,329.488037109375,334.08367919921875,351.8876495361328,344.69044494628906,349.71803283691406,344.7433319091797,380.38375091552734,335.0161590576172,338.45457458496094,364.5424041748047,366.8636169433594,362.26048278808594,373.67222595214844
"S1",451.54801177978516,453.66908264160156,462.6464653015137,462.5100975036621,461.9339179992676,462.682674407959,456.67749786376953,462.55157470703125,460.6909523010254,462.30834197998047,462.55157470703125,464.2059631347656,465.1771240234375,461.36819076538086,463.88416290283203,463.97883224487305,467.04854583740234,467.32496643066406,462.2716941833496,464.61053466796875,466.8216361999512,467.3675003051758,466.78590393066406,469.5734519958496,468.24108123779297,469.2062683105469,469.251651763916,467.5068702697754,467.0032844543457,471.91270446777344,468.20689964294434,468.1954822540283,470.07678413391113,464.5219039916992,469.34241485595703,464.5428466796875,463.6727600097656,464.75467681884766,468.60804748535156,463.2898483276367,459.91787338256836,457.73301696777344,454.1597557067871,450.5747718811035,435.3309783935547,435.8049011230469,426.15563201904297,436.8984184265137,417.93251037597656,419.2779312133789,431.58434295654297,386.81896209716797,337.6703643798828,318.4547576904297,278.6226806640625,303.07862854003906,295.55775451660156,294.9593200683594,270.00318908691406,222.31546020507812,227.2120361328125,255.415283203125,215.47430419921875,97.552978515625,132.763427734375,118.53793334960938,156.42410278320312,109.1488037109375,187.13076782226562,117.26919555664062,120.49017333984375,72.6153564453125,79.88613891601562,63.769744873046875,45.236907958984375,104.9862060546875,89.97335815429688,64.42666625976562,8.619293212890625,41.7174072265625,25.050628662109375,89.45635986328125,69.60321044921875,91.34197998046875,47.62274169921875,105.85128784179688,81.5804443359375,22.350860595703125,30.563446044921875,69.9967041015625,71.20852661132812,154.23751831054688,123.21923828125,70.63421630859375,59.08380126953125,81.60311889648438,90.8583984375,127.642822265625,128.1878662109375,170.7562255859375,104.53012084960938,95.7523193359375,152.5987548828125,179.54046630859375,175.89471435546875,200.85250854492188,241.26556396484375,218.78619384765625,241.67202758789062,282.2644348144531,333.88038635253906,350.02410888671875,348.85154724121094,349.86656188964844,356.87586975097656,359.64537048339844,370.1973876953125,382.0807342529297,358.7175750732422,374.58201599121094,379.51673889160156,387.2499694824219,385.2420959472656,396.96946716308594,392.38755798339844,410.20125579833984,411.91429901123047,406.00782012939453,406.88048553466797,417.87454986572266,415.7312316894531,420.9248580932617,410.29383850097656,415.18819427490234,430.11973571777344,394.1911849975586,391.99803924560547,431.1719970703125,434.8021469116211,426.4048385620117,438.55693435668945
"S2",404.22342681884766,400.38956451416016,412.9130325317383,417.4148712158203,412.28404998779297,412.7828140258789,409.7534942626953,409.74410247802734,404.0821990966797,404.2102279663086,412.70755767822266,413.6781463623047,423.72853088378906,413.79176330566406,418.1990737915039,415.43907928466797,425.0709686279297,421.18289947509766,415.1100540161133,418.8804016113281,417.18900299072266,426.5708770751953,427.13023376464844,432.82520294189453,432.51759338378906,435.95655059814453,434.2532958984375,433.54557037353516,434.71216583251953,435.63417053222656,436.5157051086426,431.40613555908203,435.5248565673828,433.5038833618164,435.5285339355469,429.2429656982422,430.3774108886719,425.1124725341797,427.91526794433594,423.3134002685547,420.950927734375,417.0585479736328,407.7701187133789,397.1986083984375,375.1187057495117,355.6652526855469,349.68174743652344,349.63458251953125,318.5101013183594,286.0475616455078,290.74977111816406,261.2164306640625,217.28631591796875,200.23184204101562,158.49844360351562,194.94345092773438,193.32992553710938,173.82516479492188,182.30279541015625,139.73812866210938,140.41845703125,134.76174926757812,114.79885864257812,-25.14483642578125,74.82354736328125,68.93798828125,101.000732421875,39.916229248046875,74.7086181640625,7.14202880859375,79.39520263671875,-37.42254638671875,28.45269775390625,23.086517333984375,25.12139892578125,22.895477294921875,23.045318603515625,12.092376708984375,-37.13275146484375,-84.678466796875,-63.98626708984375,11.2308349609375,27.30438232421875,39.448883056640625,31.007659912109375,34.195098876953125,-16.04266357421875,-98.0982666015625,-12.2088623046875,-14.7347412109375,29.184356689453125,51.76190185546875,47.6990966796875,-15.07183837890625,18.025665283203125,-17.27508544921875,23.3525390625,61.241424560546875,59.30712890625,91.36959838867188,32.260040283203125,21.240234375,112.24978637695312,128.5205078125,109.329833984375,96.56903076171875,104.3077392578125,127.06008911132812,137.96221923828125,195.88754272460938,162.32058715820312,195.36224365234375,197.36190795898438,209.11849975585938,243.82150268554688,239.17111206054688,271.3442840576172,254.50303649902344,254.01564025878906,291.5011291503906,293.3630065917969,301.08905029296875,300.1694641113281,308.67405700683594,275.89476013183594,319.9447021484375,329.46661376953125,329.1772003173828,331.9821472167969,352.4098358154297,347.83970642089844,362.43125915527344,348.7572021484375,348.8110656738281,341.8408508300781,303.8510437011719,338.34437561035156,362.4073944091797,375.3771209716797,378.7414779663086,374.7509460449219
"S3",291.62567138671875,274.33140563964844,285.13623046875,300.6526794433594,292.9874572753906,291.31907653808594,297.3722381591797,286.4171447753906,270.57249450683594,269.24114990234375,290.82789611816406,288.3990783691406,317.7980194091797,298.8695983886719,302.2874298095703,294.1211242675781,316.14939880371094,303.09800720214844,297.66107177734375,303.57899475097656,296.3702850341797,321.05792236328125,322.6692199707031,332.5017395019531,338.2208557128906,343.0920715332031,338.03814697265625,341.48077392578125,343.0734100341797,335.7792510986328,351.26637268066406,332.8556365966797,339.0391540527344,350.46751403808594,340.6398010253906,332.5222625732422,335.7627258300781,317.6123809814453,318.61045837402344,316.96104431152344,313.69419860839844,303.082275390625,285.1197052001953,259.0823211669922,229.40118408203125,158.44189453125,167.22506713867188,142.00537109375,81.9801025390625,-4.227203369140625,-21.320556640625,23.953033447265625,-12.97869873046875,-67.02301025390625,-75.6829833984375,-47.43817138671875,-46.783935546875,-92.768310546875,-14.11920166015625,-8.666046142578125,-65.1754150390625,-134.15948486328125,-119.74517822265625,-238.74395751953125,-83.68316650390625,-69.1607666015625,-60.19854736328125,-126.09423828125,-180.0145263671875,-214.86907958984375,-58.0762939453125,-275.14447021484375,-119.8397216796875,-100.68389892578125,-60.1201171875,-168.5098876953125,-142.873046875,-123.88922119140625,-155.1280517578125,-325.13018798828125,-268.86474609375,-172.1834716796875,-100.56951904296875,-111.21875,-23.5633544921875,-149.69671630859375,-240.67010498046875,-351.65057373046875,-145.29736328125,-214.09417724609375,-101.5755615234375,-194.9014892578125,-131.73974609375,-208.18280029296875,-94.028076171875,-240.24029541015625,-160.03997802734375,-138.7508544921875,-144.37530517578125,-119.8448486328125,-169.01416015625,-186.08062744140625,-25.58135986328125,-30.205078125,-59.8236083984375,-142.90338134765625,-172.18426513671875,-81.81365966796875,-115.144287109375,-20.7230224609375,-159.2705078125,-146.18408203125,-122.30804443359375,-82.36065673828125,-11.985382080078125,-17.5440673828125,53.6387939453125,-2.485626220703125,44.856903076171875,99.08099365234375,104.73162841796875,108.68359375,123.15463256835938,121.55535888671875,38.9395751953125,121.16943359375,149.61361694335938,161.1336669921875,167.08950805664062,199.09054565429688,192.1265869140625,221.01992797851562,203.9244384765625,196.75506591796875,162.198974609375,118.31707763671875,206.11004638671875,210.198486328125,223.64608764648438,262.7999725341797,227.71160888671875
"S4",259.716552734375,252.07461547851562,287.7367706298828,273.9560089111328,286.41017150878906,276.99940490722656,278.5972137451172,287.78932189941406,272.3655090332031,289.90956115722656,264.28138732910156,266.43328857421875,320.7506866455078,290.2434387207031,309.2990417480469,312.5137176513672,313.61090087890625,311.26487731933594,310.6283874511719,298.5950622558594,309.5370330810547,327.5225067138672,323.6652526855469,333.6572570800781,337.60162353515625,335.31260681152344,331.93267822265625,339.10133361816406,337.0977020263672,333.12303161621094,339.24102783203125,337.6937561035156,334.18223571777344,344.1792449951172,340.6197204589844,331.5176239013672,334.5499725341797,327.7023010253906,320.5714111328125,326.72276306152344,321.4684600830078,315.3360900878906,293.7442169189453,273.4884490966797,195.18536376953125,190.98831176757812,27.562469482421875,46.952301025390625,152.35952758789062,72.6202392578125,53.89117431640625,102.54156494140625,81.37661743164062,56.061187744140625,45.748016357421875,62.720306396484375,55.03857421875,42.7401123046875,60.29901123046875,82.33929443359375,49.416290283203125,5.667938232421875,20.83929443359375,-30.51434326171875,32.57757568359375,16.7938232421875,32.2891845703125,29.390655517578125,-16.45587158203125,-49.6448974609375,85.73959350585938,-73.86279296875,30.73541259765625,39.9217529296875,66.01522827148438,10.4385986328125,24.38189697265625,28.650054931640625,-148.6368408203125,-78.3712158203125,-40.494384765625,-14.02838134765625,69.9072265625,20.798797607421875,68.92745971679688,1.690032958984375,-47.3302001953125,-117.116943359375,6.780029296875,-22.2666015625,18.519622802734375,6.665557861328125,17.94537353515625,-6.25885009765625,-45.0107421875,-46.96478271484375,10.071868896484375,53.1231689453125,39.040130615234375,49.8895263671875,16.403564453125,10.52276611328125,84.64138793945312,76.147705078125,72.00357055664062,15.75494384765625,4.64947509765625,79.32122802734375,33.214813232421875,104.78811645507812,-29.3607177734375,16.838348388671875,27.42510986328125,37.72210693359375,75.191162109375,85.455322265625,80.8438720703125,90.45867919921875,125.48406982421875,138.4599609375,143.46890258789062,129.55633544921875,156.548095703125,137.48580932617188,33.5086669921875,171.12857055664062,184.18850708007812,207.7904052734375,180.9410400390625,205.89913940429688,175.87789916992188,213.78717041015625,210.73379516601562,203.31842041015625,177.43157958984375,156.69091796875,194.77297973632812,221.12939453125,191.98504638671875,251.16061401367188,205.00390625
"S5",249.37466430664062,265.8112030029297,297.82984924316406,275.22288513183594,293.8729553222656,299.7541809082031,294.28228759765625,305.69859313964844,306.45947265625,309.8986053466797,281.7064666748047,272.93174743652344,320.3577880859375,315.2475891113281,321.8146667480469,338.10357666015625,331.53529357910156,327.19053649902344,337.13812255859375,328.12005615234375,336.2959442138672,343.3442077636719,337.1671142578125,342.60719299316406,349.60423278808594,342.2972106933594,342.6287384033203,347.4403381347656,341.90789794921875,342.79425048828125,343.3655090332031,346.0370635986328,341.28550720214844,347.4110870361328,344.91099548339844,340.64903259277344,344.9776306152344,340.1188507080078,334.3003692626953,335.5432434082031,334.26832580566406,325.0220184326172,312.6785125732422,286.88433837890625,228.40390014648438,226.10873413085938,72.56643676757812,43.83343505859375,176.85699462890625,123.13595581054688,132.12139892578125,138.45166015625,138.72012329101562,125.322509765625,139.42672729492188,126.2059326171875,142.80221557617188,148.55087280273438,134.22406005859375,145.1607666015625,121.68460083007812,119.82278442382812,130.93942260742188,144.23440551757812,136.57843017578125,101.93841552734375,112.94171142578125,148.41128540039062,98.4312744140625,104.02001953125,178.70553588867188,126.61578369140625,156.614990234375,154.8607177734375,164.13430786132812,158.37539672851562,168.50537109375,161.64810180664062,20.330047607421875,171.96844482421875,153.47879028320312,143.30325317382812,185.13290405273438,149.06802368164062,158.02685546875,144.12069702148438,145.87969970703125,139.61163330078125,149.59933471679688,146.11282348632812,148.5330810546875,169.05654907226562,161.31039428710938,172.25128173828125,113.67184448242188,143.80075073242188,160.04193115234375,186.39956665039062,193.85934448242188,205.59872436523438,186.49566650390625,192.72250366210938,193.962890625,183.85128784179688,196.773681640625,192.859130859375,190.99981689453125,208.12258911132812,188.2901611328125,209.47268676757812,188.45651245117188,176.6146240234375,186.3660888671875,181.28573608398438,179.654296875,193.3487548828125,152.3323974609375,195.2371826171875,207.96844482421875,194.73587036132812,205.92349243164062,187.68646240234375,201.452392578125,203.37921142578125,152.9791259765625,207.12774658203125,223.19442749023438,237.5093994140625,222.9080810546875,238.76956176757812,215.65911865234375,224.04946899414062,230.998779296875,239.98208618164062,247.37673950195312,242.44573974609375,223.69049072265625,242.47506713867188,221.66815185546875,231.655029296875,226.00961303710938
"S6",205.56814575195312,250.17156982421875,276.7570495605469,175.81838989257812,248.60482788085938,265.43629455566406,307.4254455566406,295.2866516113281,271.5815124511719,229.97610473632812,223.50253295898438,215.76461791992188,320.6322479248047,336.9359130859375,305.58226013183594,349.2597961425781,333.7376251220703,289.44091796875,349.9661102294922,331.6773986816406,339.56214904785156,347.03965759277344,335.2401428222656,337.5796661376953,354.83949279785156,343.1004333496094,348.686279296875,346.5503234863281,329.2996063232422,342.1510925292969,348.13230895996094,341.380615234375,341.5419006347656,359.92649841308594,351.52516174316406,357.641845703125,361.78814697265625,354.01133728027344,351.4194030761719,350.95330810546875,358.85853576660156,355.50244140625,321.08055114746094,247.73641967773438,291.4571990966797,288.657470703125,226.81195068359375,273.1464538574219,84.00323486328125,101.24014282226562,244.2545166015625,15.066925048828125,82.09115600585938,-49.2955322265625,185.74160766601562,98.628662109375,228.044677734375,189.92214965820312,192.18630981445312,175.26913452148438,6.936065673828125,160.19046020507812,179.02218627929688,223.24563598632812,167.9295654296875,197.52664184570312,212.88082885742188,193.21197509765625,96.14547729492188,180.32113647460938,210.58779907226562,183.97421264648438,215.54437255859375,192.91079711914062,203.39230346679688,168.8974609375,220.8499755859375,198.28594970703125,187.56793212890625,209.35797119140625,208.59872436523438,171.36886596679688,159.04278564453125,136.58807373046875,205.90420532226562,200.05422973632812,182.42645263671875,168.06488037109375,174.3756103515625,100.53201293945312,201.31524658203125,220.03277587890625,211.59912109375,205.02523803710938,190.9410400390625,185.63967895507812,213.85165405273438,170.977294921875,199.65383911132812,199.40408325195312,181.31390380859375,213.8089599609375,188.59432983398438,214.87557983398438,176.02822875976562,201.775390625,145.44711303710938,170.45947265625,146.00949096679688,177.75833129882812,181.50054931640625,97.85235595703125,105.7415771484375,183.93365478515625,173.75946044921875,184.83343505859375,166.64028930664062,184.45135498046875,159.23956298828125,70.9822998046875,162.97442626953125,110.84878540039062,121.58737182617188,134.775146484375,114.75289916992188,123.36318969726562,143.7869873046875,90.14395141601562,22.295074462890625,172.06497192382812,172.7213134765625,134.9227294921875,163.99349975585938,154.75094604492188,167.06033325195312,149.54449462890625,169.57266235351562,182.08511352539062,216.3902587890625,128.69866943359375,144.62588500976562
"S7",210.90911865234375,240.93417358398438,231.20187377929688,223.58297729492188,230.73965454101562,249.3846435546875,293.09385681152344,293.384521484375,299.3388671875,275.84632873535156,296.2281951904297,287.54449462890625,304.97718811035156,327.44691467285156,322.8672332763672,328.4573669433594,308.5943298339844,340.6723937988281,339.8782501220703,344.5148162841797,339.55169677734375,335.35072326660156,341.0893096923828,340.4031677246094,346.2794952392578,355.1075744628906,338.84234619140625,349.6798095703125,359.5318603515625,352.1549987792969,351.2238311767578,353.068603515625,348.2407684326172,362.85496520996094,351.92237854003906,358.43284606933594,357.1660461425781,343.58580017089844,352.91790771484375,345.46209716796875,339.48020935058594,342.00685119628906,262.86865234375,311.44557189941406,301.10443115234375,264.4920654296875,194.74087524414062,255.19000244140625,236.18344116210938,226.38796997070312,240.91647338867188,177.93093872070312,228.0421142578125,154.41937255859375,216.43402099609375,235.00372314453125,208.77313232421875,239.55532836914062,241.27261352539062,232.65786743164062,230.74288940429688,236.8038330078125,251.0588836669922,217.86123657226562,225.09408569335938,244.5990753173828,211.41189575195312,225.4957275390625,205.99887084960938,229.299560546875,234.90106201171875,253.28240966796875,211.33023071289062,136.98919677734375,208.51654052734375,152.72772216796875,241.04696655273438,217.22213745117188,266.94432067871094,238.9796142578125,135.37646484375,234.12408447265625,238.92474365234375,234.9886474609375,216.15087890625,235.08041381835938,248.6136932373047,239.74136352539062,236.26791381835938,248.7696533203125,221.86956787109375,236.88485717773438,235.72756958007812,213.22372436523438,218.85025024414062,227.25482177734375,237.75958251953125,192.26681518554688,241.77438354492188,215.43276977539062,205.20159912109375,236.33273315429688,195.51022338867188,176.70913696289062,206.60052490234375,257.02940368652344,223.88473510742188,134.47418212890625,183.06723022460938,157.99588012695312,181.04473876953125,168.65591430664062,187.36309814453125,206.6702880859375,162.56301879882812,97.21710205078125,160.8951416015625,111.23699951171875,144.19219970703125,163.929931640625,154.51068115234375,117.2918701171875,158.1046142578125,130.11962890625,142.58612060546875,174.62042236328125,146.73446655273438,116.91256713867188,144.36441040039062,167.01693725585938,146.65548706054688,138.86456298828125,110.19851684570312,148.2781982421875,166.5853271484375,161.49063110351562,176.56927490234375,147.13330078125,137.75970458984375,166.9388427734375,140.05633544921875
"S8",268.84043884277344,295.5324249267578,285.00071716308594,277.93763732910156,296.40431213378906,315.37982177734375,323.5215759277344,325.8922424316406,331.18670654296875,326.4390411376953,336.71083068847656,333.5541229248047,336.82228088378906,340.94664001464844,334.9555206298828,347.59654235839844,351.0618591308594,358.37965393066406,356.11016845703125,364.2295227050781,364.7008514404297,366.4530029296875,365.44850158691406,369.4563446044922,375.77915954589844,373.69751739501953,371.6377868652344,372.1415481567383,371.66725158691406,371.7852325439453,371.92469787597656,376.283935546875,375.1142349243164,377.1826934814453,374.7628860473633,375.26883697509766,369.8736572265625,363.472412109375,362.9422302246094,352.8988800048828,349.7556610107422,345.7637176513672,320.3667755126953,322.8603820800781,315.7317352294922,289.05381774902344,244.7409210205078,248.16908264160156,230.47720336914062,216.38995361328125,191.06072998046875,184.64193725585938,196.71939086914062,176.16513061523438,193.49749755859375,208.00497436523438,207.61932373046875,200.99810791015625,181.93563842773438,163.70205688476562,172.29156494140625,192.07830810546875,173.64010620117188,184.77523803710938,210.119384765625,200.77728271484375,191.04293823242188,201.28778076171875,186.43258666992188,204.33926391601562,195.79132080078125,197.2357177734375,162.23873901367188,126.04104614257812,148.93032836914062,135.43258666992188,162.71282958984375,176.73025512695312,193.9154052734375,178.17724609375,153.69754028320312,164.19204711914062,168.34356689453125,171.5302734375,170.42807006835938,181.2447509765625,202.23190307617188,203.59405517578125,211.5604248046875,208.77981567382812,180.078369140625,200.98904418945312,204.68792724609375,185.98049926757812,195.5872802734375,200.62777709960938,188.66888427734375,166.37347412109375,186.9722900390625,180.89559936523438,165.96322631835938,197.7625732421875,179.63864135742188,147.1036376953125,151.54275512695312,157.09994506835938,192.62701416015625,194.11795043945312,193.1231689453125,163.8238525390625,187.31564331054688,177.14199829101562,188.95211791992188,200.79449462890625,180.91177368164062,158.63845825195312,174.44708251953125,156.83847045898438,173.78469848632812,179.25570678710938,184.20651245117188,185.80459594726562,199.30880737304688,191.78616333007812,203.57431030273438,177.37509155273438,195.45956420898438,209.56454467773438,213.03829956054688,222.69805908203125,208.90512084960938,212.46102905273438,210.92794799804688,215.72784423828125,228.02926635742188,235.92864990234375,239.24090576171875,235.02297973632812,221.98370361328125,213.533935546875,219.39486694335938
"S9",337.83197021484375,348.9564208984375,351.15447998046875,352.1940460205078,350.1877746582031,360.51605224609375,374.3553695678711,383.6880416870117,380.10640716552734,379.56092071533203,383.7184600830078,381.4898376464844,388.9420471191406,388.5209732055664,387.3807830810547,396.35546875,395.36458587646484,397.77486419677734,399.63014221191406,394.76649475097656,395.0873794555664,402.1439743041992,396.84375762939453,400.1427230834961,401.29029846191406,399.2516860961914,398.3547592163086,400.42022705078125,399.80853271484375,402.4869918823242,404.39891815185547,406.5846862792969,403.77681732177734,398.6770706176758,399.9543991088867,401.12291717529297,395.91979217529297,393.7522430419922,390.61817932128906,382.02122497558594,375.388427734375,380.82928466796875,372.54088592529297,353.4937744140625,349.40155029296875,336.8766784667969,303.02159118652344,293.60614013671875,267.9736633300781,236.85061645507812,218.9583740234375,202.1654052734375,182.80142211914062,192.323486328125,189.91897583007812,194.66757202148438,190.6329345703125,148.84698486328125,154.12124633789062,158.51229858398438,123.54843139648438,109.6842041015625,81.22283935546875,120.42770385742188,145.4052734375,121.072509765625,136.78973388671875,126.18106079101562,137.16842651367188,158.17910766601562,151.68252563476562,152.849853515625,128.48147583007812,125.23312377929688,126.26272583007812,135.80886840820312,138.10781860351562,134.79721069335938,133.22171020507812,101.77890014648438,147.19229125976562,121.80056762695312,91.97003173828125,122.42901611328125,102.61898803710938,127.22927856445312,130.569091796875,141.07821655273438,146.00039672851562,158.36068725585938,153.01052856445312,158.42367553710938,159.06008911132812,138.66909790039062,165.14215087890625,158.06884765625,118.181396484375,111.76657104492188,125.52410888671875,132.54888916015625,101.81982421875,143.64041137695312,161.58969116210938,88.92642211914062,96.79925537109375,101.20962524414062,150.59100341796875,157.09890747070312,148.058837890625,126.0390625,176.79037475585938,190.86038208007812,202.4482421875,202.28256225585938,201.1734619140625,218.36044311523438,235.46591186523438,231.666748046875,230.80599975585938,247.1526336669922,251.8416748046875,268.4867858886719,254.50851440429688,243.13174438476562,246.64027404785156,223.45755004882812,250.95765686035156,267.059326171875,257.2748565673828,255.7718505859375,238.5006103515625,241.89654541015625,255.24642944335938,260.8555450439453,280.2002716064453,297.87522888183594,306.1561737060547,303.27996826171875,299.8052978515625,283.97425842285156,305.5114288330078
