"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2361.539306640625,2770.33349609375,2770.33349609375,2770.33349609375,2770.33349609375,2770.33349609375,2770.33349609375,2770.33349609375,2770.33349609375,2770.33349609375,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2817.839111328125,2263.046875,1871.21533203125,1872.48876953125,2014.3695068359375,2014.3695068359375,2014.3695068359375,1436.01025390625,1299.3721923828125,982.5484619140625,859.926513671875,825.0772705078125,821.0654907226562,857.229736328125,857.229736328125,816.8328857421875,816.8328857421875,816.8328857421875,752.1442260742188,752.1442260742188,777.8298950195312,777.8298950195312,777.8298950195312,777.8298950195312,777.8298950195312,406.8701171875,406.8701171875,406.8701171875,381.0306396484375,369.0186767578125,369.0186767578125,369.0186767578125,369.0186767578125,369.0186767578125,369.0186767578125,339.47821044921875,237.30023193359375,247.16424560546875,247.16424560546875
"S1",2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2003.235595703125,2235.60693359375,2235.60693359375,2387.859130859375,2387.859130859375,2387.859130859375,2387.859130859375,2387.859130859375,2387.859130859375,2387.859130859375,1584.914794921875,1883.8460693359375,1883.8460693359375,1883.8460693359375,1883.8460693359375,1883.8460693359375,1883.8460693359375,1520.608642578125,1629.399169921875,1729.8951416015625,1729.8951416015625,1729.8951416015625,1729.8951416015625,1271.5777587890625,835.057373046875,1023.4776000976562,1023.4776000976562,631.2743530273438,847.7151489257812,847.7151489257812,500.21710205078125,339.26544189453125,113.58123779296875,164.24667358398438,230.09402465820312,238.6493682861328,256.74761962890625,269.93115234375,276.14666748046875,276.14666748046875,276.14666748046875,143.24288940429688,132.27590942382812,151.47462463378906,151.47462463378906,157.6685791015625,157.6685791015625,157.6685791015625,157.6685791015625,157.6685791015625,157.6685791015625,157.6685791015625,157.6685791015625,157.6685791015625,157.6685791015625,157.6685791015625,157.6685791015625,157.6685791015625,132.46841430664062,49.672306060791016,69.66519165039062,69.66519165039062
"S2",4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4163.21484375,4171.72021484375,4171.72021484375,4171.72021484375,4171.72021484375,4171.72021484375,4171.72021484375,4171.72021484375,2083.650390625,2703.9111328125,2891.257080078125,2891.257080078125,2891.257080078125,2891.257080078125,2896.28466796875,2896.28466796875,2059.73193359375,2283.17626953125,2283.17626953125,2283.17626953125,2283.17626953125,2188.984130859375,1515.458740234375,1581.5411376953125,1581.5411376953125,1581.5411376953125,1550.3369140625,1371.8126220703125,1245.306396484375,1331.189697265625,1331.189697265625,854.4115600585938,971.2460327148438,892.0557250976562,701.72021484375,722.197021484375,696.3355712890625,696.3355712890625,657.4678344726562,684.0008544921875,684.0008544921875,684.0008544921875,684.0008544921875,684.0008544921875,684.0008544921875,554.492431640625,554.492431640625,554.492431640625,554.492431640625,554.492431640625,554.492431640625,554.492431640625,554.492431640625,554.492431640625,554.492431640625,554.492431640625,224.79840087890625,176.4062042236328,161.672607421875,189.39004516601562
"S3",8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,8353.673828125,6921.0986328125,6921.0986328125,6921.0986328125,6921.0986328125,6921.0986328125,6921.0986328125,6921.0986328125,6921.0986328125,5532.00048828125,5689.2998046875,5689.2998046875,5689.2998046875,5689.2998046875,5689.2998046875,6136.44677734375,6136.44677734375,6136.44677734375,6136.44677734375,6136.44677734375,6298.70703125,6298.70703125,6298.70703125,6298.70703125,4447.794921875,4382.4638671875,3520.328857421875,3070.36181640625,3192.3076171875,3340.068115234375,3340.068115234375,3089.193115234375,3155.81103515625,3155.81103515625,3155.81103515625,3155.81103515625,3155.81103515625,3155.81103515625,1814.8614501953125,1981.12353515625,1981.12353515625,1981.12353515625,1981.12353515625,1981.12353515625,1981.12353515625,1981.12353515625,1981.12353515625,1981.12353515625,1981.12353515625,715.7750854492188,963.8722534179688,973.689453125,1017.6289672851562
"S4",4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,4823.33740234375,3991.71533203125,4200.49365234375,4200.49365234375,4200.49365234375,4200.49365234375,4200.49365234375,4200.49365234375,4200.49365234375,4200.49365234375,3050.54052734375,3050.54052734375,3050.54052734375,3050.54052734375,3050.54052734375,3050.54052734375,3050.54052734375,3050.54052734375,2485.408447265625,3243.25146484375,3243.25146484375,3243.25146484375,3243.25146484375,3243.25146484375,3407.990966796875,3407.990966796875,3407.990966796875,3407.990966796875,3407.990966796875,3417.186767578125,3417.186767578125,3417.186767578125,3417.186767578125,2616.83203125,2609.7353515625,2547.2958984375,2533.904541015625,2733.4697265625,2734.28759765625,2734.3916015625,2734.3916015625,2734.3916015625,2734.3916015625,2734.3916015625,2734.3916015625,2734.3916015625,2734.3916015625,1233.53125,1450.8626708984375,1450.8626708984375,1450.8626708984375,1450.8626708984375,1450.8626708984375,1450.8626708984375,1450.8626708984375,1450.8626708984375,1450.8626708984375,1450.8626708984375,1123.2347412109375,1163.30810546875,1163.30810546875,1065.8756103515625
"S5",4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,4662.01025390625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2908.5947265625,2225.4814453125,2588.541259765625,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2594.63818359375,2630.904052734375,2630.904052734375,2630.904052734375,2630.904052734375,2630.904052734375,2630.904052734375,2630.904052734375,2630.904052734375,1532.6058349609375,1730.48974609375,1730.48974609375,1730.48974609375,1730.48974609375,1730.48974609375,1646.3262939453125,1646.3262939453125,1646.3262939453125,1646.3262939453125,1646.3262939453125,1646.3262939453125,1646.3262939453125,1646.3262939453125,1326.93212890625
"S6",2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2869.008544921875,2346.725830078125,2346.725830078125,2346.725830078125,2346.725830078125,2346.725830078125,2346.725830078125,2346.725830078125,2386.94287109375,2386.94287109375,2386.94287109375,2386.94287109375,2386.94287109375,2386.94287109375,2386.94287109375,2386.94287109375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,2704.6240234375,1547.4906005859375,1648.1802978515625,1648.1802978515625,1606.130615234375,1606.130615234375,1606.130615234375,1606.130615234375,1606.130615234375,1606.130615234375,1606.130615234375,1606.130615234375
"S7",1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1538.80224609375,1531.81982421875,1531.81982421875,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1646.32177734375,1548.85498046875,1548.85498046875,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1590.38525390625,1322.3026123046875,1337.373779296875,1337.373779296875,1337.373779296875,1337.373779296875,1337.373779296875,1312.1075439453125
"S8",1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1313.92138671875,1365.5819091796875,1365.5819091796875,1643.3193359375,1643.3193359375,1643.3193359375,1643.3193359375,1643.3193359375,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1689.405517578125,1780.0675048828125,1872.702392578125,1937.3551025390625,1937.3551025390625,1937.3551025390625,1937.3551025390625,1937.3551025390625,1937.3551025390625,1937.3551025390625,1937.3551025390625,1937.3551025390625,1937.3551025390625,1937.31494140625,1937.31494140625,1867.6934814453125,1984.6722412109375,1990.0400390625,1990.0400390625,1990.0400390625,1990.0400390625,1990.0400390625,1990.0400390625,1305.677001953125,1304.0863037109375,1304.0863037109375,1304.0863037109375,1304.0863037109375,1297.7418212890625,1297.7418212890625,1172.8868408203125,1172.8868408203125,1172.8868408203125,1172.8868408203125,1172.8868408203125,1172.8868408203125,1172.8868408203125
"S9",5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,5481.1494140625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6256.36181640625,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,6614.5126953125,5573.03857421875,5339.27685546875,5609.16796875,5609.16796875,5609.16796875,5609.16796875,2787.210205078125,2838.551025390625,3365.271240234375,3365.271240234375,2952.9931640625,3171.95654296875,3501.698486328125,3501.698486328125,3501.698486328125,3501.698486328125,3501.698486328125,3501.698486328125,3501.698486328125,3501.698486328125,3501.698486328125,3501.698486328125,2875.547607421875,2875.547607421875,2875.547607421875,2875.547607421875,2875.547607421875,2589.525390625,2255.689697265625,2161.4833984375,1969.919189453125,2030.447509765625,2030.447509765625,2030.447509765625,2030.447509765625,2030.447509765625
