"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,70.5826644897461,76.98594665527344,79.26943969726562,79.26943969726562,79.26943969726562,79.26943969726562,79.26943969726562,79.26943969726562,79.26943969726562,79.26943969726562,79.9811782836914,86.72559356689453,86.72559356689453,86.72559356689453,86.72559356689453,86.72559356689453,86.72559356689453,86.72559356689453,86.72559356689453,86.72559356689453,86.72559356689453,86.72559356689453,86.72559356689453,86.72559356689453,97.58245849609375,143.16551208496094,148.75936889648438,160.7055206298828,160.7055206298828,160.7055206298828,177.26913452148438,198.40248107910156,227.37939453125,248.46238708496094,262.5461120605469,270.27069091796875,277.5660095214844,277.5660095214844,292.6301574707031,292.6301574707031,292.6301574707031,308.9190979003906,309.7356872558594,311.240478515625,319.1229553222656,319.1229553222656,319.1229553222656,319.1229553222656,355.7554931640625,357.85614013671875,357.85614013671875,360.1983337402344,367.0196228027344,367.0196228027344,367.0196228027344,367.0196228027344,367.0196228027344,367.0196228027344,367.0815124511719,379.31524658203125,382.9828186035156,382.9828186035156
"S1",43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,43.310203552246094,47.3830451965332,47.3830451965332,53.172821044921875,53.172821044921875,53.172821044921875,53.172821044921875,53.172821044921875,53.172821044921875,53.172821044921875,62.983482360839844,83.91621398925781,89.57568359375,89.90789031982422,89.90789031982422,89.90789031982422,89.90789031982422,108.90094757080078,118.13599395751953,133.78335571289062,133.78335571289062,133.78335571289062,133.78335571289062,137.16065979003906,173.80970764160156,195.77574157714844,198.91798400878906,222.4169921875,241.3896484375,241.3896484375,261.4496154785156,293.51556396484375,338.37567138671875,355.2164001464844,359.8331298828125,360.7289733886719,365.8343811035156,370.98046875,372.2686462402344,372.2686462402344,372.2686462402344,384.6031188964844,390.897705078125,396.2810974121094,396.2810974121094,403.08026123046875,403.82440185546875,403.82440185546875,403.82440185546875,403.82440185546875,403.82440185546875,403.82440185546875,403.82440185546875,403.82440185546875,403.82440185546875,403.82440185546875,403.82440185546875,403.82440185546875,404.022705078125,430.31329345703125,432.3651123046875,432.3651123046875
"S2",-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.933151245117188,-29.689088821411133,-27.900373458862305,-27.900373458862305,-27.900373458862305,-27.900373458862305,-27.900373458862305,-27.900373458862305,-27.900373458862305,18.666513442993164,25.90250015258789,40.14436721801758,40.14436721801758,40.14436721801758,40.14436721801758,40.14436721801758,40.14436721801758,64.7769546508789,83.99053955078125,83.99053955078125,83.99053955078125,83.99053955078125,84.61603546142578,137.0594024658203,150.77401733398438,150.77401733398438,150.77401733398438,154.72500610351562,169.3757781982422,180.0370330810547,205.89036560058594,205.89036560058594,227.7329559326172,234.63394165039062,244.80206298828125,268.1006164550781,273.0563049316406,288.7420959472656,288.7420959472656,290.0088195800781,309.6877136230469,312.6547546386719,312.6547546386719,312.6547546386719,312.6547546386719,312.6547546386719,335.2461853027344,337.9219055175781,337.9219055175781,337.9219055175781,337.9219055175781,337.9219055175781,337.9219055175781,337.9219055175781,337.9219055175781,337.9219055175781,337.9219055175781,356.0432434082031,374.80255126953125,386.92437744140625,390.79058837890625
"S3",-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.3517608642578,-250.04693603515625,-250.04693603515625,-250.04693603515625,-250.04693603515625,-250.04693603515625,-250.04693603515625,-250.04693603515625,-250.04693603515625,-161.15338134765625,-161.15338134765625,-155.69776916503906,-155.69776916503906,-155.69776916503906,-155.69776916503906,-155.69776916503906,-155.69776916503906,-115.55949401855469,-101.10934448242188,-101.10934448242188,-101.10934448242188,-101.10934448242188,-101.10934448242188,-87.83240509033203,-87.83240509033203,-87.83240509033203,-87.83240509033203,-87.83240509033203,-74.60272216796875,-74.60272216796875,-74.60272216796875,-74.60272216796875,-61.58879852294922,-50.5250244140625,-16.515600204467773,32.59957504272461,40.956478118896484,60.51768493652344,60.51768493652344,93.00055694580078,109.80075073242188,109.80075073242188,109.80075073242188,109.80075073242188,109.80075073242188,109.80075073242188,158.51673889160156,175.77362060546875,175.77362060546875,175.77362060546875,175.77362060546875,175.77362060546875,175.77362060546875,175.77362060546875,175.77362060546875,175.77362060546875,175.77362060546875,230.32705688476562,241.80892944335938,255.66366577148438,261.7593994140625
"S4",-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-48.3763427734375,-41.752315521240234,-33.386558532714844,-33.386558532714844,-33.386558532714844,-33.386558532714844,-33.386558532714844,-33.386558532714844,-33.386558532714844,-33.386558532714844,16.079973220825195,16.775779724121094,16.98577880859375,16.98577880859375,16.98577880859375,16.98577880859375,16.98577880859375,16.98577880859375,48.21830749511719,71.8929672241211,71.8929672241211,71.8929672241211,71.8929672241211,71.8929672241211,79.27490997314453,79.27490997314453,79.27490997314453,79.27490997314453,79.27490997314453,83.59988403320312,83.59988403320312,83.59988403320312,83.59988403320312,87.44872283935547,94.06076049804688,102.439208984375,125.2951889038086,137.70103454589844,141.3393096923828,147.73269653320312,150.8236083984375,150.8236083984375,150.8236083984375,150.8236083984375,150.8236083984375,150.8236083984375,150.8236083984375,204.3350372314453,223.8327178955078,226.0288543701172,226.0288543701172,226.0288543701172,226.0288543701172,226.0288543701172,226.0288543701172,226.0288543701172,226.0288543701172,226.0288543701172,239.3578643798828,247.81394958496094,247.81394958496094,260.9375915527344
"S5",14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,14.198810577392578,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,106.5020980834961,145.21881103515625,151.07423400878906,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,152.16094970703125,159.65086364746094,159.65086364746094,159.65086364746094,159.65086364746094,159.65086364746094,159.65086364746094,159.65086364746094,159.65086364746094,206.82110595703125,215.29039001464844,215.29039001464844,215.29039001464844,215.29039001464844,215.29039001464844,220.24447631835938,220.24447631835938,220.24447631835938,220.24447631835938,220.24447631835938,220.24447631835938,220.24447631835938,220.24447631835938,231.44728088378906
"S6",30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,30.213354110717773,96.3082046508789,96.3082046508789,96.3082046508789,96.3082046508789,96.3082046508789,96.3082046508789,96.3082046508789,130.87603759765625,131.94378662109375,131.94378662109375,131.94378662109375,131.94378662109375,131.94378662109375,131.94378662109375,131.94378662109375,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,135.30780029296875,196.81280517578125,203.85072326660156,203.85072326660156,205.41844177246094,205.41844177246094,205.41844177246094,205.41844177246094,205.41844177246094,205.41844177246094,205.41844177246094,205.41844177246094
"S7",170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.64599609375,170.9001922607422,170.9001922607422,175.69635009765625,175.69635009765625,175.69635009765625,175.69635009765625,175.69635009765625,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.03001403808594,176.5836944580078,176.5836944580078,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,182.5225372314453,195.29222106933594,197.3791961669922,197.3791961669922,197.3791961669922,197.3791961669922,197.3791961669922,197.94146728515625
"S8",120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,120.86734008789062,127.983642578125,127.983642578125,138.09503173828125,138.09503173828125,138.09503173828125,138.09503173828125,138.09503173828125,141.18470764160156,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,141.67135620117188,143.66029357910156,147.41986083984375,147.41986083984375,147.41986083984375,147.41986083984375,147.41986083984375,147.41986083984375,147.41986083984375,147.41986083984375,147.41986083984375,147.41986083984375,147.41986083984375,147.41986083984375,162.46116638183594,164.40008544921875,169.07095336914062,169.07095336914062,169.07095336914062,169.07095336914062,169.07095336914062,169.07095336914062,188.07472229003906,201.90313720703125,205.1437530517578,206.6031494140625,206.6031494140625,206.7855987548828,206.7855987548828,209.76654052734375,209.96372985839844,209.96372985839844,209.96372985839844,209.96372985839844,209.96372985839844,209.96372985839844
"S9",-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-112.49824523925781,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-104.86893463134766,-100.42147827148438,-100.42147827148438,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-97.16401672363281,-92.97936248779297,-89.88044738769531,-51.76033020019531,-51.76033020019531,-51.76033020019531,-51.76033020019531,23.386638641357422,54.137081146240234,57.21736145019531,57.21736145019531,68.42920684814453,87.83720397949219,96.98605346679688,96.98605346679688,96.98605346679688,96.98605346679688,96.98605346679688,96.98605346679688,96.98605346679688,96.98605346679688,96.98605346679688,96.98605346679688,124.6979751586914,124.6979751586914,124.6979751586914,124.6979751586914,124.6979751586914,127.89054870605469,142.6917266845703,151.85011291503906,177.56800842285156,185.9869384765625,185.9869384765625,185.9869384765625,185.9869384765625,185.9869384765625
