"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140"
"S0",408.6270217895508,410.52298736572266,412.36128997802734,414.1070556640625,415.70255279541016,417.25643157958984,418.62032318115234,419.9106979370117,421.00563049316406,421.98463439941406,422.8784942626953,423.65323638916016,424.3594284057617,424.9535217285156,425.3287887573242,425.6437301635742,425.8904113769531,426.0422668457031,426.1350860595703,426.1491394042969,426.1488952636719,426.06810760498047,425.9584274291992,425.77928161621094,425.56848907470703,425.2506561279297,424.8788070678711,424.4498748779297,423.9066467285156,423.27664947509766,422.5059356689453,421.6306381225586,420.6451416015625,419.5348205566406,418.2492446899414,416.8185577392578,415.2173385620117,413.4637680053711,411.5590057373047,409.52447509765625,407.28497314453125,404.9073715209961,402.42127990722656,399.7713088989258,396.95066833496094,394.03460693359375,391.028076171875,387.89306640625,384.7859802246094,381.52239990234375,378.13011169433594,374.69339752197266,371.1341247558594,367.4123229980469,363.7024841308594,359.89939880371094,355.84178161621094,351.5726013183594,347.0727844238281,342.6687927246094,338.37876892089844,333.704833984375,328.7960662841797,323.6718292236328,318.4302673339844,312.9918670654297,307.3476257324219,301.56907653808594,295.5604705810547,289.6235809326172,283.46734619140625,277.2653503417969,271.12962341308594,265.17547607421875,259.3930358886719,253.52664184570312,247.7458953857422,242.1319580078125,236.76858520507812,231.53915405273438,226.50628662109375,221.70791625976562,217.09246826171875,212.62396240234375,208.69366455078125,204.98153686523438,201.33316040039062,198.1243896484375,195.1114501953125,192.496337890625,190.03662109375,188.0018310546875,186.328857421875,185.069091796875,184.20416259765625,183.77713012695312,183.80780029296875,184.22476196289062,185.32177734375,186.94268798828125,188.87298583984375,191.15728759765625,194.0479736328125,197.25375366210938,201.0,204.97158813476562,209.13717651367188,213.53439331054688,218.08950805664062,222.9906005859375,228.23260498046875,233.54388427734375,239.036376953125,244.66412353515625,250.28549194335938,256.24806213378906,262.2387237548828,268.31201171875,274.4645690917969,280.74957275390625,287.1831970214844,293.6959228515625,300.27752685546875,306.72088623046875,312.95306396484375,319.4098815917969,325.7456817626953,331.7740478515625,337.66001892089844,343.4370422363281,348.8481903076172,354.1608428955078,359.2432861328125,364.05018615722656,368.6126403808594,372.9707336425781,377.1309356689453,380.9996032714844,384.6017532348633,387.9678497314453,391.2322998046875
"S1",408.6270217895508,410.52298736572266,412.36128997802734,414.1070556640625,415.70255279541016,417.25643157958984,418.62032318115234,419.9106979370117,421.00563049316406,421.98463439941406,422.8784942626953,423.65323638916016,424.3594284057617,424.9535217285156,425.3287887573242,425.6437301635742,425.8904113769531,426.0422668457031,426.1350860595703,426.1491394042969,426.1488952636719,426.06810760498047,425.9584274291992,425.77928161621094,425.56848907470703,425.2506561279297,424.8788070678711,424.4498748779297,423.9066467285156,423.27664947509766,422.5059356689453,421.6306381225586,420.6451416015625,419.5348205566406,418.2492446899414,416.8185577392578,415.2173385620117,413.4637680053711,411.5590057373047,409.52447509765625,407.28497314453125,404.9073715209961,402.42127990722656,399.7713088989258,396.95066833496094,394.03460693359375,391.028076171875,387.89306640625,384.7859802246094,381.52239990234375,378.13011169433594,374.69339752197266,371.1341247558594,367.4123229980469,363.7024841308594,359.89939880371094,355.84178161621094,351.5726013183594,347.0727844238281,342.6687927246094,338.37876892089844,333.704833984375,328.7960662841797,323.6718292236328,318.4302673339844,312.9918670654297,307.3476257324219,301.56907653808594,295.5604705810547,289.6235809326172,283.46734619140625,277.2653503417969,271.12962341308594,265.17547607421875,259.3930358886719,253.52664184570312,247.7458953857422,242.1319580078125,236.76858520507812,231.53915405273438,226.50628662109375,221.70791625976562,217.09246826171875,212.62396240234375,208.69366455078125,204.98153686523438,201.33316040039062,198.1243896484375,195.1114501953125,192.496337890625,190.03662109375,188.0018310546875,186.328857421875,185.069091796875,184.20416259765625,183.77713012695312,183.80780029296875,184.22476196289062,185.32177734375,186.94268798828125,188.87298583984375,191.15728759765625,194.0479736328125,197.25375366210938,201.0,204.97158813476562,209.13717651367188,213.53439331054688,218.08950805664062,222.9906005859375,228.23260498046875,233.54388427734375,239.036376953125,244.66412353515625,250.28549194335938,256.24806213378906,262.2387237548828,268.31201171875,274.4645690917969,280.74957275390625,287.1831970214844,293.6959228515625,300.27752685546875,306.72088623046875,312.95306396484375,319.4098815917969,325.7456817626953,331.7740478515625,337.66001892089844,343.4370422363281,348.8481903076172,354.1608428955078,359.2432861328125,364.05018615722656,368.6126403808594,372.9707336425781,377.1309356689453,380.9996032714844,384.6017532348633,387.9678497314453,391.2322998046875
"S2",408.6270217895508,410.52298736572266,412.36128997802734,414.1070556640625,415.70255279541016,417.25643157958984,418.62032318115234,419.9106979370117,421.00563049316406,421.98463439941406,422.8784942626953,423.65323638916016,424.3594284057617,424.9535217285156,425.3287887573242,425.6437301635742,425.8904113769531,426.0422668457031,426.1350860595703,426.1491394042969,426.1488952636719,426.06810760498047,425.9584274291992,425.77928161621094,425.56848907470703,425.2506561279297,424.8788070678711,424.4498748779297,423.9066467285156,423.27664947509766,422.5059356689453,421.6306381225586,420.6451416015625,419.5348205566406,418.2492446899414,416.8185577392578,415.2173385620117,413.4637680053711,411.5590057373047,409.52447509765625,407.28497314453125,404.9073715209961,402.42127990722656,399.7713088989258,396.95066833496094,394.03460693359375,391.028076171875,387.89306640625,384.7859802246094,381.52239990234375,378.13011169433594,374.69339752197266,371.1341247558594,367.4123229980469,363.7024841308594,359.89939880371094,355.84178161621094,351.5726013183594,347.0727844238281,342.6687927246094,338.37876892089844,333.704833984375,328.7960662841797,323.6718292236328,318.4302673339844,312.9918670654297,307.3476257324219,301.56907653808594,295.5604705810547,289.6235809326172,283.46734619140625,277.2653503417969,271.12962341308594,265.17547607421875,259.3930358886719,253.52664184570312,247.7458953857422,242.1319580078125,236.76858520507812,231.53915405273438,226.50628662109375,221.70791625976562,217.09246826171875,212.62396240234375,208.69366455078125,204.98153686523438,201.33316040039062,198.1243896484375,195.1114501953125,192.496337890625,190.03662109375,188.0018310546875,186.328857421875,185.069091796875,184.20416259765625,183.77713012695312,183.80780029296875,184.22476196289062,185.32177734375,186.94268798828125,188.87298583984375,191.15728759765625,194.0479736328125,197.25375366210938,201.0,204.97158813476562,209.13717651367188,213.53439331054688,218.08950805664062,222.9906005859375,228.23260498046875,233.54388427734375,239.036376953125,244.66412353515625,250.28549194335938,256.24806213378906,262.2387237548828,268.31201171875,274.4645690917969,280.74957275390625,287.1831970214844,293.6959228515625,300.27752685546875,306.72088623046875,312.95306396484375,319.4098815917969,325.7456817626953,331.7740478515625,337.66001892089844,343.4370422363281,348.8481903076172,354.1608428955078,359.2432861328125,364.05018615722656,368.6126403808594,372.9707336425781,377.1309356689453,380.9996032714844,384.6017532348633,387.9678497314453,391.2322998046875
"S3",432.3243713378906,433.72264862060547,435.10037994384766,436.3997611999512,437.57169342041016,438.73230361938477,439.7445869445801,440.69396209716797,441.5071258544922,442.22765731811523,442.89531326293945,443.46530532836914,443.9987258911133,444.44106674194336,444.7116355895996,444.9442825317383,445.12744140625,445.23584365844727,445.30410385131836,445.32779693603516,445.3218879699707,445.2606391906738,445.1787452697754,445.0526313781738,444.89495849609375,444.6615180969238,444.37711334228516,444.06596755981445,443.65880584716797,443.19287490844727,442.62583923339844,441.9745407104492,441.2495651245117,440.4338684082031,439.48433685302734,438.4247398376465,437.2416191101074,435.94164276123047,434.52628326416016,433.0215759277344,431.36940002441406,429.6119918823242,427.78245544433594,425.81375885009766,423.73924255371094,421.60066986083984,419.3766555786133,417.06372833251953,414.7659149169922,412.3638687133789,409.8549575805664,407.319580078125,404.71387481689453,401.95775604248047,399.2339859008789,396.42557525634766,393.43387603759766,390.28839111328125,386.9636993408203,383.7238540649414,380.5711441040039,377.13475036621094,373.5076217651367,369.7381286621094,365.8484344482422,361.85218811035156,357.67926025390625,353.42945861816406,348.96392822265625,344.5956268310547,340.0561065673828,335.45921325683594,330.9313659667969,326.5228576660156,322.27769470214844,317.9362487792969,313.67266845703125,309.54417419433594,305.5917510986328,301.7364044189453,297.997802734375,294.4806671142578,291.1275634765625,287.78932189941406,284.9124450683594,282.18243408203125,279.462890625,277.1423797607422,274.95849609375,273.06175231933594,271.2445983886719,269.7381591796875,268.4814910888672,267.58152770996094,266.96807861328125,266.68804931640625,266.6831359863281,267.01695251464844,267.8423156738281,269.0775146484375,270.5086975097656,272.1952667236328,274.35902404785156,276.7040557861328,279.4851989746094,282.4217834472656,285.52880859375,288.784423828125,292.1569061279297,295.76123046875,299.6568603515625,303.5845642089844,307.66184997558594,311.8003234863281,315.97430419921875,320.3778076171875,324.7969055175781,329.2938232421875,333.8380584716797,338.4596405029297,343.21827697753906,348.05067443847656,352.8966369628906,357.65966796875,362.2410583496094,367.01048278808594,371.6784973144531,376.1224365234375,380.46226501464844,384.7025909423828,388.7238235473633,392.6238708496094,396.3738555908203,399.92198181152344,403.28003692626953,406.4840545654297,409.54825592041016,412.3882522583008,415.04600524902344,417.5179138183594,419.9294891357422
"S4",432.3243713378906,433.72264862060547,435.10037994384766,436.3997611999512,437.57169342041016,438.73230361938477,439.7445869445801,440.69396209716797,441.5071258544922,442.22765731811523,442.89531326293945,443.46530532836914,443.9987258911133,444.44106674194336,444.7116355895996,444.9442825317383,445.12744140625,445.23584365844727,445.30410385131836,445.32779693603516,445.3218879699707,445.2606391906738,445.1787452697754,445.0526313781738,444.89495849609375,444.6615180969238,444.37711334228516,444.06596755981445,443.65880584716797,443.19287490844727,442.62583923339844,441.9745407104492,441.2495651245117,440.4338684082031,439.48433685302734,438.4247398376465,437.2416191101074,435.94164276123047,434.52628326416016,433.0215759277344,431.36940002441406,429.6119918823242,427.78245544433594,425.81375885009766,423.73924255371094,421.60066986083984,419.3766555786133,417.06372833251953,414.7659149169922,412.3638687133789,409.8549575805664,407.319580078125,404.71387481689453,401.95775604248047,399.2339859008789,396.42557525634766,393.43387603759766,390.28839111328125,386.9636993408203,383.7238540649414,380.5711441040039,377.13475036621094,373.5076217651367,369.7381286621094,365.8484344482422,361.85218811035156,357.67926025390625,353.42945861816406,348.96392822265625,344.5956268310547,340.0561065673828,335.45921325683594,330.9313659667969,326.5228576660156,322.27769470214844,317.9362487792969,313.67266845703125,309.54417419433594,305.5917510986328,301.7364044189453,297.997802734375,294.4806671142578,291.1275634765625,287.78932189941406,284.9124450683594,282.18243408203125,279.462890625,277.1423797607422,274.95849609375,273.06175231933594,271.2445983886719,269.7381591796875,268.4814910888672,267.58152770996094,266.96807861328125,266.68804931640625,266.6831359863281,267.01695251464844,267.8423156738281,269.0775146484375,270.5086975097656,272.1952667236328,274.35902404785156,276.7040557861328,279.4851989746094,282.4217834472656,285.52880859375,288.784423828125,292.1569061279297,295.76123046875,299.6568603515625,303.5845642089844,307.66184997558594,311.8003234863281,315.97430419921875,320.3778076171875,324.7969055175781,329.2938232421875,333.8380584716797,338.4596405029297,343.21827697753906,348.05067443847656,352.8966369628906,357.65966796875,362.2410583496094,367.01048278808594,371.6784973144531,376.1224365234375,380.46226501464844,384.7025909423828,388.7238235473633,392.6238708496094,396.3738555908203,399.92198181152344,403.28003692626953,406.4840545654297,409.54825592041016,412.3882522583008,415.04600524902344,417.5179138183594,419.9294891357422
"S5",432.3243713378906,433.72264862060547,435.10037994384766,436.3997611999512,437.57169342041016,438.73230361938477,439.7445869445801,440.69396209716797,441.5071258544922,442.22765731811523,442.89531326293945,443.46530532836914,443.9987258911133,444.44106674194336,444.7116355895996,444.9442825317383,445.12744140625,445.23584365844727,445.30410385131836,445.32779693603516,445.3218879699707,445.2606391906738,445.1787452697754,445.0526313781738,444.89495849609375,444.6615180969238,444.37711334228516,444.06596755981445,443.65880584716797,443.19287490844727,442.62583923339844,441.9745407104492,441.2495651245117,440.4338684082031,439.48433685302734,438.4247398376465,437.2416191101074,435.94164276123047,434.52628326416016,433.0215759277344,431.36940002441406,429.6119918823242,427.78245544433594,425.81375885009766,423.73924255371094,421.60066986083984,419.3766555786133,417.06372833251953,414.7659149169922,412.3638687133789,409.8549575805664,407.319580078125,404.71387481689453,401.95775604248047,399.2339859008789,396.42557525634766,393.43387603759766,390.28839111328125,386.9636993408203,383.7238540649414,380.5711441040039,377.13475036621094,373.5076217651367,369.7381286621094,365.8484344482422,361.85218811035156,357.67926025390625,353.42945861816406,348.96392822265625,344.5956268310547,340.0561065673828,335.45921325683594,330.9313659667969,326.5228576660156,322.27769470214844,317.9362487792969,313.67266845703125,309.54417419433594,305.5917510986328,301.7364044189453,297.997802734375,294.4806671142578,291.1275634765625,287.78932189941406,284.9124450683594,282.18243408203125,279.462890625,277.1423797607422,274.95849609375,273.06175231933594,271.2445983886719,269.7381591796875,268.4814910888672,267.58152770996094,266.96807861328125,266.68804931640625,266.6831359863281,267.01695251464844,267.8423156738281,269.0775146484375,270.5086975097656,272.1952667236328,274.35902404785156,276.7040557861328,279.4851989746094,282.4217834472656,285.52880859375,288.784423828125,292.1569061279297,295.76123046875,299.6568603515625,303.5845642089844,307.66184997558594,311.8003234863281,315.97430419921875,320.3778076171875,324.7969055175781,329.2938232421875,333.8380584716797,338.4596405029297,343.21827697753906,348.05067443847656,352.8966369628906,357.65966796875,362.2410583496094,367.01048278808594,371.6784973144531,376.1224365234375,380.46226501464844,384.7025909423828,388.7238235473633,392.6238708496094,396.3738555908203,399.92198181152344,403.28003692626953,406.4840545654297,409.54825592041016,412.3882522583008,415.04600524902344,417.5179138183594,419.9294891357422
"S6",439.13781356811523,440.40930938720703,441.62673568725586,442.7906150817871,443.8654899597168,444.89801025390625,445.81233978271484,446.6814193725586,447.4148292541504,448.0780220031738,448.6736145019531,449.19728088378906,449.6639175415039,450.0622863769531,450.32263565063477,450.5376396179199,450.7056465148926,450.81696701049805,450.8840866088867,450.8857955932617,450.8948516845703,450.8474540710449,450.77798080444336,450.65755462646484,450.5236587524414,450.3147659301758,450.0792770385742,449.79300689697266,449.43869400024414,449.0231170654297,448.5105171203613,447.93482971191406,447.2799491882324,446.54048919677734,445.6851463317871,444.73841094970703,443.6750717163086,442.5130195617676,441.2561798095703,439.9064636230469,438.4169235229492,436.83922958374023,435.1831817626953,433.4331970214844,431.55308532714844,429.6054916381836,427.61302947998047,425.53638458251953,423.4778747558594,421.3080520629883,419.06309509277344,416.78395080566406,414.40821075439453,411.95284271240234,409.4846649169922,406.96805572509766,404.27906799316406,401.45069885253906,398.4722595214844,395.55139923095703,392.6945266723633,389.59193420410156,386.3473434448242,382.9469299316406,379.4977035522461,375.88807678222656,372.1582794189453,368.32310485839844,364.3777770996094,360.4449768066406,356.3740692138672,352.29090881347656,348.2354431152344,344.31163024902344,340.4754943847656,336.6099548339844,332.7940673828125,329.07566833496094,325.5317687988281,322.0791015625,318.7858123779297,315.6033172607422,312.5235290527344,309.6170349121094,307.01788330078125,304.56915283203125,302.20074462890625,300.06060791015625,298.05531311035156,296.3204345703125,294.7203826904297,293.4056091308594,292.3419189453125,291.52362060546875,290.9551086425781,290.677490234375,290.74952697753906,291.02650451660156,291.7749938964844,292.8497619628906,294.1450958251953,295.6761932373047,297.5911865234375,299.75096130371094,302.2385559082031,304.89393615722656,307.6481170654297,310.5690460205078,313.5901336669922,316.8645935058594,320.33436584472656,323.85572814941406,327.4868621826172,331.2346649169922,334.9456787109375,338.89927673339844,342.8780822753906,346.8922119140625,350.9680938720703,355.1421661376953,359.3948516845703,363.6842956542969,368.054443359375,372.31182861328125,376.4487838745117,380.71270751953125,384.909912109375,388.8943099975586,392.7856216430664,396.62281036376953,400.17193603515625,403.69932556152344,407.05747985839844,410.2300109863281,413.2515411376953,416.13612365722656,418.88209533691406,421.4512939453125,423.8293991088867,426.0610046386719,428.2153015136719
"S7",439.13781356811523,440.40930938720703,441.62673568725586,442.7906150817871,443.8654899597168,444.89801025390625,445.81233978271484,446.6814193725586,447.4148292541504,448.0780220031738,448.6736145019531,449.19728088378906,449.6639175415039,450.0622863769531,450.32263565063477,450.5376396179199,450.7056465148926,450.81696701049805,450.8840866088867,450.8857955932617,450.8948516845703,450.8474540710449,450.77798080444336,450.65755462646484,450.5236587524414,450.3147659301758,450.0792770385742,449.79300689697266,449.43869400024414,449.0231170654297,448.5105171203613,447.93482971191406,447.2799491882324,446.54048919677734,445.6851463317871,444.73841094970703,443.6750717163086,442.5130195617676,441.2561798095703,439.9064636230469,438.4169235229492,436.83922958374023,435.1831817626953,433.4331970214844,431.55308532714844,429.6054916381836,427.61302947998047,425.53638458251953,423.4778747558594,421.3080520629883,419.06309509277344,416.78395080566406,414.40821075439453,411.95284271240234,409.4846649169922,406.96805572509766,404.27906799316406,401.45069885253906,398.4722595214844,395.55139923095703,392.6945266723633,389.59193420410156,386.3473434448242,382.9469299316406,379.4977035522461,375.88807678222656,372.1582794189453,368.32310485839844,364.3777770996094,360.4449768066406,356.3740692138672,352.29090881347656,348.2354431152344,344.31163024902344,340.4754943847656,336.6099548339844,332.7940673828125,329.07566833496094,325.5317687988281,322.0791015625,318.7858123779297,315.6033172607422,312.5235290527344,309.6170349121094,307.01788330078125,304.56915283203125,302.20074462890625,300.06060791015625,298.05531311035156,296.3204345703125,294.7203826904297,293.4056091308594,292.3419189453125,291.52362060546875,290.9551086425781,290.677490234375,290.74952697753906,291.02650451660156,291.7749938964844,292.8497619628906,294.1450958251953,295.6761932373047,297.5911865234375,299.75096130371094,302.2385559082031,304.89393615722656,307.6481170654297,310.5690460205078,313.5901336669922,316.8645935058594,320.33436584472656,323.85572814941406,327.4868621826172,331.2346649169922,334.9456787109375,338.89927673339844,342.8780822753906,346.8922119140625,350.9680938720703,355.1421661376953,359.3948516845703,363.6842956542969,368.054443359375,372.31182861328125,376.4487838745117,380.71270751953125,384.909912109375,388.8943099975586,392.7856216430664,396.62281036376953,400.17193603515625,403.69932556152344,407.05747985839844,410.2300109863281,413.2515411376953,416.13612365722656,418.88209533691406,421.4512939453125,423.8293991088867,426.0610046386719,428.2153015136719
"S8",456.9180107116699,457.827880859375,458.67760467529297,459.50013732910156,460.27532958984375,461.0005226135254,461.65222930908203,462.2782287597656,462.8002510070801,463.2812194824219,463.7010078430176,464.0798454284668,464.4031410217285,464.68667221069336,464.8828430175781,465.03991317749023,465.16197204589844,465.2512741088867,465.3036766052246,465.2933692932129,465.3100166320801,465.28267669677734,465.2369270324707,465.1483726501465,465.0599365234375,464.91387939453125,464.76121520996094,464.5557632446289,464.31335067749023,464.0225486755371,463.6590347290039,463.2591133117676,462.7951850891113,462.2694892883301,461.6639595031738,460.999324798584,460.2484817504883,459.43165588378906,458.5541877746582,457.6028594970703,456.548095703125,455.4353790283203,454.2588806152344,453.0357093811035,451.6985206604004,450.30774307250977,448.9054069519043,447.4425048828125,445.99399185180664,444.4562797546387,442.8788757324219,441.27091217041016,439.57403564453125,437.85688400268555,436.10386657714844,434.33424377441406,432.43824005126953,430.4439010620117,428.3494644165039,426.2853012084961,424.25489044189453,422.0591812133789,419.78173828125,417.376953125,414.9754943847656,412.4205627441406,409.80420684814453,407.0911178588867,404.35433197021484,401.5795364379883,398.71717071533203,395.87059783935547,393.02197265625,390.28141021728516,387.56641387939453,384.86619567871094,382.18944549560547,379.56556701660156,377.0752944946289,374.6521530151367,372.3771743774414,370.1235809326172,367.9156188964844,365.93031311035156,364.09510803222656,362.37608337402344,360.76039123535156,359.2232666015625,357.7884216308594,356.5524444580078,355.4521484375,354.5572204589844,353.8553009033203,353.2828369140625,352.8775939941406,352.67430114746094,352.7806854248047,352.96728515625,353.5082702636719,354.2524719238281,355.1773223876953,356.2713928222656,357.6096496582031,359.17034912109375,360.9220428466797,362.81214904785156,364.7359161376953,366.7967834472656,368.9241943359375,371.25975036621094,373.6918258666992,376.1720275878906,378.71488189697266,381.3774642944336,383.9711227416992,386.75819396972656,389.5706558227539,392.3848648071289,395.2547302246094,398.2101745605469,401.19378662109375,404.1840133666992,407.27528381347656,410.26163482666016,413.1894760131836,416.1795654296875,419.13883209228516,421.93912506103516,424.67459869384766,427.3946228027344,429.85340881347656,432.3524475097656,434.7104949951172,436.9345283508301,439.06526947021484,441.0993003845215,443.02686309814453,444.84752655029297,446.5156669616699,448.09343338012695,449.6027641296387
"S9",456.9180107116699,457.827880859375,458.67760467529297,459.50013732910156,460.27532958984375,461.0005226135254,461.65222930908203,462.2782287597656,462.8002510070801,463.2812194824219,463.7010078430176,464.0798454284668,464.4031410217285,464.68667221069336,464.8828430175781,465.03991317749023,465.16197204589844,465.2512741088867,465.3036766052246,465.2933692932129,465.3100166320801,465.28267669677734,465.2369270324707,465.1483726501465,465.0599365234375,464.91387939453125,464.76121520996094,464.5557632446289,464.31335067749023,464.0225486755371,463.6590347290039,463.2591133117676,462.7951850891113,462.2694892883301,461.6639595031738,460.999324798584,460.2484817504883,459.43165588378906,458.5541877746582,457.6028594970703,456.548095703125,455.4353790283203,454.2588806152344,453.0357093811035,451.6985206604004,450.30774307250977,448.9054069519043,447.4425048828125,445.99399185180664,444.4562797546387,442.8788757324219,441.27091217041016,439.57403564453125,437.85688400268555,436.10386657714844,434.33424377441406,432.43824005126953,430.4439010620117,428.3494644165039,426.2853012084961,424.25489044189453,422.0591812133789,419.78173828125,417.376953125,414.9754943847656,412.4205627441406,409.80420684814453,407.0911178588867,404.35433197021484,401.5795364379883,398.71717071533203,395.87059783935547,393.02197265625,390.28141021728516,387.56641387939453,384.86619567871094,382.18944549560547,379.56556701660156,377.0752944946289,374.6521530151367,372.3771743774414,370.1235809326172,367.9156188964844,365.93031311035156,364.09510803222656,362.37608337402344,360.76039123535156,359.2232666015625,357.7884216308594,356.5524444580078,355.4521484375,354.5572204589844,353.8553009033203,353.2828369140625,352.8775939941406,352.67430114746094,352.7806854248047,352.96728515625,353.5082702636719,354.2524719238281,355.1773223876953,356.2713928222656,357.6096496582031,359.17034912109375,360.9220428466797,362.81214904785156,364.7359161376953,366.7967834472656,368.9241943359375,371.25975036621094,373.6918258666992,376.1720275878906,378.71488189697266,381.3774642944336,383.9711227416992,386.75819396972656,389.5706558227539,392.3848648071289,395.2547302246094,398.2101745605469,401.19378662109375,404.1840133666992,407.27528381347656,410.26163482666016,413.1894760131836,416.1795654296875,419.13883209228516,421.93912506103516,424.67459869384766,427.3946228027344,429.85340881347656,432.3524475097656,434.7104949951172,436.9345283508301,439.06526947021484,441.0993003845215,443.02686309814453,444.84752655029297,446.5156669616699,448.09343338012695,449.6027641296387
