"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141"
"S0",318.45037841796875,327.06793212890625,336.3961944580078,343.9480438232422,351.2901916503906,359.03802490234375,365.9785614013672,371.84149169921875,378.2982711791992,382.8872833251953,387.3428039550781,391.77050018310547,395.7815170288086,398.84632110595703,402.6875762939453,405.4686279296875,408.1085662841797,410.5766296386719,413.548095703125,415.75695037841797,418.02801513671875,420.54437255859375,422.8532180786133,425.29837799072266,427.21083068847656,429.3280792236328,431.05775451660156,433.1736373901367,434.38311767578125,435.62474060058594,436.4280776977539,436.87005615234375,437.007381439209,436.43452072143555,435.51734924316406,434.4584197998047,432.97010040283203,430.70506286621094,427.80696868896484,424.8431930541992,420.52294158935547,415.61700439453125,410.2669143676758,403.5466537475586,396.4435272216797,388.1632080078125,377.8868865966797,368.00013732910156,356.6904754638672,344.5859832763672,331.43824768066406,319.37738037109375,353.80291748046875,410.7020263671875,462.48504638671875,514.0477905273438,557.3421630859375,594.9490966796875,629.5947265625,656.5325927734375,677.140380859375,695.1807861328125,710.1512451171875,723.763916015625,737.995849609375,748.5792236328125,760.0498046875,771.95263671875,787.1131591796875,797.8441162109375,815.91748046875,833.49951171875,850.0322265625,868.2347412109375,882.7872314453125,901.236328125,921.88525390625,941.91357421875,960.7049560546875,980.6583251953125,998.3909912109375,1011.3839111328125,1025.4130859375,1039.6385498046875,1043.0654296875,1046.054443359375,1050.322265625,1049.6026611328125,1054.4896240234375,1060.606689453125,1060.922607421875,1066.6480712890625,1072.3819580078125,1077.654541015625,1088.4151611328125,1102.54052734375,1114.169677734375,1128.7451171875,1149.658935546875,1166.067138671875,1183.0965576171875,1195.520263671875,1209.462890625,1224.9278564453125,1231.721923828125,1232.5927734375,1232.15380859375,1232.7314453125,1222.30224609375,1215.03369140625,1194.670654296875,1169.2342529296875,1143.5380859375,1116.6763916015625,1083.619873046875,1054.481689453125,1021.235595703125,986.6734619140625,956.68994140625,925.021728515625,890.4617919921875,862.00439453125,834.4970703125,802.484619140625,777.4969482421875,756.647705078125,732.98974609375,709.9442138671875,685.0223388671875,663.7764892578125,636.4669189453125,615.8929443359375,588.697509765625,561.567626953125,530.061279296875,495.9833984375,460.94635009765625,422.7860107421875,384.6104736328125,346.8065185546875,320.7928466796875,329.214111328125
"S1",1664.978271484375,1563.365478515625,1470.908447265625,1366.873291015625,1270.6185302734375,1190.7935791015625,1106.7855224609375,1033.236572265625,972.27197265625,909.2125244140625,853.42919921875,804.708251953125,759.3343505859375,710.4451904296875,673.9444580078125,642.5870361328125,610.7923583984375,579.1988525390625,555.5419921875,525.3062744140625,496.6507568359375,469.79266357421875,443.37091064453125,425.29837799072266,427.21083068847656,429.3280792236328,431.05775451660156,433.1736373901367,434.38311767578125,435.62474060058594,436.4280776977539,436.87005615234375,437.007381439209,436.43452072143555,435.51734924316406,434.4584197998047,432.97010040283203,430.70506286621094,427.80696868896484,424.8431930541992,426.1285400390625,477.76385498046875,540.738037109375,608.9947509765625,690.4951171875,785.2137451171875,886.5362548828125,1009.017822265625,1141.0567626953125,1279.43408203125,1425.0872802734375,1584.412841796875,1739.179443359375,1888.95947265625,2045.783447265625,2184.8935546875,2318.9833984375,2442.1123046875,2541.94091796875,2637.33251953125,2709.4658203125,2758.595947265625,2806.16357421875,2844.769775390625,2880.40771484375,2917.668701171875,2942.67529296875,2977.860595703125,3003.846435546875,3055.885498046875,3082.197509765625,3123.583740234375,3170.840576171875,3222.283203125,3277.968505859375,3317.240966796875,3373.630126953125,3421.4521484375,3468.568359375,3519.669677734375,3562.281494140625,3608.15380859375,3634.86328125,3654.00537109375,3699.71484375,3724.17822265625,3730.30126953125,3747.4072265625,3736.1494140625,3725.74755859375,3726.34716796875,3729.93896484375,3738.1865234375,3755.87744140625,3772.00439453125,3781.53955078125,3820.47314453125,3867.4814453125,3899.47314453125,3935.20361328125,3969.3779296875,4022.947265625,4070.89306640625,4096.95458984375,4136.31005859375,4153.14892578125,4166.71533203125,4149.970703125,4156.9267578125,4143.21875,4114.04736328125,4057.95263671875,3998.87744140625,3920.32568359375,3843.81884765625,3763.57080078125,3676.79638671875,3594.7578125,3499.515625,3417.04931640625,3336.586181640625,3243.6376953125,3147.62353515625,3074.4326171875,2997.293701171875,2940.10595703125,2871.905029296875,2803.611083984375,2756.7138671875,2690.68896484375,2631.927978515625,2564.03955078125,2498.97314453125,2419.73974609375,2346.95166015625,2268.209228515625,2188.873046875,2098.689208984375,2007.662841796875,1911.544677734375,1817.322998046875,1718.009033203125
"S2",341.4555358886719,349.00889587402344,357.0686492919922,363.7669677734375,370.2449645996094,376.9358139038086,383.0040588378906,388.14247131347656,393.68160247802734,397.73289489746094,401.6327819824219,405.4724884033203,408.9580993652344,411.7002410888672,415.0024108886719,417.42262268066406,419.73314666748047,421.90879821777344,424.4449691772461,426.40457916259766,428.40335845947266,430.58948516845703,432.6064453125,434.7211456298828,436.4216613769531,438.2646026611328,439.786563873291,441.5856285095215,442.6667785644531,443.73836517333984,444.4444236755371,444.81822204589844,444.9274673461914,444.4571342468262,443.67680740356445,442.7368583679199,441.41178131103516,439.42884063720703,436.9047393798828,434.27135467529297,430.5258102416992,426.24522399902344,421.54249572753906,415.70558166503906,409.4840774536133,402.24266052246094,393.3584518432617,384.6790237426758,374.8048324584961,364.2658233642578,352.8667297363281,342.26808166503906,313.77256774902344,318.4547576904297,262.74609375,299.72686767578125,335.01470947265625,367.126708984375,392.13189697265625,416.21484375,433.700927734375,444.7127685546875,455.649169921875,464.930419921875,473.81195068359375,483.85784912109375,490.86590576171875,501.32879638671875,508.9844970703125,525.3321533203125,533.816162109375,546.6474609375,561.3681640625,577.1441650390625,594.1019287109375,605.7313232421875,622.056884765625,635.7840576171875,648.93017578125,662.8411865234375,674.08984375,686.481201171875,692.887451171875,697.1412353515625,709.510986328125,715.78271484375,716.955078125,722.3287353515625,719.00732421875,716.1011962890625,717.38671875,719.507080078125,723.78857421875,730.58935546875,736.9708251953125,741.8983154296875,755.1785888671875,770.777587890625,781.5050048828125,793.2734375,803.799560546875,819.564208984375,833.469482421875,839.9678955078125,849.910400390625,852.6700439453125,854.25244140625,846.485595703125,845.277099609375,838.0394287109375,826.1927490234375,806.96337890625,787.1290283203125,761.908203125,737.938232421875,713.466064453125,687.41748046875,663.4267578125,635.9716796875,612.8646240234375,590.818115234375,565.024658203125,538.2071533203125,518.1937866210938,497.111328125,481.40179443359375,462.31005859375,442.740234375,429.2791748046875,409.6605224609375,391.82891845703125,370.78045654296875,350.21417236328125,325.45501708984375,302.1964111328125,307.35272216796875,314.3272247314453,321.8675537109375,329.4092559814453,336.7781524658203,343.9254150390625,351.2550354003906
"S3",341.4555358886719,349.00889587402344,357.0686492919922,363.7669677734375,370.2449645996094,376.9358139038086,383.0040588378906,388.14247131347656,393.68160247802734,397.73289489746094,401.6327819824219,405.4724884033203,408.9580993652344,410.4957962036133,415.0024108886719,415.43907928466797,419.73314666748047,421.18289947509766,413.78455352783203,417.8056411743164,417.18900299072266,426.5708770751953,427.13023376464844,432.82520294189453,432.51759338378906,435.95655059814453,434.2532958984375,433.54557037353516,434.71216583251953,435.63417053222656,436.5157051086426,436.5959663391113,435.5248565673828,433.5038833618164,439.80794525146484,434.0854797363281,430.3774108886719,425.1124725341797,430.2248764038086,424.6812973022461,430.5258102416992,417.0585479736328,407.7701187133789,397.1986083984375,381.0948257446289,357.56065368652344,371.3386535644531,349.92555236816406,324.82440185546875,286.0475616455078,290.74977111816406,266.1444549560547,227.84640502929688,217.77313232421875,239.83624267578125,223.78839111328125,213.88772583007812,173.82516479492188,182.30279541015625,189.24130249023438,140.41845703125,237.49282836914062,218.11737060546875,238.74395751953125,212.95547485351562,171.3265380859375,223.8287353515625,187.7958984375,197.71878051757812,214.86907958984375,237.48068237304688,291.35321044921875,229.28106689453125,240.4862060546875,251.83984375,260.3382568359375,271.54949951171875,281.0545654296875,289.90625,380.70355224609375,306.60357666015625,314.23114013671875,318.53033447265625,321.7911376953125,328.658447265625,332.24505615234375,333.30731201171875,380.9100341796875,335.6429443359375,335.32598876953125,337.08935546875,340.02117919921875,344.4056396484375,350.24456787109375,356.4312744140625,362.11663818359375,372.1956787109375,383.7506103515625,392.9306640625,401.8907470703125,409.86309814453125,419.949462890625,428.79290771484375,433.11962890625,438.209716796875,438.180419921875,437.19256591796875,430.8121337890625,426.9637451171875,420.1240234375,409.35205078125,394.15093994140625,378.94921875,360.83685302734375,343.24151611328125,326.134765625,308.0299072265625,291.3011474609375,273.34521484375,257.912353515625,242.94097900390625,235.50433349609375,240.6444091796875,247.28097534179688,252.06642150878906,256.2696533203125,260.8836212158203,265.34690856933594,270.6074676513672,274.5849914550781,280.1540985107422,283.8980712890625,289.2946319580078,294.3486328125,300.6139221191406,307.35272216796875,314.3272247314453,321.8675537109375,329.4092559814453,336.7781524658203,343.9254150390625,351.2550354003906
"S4",291.9885711669922,270.9266662597656,287.7367706298828,300.6526794433594,286.41017150878906,299.3611145019531,316.6532897949219,300.9079284667969,287.5355682373047,293.2508850097656,314.7480010986328,311.2022705078125,337.6749725341797,320.2440948486328,309.2990417480469,324.01768493652344,316.14939880371094,311.26487731933594,318.78875732421875,324.64141845703125,320.2559814453125,342.97987365722656,344.9562072753906,348.3400115966797,358.149169921875,364.6089630126953,358.25978088378906,361.53076171875,365.2632598876953,358.20204162597656,370.211669921875,355.9040222167969,360.9496154785156,370.59336853027344,363.7641906738281,355.9532165527344,357.5304412841797,338.4193878173828,342.880859375,341.01910400390625,339.88600158691406,329.8663787841797,311.8337097167969,289.0187072753906,264.6180877685547,222.99407958984375,210.30062866210938,185.70867919921875,177.56854248046875,231.8231201171875,288.9637451171875,344.16668701171875,398.3541259765625,452.34857177734375,501.9530029296875,549.234619140625,588.9083251953125,623.063720703125,653.1573486328125,677.0948486328125,694.669921875,709.1646728515625,721.9351806640625,733.9796142578125,747.18115234375,758.3670654296875,770.018310546875,783.4163818359375,799.014404296875,813.529541015625,832.0050048828125,851.151611328125,869.7677001953125,889.792724609375,906.7462158203125,925.1170654296875,946.2332763671875,965.7713623046875,983.8160400390625,1002.8056640625,1019.0777587890625,1031.7158203125,1043.6661376953125,1055.3492431640625,1060.7415771484375,1064.4403076171875,1068.276611328125,1069.675048828125,1073.822998046875,1079.5574951171875,1082.1204833984375,1089.7528076171875,1098.2838134765625,1107.2669677734375,1120.7161865234375,1136.4681396484375,1152.29736328125,1170.869873046875,1192.8504638671875,1210.80908203125,1228.2315673828125,1242.6251220703125,1257.0340576171875,1269.8861083984375,1275.8271484375,1274.2906494140625,1270.970458984375,1265.67138671875,1253.0328369140625,1241.473388671875,1218.102783203125,1188.99072265625,1160.1070556640625,1129.495361328125,1094.834228515625,1064.0030517578125,1030.015625,996.11767578125,965.5162353515625,935.1097412109375,902.83935546875,874.6533203125,846.9071044921875,817.1767578125,792.656494140625,772.643310546875,748.8699951171875,724.9375,700.6033935546875,677.0367431640625,648.43017578125,624.0469970703125,593.9619140625,562.540771484375,527.83251953125,490.60162353515625,452.71380615234375,411.77423095703125,371.21942138671875,331.12164306640625,292.71478271484375,276.31407165527344
"S5",242.7506103515625,220.273193359375,231.5318603515625,247.32882690429688,261.4034881591797,271.19921875,282.73968505859375,293.0325622558594,276.9178466796875,289.90956115722656,264.28138732910156,266.43328857421875,320.7506866455078,336.5538787841797,309.2990417480469,344.8484802246094,333.7376251220703,311.26487731933594,349.9661102294922,331.6773986816406,339.56214904785156,347.03965759277344,335.2401428222656,337.5796661376953,354.83949279785156,343.1004333496094,348.686279296875,346.5503234863281,337.0977020263672,342.1510925292969,348.13230895996094,341.380615234375,341.5419006347656,359.92649841308594,351.52516174316406,357.641845703125,361.78814697265625,354.01133728027344,351.4194030761719,350.95330810546875,358.85853576660156,355.50244140625,321.08055114746094,273.4884490966797,291.4571990966797,288.657470703125,226.81195068359375,273.1464538574219,176.85699462890625,190.2572021484375,245.99786376953125,296.34521484375,347.48748779296875,400.78076171875,446.17340087890625,493.17974853515625,529.945556640625,560.766357421875,590.685546875,611.5753173828125,627.456298828125,643.1160888671875,655.6053466796875,667.9017333984375,681.7835693359375,691.278564453125,703.5406494140625,715.5347900390625,732.826171875,741.7021484375,762.783203125,781.432373046875,797.940673828125,815.978759765625,828.5989990234375,847.7313232421875,867.593017578125,887.3465576171875,905.428466796875,924.4661865234375,941.5078125,952.0970458984375,966.302001953125,981.6943359375,980.6129150390625,981.5833740234375,986.527587890625,984.2896728515625,992.626220703125,1002.8121337890625,1004.60009765625,1013.28759765625,1021.6026611328125,1028.2879638671875,1042.238037109375,1061.2471923828125,1073.476318359375,1088.332275390625,1112.7694091796875,1130.582275390625,1148.8665771484375,1158.46630859375,1170.2159423828125,1185.9925537109375,1188.486328125,1185.6490478515625,1181.250244140625,1181.5279541015625,1164.933837890625,1154.864990234375,1130.0086669921875,1101.965087890625,1074.30908203125,1047.8929443359375,1013.7392578125,985.5208740234375,953.21533203125,919.0755615234375,892.4931640625,862.57470703125,828.8470458984375,804.291259765625,781.2584228515625,749.804443359375,727.543212890625,708.0909423828125,685.879150390625,664.1097412109375,637.1829833984375,616.6971435546875,587.32763671875,567.2794189453125,538.2352294921875,510.70574951171875,476.83990478515625,440.4124755859375,403.03240966796875,363.13372802734375,323.61383056640625,285.41448974609375,248.8511962890625,211.79144287109375
"S6",776.7076416015625,714.8013916015625,657.03515625,596.5496826171875,540.607421875,492.42376708984375,443.50238037109375,401.2481689453125,364.3291015625,328.861083984375,296.9998779296875,287.54449462890625,320.6322479248047,336.9359130859375,322.8672332763672,349.2597961425781,333.7376251220703,340.6723937988281,349.9661102294922,344.5148162841797,339.56214904785156,347.03965759277344,341.0893096923828,340.4031677246094,354.83949279785156,355.1075744628906,348.686279296875,349.6798095703125,359.5318603515625,352.1549987792969,351.2238311767578,353.068603515625,348.2407684326172,362.85496520996094,351.92237854003906,358.43284606933594,361.78814697265625,354.01133728027344,352.91790771484375,350.95330810546875,358.85853576660156,355.50244140625,321.08055114746094,311.44557189941406,301.10443115234375,312.32366943359375,378.71710205078125,454.853271484375,536.962890625,622.3092041015625,711.6290283203125,805.3260498046875,895.96142578125,983.64697265625,1071.717529296875,1150.548583984375,1223.0594482421875,1288.0576171875,1341.2022705078125,1389.419677734375,1424.9522705078125,1449.75048828125,1473.3336181640625,1493.521240234375,1513.525146484375,1533.6158447265625,1549.425537109375,1570.6787109375,1589.486328125,1618.842041015625,1639.88525390625,1667.37890625,1697.087646484375,1729.191650390625,1761.313232421875,1787.259033203125,1821.3974609375,1851.086181640625,1879.447265625,1909.660888671875,1934.811279296875,1959.348876953125,1975.545654296875,1988.477783203125,2009.05810546875,2020.145751953125,2024.051025390625,2031.61962890625,2029.097412109375,2027.92919921875,2030.08203125,2036.2529296875,2045.2373046875,2058.29541015625,2073.168701171875,2086.81640625,2112.48095703125,2142.880615234375,2168.651611328125,2193.823974609375,2217.621826171875,2247.569091796875,2274.96533203125,2291.956787109375,2310.44091796875,2315.385009765625,2317.771484375,2306.378662109375,2300.552978515625,2286.7392578125,2260.338623046875,2220.13916015625,2178.975830078125,2129.2802734375,2078.616455078125,2028.898193359375,1975.1630859375,1923.83740234375,1869.28076171875,1820.392578125,1771.648681640625,1720.130859375,1667.638916015625,1623.442138671875,1580.4765625,1547.7696533203125,1508.4942626953125,1468.8485107421875,1437.5032958984375,1398.466796875,1359.416748046875,1318.577880859375,1275.5445556640625,1225.944580078125,1176.8948974609375,1124.0087890625,1070.4617919921875,1010.9371337890625,951.3609619140625,890.153564453125,830.80810546875,769.4044189453125
"S7",263.238037109375,267.9866943359375,276.7570495605469,240.10379028320312,268.48924255371094,290.2236633300781,307.4254455566406,295.2866516113281,304.02601623535156,297.3043670654297,314.25067138671875,306.1658020019531,320.6322479248047,336.9359130859375,322.8672332763672,349.2597961425781,335.17864990234375,340.6723937988281,349.9661102294922,351.212890625,345.71229553222656,349.1712341308594,348.38169860839844,353.54173278808594,362.1583557128906,357.3282470703125,353.15745544433594,354.5021209716797,359.5318603515625,355.8795928955078,357.4694366455078,365.7545928955078,362.1780548095703,366.8022766113281,361.50840759277344,362.5821228027344,361.78814697265625,354.01133728027344,352.91790771484375,350.95330810546875,358.85853576660156,355.50244140625,321.08055114746094,315.79798889160156,302.38230895996094,288.657470703125,226.81195068359375,273.1464538574219,236.18344116210938,226.38796997070312,244.2545166015625,277.94232177734375,331.8714599609375,383.40631103515625,436.1192626953125,482.3831787109375,525.5506591796875,564.4857177734375,595.7041015625,624.7174072265625,645.9559326171875,660.18310546875,673.90673828125,685.6270751953125,697.08935546875,709.11279296875,718.1790771484375,730.8345947265625,741.279052734375,759.678955078125,771.3253173828125,787.40234375,805.1748046875,824.29736328125,844.016357421875,858.9549560546875,879.08935546875,896.408447265625,912.94873046875,930.501708984375,944.9693603515625,959.751220703125,968.66455078125,975.4698486328125,988.6263427734375,995.5655517578125,997.5128173828125,1002.77880859375,1000.2598876953125,998.46533203125,999.8131103515625,1003.0140380859375,1008.2862548828125,1016.16796875,1024.5753173828125,1031.968017578125,1047.457275390625,1065.7930908203125,1080.3150634765625,1095.02001953125,1108.679931640625,1126.8388671875,1143.30615234375,1152.5997314453125,1163.916015625,1166.904052734375,1168.4483642578125,1160.67578125,1157.7657470703125,1149.2567138671875,1133.858154296875,1110.0279541015625,1085.5921630859375,1055.47314453125,1025.5848388671875,995.8258056640625,963.818115234375,933.653076171875,900.7476806640625,871.929931640625,843.675048828125,812.6767578125,780.8485107421875,755.1409912109375,729.4818115234375,710.0640869140625,686.6898193359375,662.9490966796875,645.0755615234375,621.561279296875,598.8453369140625,573.9979248046875,548.543212890625,518.7727661132812,489.8472900390625,458.75677490234375,427.3328857421875,392.321533203125,357.29302978515625,321.12774658203125,286.03900146484375,249.75482177734375
"S8",335.88116455078125,298.7955322265625,294.8922882080078,309.3283386230469,304.1659851074219,326.0218505859375,342.5716552734375,355.4610290527344,335.78431701660156,330.9427032470703,343.35581970214844,339.41139221191406,342.82289123535156,345.44798278808594,347.91700744628906,363.81333923339844,356.2234191894531,360.6124267578125,367.6687927246094,367.9502258300781,358.182373046875,376.8379898071289,360.5598907470703,368.5125274658203,374.9533996582031,361.3091125488281,373.48526763916016,371.70790100097656,367.4092254638672,372.5899658203125,374.41588592529297,373.0137405395508,363.33807373046875,366.8022766113281,368.5925598144531,362.5821228027344,358.4587860107422,358.56243896484375,352.91790771484375,345.46209716796875,340.35894775390625,342.1451873779297,342.8450927734375,332.94822692871094,310.927001953125,280.00645446777344,235.52377319335938,255.19000244140625,236.18344116210938,226.38796997070312,240.91647338867188,291.2772216796875,349.912841796875,410.5977783203125,467.5367431640625,524.34912109375,573.810791015625,617.8304443359375,658.3587646484375,691.285888671875,717.1861572265625,739.40576171875,757.9476318359375,774.17578125,790.14990234375,801.99072265625,813.7298583984375,825.5838623046875,839.919189453125,850.3533935546875,866.9661865234375,883.455322265625,899.163330078125,916.73681640625,931.276611328125,949.35888671875,970.278076171875,990.7447509765625,1010.375244140625,1031.4910888671875,1050.538330078125,1065.2977294921875,1080.64111328125,1095.9578857421875,1101.3240966796875,1105.58251953125,1110.230224609375,1109.962158203125,1113.85302734375,1118.5264892578125,1117.4307861328125,1121.1470947265625,1124.594970703125,1127.575439453125,1135.5909423828125,1146.6412353515625,1155.9554443359375,1168.4508056640625,1186.9862060546875,1201.7906494140625,1217.726318359375,1230.26708984375,1244.7933349609375,1261.0208740234375,1269.9820556640625,1273.5159912109375,1276.1903076171875,1279.5361328125,1273.1689453125,1269.3807373046875,1252.768798828125,1230.432373046875,1207.31005859375,1182.0892333984375,1150.37109375,1121.613525390625,1088.1558837890625,1052.8984375,1021.17529296875,987.6431884765625,951.067626953125,919.822509765625,889.3697509765625,855.1163330078125,827.6278076171875,804.775146484375,779.4078369140625,755.064453125,729.865234375,708.2626953125,681.591796875,661.5745849609375,635.765869140625,610.0552978515625,580.5087890625,548.464111328125,515.4633178710938,479.06341552734375,442.347900390625,405.50244140625,369.4169921875,331.6361083984375
"S9",327.15374755859375,288.6025390625,251.41290283203125,218.64508056640625,232.74649047851562,245.5956268310547,258.17442321777344,268.97413635253906,279.07493591308594,287.98291015625,296.13636779785156,303.6741943359375,310.61851501464844,317.1954345703125,323.3015441894531,328.17222595214844,333.01551818847656,337.7611999511719,342.1642761230469,346.631591796875,350.9892272949219,355.35935974121094,359.5316162109375,363.6269073486328,367.5581359863281,361.3091125488281,373.48526763916016,371.70790100097656,367.4092254638672,372.5899658203125,374.41588592529297,373.0137405395508,363.33807373046875,366.8022766113281,368.5925598144531,362.5821228027344,358.4587860107422,358.56243896484375,349.54515075683594,341.85577392578125,340.35894775390625,342.1451873779297,334.8094482421875,323.04884338378906,309.7458801269531,280.00645446777344,235.52377319335938,236.98672485351562,215.95941162109375,198.4990234375,228.22601318359375,286.99444580078125,345.31134033203125,403.24176025390625,461.27880859375,515.2833862304688,565.0792236328125,610.30712890625,649.0013427734375,683.5076904296875,710.0113525390625,729.9622802734375,747.8280029296875,762.9747314453125,777.2974853515625,790.1844482421875,800.49755859375,812.9844970703125,824.4156494140625,839.9705810546875,852.6514892578125,868.3721923828125,885.0810546875,903.466552734375,921.4969482421875,937.5343017578125,958.3489990234375,977.3023681640625,995.6890869140625,1015.469970703125,1032.5875244140625,1048.6431884765625,1060.8148193359375,1071.4281005859375,1083.1656494140625,1090.0067138671875,1093.1923828125,1096.8172607421875,1095.97802734375,1095.5635986328125,1095.1790771484375,1097.3336181640625,1100.60791015625,1105.3743896484375,1112.0166015625,1118.9136962890625,1130.9161376953125,1146.0462646484375,1160.722412109375,1174.657958984375,1188.6279296875,1205.0146484375,1221.3314208984375,1233.7476806640625,1245.670654296875,1250.5506591796875,1254.4691162109375,1252.397216796875,1250.7225341796875,1246.0042724609375,1232.3306884765625,1210.7186279296875,1188.091552734375,1160.4173583984375,1130.36474609375,1100.85498046875,1067.8143310546875,1035.0382080078125,1001.057861328125,969.0491943359375,936.22900390625,903.0242919921875,869.4443359375,838.9705810546875,810.7919921875,788.646484375,763.208984375,738.1563720703125,717.2569580078125,693.9420166015625,669.9373779296875,646.8856201171875,621.873291015625,594.092529296875,565.8377685546875,535.32666015625,504.26593017578125,469.47174072265625,434.3731689453125,398.15582275390625,362.64202880859375,325.388916015625
