"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.848388671875,88.84911346435547,89.8027572631836,89.98822021484375,90.58078002929688,91.0014877319336,91.84265899658203,92.6238784790039,93.97502136230469,112.02536010742188,144.98333740234375,146.31153869628906,148.677001953125,150.1151123046875,151.64675903320312,174.23019409179688,193.34347534179688,220.48126220703125,238.0792236328125,248.76148986816406,253.48171997070312,254.91220092773438,255.9393768310547,266.8241271972656,267.63702392578125,268.7078857421875,284.5933532714844,285.5919189453125,286.9927978515625,289.65167236328125,291.510009765625,292.26373291015625,293.5345764160156,338.5885009765625,339.2448425292969,340.1918029785156,344.7525329589844,347.7508239746094,348.58135986328125,349.68499755859375,350.5736083984375,352.41253662109375,352.950439453125,356.53070068359375,373.362548828125,374.29144287109375,375.1620178222656
"S1",94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,94.46774291992188,108.48953247070312,113.18981170654297,113.18981170654297,113.18981170654297,113.18981170654297,113.18981170654297,113.19133758544922,126.44357299804688,126.7730941772461,127.88046264648438,128.41119384765625,129.37806701660156,129.95025634765625,145.94569396972656,180.4266357421875,191.00228881835938,192.07186889648438,217.0937042236328,222.0357208251953,222.62074279785156,251.09515380859375,286.05010986328125,334.73297119140625,341.917236328125,342.00213623046875,342.0893249511719,342.34210205078125,342.5435791015625,342.6641845703125,342.79144287109375,342.8525390625,370.1819152832031,371.4185485839844,371.7259521484375,371.82672119140625,373.6828918457031,373.778076171875,374.7458190917969,374.8074645996094,374.8988952636719,375.1445617675781,375.400390625,375.452392578125,375.5743408203125,375.65093994140625,376.1827697753906,376.3610534667969,376.4082946777344,391.3934631347656,420.89984130859375,420.958740234375,421.00946044921875
"S2",48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,48.00680160522461,83.7568130493164,83.7568130493164,83.7568130493164,83.7568130493164,83.7568130493164,83.7568130493164,83.77040100097656,83.84771728515625,104.38612365722656,105.03909301757812,105.74052429199219,106.76570129394531,107.72785186767578,111.97113037109375,152.92230224609375,154.55506896972656,155.89608764648438,157.70346069335938,163.76258850097656,178.10491943359375,186.1477508544922,197.42628479003906,198.85134887695312,226.82379150390625,229.2206268310547,238.86407470703125,260.62615966796875,262.0897521972656,271.1938171386719,272.43804931640625,276.5376892089844,285.2856140136719,286.6842346191406,288.26104736328125,289.63311767578125,291.20623779296875,292.66168212890625,316.7066650390625,319.5577697753906,320.8114013671875,322.5879821777344,325.6195373535156,326.6556701660156,328.16632080078125,329.13604736328125,330.408935546875,331.6972961425781,333.365966796875,361.6698913574219,377.2416687011719,383.73175048828125,384.59295654296875
"S3",24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,24.98897933959961,35.58595657348633,35.58595657348633,35.58595657348633,35.58595657348633,35.58595657348633,35.58595657348633,35.60592269897461,35.72764587402344,46.05223083496094,46.85030746459961,48.25343704223633,50.13954162597656,52.31745147705078,54.939186096191406,61.53974151611328,64.13079071044922,67.08682250976562,70.88993835449219,75.65665435791016,82.6205062866211,87.09688568115234,93.28166961669922,98.11621856689453,115.24179077148438,123.49913024902344,137.50662231445312,151.77484130859375,157.6048583984375,164.93096923828125,170.46063232421875,185.2566375732422,195.11236572265625,200.65574645996094,206.61746215820312,213.1431884765625,218.96414184570312,224.9627685546875,249.86746215820312,258.96417236328125,265.5367126464844,271.1587219238281,278.6981201171875,283.5695495605469,289.6143493652344,294.0500793457031,298.85577392578125,303.74920654296875,309.2768249511719,323.94219970703125,328.09210205078125,332.5502014160156,336.7140197753906
"S4",28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,28.739887237548828,33.56832504272461,33.56832504272461,33.56832504272461,33.56832504272461,33.56832504272461,33.56832504272461,33.56832504272461,33.56832504272461,33.56832504272461,55.86317825317383,55.86317825317383,55.86317825317383,55.86317825317383,55.86317825317383,55.86317825317383,55.8648681640625,55.974082946777344,71.60871124267578,72.56243133544922,73.16041564941406,74.16712188720703,75.09089660644531,76.46855163574219,80.22367858886719,81.54086303710938,83.12045288085938,84.88416290283203,87.5003433227539,92.73904418945312,94.95745086669922,99.59981536865234,101.8662338256836,120.9338607788086,129.18325805664062,136.46913146972656,150.57142639160156,156.33786010742188,160.60174560546875,167.24729919433594,178.82464599609375,184.26487731933594,188.70933532714844,193.24095153808594,200.14227294921875,204.7395477294922,210.80804443359375,242.94935607910156,250.14614868164062,256.507080078125,260.7408447265625,266.9513854980469,272.07232666015625,279.9044189453125,284.856201171875,289.8187561035156,294.8741760253906,300.168701171875,309.35711669921875,314.1365966796875,318.4268798828125,324.4632568359375
"S5",68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,68.56011962890625,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51531982421875,110.51643371582031,146.16261291503906,146.34698486328125,146.9342498779297,147.28855895996094,147.76559448242188,148.30604553222656,149.0147247314453,149.78982543945312,150.67913818359375,152.45230102539062,153.4615478515625,154.5754852294922,156.1975555419922,157.379638671875,159.35011291503906,160.9319305419922,162.84423828125,165.2335968017578,167.57737731933594,170.63552856445312,174.33775329589844,177.09368896484375,192.6891632080078,195.36605834960938,198.73419189453125,203.48895263671875,207.5101318359375,213.26939392089844,217.8754425048828,222.47853088378906,251.8428192138672,256.73602294921875,261.3643493652344,265.513427734375,271.3953857421875,276.01776123046875,284.6500244140625,290.4366455078125,294.887939453125,299.5032958984375,303.8179626464844,308.08935546875,313.7061462402344,317.4598388671875,324.90191650390625
"S6",120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,120.50067138671875,121.06299591064453,121.06299591064453,121.06299591064453,121.06299591064453,121.06299591064453,121.06299591064453,121.06299591064453,122.4163589477539,122.4163589477539,122.4163589477539,122.4163589477539,122.4163589477539,122.4163589477539,122.4163589477539,122.4163589477539,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,122.43342590332031,129.04913330078125,129.04913330078125,129.04913330078125,129.04913330078125,129.0500946044922,129.06387329101562,129.17066955566406,129.2261962890625,130.49307250976562,130.70701599121094,130.9519500732422,131.89012145996094,132.1772918701172,133.02886962890625,133.44924926757812,134.85586547851562,135.50970458984375,137.38600158691406,138.64796447753906,141.57168579101562,143.10736083984375,144.67330932617188,149.04949951171875,161.06248474121094,163.14407348632812,165.83656311035156,168.19798278808594,171.41757202148438,174.25584411621094,177.72161865234375,192.81704711914062,197.01742553710938,203.90386962890625,210.19761657714844,215.64117431640625,222.8733367919922,230.24488830566406,236.32115173339844,243.87158203125,262.82562255859375,268.4635925292969,274.38970947265625,282.4525451660156,288.3359680175781,294.43243408203125,300.1380920410156,306.0885009765625,311.3180236816406,316.4527282714844,320.7145690917969
"S7",156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.52203369140625,156.6274871826172,156.6274871826172,156.6274871826172,156.6274871826172,156.6274871826172,156.6274871826172,156.6274871826172,156.6274871826172,156.6274871826172,156.6274871826172,156.6274871826172,156.6274871826172,156.6274871826172,156.6329803466797,156.6610870361328,156.7175750732422,156.799072265625,157.5762481689453,157.77084350585938,158.0635986328125,158.57008361816406,158.91146850585938,159.58363342285156,161.5915069580078,163.0597686767578,163.48167419433594,164.1674346923828,168.79794311523438,170.38092041015625,173.2943115234375,175.1977081298828,177.97218322753906,180.51882934570312,182.40640258789062,185.24351501464844,195.87965393066406,199.00665283203125,207.10414123535156,212.4545440673828,216.17449951171875,220.81027221679688,228.7616424560547,233.6978759765625,240.33309936523438,247.4174041748047,252.6023406982422,258.6805114746094,267.2889709472656,274.11212158203125,279.72113037109375,285.83648681640625,292.1075134277344,300.0189208984375,306.352294921875,311.8204650878906,317.6048583984375,322.6246032714844,327.537841796875,332.2143249511719
"S8",130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.49510192871094,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5795440673828,130.5960693359375,130.6532440185547,130.77198791503906,130.9951171875,131.60012817382812,132.08245849609375,132.74545288085938,133.74945068359375,134.47885131835938,135.50669860839844,136.90589904785156,138.87879943847656,142.08026123046875,143.34100341796875,144.70516967773438,146.19500732421875,152.01365661621094,153.88394165039062,156.45896911621094,158.82305908203125,161.13589477539062,163.92312622070312,168.48187255859375,171.9617156982422,185.13206481933594,189.19334411621094,195.3364715576172,199.83343505859375,206.40792846679688,210.8915252685547,216.17893981933594,221.3153533935547,239.5028839111328,248.36016845703125,253.99197387695312,260.40814208984375,265.8083190917969,272.2528991699219,278.224853515625,285.1528625488281,291.2478332519531,296.606201171875,301.7554016113281,306.58172607421875,311.0776672363281,315.4981384277344
"S9",22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.25689697265625,22.286436080932617,22.360973358154297,22.6702880859375,23.72677993774414,24.9160213470459,26.589197158813477,28.3428897857666,32.543975830078125,34.94514846801758,37.493309020996094,50.48529815673828,57.218082427978516,66.67798614501953,70.15384674072266,73.94336700439453,78.71809387207031,120.39509582519531,125.58169555664062,129.71067810058594,134.160888671875,144.9484405517578,154.95327758789062,159.9427947998047,164.63951110839844,169.9803924560547,178.8200225830078,184.49636840820312,191.05133056640625,196.23602294921875,202.7376708984375,209.2441864013672,216.2168426513672,231.7237548828125,238.57931518554688,244.6994171142578,251.8579864501953,258.3799743652344,266.87548828125,275.9296569824219,282.9229431152344,291.8526916503906,298.36309814453125,303.14581298828125,307.7330017089844,312.19232177734375,316.489501953125
