"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.6884765625,9807.9150390625,9770.12890625,9806.2236328125,9869.15625,9967.3740234375,10105.2626953125,10264.150390625,10432.4326171875,8207.8291015625,5041.98486328125,5204.51806640625,5320.07177734375,5509.2880859375,5716.01171875,4102.9443359375,3086.245849609375,1932.354248046875,1420.189697265625,1205.8846435546875,1180.5838623046875,1255.8597412109375,1355.4146728515625,1156.3154296875,1252.9443359375,1359.7987060546875,1007.8652954101562,1104.1815185546875,1206.7938232421875,1311.243896484375,1452.0272216796875,1559.2125244140625,1698.5604248046875,457.1526184082031,510.1747741699219,568.1675415039062,551.6281127929688,575.660400390625,634.9969482421875,696.6171264648438,760.7218017578125,834.787841796875,891.1550903320312,874.6456298828125,473.4326171875,509.28515625,546.387939453125
"S1",10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,10982.990234375,8438.2939453125,7730.87060546875,7730.87060546875,7730.87060546875,7730.87060546875,7730.87060546875,7731.11669921875,6024.17822265625,6042.16015625,6068.1767578125,6148.39111328125,6265.24267578125,6382.2998046875,4842.8388671875,2435.495361328125,2028.3382568359375,2127.078125,1229.0322265625,1187.3065185546875,1261.1949462890625,613.1558227539062,210.05836486816406,25.292858123779297,18.432947158813477,22.53896713256836,27.237350463867188,34.30662155151367,43.087581634521484,50.662906646728516,60.013370513916016,65.6907730102539,18.846651077270508,36.21484375,44.1944694519043,49.338653564453125,100.86632537841797,106.60354614257812,150.31387329101562,155.19923400878906,162.25762939453125,177.7150421142578,196.70831298828125,201.9445343017578,212.99057006835938,220.94935607910156,255.85269165039062,273.2785949707031,278.9779968261719,126.84362030029297,13.540125846862793,15.781521797180176,17.960433959960938
"S2",25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,25936.5625,15922.9248046875,15922.9248046875,15922.9248046875,15922.9248046875,15922.9248046875,15922.9248046875,15921.3515625,15933.4521484375,11924.587890625,11952.86328125,12056.021484375,12190.236328125,12359.4775390625,11996.861328125,6434.0810546875,6569.990234375,6766.240234375,6947.83642578125,6634.8857421875,5447.9306640625,5011.20703125,4349.87841796875,4564.36669921875,2738.85791015625,2843.61279296875,2498.483154296875,1582.3760986328125,1705.54248046875,1493.11328125,1620.881103515625,1632.84326171875,1510.59716796875,1646.85546875,1796.521728515625,1953.6090087890625,2121.405517578125,2292.212890625,1418.9666748046875,1560.951416015625,1685.2047119140625,1822.4228515625,2000.7259521484375,2123.30419921875,2273.455078125,2398.350341796875,2538.731201171875,2679.966552734375,2828.970947265625,1071.3023681640625,589.5907592773438,477.6724853515625,515.9745483398438
"S3",46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,46081.0859375,38425.49609375,38425.49609375,38425.49609375,38425.49609375,38425.49609375,38425.49609375,38419.890625,38430.2265625,32843.3671875,32877.18359375,32949.23828125,33049.6640625,33169.62109375,33256.98828125,32203.150390625,32579.63671875,33021.2734375,33324.30078125,33329.39453125,32446.69921875,32758.625,32606.4140625,33049.78125,26458.20703125,25333.033203125,21592.470703125,18234.921875,18395.1796875,18093.841796875,18400.4765625,15437.103515625,14687.759765625,15002.486328125,15277.0126953125,15471.732421875,15804.353515625,16073.0224609375,9546.62109375,8890.802734375,8789.6376953125,8882.08203125,8550.8828125,8709.60546875,8644.310546875,8837.4833984375,8926.5439453125,8949.591796875,8724.0498046875,5527.119140625,5495.5087890625,5336.236328125,5225.70166015625
"S4",21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,21983.107421875,20401.23046875,20401.23046875,20401.23046875,20401.23046875,20401.23046875,20401.23046875,20401.23046875,20401.23046875,20401.23046875,14876.4287109375,14876.4287109375,14876.4287109375,14876.4287109375,14876.4287109375,14876.4287109375,14877.263671875,14888.5029296875,12190.1650390625,12212.03125,12342.8740234375,12504.0078125,12704.3759765625,12909.89453125,13004.1064453125,13310.4208984375,13665.9462890625,14042.7626953125,14378.16796875,14420.9560546875,14858.662109375,15160.8359375,15676.138671875,12538.798828125,11993.013671875,11685.2685546875,10246.796875,10330.3095703125,10665.232421875,10661.09765625,10069.49609375,10324.0478515625,10724.173828125,11157.1259765625,11350.73046875,11807.544921875,12085.3291015625,6164.98583984375,6055.41943359375,6061.708984375,6319.330078125,6326.33642578125,6451.80126953125,6125.10546875,6239.05517578125,6325.328125,6364.10888671875,6326.54541015625,5210.14111328125,5147.72607421875,5133.21923828125,4655.052734375
"S5",23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,23863.220703125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.0673828125,12932.4384765625,8563.4970703125,8586.30859375,8625.6044921875,8699.7373046875,8799.904296875,8915.9775390625,9051.0625,9217.09765625,9402.3212890625,9615.13671875,9842.46875,10086.2705078125,10354.88671875,10629.77734375,10927.7734375,11260.9052734375,11604.7041015625,11946.080078125,12316.392578125,12647.0634765625,12986.7890625,13411.142578125,11867.0361328125,12276.9912109375,12682.01171875,12984.51953125,13404.35546875,13615.912109375,14002.7060546875,14383.994140625,8560.3740234375,8740.0693359375,8939.068359375,9205.267578125,9172.8271484375,9322.9404296875,8501.8251953125,8363.3525390625,8452.97265625,8474.99609375,8532.8759765625,8573.9833984375,8180.77978515625,8217.998046875,7096.50146484375
"S6",5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5493.5283203125,5333.873046875,5333.873046875,5333.873046875,5333.873046875,5333.873046875,5333.873046875,5333.873046875,5066.55517578125,5066.55517578125,5066.55517578125,5066.55517578125,5066.55517578125,5066.55517578125,5066.55517578125,5066.55517578125,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5065.6875,5121.28271484375,5121.28271484375,5121.28271484375,5121.28271484375,5121.59423828125,5125.263671875,5146.146484375,5163.94677734375,5311.76953125,5367.0107421875,5431.00830078125,5581.30859375,5663.51806640625,5825.3017578125,5941.66357421875,6179.62890625,6339.48583984375,6595.65771484375,6842.2099609375,7182.421875,7484.27001953125,7802.28369140625,8013.77978515625,7999.720703125,8352.9345703125,8758.0390625,9172.7021484375,9625.1689453125,10100.16796875,10604.369140625,9233.3916015625,9694.267578125,9825.4072265625,10057.056640625,10410.376953125,10507.4677734375,10575.537109375,10838.9111328125,10744.787109375,6947.68994140625,7051.28955078125,7100.8388671875,6544.0419921875,6486.05419921875,6311.89990234375,6193.34375,5950.53125,5821.7138671875,5654.96484375,5629.64208984375
"S7",4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4971.4248046875,4970.49267578125,4970.49267578125,4970.49267578125,4970.49267578125,4970.49267578125,4970.49267578125,4970.49267578125,4970.49267578125,4970.49267578125,4970.49267578125,4970.49267578125,4970.49267578125,4970.49267578125,4971.2646484375,4977.39208984375,4991.7958984375,5014.390625,5112.19482421875,5165.9892578125,5237.2412109375,5339.79541015625,5432.66748046875,5567.16015625,5787.31005859375,6033.8935546875,6157.97021484375,6327.052734375,6447.4287109375,6696.45703125,6963.0869140625,7253.509765625,7565.79248046875,7913.80810546875,8249.51171875,8631.2470703125,7812.74072265625,8179.775390625,7810.41796875,7965.58251953125,8339.1259765625,8646.94140625,8369.7333984375,8651.3798828125,8589.2666015625,8524.2578125,8790.318359375,8858.1845703125,8227.5380859375,8065.94921875,8109.2763671875,8026.43994140625,7839.15625,7013.2763671875,6639.619140625,6468.525390625,6152.9267578125,5973.1494140625,5745.71435546875,5514.626953125
"S8",6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6754.982421875,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6746.87255859375,6748.2587890625,6759.6806640625,6785.89453125,6830.72509765625,6905.3525390625,7004.0888671875,7119.8466796875,7256.6845703125,7414.74267578125,7596.23046875,7796.21240234375,7968.9345703125,8135.5888671875,8389.32421875,8660.7607421875,8958.68359375,8927.5146484375,9255.1083984375,9579.5166015625,9939.8046875,10317.24609375,10717.724609375,10923.3740234375,11304.9208984375,10024.6572265625,10347.54296875,10391.3203125,10725.2265625,10775.7822265625,11143.177734375,11385.9501953125,11715.361328125,8968.1416015625,8395.10546875,8451.7451171875,8357.8251953125,8410.0341796875,8231.060546875,8125.130859375,7712.50244140625,7458.47802734375,7348.603515625,7253.9736328125,7170.84423828125,7106.90771484375,7001.052734375
"S9",37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37608.84375,37603.22265625,37618.3125,37675.48046875,37624.1484375,37762.6953125,37928.83203125,38178.63671875,37755.57421875,38116.4765625,38538.73828125,34102.23828125,32979.125,31016.22265625,31459.017578125,31884.6640625,32135.712890625,18489.248046875,18489.916015625,18838.69140625,19167.470703125,17590.166015625,16508.4375,16770.46875,17143.3203125,17408.05078125,16828.455078125,17110.5703125,17261.365234375,17729.947265625,17891.486328125,18016.923828125,18097.779296875,14703.0986328125,14624.080078125,14734.494140625,14480.2421875,14328.19921875,13303.240234375,11977.5234375,11385.8583984375,10018.1328125,9518.75,9479.36328125,9417.630859375,9319.2822265625,9204.451171875
