"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",234.15155029296875,132.19944763183594,155.1064910888672,90.27787017822266,101.73279571533203,130.24461364746094,120.05716705322266,62.26396179199219,70.51921844482422,35.50231170654297,82.67894744873047,81.76497650146484,34.432960510253906,47.827083587646484,56.48524475097656,23.568828582763672,28.373558044433594,70.57624053955078,140.06178283691406,101.75621795654297,36.236328125,29.630508422851562,22.546398162841797,43.130943298339844,27.541940689086914,27.464162826538086,24.81230926513672,25.616670608520508,19.479276657104492,28.6788387298584,10.804971694946289,14.709210395812988,23.527725219726562,15.429315567016602,12.018174171447754,17.663742065429688,9.678240776062012,32.3246955871582,22.896160125732422,35.69071960449219,38.19160842895508,53.675384521484375,59.899410247802734,45.852134704589844,179.9772491455078,243.60890197753906,299.1994323730469,308.38592529296875,492.2005920410156,468.9560241699219,619.736083984375,1614.54248046875,2781.281982421875,4008.3935546875,4541.80029296875,3480.918701171875,4552.4033203125,4359.66796875,4017.0361328125,7337.93603515625,5299.669921875,6290.95166015625,8282.150390625,12864.7890625,8357.259765625,8942.775390625,8082.26708984375,8869.1259765625,7669.15771484375,8810.7685546875,7510.89794921875,9738.2666015625,8038.5888671875,9698.1298828125,11012.326171875,8252.5439453125,7183.72607421875,8692.4169921875,10634.97265625,8314.837890625,7294.74169921875,4655.86669921875,6946.23193359375,6030.08642578125,8037.912109375,4462.36328125,6878.7919921875,9064.1279296875,7780.818359375,5570.822265625,6098.8994140625,3918.4443359375,4573.40771484375,7258.65576171875,7600.748046875,4979.76513671875,5663.55322265625,3852.5029296875,5199.826171875,4740.716796875,7638.03564453125,10432.4306640625,8207.8291015625,4214.3310546875,5098.40576171875,3924.02001953125,4062.3388671875,5716.01416015625,4102.9423828125,3086.247802734375,1932.3525390625,1420.1893310546875,1205.884521484375,1180.58447265625,982.8738403320312,1355.4139404296875,684.3094482421875,888.9786987304688,1359.7987060546875,692.6464233398438,975.7014770507812,1040.941650390625,781.2316284179688,320.87969970703125,840.9989624023438,1698.560302734375,229.2603302001953,449.234619140625,568.1675415039062,551.6282958984375,347.17718505859375,488.87811279296875,460.244140625,589.0227661132812,174.87396240234375,891.1552124023438,874.6461791992188,440.6661376953125,439.79644775390625,546.3881225585938
"S1",1.5469964742660522,0.280788391828537,3.0174851417541504E-7,1.126900315284729E-7,5.9604644775390625E-8,1.341104507446289E-7,1.695579171180725,1.825392246246338E-7,0.03395898640155792,1.126900315284729E-7,1.825392246246338E-7,0.0,1.825392246246338E-7,0.4313773214817047,5.9604644775390625E-8,1.341104507446289E-7,1.5739351511001587E-7,1.341104507446289E-7,0.12698101997375488,1.341104507446289E-7,4.563480615615845E-8,2.3283064365386963E-8,1.341104507446289E-7,2.0954757928848267E-7,4.563480615615845E-8,2.0954757928848267E-7,1.341104507446289E-7,1.341104507446289E-7,1.341104507446289E-7,5.9604644775390625E-8,2.3283064365386963E-8,2.3283064365386963E-8,5.9604644775390625E-8,8.381903171539307E-9,5.9604644775390625E-8,1.341104507446289E-7,1.341104507446289E-7,1.5739351511001587E-7,5.9604644775390625E-8,1.825392246246338E-7,3.725290298461914E-9,4.563480615615845E-8,7.543712854385376E-8,7.543712854385376E-8,9.154682159423828,2.715686082839966,9.018357276916504,0.9579119086265564,15.459617614746094,11.166494369506836,1.0835317373275757,258.5499267578125,1189.108154296875,996.0706787109375,2680.6240234375,1246.7652587890625,1372.1641845703125,1296.090087890625,1966.994384765625,4621.4619140625,3253.23583984375,2124.8994140625,3469.956298828125,10935.3115234375,6676.04931640625,7217.2060546875,5495.14794921875,7835.181640625,3759.846923828125,7621.02880859375,6652.2685546875,8955.5654296875,8451.8271484375,9191.6708984375,10163.4921875,6471.865234375,7117.13134765625,8695.03515625,12543.7958984375,9509.208984375,10425.703125,6192.96923828125,7228.751953125,5705.7763671875,9220.0615234375,4594.81103515625,5814.44140625,11751.95703125,8913.126953125,6159.99560546875,5985.70556640625,2110.682861328125,3882.22021484375,6606.09765625,7740.001953125,5249.2919921875,4736.42919921875,3084.423828125,3108.037109375,1655.7913818359375,6382.302734375,4842.83984375,2435.495361328125,1691.8375244140625,2127.077880859375,1229.0313720703125,531.9756469726562,1261.1951904296875,613.1564331054688,210.0583953857422,25.292844772338867,8.315655708312988,13.354545593261719,22.777387619018555,15.096587181091309,10.034061431884766,5.792881011962891,0.6484155058860779,65.69078826904297,8.099211692810059,6.221873760223389,3.6707286834716797,11.319003105163574,3.1690735816955566,6.461578369140625,0.16261544823646545,2.9963388442993164,8.214768409729004,6.8830132484436035,0.8808515667915344,5.6692681312561035,1.7836320400238037,27.433767318725586,8.487903594970703,0.8307737112045288,278.9781188964844,126.8437271118164,2.6652166843414307,1.7955409288406372,17.9604549407959
"S2",207.51947021484375,322.36993408203125,144.00489807128906,115.16998291015625,202.8716278076172,208.3699188232422,233.369140625,243.72201538085938,366.633544921875,319.1523132324219,209.71702575683594,203.85635375976562,112.32766723632812,256.10418701171875,166.1277313232422,196.51141357421875,108.1438217163086,141.1837615966797,217.69549560546875,185.62074279785156,179.5170135498047,96.7076644897461,92.0944595336914,56.070526123046875,56.855587005615234,39.43727493286133,45.74705505371094,47.63282775878906,40.7663459777832,35.34577941894531,30.353025436401367,49.272281646728516,29.656299591064453,34.170475006103516,25.032154083251953,44.18730926513672,35.62987518310547,53.207679748535156,36.37303161621094,49.953086853027344,54.418792724609375,66.6607437133789,117.35462188720703,197.13739013671875,484.28460693359375,821.73779296875,912.5789184570312,864.7679443359375,1664.157470703125,2765.949462890625,2494.824462890625,3647.519775390625,5587.7099609375,6322.4306640625,8031.5654296875,6500.00048828125,6533.51708984375,7445.5654296875,6913.40234375,9184.1484375,9073.2529296875,9336.521484375,10440.1533203125,18484.04296875,12756.4951171875,13120.3623046875,10885.0888671875,14947.6787109375,12412.736328125,17157.43359375,11553.5751953125,20413.005859375,15201.0537109375,15403.4033203125,14956.7109375,14884.33984375,14558.7177734375,15264.556640625,19700.583984375,24323.64453125,21905.994140625,14223.44921875,12546.71484375,11272.669921875,11788.412109375,11302.9912109375,15668.142578125,27130.3203125,14960.083984375,15061.875,10946.9345703125,9065.0693359375,9308.30859375,15055.1923828125,11661.1533203125,15933.43359375,11234.412109375,8307.2763671875,8517.6875,6458.26611328125,12359.4814453125,11996.8583984375,5530.81982421875,4744.12939453125,6441.0068359375,6947.8408203125,6634.884765625,5447.92919921875,5011.20458984375,2432.101806640625,4564.3681640625,2738.858642578125,2843.612548828125,2498.480224609375,1435.840576171875,1705.54296875,929.8973388671875,1620.8818359375,1632.8433837890625,752.1210327148438,800.2304077148438,771.803955078125,873.7745971679688,826.722412109375,2292.214111328125,668.7195434570312,569.51416015625,664.1483764648438,686.769287109375,372.0870666503906,559.2042846679688,323.219482421875,704.4645385742188,748.1827392578125,1080.563232421875,2828.971923828125,1071.3026123046875,589.5911254882812,401.6289367675781,382.0285949707031
"S3",2708.728759765625,3380.656982421875,2849.3203125,2472.947509765625,2844.6669921875,2929.725830078125,2528.7333984375,2893.018798828125,3181.966796875,3026.592529296875,2610.745361328125,2649.0205078125,2057.69677734375,2515.1357421875,2358.45849609375,2517.448486328125,2086.588134765625,2338.427490234375,2467.920654296875,2419.51806640625,2503.1787109375,1986.91748046875,1953.4208984375,1759.2978515625,1645.70263671875,1535.520751953125,1650.18701171875,1567.0308837890625,1527.80810546875,1693.119873046875,1352.40771484375,1760.5784912109375,1601.6640625,1334.7294921875,1560.95947265625,1732.802490234375,1654.20751953125,2077.88427734375,2041.4998779296875,2073.893310546875,2146.86181640625,2412.445068359375,2909.821044921875,3618.6298828125,4506.455078125,6382.9873046875,6328.5185546875,6984.13916015625,8140.109375,9233.37109375,9772.765625,9865.6884765625,10718.455078125,11588.048828125,12233.8134765625,12552.86328125,13084.052734375,14286.6640625,13711.9287109375,13987.9033203125,15766.755859375,17601.36328125,18112.2890625,20566.732421875,18575.5859375,18717.203125,18697.201171875,21820.29296875,24352.34765625,26272.54296875,19327.912109375,30301.162109375,23538.001953125,22417.306640625,19782.77734375,27346.052734375,25691.822265625,24372.365234375,26787.8046875,41202.2265625,35636.8125,28307.537109375,22711.015625,23542.658203125,16007.2958984375,27881.421875,35241.546875,46040.32421875,26228.46484375,32194.78515625,22382.283203125,30809.40234375,24842.6875,31803.51953125,21581.109375,38429.87109375,27391.8046875,25448.578125,25983.6328125,23875.98828125,28464.09765625,29926.39453125,15768.7587890625,16334.0087890625,20079.1015625,28918.197265625,30681.9296875,21206.1796875,24465.470703125,16647.4921875,33049.7890625,26458.205078125,25333.01953125,21592.47265625,16511.0,17866.34765625,12241.66796875,18400.4765625,13012.7900390625,9759.0400390625,10196.365234375,10251.896484375,9017.0634765625,10182.5126953125,16073.025390625,9119.0390625,7874.28564453125,7500.12744140625,7510.18701171875,5856.13818359375,6558.13330078125,4825.56103515625,6004.20458984375,6718.89697265625,8314.271484375,8724.0498046875,5484.93603515625,5495.5068359375,4849.6025390625,3585.73291015625
"S4",3069.733642578125,3181.6455078125,2452.464111328125,2720.641845703125,2452.291015625,2623.9150390625,2575.6884765625,2401.249755859375,2651.26416015625,2341.759521484375,2739.9423828125,2691.684326171875,1775.7728271484375,2298.48388671875,1970.328857421875,1914.469970703125,1894.600830078125,1935.7354736328125,1947.5777587890625,2159.490966796875,1969.414794921875,1657.80419921875,1726.8248291015625,1551.24560546875,1477.0841064453125,1519.4998779296875,1584.001220703125,1447.911865234375,1485.0701904296875,1560.864501953125,1442.65771484375,1470.2518310546875,1535.872802734375,1315.8287353515625,1380.405029296875,1568.627685546875,1484.9527587890625,1625.73974609375,1778.10546875,1600.48974609375,1704.7633056640625,1834.5394287109375,2379.02783203125,2882.280517578125,4882.29638671875,5058.302734375,7228.57958984375,7475.23388671875,6280.92236328125,7730.5673828125,8272.9580078125,7889.4248046875,8536.24609375,9209.4560546875,9709.244140625,9702.8564453125,10135.6376953125,10725.9697265625,10339.0205078125,9644.025390625,11026.201171875,12888.3359375,12456.7001953125,14758.9814453125,12189.9375,13020.4013671875,12327.267578125,12522.396484375,14938.619140625,16788.005859375,9136.2490234375,18356.3203125,12257.162109375,11518.134765625,9508.802734375,13170.9814453125,11990.2265625,11434.0537109375,23593.25,18860.9375,16079.58203125,13829.013671875,7150.7060546875,10565.0947265625,6803.04248046875,11703.7841796875,15656.0322265625,21352.3359375,10726.4541015625,13070.173828125,9539.134765625,10381.943359375,9427.41015625,11323.830078125,14716.099609375,14888.5458984375,10018.515625,6904.1748046875,7987.3330078125,7331.96240234375,9949.1708984375,10584.2060546875,5519.5712890625,6210.4482421875,6690.7607421875,11096.5009765625,12230.1474609375,6884.951171875,10503.8798828125,5747.146484375,15676.1416015625,12538.798828125,11993.0126953125,11486.59765625,9076.5869140625,8651.7724609375,9227.791015625,8848.119140625,6900.9130859375,6384.43359375,6334.1181640625,7386.052734375,6067.98291015625,7323.3720703125,12085.3251953125,5906.01708984375,5427.880859375,4456.92919921875,5735.5107421875,4828.2919921875,5983.48291015625,4614.72119140625,4753.669921875,5019.61865234375,5750.62939453125,6326.544921875,5132.42919921875,4374.25927734375,5133.22021484375,3530.795654296875
"S5",5286.85791015625,4866.16796875,3526.569091796875,4754.796875,3792.34912109375,3794.53662109375,3914.50146484375,3224.95458984375,3451.6640625,3140.43408203125,4258.76513671875,4125.390625,2480.378173828125,3177.69873046875,2662.884033203125,2231.889892578125,2689.71728515625,2636.640380859375,2356.282470703125,2929.899658203125,2322.575439453125,2158.87255859375,2426.1279296875,2144.0029296875,2008.5089111328125,2293.028076171875,2233.244873046875,2019.5966796875,2252.8095703125,2152.793212890625,2186.45068359375,1946.533935546875,2242.335205078125,1959.1363525390625,2010.211669921875,2091.47216796875,1937.9246826171875,1961.3616943359375,2328.83056640625,1945.4447021484375,2145.31005859375,2256.14501953125,2950.425537109375,3878.863037109375,7084.8076171875,5459.96240234375,10257.1181640625,10788.0029296875,7370.2412109375,9445.130859375,9635.6396484375,9127.69140625,9589.96875,10323.111328125,9537.48046875,10730.5048828125,9781.015625,9103.6025390625,10737.947265625,9723.8935546875,11221.357421875,11204.548828125,9987.6591796875,9041.181640625,10878.1201171875,13240.6826171875,11142.34375,8033.00634765625,12215.0625,11852.197265625,5658.9951171875,10713.7353515625,7026.49072265625,7504.5068359375,6548.12451171875,6512.8505859375,5827.22509765625,6451.3720703125,28248.046875,4293.23388671875,5645.49609375,7678.21630859375,3263.95947265625,7309.93701171875,5903.87939453125,6534.77392578125,6134.71728515625,6816.2275390625,6046.2060546875,6227.81640625,6259.5283203125,3927.07958984375,5671.37646484375,4022.788330078125,12942.5400390625,4805.86962890625,4768.52392578125,3113.74658203125,3638.591552734375,3089.88916015625,4568.5751953125,3905.232421875,4480.65576171875,5161.52294921875,3816.4150390625,4444.02099609375,5158.998046875,3736.248046875,6356.79736328125,4178.76513671875,6633.79931640625,7247.43115234375,7068.49365234375,8176.71923828125,8160.44140625,6703.58251953125,13131.287109375,5751.4423828125,6799.91259765625,8663.6748046875,7469.6435546875,9686.0498046875,8197.87109375,8671.3291015625,14384.0,7115.43994140625,6845.45263671875,6046.5595703125,8565.1259765625,6983.72314453125,9322.94140625,7580.7255859375,6736.90478515625,6912.35888671875,6546.60498046875,6791.87109375,8552.2158203125,6104.53759765625,8217.99609375,6404.75
"S6",3539.89208984375,2974.8466796875,2555.3515625,3297.544921875,2871.552490234375,2601.701416015625,1974.0341796875,2154.135009765625,2441.456298828125,2683.212890625,2657.3505859375,2644.27587890625,1718.0550537109375,1432.4144287109375,1932.98583984375,1197.0740966796875,1493.8843994140625,2115.142578125,1186.8662109375,1530.0189208984375,1387.2816162109375,1243.516845703125,1467.1317138671875,1423.415771484375,1072.5284423828125,1315.8609619140625,1196.801025390625,1237.9971923828125,1576.8582763671875,1320.19189453125,1173.1376953125,1315.4334716796875,1298.5804443359375,858.0753784179688,1021.0271606445312,861.1364135742188,748.4119262695312,882.109375,905.6861572265625,880.2846069335938,678.697998046875,706.9781494140625,1483.955322265625,3395.885986328125,2253.0068359375,2280.708984375,3992.1279296875,2665.395263671875,6467.767578125,6671.13232421875,3483.57958984375,7822.775390625,7687.455078125,8989.3173828125,5378.45263671875,7892.6806640625,3550.784912109375,5111.8173828125,4884.53076171875,5555.71875,11414.05078125,6034.93701171875,4903.62744140625,2752.390380859375,5077.58935546875,3482.074462890625,2654.275634765625,3290.8818359375,8253.65625,3450.081298828125,2080.906494140625,2887.465576171875,1653.9412841796875,2225.123779296875,1767.74951171875,2795.626220703125,1146.5606689453125,1588.5667724609375,1780.6839599609375,1173.0162353515625,1125.057373046875,1958.53173828125,2243.708984375,2927.9248046875,969.816162109375,1037.6976318359375,1351.974853515625,1641.7532958984375,1450.229248046875,3875.70849609375,862.7784423828125,569.7442016601562,675.4197387695312,765.6409912109375,996.00927734375,1095.7635498046875,636.0714721679688,1420.2945556640625,875.357177734375,901.121826171875,1277.6549072265625,721.7393188476562,1204.82177734375,769.2510375976562,1599.257080078125,1092.39990234375,2750.7294921875,2007.768798828125,2994.29931640625,2000.38037109375,2005.6136474609375,5992.240234375,5784.810546875,2334.738037109375,2867.993408203125,2615.236083984375,3560.9033203125,2996.332275390625,4386.49072265625,9712.5283203125,4686.03466796875,7735.73486328125,7354.68896484375,6837.408203125,8044.732421875,7732.0263671875,6860.93701171875,9038.599609375,10744.7861328125,5875.9775390625,5905.13818359375,7083.08740234375,6127.27490234375,6284.546875,5857.0966796875,6083.287109375,5524.4580078125,5146.96044921875,4331.88916015625,5629.64208984375
"S7",3500.883056640625,3161.490966796875,3155.925048828125,3146.6435546875,3018.02197265625,2803.5849609375,2376.13916015625,2341.587646484375,2241.028564453125,2431.138427734375,2236.911865234375,2294.675048828125,2098.73193359375,1753.6092529296875,1822.53662109375,1732.82177734375,2026.3297119140625,1516.26708984375,1532.89501953125,1442.1668701171875,1540.1361083984375,1625.14306640625,1509.3720703125,1523.0361328125,1407.0980224609375,1228.3658447265625,1553.993896484375,1332.6541748046875,1125.229736328125,1275.4632568359375,1289.81884765625,1242.9398193359375,1339.74755859375,993.7427978515625,1227.493896484375,1055.3509521484375,1062.1151123046875,1363.9827880859375,1110.0382080078125,1257.43505859375,1374.4771728515625,1276.608642578125,3301.728759765625,2042.8961181640625,2307.905029296875,3348.95166015625,4900.22802734375,3610.92431640625,4195.92822265625,4507.82470703125,4026.248046875,5890.6123046875,4428.4326171875,6720.5068359375,4799.20068359375,4054.614990234375,5023.1025390625,3664.9560546875,3485.5576171875,3737.058837890625,3715.353515625,3279.222412109375,2544.175537109375,3833.77783203125,3337.843994140625,2368.314697265625,3615.1552734375,2810.528076171875,3481.640869140625,2348.18115234375,2015.5380859375,1367.73876953125,2564.26513671875,6054.18701171875,2397.48828125,4716.5126953125,1226.316650390625,1774.346435546875,592.1698608398438,1052.81201171875,4695.59765625,1036.1923828125,887.3382568359375,915.4041137695312,1275.4642333984375,833.3270874023438,572.8749389648438,685.5360717773438,717.21484375,505.1077880859375,934.655029296875,649.0787963867188,655.88818359375,1066.8079833984375,945.3948364257812,787.208251953125,617.7390747070312,1581.54736328125,578.6697387695312,1077.8280029296875,1341.889892578125,731.1991577148438,1687.125,2344.255859375,1513.1495361328125,543.5202026367188,1215.00732421875,4745.8037109375,2603.272216796875,3750.4599609375,2927.5888671875,3588.484375,2957.677490234375,2373.519775390625,4420.779296875,8631.2490234375,4952.14794921875,8174.2763671875,6429.1142578125,5501.65771484375,6269.9287109375,8591.572265625,6456.2236328125,8174.40576171875,7630.19921875,6101.4033203125,7558.9189453125,8797.1337890625,7652.00390625,6722.572265625,7412.865234375,7546.54296875,7839.15625,6914.09130859375,6323.10009765625,6237.07763671875,5767.177734375,5871.73583984375,5745.7138671875,5225.71728515625
"S8",4391.8271484375,3392.140380859375,4114.5029296875,3934.820068359375,3293.56689453125,2814.41943359375,2785.22900390625,2715.9853515625,2488.6376953125,2598.058349609375,2270.181640625,2409.749755859375,2324.708740234375,2218.68798828125,2431.532958984375,1912.88818359375,1816.6864013671875,1697.7281494140625,1896.0576171875,1440.6893310546875,1571.6385498046875,1487.1529541015625,1504.508544921875,1374.8427734375,1160.377197265625,1273.14111328125,1370.2510986328125,1329.9637451171875,1256.29736328125,1275.612548828125,1223.589599609375,1002.6002197265625,1072.1541748046875,940.066162109375,1044.663818359375,992.7940673828125,1160.1761474609375,1252.7535400390625,1250.7705078125,1500.2947998046875,1463.4364013671875,1605.19140625,2639.2744140625,2002.58154296875,2391.1787109375,3527.740966796875,5115.66455078125,4631.591796875,5363.46728515625,5960.966796875,7370.921875,6776.55078125,6456.75439453125,7857.41259765625,6450.9873046875,5892.30615234375,6072.39208984375,6495.5341796875,8049.3388671875,9031.8740234375,7250.31884765625,5632.29833984375,7641.8466796875,6576.591796875,4172.0439453125,5349.7255859375,5953.1201171875,4450.72021484375,5542.0810546875,4070.7431640625,4671.7783203125,4246.81298828125,7057.63623046875,10071.4423828125,5985.49365234375,7761.462890625,4694.197265625,4463.8564453125,3185.521484375,4668.87109375,6242.9912109375,4337.8486328125,3853.14208984375,3961.747802734375,4159.56298828125,3495.339111328125,1958.6690673828125,2798.26904296875,2153.664794921875,2455.320556640625,4312.54150390625,2131.16650390625,2458.33154296875,3357.5625,2733.47119140625,2470.148193359375,3119.64501953125,4894.8056640625,3214.452880859375,4336.9951171875,4879.1591796875,2564.3349609375,5232.33935546875,6705.162109375,6939.2373046875,6514.1181640625,3439.086181640625,4152.14794921875,4386.734375,8498.7509765625,5418.94873046875,6317.1650390625,5525.3798828125,5376.42626953125,7118.8798828125,10247.314453125,8140.4951171875,11304.9208984375,8451.7109375,9352.490234375,8784.47265625,9200.7216796875,7986.25146484375,8713.8818359375,8233.81640625,11715.3583984375,8968.140625,8090.19384765625,8327.69140625,7426.5107421875,8410.0341796875,8146.98046875,8125.13232421875,7682.0341796875,7004.9931640625,6703.498046875,6655.390625,6491.390625,6917.68701171875,6974.78759765625
"S9",5144.38134765625,4450.1669921875,4446.2841796875,4088.561279296875,4476.21240234375,3728.20751953125,2917.5732421875,2633.446533203125,3030.938720703125,2876.668701171875,2677.889892578125,2741.314453125,2241.880859375,2560.281982421875,2529.933837890625,1962.315185546875,2131.38818359375,1991.8165283203125,1942.399658203125,2302.06005859375,2103.43505859375,1647.8006591796875,2149.093994140625,1835.5625,1864.9239501953125,1909.9189453125,2011.525634765625,1775.0960693359375,1874.276611328125,1641.9122314453125,1521.545166015625,1446.4996337890625,1553.18994140625,1933.7701416015625,1618.7158203125,1520.45654296875,1896.6612548828125,1807.4000244140625,2067.319580078125,2437.91015625,2750.9140625,2056.941650390625,2639.000244140625,4261.91796875,3594.410888671875,4422.708984375,6747.01171875,7132.03369140625,8721.3095703125,10474.7265625,11303.1953125,12174.087890625,13399.12890625,12663.5478515625,13692.0654296875,13724.259765625,14320.71484375,18083.529296875,16683.560546875,17104.3125,20916.15234375,21074.158203125,23569.58203125,20646.09765625,19531.125,24011.80078125,20041.078125,22584.306640625,20964.02734375,19287.408203125,20884.203125,20556.9140625,23224.6484375,23882.69921875,24679.060546875,21987.8984375,22586.658203125,24703.19921875,23985.890625,30399.345703125,17093.431640625,27749.927734375,31294.349609375,21859.841796875,30083.453125,23524.607421875,22117.587890625,21984.919921875,21153.060546875,18476.623046875,19588.6640625,19285.5390625,19919.54296875,22828.984375,15978.6484375,20263.4921875,29836.533203125,26842.935546875,26766.455078125,25055.216796875,32787.44140625,20334.73828125,19378.45703125,38538.73828125,34102.234375,32979.12890625,20746.453125,22049.564453125,25130.2734375,32135.703125,18489.248046875,15424.4375,16715.890625,19167.46875,17138.279296875,14540.849609375,13299.8974609375,14993.5537109375,15609.1884765625,13005.802734375,12655.0322265625,10331.55859375,14543.1728515625,14509.2099609375,14758.6513671875,18097.779296875,12682.1396484375,11514.7626953125,13952.337890625,13205.041015625,14328.197265625,13303.240234375,11977.5263671875,11385.8603515625,9460.662109375,8225.1005859375,8141.35546875,8034.77197265625,7962.99609375,9204.4521484375
