"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139"
"S0",316.5527038574219,320.24835205078125,323.78594970703125,327.1264953613281,330.16754150390625,333.09210205078125,335.6211853027344,338.0121765136719,339.9953918457031,341.7424621582031,343.3253173828125,344.680419921875,345.8955383300781,346.8970947265625,347.4756164550781,347.9382019042969,348.2752990722656,348.423095703125,348.46429443359375,348.3446044921875,348.2109375,347.9053955078125,347.5446472167969,347.024169921875,346.4310302734375,345.60321044921875,344.6542053222656,343.560791015625,342.2229309082031,340.6790771484375,338.8280029296875,336.74273681640625,334.4039306640625,331.7908935546875,328.8126220703125,325.5161437988281,321.8633728027344,317.8980407714844,313.6087341308594,309.06201171875,304.0957336425781,298.8578186035156,293.4115295410156,287.6544189453125,281.55413818359375,275.2801513671875,268.8569030761719,262.16046142578125,255.57130432128906,248.6417236328125,241.44415283203125,233.66029357910156,221.70449829101562,215.03871154785156,193.67640686035156,198.06126403808594,188.9479522705078,180.33872985839844,167.43637084960938,137.5462188720703,140.3487548828125,139.0515899658203,120.0482406616211,86.5625228881836,97.29927062988281,73.96846008300781,75.52465057373047,59.93338394165039,53.76644515991211,42.88157653808594,32.557674407958984,12.113072395324707,3.5058035850524902,-11.038448333740234,-22.456079483032227,-32.93655776977539,-42.057716369628906,-53.75239562988281,-73.52982330322266,-70.46991729736328,-81.66558074951172,-89.6349105834961,-103.631103515625,-109.66388702392578,-119.99026489257812,-122.27762603759766,-135.4442596435547,-138.7362823486328,-145.51332092285156,-144.2362823486328,-152.9809112548828,-152.00633239746094,-154.83444213867188,-165.40255737304688,-163.1218719482422,-158.0653839111328,-158.1143035888672,-153.5954132080078,-151.65420532226562,-146.57325744628906,-143.4398956298828,-141.92828369140625,-130.78616333007812,-122.25375366210938,-114.6549301147461,-104.68934631347656,-94.89302062988281,-86.11613464355469,-75.62118530273438,-64.76614379882812,-53.64118576049805,-42.337440490722656,-30.707334518432617,-18.779611587524414,-6.899038314819336,5.683874130249023,18.288114547729492,31.045860290527344,43.94029235839844,57.0853157043457,70.45343017578125,83.92584991455078,97.4710464477539,110.68302917480469,123.42948150634766,136.55816650390625,149.36520385742188,161.5122833251953,173.31097412109375,184.83836364746094,195.58416748046875,206.11671447753906,216.15631103515625,225.63587951660156,234.61245727539062,242.68719482421875,251.25018310546875,259.0289001464844,266.1235656738281,272.7755126953125
"S1",355.69488525390625,358.6184387207031,361.4257507324219,364.078125,366.49395751953125,368.82342529296875,370.84527587890625,372.755615234375,374.3472595214844,375.7491760253906,377.0231628417969,378.1148681640625,379.0975036621094,379.90997314453125,380.3865966796875,380.77301025390625,381.05841064453125,381.1939392089844,381.244384765625,381.1680908203125,381.0792236328125,380.8553771972656,380.58843994140625,380.1982727050781,379.75213623046875,379.1226806640625,378.3995666503906,377.5662536621094,376.5413818359375,375.35760498046875,373.9342041015625,372.32745361328125,370.5256652832031,368.5115966796875,366.210693359375,363.6631164550781,360.83660888671875,357.7646789550781,354.44085693359375,350.9135437011719,347.0576171875,342.98944091796875,338.7568359375,334.2782287597656,329.5028991699219,324.64764404296875,319.6244812011719,314.4289855957031,309.2266540527344,303.86419677734375,298.2789001464844,290.92236328125,272.6483459472656,269.4959411621094,236.98837280273438,254.67572021484375,246.8985595703125,241.1302490234375,226.20248413085938,182.02749633789062,195.64865112304688,204.37962341308594,181.4308624267578,135.40908813476562,167.9918975830078,138.9222869873047,160.07232666015625,137.95083618164062,135.91490173339844,133.87646484375,132.85824584960938,101.78678894042969,97.4944076538086,88.50082397460938,83.58727264404297,62.07094192504883,59.924198150634766,56.80583190917969,21.837753295898438,46.89787292480469,32.909969329833984,30.036699295043945,9.261296272277832,9.96169662475586,2.6044769287109375,4.932732582092285,-17.685325622558594,-12.292222023010254,-20.75916290283203,-5.588923454284668,-24.704421997070312,-14.31915283203125,-16.981107711791992,-43.186439514160156,-32.30543518066406,-20.785938262939453,-21.08187484741211,-12.6513671875,-11.655279159545898,-7.75274658203125,-4.130914688110352,-4.670006275177002,2.1992239952087402,11.655584335327148,17.71270751953125,23.947641372680664,33.419212341308594,38.124176025390625,48.06865692138672,57.301055908203125,66.44800567626953,75.2470703125,84.30443572998047,93.58551788330078,102.84232330322266,112.64633178710938,122.4682388305664,132.41180419921875,142.24798583984375,152.7119598388672,163.1436767578125,173.67071533203125,184.26177978515625,194.5990447998047,204.5746612548828,214.85830688476562,224.9022216796875,234.4354705810547,243.7036590576172,252.76458740234375,261.2201232910156,269.5091857910156,277.2753601074219,284.86181640625,291.9547119140625,296.7176818847656,304.4342041015625,311.18963623046875,316.7791748046875,321.90155029296875
"S2",356.91253662109375,359.810302734375,362.5870361328125,365.2120361328125,367.6063537597656,369.9091491699219,371.9086608886719,373.80096435546875,375.375732421875,376.7655334472656,378.02557373046875,379.1089172363281,380.0804443359375,380.885498046875,381.3605041503906,381.74371337890625,382.028076171875,382.1650695800781,382.2173156738281,382.13983154296875,382.0549621582031,381.8353576660156,381.5714111328125,381.1841735839844,380.7440185546875,380.1211242675781,379.40753173828125,378.5828857421875,377.5687255859375,376.3961181640625,374.9864807128906,373.396728515625,371.6116027832031,369.6153564453125,367.3345947265625,364.80975341796875,362.0067138671875,358.96160888671875,355.6670837402344,352.16766357421875,348.34149169921875,344.3056335449219,340.10565185546875,335.6654357910156,330.9559326171875,326.1092224121094,321.1475524902344,315.9755554199219,310.88214111328125,305.52496337890625,299.9632873535156,292.7752380371094,275.00164794921875,271.8507385253906,240.11480712890625,257.19598388671875,249.50035095214844,243.78021240234375,228.8950653076172,186.08822631835938,198.59703063964844,207.38116455078125,184.2391815185547,139.63780212402344,171.0653839111328,143.12718200683594,163.58123779296875,141.32064819335938,139.59483337402344,137.6138153076172,136.21929931640625,105.73228454589844,101.68030548095703,92.79712677001953,87.91317749023438,66.47246551513672,64.58657836914062,61.406158447265625,24.312929153442383,51.26023864746094,8.828927040100098,32.65790557861328,12.966198921203613,15.125239372253418,7.881800651550293,9.861091613769531,-12.125732421875,-6.830825328826904,-15.097757339477539,-0.7668697834014893,-20.098472595214844,-9.150029182434082,-11.726118087768555,-37.28639221191406,-26.464277267456055,-15.360962867736816,-15.550366401672363,-7.446328639984131,-6.5841755867004395,-2.529264211654663,1.075331687927246,0.7397201657295227,7.486466884613037,16.732580184936523,22.771196365356445,28.86236000061035,37.95629119873047,42.924869537353516,52.62284851074219,61.627628326416016,70.23047637939453,78.96975708007812,87.95930480957031,97.18070983886719,106.36390686035156,116.09365844726562,125.84640502929688,135.7125701904297,145.68978881835938,155.8728485107422,166.22576904296875,176.6650848388672,187.17611694335938,197.42739868164062,207.32611083984375,217.52174377441406,227.48011779785156,236.92579650878906,246.10594177246094,255.0843963623047,263.44891357421875,271.6591796875,279.4843444824219,286.8759765625,293.8753967285156,299.0652160644531,306.53289794921875,312.9153137207031,318.44744873046875,323.6335144042969
"S3",356.93499755859375,358.426513671875,363.0965270996094,365.9414367675781,367.3418273925781,369.4866027832031,371.078125,372.74859619140625,372.2403564453125,374.3329162597656,377.2151184082031,378.3232421875,380.4322509765625,379.3095703125,380.993896484375,380.9109802246094,382.344970703125,382.0550842285156,381.0185546875,381.5689392089844,381.3857727050781,382.2508544921875,382.0323791503906,381.9652099609375,381.5157165527344,380.9732360839844,380.224365234375,379.3887023925781,378.4029541015625,377.256103515625,375.84893798828125,374.2578430175781,372.4723815917969,370.4747009277344,368.1932067871094,365.6673583984375,362.8652648925781,359.7796936035156,356.5271911621094,353.0346984863281,349.21990966796875,345.1439208984375,340.7755432128906,335.78485107421875,329.4569396972656,320.2135925292969,319.0976867675781,309.9156188964844,297.3233947753906,273.0372314453125,273.3586120605469,254.70626831054688,222.44790649414062,212.4663543701172,228.94467163085938,214.6192169189453,204.8096160888672,168.9491729736328,175.06906127929688,178.93470764160156,135.5318603515625,202.5467529296875,187.75897216796875,141.8485870361328,174.88600158691406,146.2040252685547,166.7834014892578,145.47381591796875,143.15594482421875,141.00546264648438,138.68309020996094,109.84458923339844,105.55424499511719,96.75689697265625,91.86666870117188,70.80119323730469,68.90497589111328,65.59817504882812,30.04788589477539,54.703758239746094,-8.31905746459961,35.40386199951172,16.916946411132812,19.74938201904297,12.826972961425781,11.69470500946045,-21.793228149414062,-1.881691575050354,-9.612789154052734,2.6832995414733887,-20.334871292114258,-15.811445236206055,-8.246482849121094,-35.8276481628418,-20.969532012939453,-12.066651344299316,-11.323869705200195,-3.2611300945281982,-2.5684702396392822,1.621000051498413,5.171754837036133,4.8921356201171875,11.46870231628418,20.889698028564453,26.8199520111084,11.261364936828613,26.911548614501953,43.586151123046875,41.16903305053711,61.58926773071289,58.79631423950195,75.6748275756836,83.81525421142578,94.12618255615234,107.0341567993164,115.55110168457031,127.87820434570312,134.90213012695312,144.48680114746094,157.89381408691406,167.8627471923828,178.17564392089844,187.96148681640625,198.15476989746094,198.54550170898438,218.4733428955078,228.67515563964844,237.37396240234375,246.1855926513672,256.6117858886719,263.7305908203125,273.086181640625,278.29693603515625,285.0170593261719,288.2684020996094,284.3990783691406,300.28607177734375,311.1193542480469,318.080322265625,323.24639892578125
"S4",287.61199951171875,269.220947265625,284.85699462890625,296.89312744140625,284.5309143066406,296.58282470703125,312.3405456542969,298.6427001953125,286.6323547363281,292.1217041015625,311.81561279296875,308.8072509765625,332.2802429199219,317.23681640625,307.4665222167969,320.7450866699219,313.735595703125,309.3577880859375,316.132568359375,321.34686279296875,317.41302490234375,337.06805419921875,338.5532531738281,341.0084228515625,347.8844909667969,351.82977294921875,347.32147216796875,349.0516357421875,350.8440246582031,345.78094482421875,352.3226623535156,342.7746887207031,344.9134521484375,349.194091796875,344.0914306640625,338.1064758300781,337.3889465332031,324.13690185546875,325.1517028808594,322.0794677734375,319.2602844238281,310.9948425292969,297.2913818359375,279.0721435546875,257.55145263671875,219.77157592773438,207.41485595703125,184.09515380859375,175.20738220214844,118.878662109375,119.23109436035156,137.16525268554688,128.47027587890625,113.75823974609375,130.4412078857422,108.4137191772461,124.93368530273438,137.4342041015625,106.92546844482422,124.22061157226562,98.06636810302734,97.30148315429688,113.19538879394531,120.51510620117188,94.14997863769531,60.43514633178711,81.63520050048828,106.37737274169922,59.5672721862793,57.231231689453125,103.10832977294922,53.616493225097656,75.98310852050781,64.44120788574219,63.07901382446289,54.9833869934082,50.75528335571289,39.07000732421875,-117.82393646240234,34.76019287109375,20.802743911743164,3.3327419757843018,16.784305572509766,-7.500991344451904,-6.542598247528076,-14.68494987487793,-18.16851806640625,-25.69527816772461,-26.56159019470215,-30.959096908569336,-34.39043045043945,-28.452476501464844,-36.4490966796875,-32.28559875488281,-73.40559387207031,-35.409584045410156,-34.52931213378906,-28.679950714111328,-27.551952362060547,-22.932432174682617,-23.217653274536133,-16.94805145263672,-13.526973724365234,-10.533639907836914,0.676652193069458,5.3146820068359375,8.96245002746582,22.072359085083008,17.506208419799805,35.98093795776367,31.690025329589844,36.02519607543945,45.17728042602539,45.495277404785156,53.357173919677734,72.1906967163086,43.49154281616211,96.3263931274414,96.59490203857422,90.62113189697266,107.09873962402344,97.6622085571289,118.9166030883789,117.68878936767578,50.33937072753906,148.08010864257812,157.88320922851562,177.43833923339844,163.38525390625,192.9864501953125,188.18345642089844,216.67864990234375,199.0059051513672,194.73605346679688,195.3028106689453,191.2744903564453,220.79385375976562,226.0189971923828,239.9157257080078,269.01312255859375
"S5",257.8720397949219,251.12542724609375,284.19134521484375,272.16485595703125,283.8778381347656,275.6658020019531,303.5040283203125,292.9331359863281,276.13934326171875,288.4979553222656,263.9502868652344,266.1002502441406,316.905029296875,331.02703857421875,306.8337707519531,340.8382568359375,328.5958557128906,308.7217712402344,341.53668212890625,326.8395080566406,333.47088623046875,339.20135498046875,329.7035827636719,331.5602722167969,344.45648193359375,335.5453186035156,339.3968505859375,337.48992919921875,329.9505920410156,333.358642578125,337.1356201171875,331.540771484375,330.91180419921875,342.7750244140625,336.1010437011719,338.6925048828125,339.3340759277344,333.188720703125,329.7508544921875,327.33087158203125,328.35662841796875,323.9385986328125,302.4159851074219,265.1173095703125,277.409423828125,273.3487854003906,221.28077697753906,257.799072265625,174.1084442138672,118.77556610107422,229.9743194580078,136.2646942138672,127.5000228881836,112.85324096679688,175.2753448486328,107.0240707397461,202.42669677734375,172.00193786621094,170.5595245361328,155.14060974121094,96.61597442626953,137.9027099609375,147.65696716308594,168.2640838623047,132.01124572753906,143.97186279296875,143.72021484375,128.75857543945312,64.8416976928711,108.94157409667969,110.71896362304688,94.3449935913086,94.07089233398438,80.48065185546875,74.49960327148438,58.18403244018555,58.78321838378906,47.93165588378906,38.41346740722656,32.229652404785156,24.166404724121094,13.5838623046875,7.956236362457275,-6.087037563323975,-4.149162769317627,-10.199009895324707,-16.720224380493164,-22.368263244628906,-26.571943283081055,-37.698089599609375,-32.618160247802734,-34.860130310058594,-37.25312423706055,-38.92424392700195,-40.17231369018555,-40.436283111572266,-38.53877258300781,-38.786827087402344,-34.952903747558594,-31.5858211517334,-28.577295303344727,-22.67462730407715,-18.4034423828125,-11.285191535949707,-6.631305694580078,1.8261526823043823,2.9865975379943848,14.790688514709473,16.18874740600586,30.25518035888672,39.10444259643555,33.32059097290039,42.62836837768555,64.4901351928711,69.83324432373047,81.3080062866211,83.51899719238281,97.90115356445312,95.41438293457031,89.74844360351562,109.71170806884766,94.32135772705078,117.56256103515625,115.39755249023438,96.10147094726562,146.32302856445312,155.96400451660156,176.11795043945312,160.8284454345703,182.8500518798828,163.59634399414062,195.49334716796875,196.39341735839844,193.1103973388672,194.00054931640625,190.21241760253906,190.21290588378906,214.8313446044922,211.7152862548828,243.2482452392578
"S6",212.6474151611328,249.40870666503906,275.60162353515625,225.95245361328125,266.4748840332031,264.9878845214844,304.0956726074219,293.5077209472656,297.4775390625,288.1820068359375,294.8731384277344,286.778564453125,317.37371826171875,331.15972900390625,319.593994140625,341.01953125,328.9097595214844,334.5341491699219,341.7196044921875,337.54437255859375,333.5959777832031,339.3696594238281,334.64276123046875,333.9647216796875,344.68084716796875,344.6143798828125,339.6202697753906,340.0050354003906,346.5551452636719,340.8770446777344,339.60235595703125,340.1670227050781,335.9975280761719,344.13238525390625,336.3943786621094,338.74371337890625,338.4836730957031,332.6733093261719,329.940185546875,326.53887939453125,326.4414978027344,321.9499816894531,302.5122375488281,293.9869079589844,284.6549072265625,273.6439514160156,222.58294677734375,258.1431884765625,227.71722412109375,218.0989990234375,230.34439086914062,173.94198608398438,213.67138671875,150.64642333984375,200.20765686035156,210.80111694335938,202.87734985351562,206.15826416015625,202.40261840820312,193.15087890625,187.33189392089844,183.6334228515625,181.2948455810547,165.22044372558594,158.6829376220703,155.87191772460938,139.30076599121094,134.12289428710938,120.35826873779297,116.4419174194336,107.14188385009766,98.31602478027344,84.83910369873047,72.26160430908203,65.1629638671875,50.068359375,48.161224365234375,37.65005874633789,30.380956649780273,21.156005859375,11.465327262878418,4.646457195281982,-2.9523508548736572,-10.438581466674805,-17.2996883392334,-23.015792846679688,-28.853620529174805,-34.11970520019531,-38.95100021362305,-42.894168853759766,-46.90751647949219,-49.711875915527344,-51.99515151977539,-53.785072326660156,-54.52162551879883,-54.47222137451172,-53.54764175415039,-52.87223815917969,-49.38096237182617,-46.140140533447266,-42.320899963378906,-37.2023811340332,-32.68397521972656,-25.787363052368164,-19.261411666870117,-10.874095916748047,-3.821065902709961,1.2267318964004517,9.585123062133789,17.40095329284668,26.6204833984375,33.53770446777344,45.27061462402344,56.84172821044922,60.763404846191406,72.18797302246094,76.70476531982422,90.4334487915039,91.28308868408203,100.25653076171875,107.14370727539062,91.44795227050781,117.6407699584961,115.73271179199219,117.33740234375,146.22280883789062,156.08807373046875,172.04281616210938,144.0879364013672,171.39907836914062,161.49070739746094,169.02854919433594,186.09542846679688,185.69461059570312,194.53900146484375,191.05078125,174.24984741210938,207.4225616455078,212.53343200683594,200.41134643554688
"S7",227.9731903076172,267.3642883300781,276.0213623046875,240.07542419433594,268.1871337890625,289.4775695800781,306.14532470703125,294.59716796875,303.1579895019531,296.71270751953125,313.1343078613281,305.43328857421875,319.35833740234375,334.08636474609375,321.5752258300781,344.8096618652344,332.8086853027344,337.55999755859375,345.5113525390625,346.55328369140625,341.8561706542969,344.7444152832031,344.01104736328125,348.2579345703125,355.157470703125,351.1112976074219,347.4807434082031,348.3833923339844,352.09710693359375,348.8803405761719,349.6698303222656,354.9234619140625,351.7672119140625,353.559814453125,349.3365173339844,348.513671875,346.4429931640625,340.50714111328125,338.0357360839844,334.9540100097656,336.3253479003906,332.1304626464844,310.25360107421875,304.74786376953125,292.8827819824219,280.39971923828125,225.0408172607422,264.9302978515625,232.1072235107422,222.45208740234375,236.7813720703125,176.3223419189453,220.36398315429688,152.90963745117188,207.65110778808594,221.17156982421875,213.62628173828125,219.13629150390625,216.36203002929688,207.4717254638672,202.35646057128906,200.59620666503906,200.74490356445312,183.48849487304688,178.48033142089844,178.45802307128906,160.6276397705078,157.87338256835938,143.88589477539062,142.56097412109375,134.55960083007812,127.29183959960938,113.6452407836914,101.03697204589844,95.6346664428711,79.8072280883789,81.43872833251953,71.05016326904297,65.19379425048828,56.48432540893555,47.066532135009766,41.21723556518555,34.23624038696289,27.294872283935547,20.804658889770508,15.660822868347168,10.255335807800293,5.353890419006348,0.8577654957771301,-2.8447275161743164,-6.559218883514404,-9.163647651672363,-11.296605110168457,-13.040783882141113,-13.703697204589844,-13.687799453735352,-12.850245475769043,-12.392160415649414,-9.056089401245117,-6.150264739990234,-2.677438259124756,2.1366043090820312,6.147579193115234,12.5909423828125,18.620220184326172,26.453838348388672,32.90311050415039,35.463356018066406,44.09415054321289,51.03581619262695,59.475894927978516,65.09789276123047,76.50007629394531,87.80424499511719,89.4074478149414,100.31123352050781,102.78511047363281,116.31336212158203,113.26890563964844,121.90276336669922,127.36943054199219,101.6705093383789,134.23512268066406,119.479248046875,130.7074432373047,157.21426391601562,136.95387268066406,146.2434539794922,156.4339599609375,164.83798217773438,167.26332092285156,149.6255645751953,161.8982391357422,156.92047119140625,173.49574279785156,179.6269073486328,177.62159729003906,186.95782470703125,214.94296264648438,166.7882080078125
"S8",294.2895812988281,296.727294921875,293.70013427734375,306.9844665527344,302.8560485839844,322.45684814453125,336.0732421875,345.71527099609375,331.946044921875,328.087158203125,338.79864501953125,335.860595703125,338.9303894042969,341.28387451171875,343.36749267578125,354.857666015625,349.786376953125,352.9077453613281,357.4926452636719,357.618408203125,351.14105224609375,362.4657897949219,352.5683898925781,357.44512939453125,360.7802429199219,352.3601989746094,359.1606140136719,357.7151184082031,354.7818298339844,356.71734619140625,356.61602783203125,354.8558654785156,348.9413146972656,349.3490295410156,348.5458679199219,344.069580078125,340.2155456542969,338.1397399902344,333.28009033203125,327.3428955078125,322.31304931640625,320.4657287597656,317.79656982421875,310.2765197753906,295.7189025878906,272.1181640625,233.07093811035156,249.1881103515625,231.6855926513672,222.04002380371094,233.12847900390625,176.78297424316406,219.38217163085938,153.4479522705078,206.34185791015625,216.96156311035156,195.84786987304688,212.10595703125,208.1260223388672,199.06997680664062,193.28152465820312,190.3188934326172,188.9528350830078,170.2245330810547,166.4048614501953,164.89096069335938,147.13035583496094,143.62469482421875,129.7270050048828,126.9970474243164,118.48605346679688,110.49252319335938,96.1080551147461,67.31596374511719,77.94793701171875,57.84980773925781,62.240108489990234,51.86186981201172,45.647193908691406,36.251853942871094,16.863727569580078,20.406757354736328,13.240168571472168,6.0606608390808105,-0.851483166217804,-5.869976043701172,-11.119841575622559,-16.32957649230957,-21.007455825805664,-24.537290573120117,-28.8496036529541,-31.182899475097656,-33.34465026855469,-35.52080535888672,-36.06949234008789,-35.839805603027344,-34.68516540527344,-34.846649169921875,-30.574813842773438,-28.0,-24.517711639404297,-18.983932495117188,-15.206887245178223,-10.532536506652832,-2.143350124359131,6.692678451538086,12.854846954345703,13.637443542480469,25.457176208496094,29.790063858032227,41.757205963134766,47.8448486328125,59.74571228027344,71.26948547363281,70.66035461425781,51.77202606201172,86.60319519042969,71.04444122314453,94.4388656616211,110.45326232910156,112.83446502685547,97.79757690429688,127.08639526367188,116.94123077392578,128.63729858398438,153.03602600097656,137.10211181640625,146.52359008789062,156.7798614501953,163.75820922851562,145.39764404296875,150.25094604492188,164.2069854736328,157.7154998779297,174.20579528808594,193.54498291015625,219.99147033691406,227.10914611816406,163.96185302734375,231.33187866210938
"S9",292.7102355957031,295.2415466308594,292.46142578125,305.4779052734375,301.6056823730469,320.4867858886719,333.5692443847656,342.96820068359375,329.92303466796875,326.4961242675781,336.6419677734375,333.9776611328125,336.9556884765625,339.25225830078125,341.25506591796875,352.22808837890625,347.3719482421875,350.3659362792969,354.8360290527344,354.9580078125,348.6582336425781,360.0715637207031,349.9758605957031,354.7368469238281,358.2942199707031,349.658935546875,356.6290588378906,355.0898132324219,351.9552001953125,354.2734680175781,354.4007873535156,352.6270751953125,346.0624084472656,346.8479309082031,346.3411865234375,341.53515625,337.5122985839844,335.6528015136719,328.62054443359375,322.1147155761719,318.9968566894531,317.57366943359375,315.2001647949219,307.18231201171875,291.59405517578125,268.7672119140625,231.46498107910156,231.58685302734375,212.1789093017578,195.5349578857422,152.87530517578125,174.64646911621094,184.44984436035156,147.59417724609375,181.06370544433594,187.7258758544922,181.17425537109375,170.83331298828125,143.17576599121094,124.92605590820312,147.2414093017578,161.28921508789062,132.11581420898438,138.143798828125,155.74534606933594,136.44154357910156,122.83795166015625,128.81900024414062,110.46114349365234,114.8917007446289,100.77873229980469,95.43913269042969,64.14105987548828,32.314640045166016,56.222110748291016,34.9309196472168,48.9832878112793,41.99113845825195,40.26274108886719,25.04241371154785,8.451354026794434,11.876243591308594,7.036768913269043,-0.21290253102779388,-6.989067554473877,-9.883318901062012,-11.742883682250977,-18.241199493408203,-21.554882049560547,-25.86510467529297,-34.73118209838867,-31.748247146606445,-34.299583435058594,-37.720863342285156,-36.97526550292969,-36.474403381347656,-36.950889587402344,-41.561954498291016,-33.143310546875,-33.503170013427734,-31.996593475341797,-19.875097274780273,-24.036710739135742,-25.626110076904297,-20.614490509033203,-11.966443061828613,9.6983060836792,13.82621955871582,20.300859451293945,3.1167385578155518,31.055810928344727,33.752227783203125,47.34211349487305,56.920467376708984,52.282447814941406,35.81755065917969,60.93092346191406,42.008270263671875,74.33212280273438,74.0850601196289,87.09569549560547,99.89948272705078,110.47314453125,110.86648559570312,122.79540252685547,88.66454315185547,124.96021270751953,141.9408416748047,152.4567413330078,159.87107849121094,143.07571411132812,148.25308227539062,162.2449951171875,156.24462890625,172.61846923828125,191.80548095703125,217.73806762695312,224.98062133789062,163.52101135253906,229.7543487548828
