"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141"
"S0",51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,51.33349609375,119.247314453125,119.247314453125,131.18826293945312,131.21258544921875,131.21258544921875,136.89031982421875,163.62796020507812,199.84280395507812,221.61102294921875,234.11380004882812,238.8868408203125,251.72265625,251.72265625,275.36090087890625,275.36090087890625,275.36090087890625,286.58229064941406,286.58229064941406,286.58229064941406,293.9314880371094,329.3171844482422,329.3171844482422,329.3171844482422,334.08367919921875,334.08367919921875,334.08367919921875,334.08367919921875,349.71803283691406,349.71803283691406,349.71803283691406,349.71803283691406,364.5424041748047,364.5424041748047,364.5424041748047,364.5424041748047,366.8636169433594,366.8636169433594,373.67222595214844,383.30206298828125,383.30206298828125,383.30206298828125
"S1",41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,41.7174072265625,69.9967041015625,69.9967041015625,69.9967041015625,69.9967041015625,69.9967041015625,69.9967041015625,69.9967041015625,69.9967041015625,69.9967041015625,71.20852661132812,80.85781860351562,80.85781860351562,80.85781860351562,80.85781860351562,80.85781860351562,90.8583984375,127.642822265625,128.1878662109375,152.5987548828125,152.5987548828125,152.5987548828125,152.5987548828125,177.76205444335938,177.76205444335938,200.85250854492188,241.26556396484375,241.26556396484375,241.67202758789062,282.2644348144531,333.88038635253906,350.02410888671875,350.02410888671875,350.02410888671875,352.12451171875,359.64537048339844,367.6285400390625,379.5104446411133,379.5104446411133,379.5104446411133,379.5104446411133,386.64871978759766,386.64871978759766,394.0119323730469,394.0119323730469,403.73242950439453,403.73242950439453,403.73242950439453,403.73242950439453,417.87454986572266,417.87454986572266,420.16451263427734,420.16451263427734,420.16451263427734,430.11973571777344,430.11973571777344,430.11973571777344,431.1719970703125,434.8021469116211,434.8021469116211,438.55693435668945,438.6101303100586,439.7985420227051,444.70808029174805
"S2",-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-37.13275146484375,-12.2088623046875,-12.2088623046875,-12.2088623046875,-12.2088623046875,-12.2088623046875,-12.2088623046875,-12.2088623046875,-12.2088623046875,-12.2088623046875,18.025665283203125,18.025665283203125,18.025665283203125,18.025665283203125,18.025665283203125,18.025665283203125,23.3525390625,61.241424560546875,61.241424560546875,91.36959838867188,91.36959838867188,91.36959838867188,104.3077392578125,104.3077392578125,104.3077392578125,104.3077392578125,104.3077392578125,127.06008911132812,137.96221923828125,195.88754272460938,195.88754272460938,195.88754272460938,196.6422119140625,208.84466552734375,243.82150268554688,243.82150268554688,271.3442840576172,271.3442840576172,271.3442840576172,291.5011291503906,293.17987060546875,298.65794372558594,298.65794372558594,304.31471252441406,304.31471252441406,319.9447021484375,329.2062530517578,329.2062530517578,330.3808898925781,338.34437561035156,338.34437561035156,338.34437561035156,338.34437561035156,338.34437561035156,338.34437561035156,338.34437561035156,338.34437561035156,362.4073944091797,375.3771209716797,378.7414779663086,378.7414779663086,386.4953079223633,395.54632568359375,403.1367721557617
"S3",-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-172.1834716796875,-163.42694091796875,-163.42694091796875,-163.42694091796875,-163.42694091796875,-163.42694091796875,-163.42694091796875,-145.29736328125,-145.29736328125,-138.7508544921875,-138.7508544921875,-138.7508544921875,-138.7508544921875,-138.7508544921875,-138.7508544921875,-138.7508544921875,-138.7508544921875,-138.7508544921875,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-134.02130126953125,-82.36065673828125,-11.985382080078125,-11.985382080078125,53.6387939453125,53.6387939453125,53.6387939453125,99.08099365234375,99.08099365234375,99.08099365234375,118.32858276367188,118.32858276367188,118.32858276367188,121.16943359375,146.6357421875,155.49322509765625,156.63580322265625,174.69842529296875,174.69842529296875,174.69842529296875,174.69842529296875,174.69842529296875,174.69842529296875,174.69842529296875,206.11004638671875,206.11004638671875,223.64608764648438,262.7999725341797,262.7999725341797,262.7999725341797,275.9209289550781,293.55169677734375
"S4",-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-40.494384765625,-14.02838134765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,-6.25885009765625,10.071868896484375,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,27.42510986328125,37.72210693359375,75.191162109375,85.455322265625,85.455322265625,90.45867919921875,125.48406982421875,138.4599609375,143.46890258789062,143.46890258789062,156.548095703125,156.548095703125,156.548095703125,171.12857055664062,184.18850708007812,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625,192.4918212890625
"S5",111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,111.3885498046875,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375,115.060302734375
"S6",82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,82.09115600585938,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,134.775146484375,143.7869873046875,143.7869873046875,143.7869873046875,163.99349975585938,163.99349975585938,163.99349975585938,163.99349975585938,163.99349975585938,167.06033325195312,167.06033325195312,168.69406127929688,168.69406127929688,168.69406127929688,168.69406127929688,168.69406127929688,168.69406127929688,168.69406127929688,168.69406127929688
"S7",146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,146.65548706054688,148.2781982421875,166.5853271484375,166.5853271484375,166.9388427734375,166.9388427734375,166.9388427734375,166.9388427734375,166.9388427734375,166.9388427734375,193.0450439453125,193.0450439453125
"S8",101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,101.56271362304688,116.55255126953125,116.55255126953125,116.55255126953125,116.55255126953125,116.55255126953125,116.55255126953125,116.55255126953125,116.55255126953125,116.55255126953125,116.55255126953125,116.55255126953125,116.55255126953125,119.59829711914062,119.59829711914062,122.192138671875,122.192138671875,141.86965942382812,141.86965942382812,145.24581909179688,145.24581909179688,145.24581909179688,151.77679443359375,151.77679443359375,151.77679443359375,151.77679443359375,151.77679443359375,151.77679443359375,157.91897583007812,157.91897583007812,157.91897583007812,157.91897583007812,157.91897583007812,157.91897583007812,157.91897583007812,157.91897583007812,157.91897583007812,211.76229858398438,211.76229858398438
"S9",-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-176.8299560546875,-65.9986572265625,-65.9986572265625,-65.9986572265625,-65.9986572265625,-22.61663818359375,3.021484375,3.021484375,3.021484375,3.021484375,35.72442626953125,52.576568603515625,52.576568603515625,52.576568603515625,52.576568603515625,52.576568603515625,52.576568603515625,52.576568603515625,52.576568603515625,52.576568603515625,52.576568603515625,67.13055419921875,67.13055419921875,67.13055419921875,67.13055419921875,67.13055419921875,67.13055419921875,79.59194946289062,88.38510131835938,133.29733276367188,160.39303588867188,160.6165771484375,160.89422607421875,160.89422607421875,160.89422607421875,175.57107543945312,175.57107543945312,175.57107543945312,211.55914306640625
