"Space","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141"
"S0",446.3998222351074,452.183780670166,460.2123222351074,460.2123222351074,450.9953727722168,450.9953727722168,450.9953727722168,459.70899200439453,459.70899200439453,461.77573013305664,462.55157470703125,458.19074630737305,458.19074630737305,458.19074630737305,463.88416290283203,463.97883224487305,460.8598327636719,460.8598327636719,460.8598327636719,464.34211349487305,466.1780319213867,466.1780319213867,466.1780319213867,467.1432189941406,467.1432189941406,466.63988876342773,466.1741256713867,466.1741256713867,466.1741256713867,466.73065185546875,466.73065185546875,461.7303466796875,461.7303466796875,461.7303466796875,463.6116485595703,463.6116485595703,463.6116485595703,463.2898483276367,459.8905220031738,457.73301696777344,454.1597557067871,450.5747718811035,429.06768798828125,429.06768798828125,426.15563201904297,426.15563201904297,417.53668212890625,417.53668212890625,417.53668212890625,365.74310302734375,313.77256774902344,313.77256774902344,259.0669250488281,259.0669250488281,259.0669250488281,294.9593200683594,270.00318908691406,201.217529296875,201.217529296875,201.217529296875,215.47430419921875,149.73486328125,149.73486328125,149.73486328125,157.8043212890625,157.8043212890625,171.61373901367188,171.61373901367188,187.31173706054688,150.24649047851562,150.24649047851562,141.21676635742188,135.43377685546875,134.32205200195312,134.32205200195312,133.89004516601562,85.19046020507812,85.19046020507812,85.19046020507812,144.02215576171875,106.21734619140625,106.21734619140625,98.24038696289062,98.24038696289062,81.5804443359375,81.5804443359375,81.5804443359375,88.89407348632812,88.89407348632812,100.439208984375,100.439208984375,58.758026123046875,58.758026123046875,58.758026123046875,84.10955810546875,125.0908203125,125.0908203125,150.4622802734375,140.50863647460938,100.46279907226562,100.46279907226562,100.46279907226562,152.5987548828125,166.94540405273438,166.94540405273438,200.85250854492188,205.71688842773438,205.71688842773438,241.67202758789062,282.2644348144531,333.88038635253906,343.82757568359375,343.82757568359375,343.82757568359375,352.12451171875,359.64537048339844,341.1467742919922,341.1467742919922,341.1467742919922,374.0285339355469,379.5104446411133,380.55814361572266,380.55814361572266,392.0240173339844,392.0240173339844,399.3220977783203,399.3220977783203,399.3220977783203,403.73242950439453,410.74627685546875,400.2992248535156,400.2992248535156,400.2992248535156,368.1107940673828,368.1107940673828,368.1107940673828,386.95704650878906,420.11131286621094,420.11131286621094,420.11131286621094,438.55693435668945,438.6101303100586
"S1",446.3998222351074,452.183780670166,460.2123222351074,460.2123222351074,450.9953727722168,450.9953727722168,450.9953727722168,459.70899200439453,459.70899200439453,461.77573013305664,462.55157470703125,458.19074630737305,458.19074630737305,458.19074630737305,463.88416290283203,463.97883224487305,460.8598327636719,460.8598327636719,460.8598327636719,464.34211349487305,466.1780319213867,466.1780319213867,466.1780319213867,467.1432189941406,467.1432189941406,466.63988876342773,466.1741256713867,466.1741256713867,466.1741256713867,466.73065185546875,466.73065185546875,461.7303466796875,461.7303466796875,461.7303466796875,463.6116485595703,463.6116485595703,463.6116485595703,463.2898483276367,459.8905220031738,457.73301696777344,454.1597557067871,450.5747718811035,429.06768798828125,429.06768798828125,426.15563201904297,426.15563201904297,417.53668212890625,417.53668212890625,417.53668212890625,365.74310302734375,313.77256774902344,313.77256774902344,259.0669250488281,259.0669250488281,259.0669250488281,294.9593200683594,270.00318908691406,201.217529296875,201.217529296875,201.217529296875,218.11737060546875,153.99005126953125,153.99005126953125,153.99005126953125,170.00332641601562,170.00332641601562,187.7958984375,187.7958984375,197.71878051757812,166.00650024414062,166.00650024414062,166.00650024414062,168.054443359375,134.32205200195312,134.32205200195312,134.32205200195312,85.19046020507812,85.19046020507812,85.19046020507812,144.02215576171875,106.21734619140625,106.21734619140625,106.21734619140625,117.079833984375,81.5804443359375,81.5804443359375,81.5804443359375,94.40176391601562,94.40176391601562,100.439208984375,100.439208984375,58.758026123046875,58.758026123046875,58.758026123046875,94.40780639648438,136.04055786132812,136.04055786132812,176.55270385742188,176.55270385742188,153.35845947265625,153.35845947265625,153.35845947265625,166.33932495117188,200.85250854492188,200.85250854492188,200.85250854492188,205.71688842773438,205.71688842773438,241.67202758789062,282.2644348144531,333.88038635253906,343.82757568359375,343.82757568359375,343.82757568359375,352.12451171875,359.64537048339844,341.1467742919922,341.1467742919922,341.1467742919922,374.0285339355469,379.5104446411133,380.55814361572266,380.55814361572266,392.0240173339844,392.0240173339844,399.3220977783203,399.3220977783203,399.3220977783203,403.73242950439453,410.74627685546875,400.2992248535156,400.2992248535156,400.2992248535156,368.1107940673828,368.1107940673828,368.1107940673828,386.95704650878906,420.11131286621094,420.11131286621094,420.11131286621094,438.55693435668945,438.6101303100586
"S2",446.3998222351074,452.183780670166,460.2123222351074,460.2123222351074,450.9953727722168,450.9953727722168,450.9953727722168,459.70899200439453,459.70899200439453,461.77573013305664,462.55157470703125,458.19074630737305,458.19074630737305,458.19074630737305,463.88416290283203,463.97883224487305,460.8598327636719,460.8598327636719,460.8598327636719,464.34211349487305,466.1780319213867,466.1780319213867,466.1780319213867,467.1432189941406,467.1432189941406,466.63988876342773,466.1741256713867,466.1741256713867,466.1741256713867,466.73065185546875,466.73065185546875,461.7303466796875,461.7303466796875,461.7303466796875,463.6116485595703,463.6116485595703,463.6116485595703,463.2898483276367,459.8905220031738,457.73301696777344,454.1597557067871,450.5747718811035,429.06768798828125,429.06768798828125,426.15563201904297,426.15563201904297,417.53668212890625,417.53668212890625,417.53668212890625,365.74310302734375,313.77256774902344,313.77256774902344,259.0669250488281,259.0669250488281,259.0669250488281,294.9593200683594,270.00318908691406,201.217529296875,201.217529296875,201.217529296875,218.11737060546875,153.99005126953125,153.99005126953125,153.99005126953125,170.00332641601562,170.00332641601562,187.7958984375,187.7958984375,197.71878051757812,166.00650024414062,166.00650024414062,166.00650024414062,168.054443359375,134.32205200195312,134.32205200195312,134.32205200195312,81.2508544921875,81.2508544921875,69.94552612304688,69.94552612304688,69.94552612304688,101.67718505859375,101.67718505859375,117.079833984375,81.5804443359375,81.5804443359375,81.5804443359375,94.40176391601562,94.40176391601562,96.84707641601562,96.84707641601562,58.758026123046875,58.758026123046875,58.758026123046875,94.40780639648438,136.04055786132812,136.04055786132812,176.55270385742188,176.55270385742188,153.35845947265625,153.35845947265625,153.35845947265625,166.33932495117188,200.85250854492188,200.85250854492188,200.85250854492188,205.71688842773438,205.71688842773438,241.67202758789062,282.2644348144531,333.88038635253906,343.82757568359375,343.82757568359375,343.82757568359375,352.12451171875,359.64537048339844,341.1467742919922,341.1467742919922,341.1467742919922,374.0285339355469,379.5104446411133,380.55814361572266,380.55814361572266,392.0240173339844,392.0240173339844,399.3220977783203,399.3220977783203,399.3220977783203,403.73242950439453,410.74627685546875,400.2992248535156,400.2992248535156,400.2992248535156,368.1107940673828,368.1107940673828,368.1107940673828,386.95704650878906,420.11131286621094,420.11131286621094,420.11131286621094,438.55693435668945,438.6101303100586
"S3",396.3398971557617,396.3398971557617,409.0166549682617,409.0166549682617,408.1454620361328,408.08011627197266,399.813720703125,399.813720703125,399.813720703125,403.67430877685547,412.70755767822266,410.4957962036133,410.4957962036133,410.4957962036133,415.43907928466797,415.43907928466797,413.78455352783203,413.78455352783203,413.78455352783203,417.18900299072266,417.18900299072266,426.5708770751953,427.13023376464844,432.51759338378906,432.51759338378906,433.54557037353516,433.54557037353516,433.54557037353516,434.71216583251953,435.63417053222656,435.5248565673828,433.5038833618164,433.5038833618164,433.5038833618164,430.3774108886719,425.1124725341797,425.1124725341797,424.6812973022461,424.6812973022461,417.0585479736328,407.7701187133789,397.1986083984375,381.0948257446289,357.56065368652344,357.56065368652344,349.92555236816406,324.82440185546875,286.0475616455078,286.0475616455078,266.1444549560547,227.84640502929688,217.77313232421875,217.77313232421875,217.77313232421875,213.88772583007812,173.82516479492188,173.82516479492188,173.82516479492188,140.41845703125,140.41845703125,140.41845703125,153.99005126953125,153.99005126953125,153.99005126953125,170.00332641601562,170.00332641601562,187.7958984375,187.7958984375,197.71878051757812,166.00650024414062,166.00650024414062,166.00650024414062,168.054443359375,133.74252319335938,133.74252319335938,133.74252319335938,81.2508544921875,81.2508544921875,28.094329833984375,28.094329833984375,28.094329833984375,98.37417602539062,98.37417602539062,117.079833984375,43.8353271484375,43.8353271484375,43.8353271484375,94.40176391601562,77.38650512695312,77.38650512695312,77.38650512695312,46.21697998046875,46.21697998046875,46.21697998046875,94.40780639648438,135.89932250976562,136.04055786132812,176.55270385742188,176.55270385742188,153.35845947265625,153.35845947265625,153.35845947265625,166.33932495117188,96.56903076171875,96.56903076171875,96.56903076171875,130.52554321289062,137.96221923828125,137.96221923828125,153.072265625,153.072265625,195.36224365234375,196.6422119140625,208.84466552734375,238.77310180664062,238.77310180664062,249.4169921875,249.4169921875,253.1216583251953,291.5011291503906,293.17987060546875,298.10133361816406,259.26171875,259.26171875,259.26171875,319.9447021484375,327.8931579589844,327.8931579589844,330.3808898925781,344.0060272216797,343.0277099609375,343.0277099609375,332.6964874267578,310.1581268310547,310.1581268310547,310.1581268310547,338.34437561035156,362.4073944091797,370.5953826904297,370.5953826904297,370.5953826904297,386.4953079223633
"S4",270.9266662597656,270.9266662597656,286.41017150878906,286.41017150878906,286.41017150878906,299.3611145019531,287.5355682373047,287.5355682373047,287.5355682373047,293.2508850097656,311.2022705078125,311.2022705078125,309.2990417480469,309.2990417480469,309.2990417480469,311.26487731933594,311.26487731933594,311.26487731933594,318.78875732421875,320.2559814453125,320.2559814453125,342.97987365722656,344.9562072753906,348.3400115966797,358.149169921875,358.25978088378906,358.25978088378906,358.20204162597656,358.20204162597656,355.9040222167969,355.9040222167969,355.9040222167969,360.9496154785156,355.9532165527344,355.9532165527344,338.4193878173828,338.4193878173828,338.4193878173828,339.88600158691406,329.8663787841797,311.8337097167969,289.0187072753906,264.6180877685547,222.99407958984375,210.30062866210938,185.70867919921875,176.85699462890625,119.38088989257812,119.38088989257812,119.38088989257812,119.86166381835938,115.00732421875,115.00732421875,110.71688842773438,110.71688842773438,110.71688842773438,112.95404052734375,112.95404052734375,106.25674438476562,106.25674438476562,106.25674438476562,107.31881713867188,111.3885498046875,73.881103515625,73.881103515625,73.881103515625,84.3851318359375,84.3851318359375,84.3851318359375,87.18234252929688,97.09768676757812,97.09768676757812,138.64068603515625,138.64068603515625,147.2166748046875,141.19125366210938,-100.06781005859375,-100.06781005859375,-100.06781005859375,111.187744140625,111.187744140625,111.03271484375,111.03271484375,111.03271484375,118.37387084960938,110.24557495117188,110.24557495117188,110.24557495117188,114.47601318359375,114.47601318359375,114.47601318359375,122.4632568359375,25.03765869140625,25.03765869140625,25.03765869140625,136.77896118164062,137.75668334960938,161.5628662109375,145.49508666992188,145.49508666992188,145.49508666992188,140.45709228515625,140.45709228515625,140.45709228515625,147.92739868164062,147.92739868164062,133.84246826171875,133.84246826171875,133.84246826171875,130.369873046875,130.369873046875,123.29537963867188,123.29537963867188,123.29537963867188,88.06155395507812,88.06155395507812,88.06155395507812,138.4599609375,138.4599609375,131.5150146484375,131.5150146484375,131.5150146484375,57.843719482421875,57.843719482421875,57.843719482421875,177.46218872070312,180.9410400390625,180.9410400390625,180.9410400390625,205.21453857421875,205.21453857421875,203.31842041015625,202.14102172851562,196.16021728515625,196.16021728515625,196.16021728515625,228.13360595703125,232.62774658203125,236.74703979492188,236.74703979492188,236.74703979492188,276.31407165527344
"S5",252.07461547851562,252.07461547851562,273.9560089111328,273.9560089111328,276.99940490722656,276.99940490722656,276.9178466796875,276.9178466796875,264.28138732910156,264.28138732910156,264.28138732910156,266.43328857421875,309.2990417480469,309.2990417480469,309.2990417480469,311.26487731933594,311.26487731933594,311.26487731933594,331.6773986816406,331.6773986816406,335.2401428222656,335.2401428222656,335.2401428222656,337.5796661376953,343.1004333496094,343.1004333496094,337.0977020263672,337.0977020263672,337.0977020263672,341.380615234375,341.380615234375,341.380615234375,341.5419006347656,351.52516174316406,351.52516174316406,354.01133728027344,351.4194030761719,350.95330810546875,350.95330810546875,350.95330810546875,321.08055114746094,273.4884490966797,273.4884490966797,273.4884490966797,226.81195068359375,226.81195068359375,176.85699462890625,119.38088989257812,119.38088989257812,119.38088989257812,129.88455200195312,115.00732421875,115.00732421875,110.71688842773438,110.71688842773438,110.71688842773438,189.92214965820312,175.26913452148438,106.25674438476562,106.25674438476562,106.25674438476562,160.19046020507812,167.9295654296875,167.9295654296875,167.9295654296875,193.21197509765625,96.14547729492188,96.14547729492188,96.14547729492188,180.32113647460938,183.97421264648438,183.97421264648438,192.91079711914062,168.8974609375,168.8974609375,168.8974609375,187.56793212890625,187.56793212890625,187.56793212890625,171.36886596679688,171.36886596679688,136.58807373046875,136.58807373046875,136.58807373046875,182.42645263671875,168.06488037109375,168.06488037109375,116.24932861328125,116.24932861328125,116.24932861328125,201.31524658203125,205.02523803710938,190.9410400390625,185.63967895507812,185.63967895507812,172.72802734375,172.72802734375,172.72802734375,181.31390380859375,181.31390380859375,181.31390380859375,188.59432983398438,176.02822875976562,176.02822875976562,147.92739868164062,147.92739868164062,146.00949096679688,146.00949096679688,146.00949096679688,130.369873046875,130.369873046875,130.369873046875,136.43896484375,173.75946044921875,166.64028930664062,166.64028930664062,161.0848388671875,138.4599609375,138.4599609375,129.55633544921875,129.55633544921875,129.55633544921875,114.75289916992188,114.75289916992188,114.75289916992188,177.46218872070312,180.9410400390625,180.9410400390625,175.87789916992188,175.87789916992188,175.87789916992188,203.31842041015625,202.14102172851562,196.16021728515625,194.77297973632812,194.77297973632812,194.77297973632812,216.3902587890625,205.00390625,185.14321899414062,185.14321899414062,179.76690673828125
"S6",212.662841796875,225.95233154296875,225.95233154296875,225.95233154296875,265.5890350341797,265.5890350341797,295.2866516113281,289.2578125,289.2578125,287.54449462890625,287.54449462890625,287.54449462890625,320.6322479248047,322.8672332763672,322.8672332763672,333.7376251220703,333.7376251220703,340.6723937988281,339.56214904785156,339.56214904785156,339.56214904785156,340.4031677246094,340.4031677246094,340.4031677246094,348.686279296875,348.686279296875,348.686279296875,349.6798095703125,351.2238311767578,351.2238311767578,348.2407684326172,348.2407684326172,348.2407684326172,351.92237854003906,351.92237854003906,354.01133728027344,352.91790771484375,350.95330810546875,350.95330810546875,350.95330810546875,321.08055114746094,311.44557189941406,301.10443115234375,288.657470703125,226.81195068359375,226.81195068359375,226.81195068359375,226.38796997070312,226.38796997070312,177.93093872070312,177.93093872070312,154.41937255859375,154.41937255859375,154.41937255859375,216.43402099609375,228.044677734375,228.044677734375,232.65786743164062,230.74288940429688,230.74288940429688,230.74288940429688,223.24563598632812,223.24563598632812,223.24563598632812,212.88082885742188,212.88082885742188,205.99887084960938,205.99887084960938,205.99887084960938,229.299560546875,215.54437255859375,192.91079711914062,192.91079711914062,168.8974609375,168.8974609375,168.8974609375,217.22213745117188,217.22213745117188,208.59872436523438,208.59872436523438,208.59872436523438,234.12408447265625,216.15087890625,216.15087890625,216.15087890625,235.08041381835938,236.26791381835938,236.26791381835938,221.86956787109375,221.86956787109375,221.86956787109375,213.22372436523438,213.22372436523438,213.22372436523438,218.85025024414062,192.26681518554688,192.26681518554688,192.26681518554688,205.20159912109375,205.20159912109375,195.51022338867188,195.51022338867188,195.51022338867188,206.60052490234375,206.60052490234375,177.7821044921875,177.7821044921875,177.75833129882812,177.75833129882812,168.65591430664062,168.65591430664062,168.65591430664062,173.75946044921875,173.75946044921875,166.64028930664062,166.64028930664062,161.0848388671875,161.0848388671875,161.0848388671875,125.27487182617188,125.27487182617188,125.27487182617188,142.58612060546875,142.58612060546875,142.58612060546875,177.46218872070312,158.09393310546875,158.09393310546875,158.09393310546875,172.7213134765625,172.7213134765625,178.95065307617188,193.84515380859375,193.84515380859375,176.56927490234375,176.56927490234375,176.56927490234375,202.41311645507812,179.92999267578125,168.69406127929688,168.69406127929688,153.47796630859375
"S7",228.04180908203125,240.10379028320312,240.10379028320312,240.10379028320312,268.48924255371094,290.2236633300781,295.2866516113281,295.2866516113281,297.3043670654297,297.3043670654297,306.1658020019531,306.1658020019531,320.6322479248047,322.8672332763672,322.8672332763672,335.17864990234375,335.17864990234375,340.6723937988281,345.71229553222656,345.71229553222656,345.71229553222656,348.38169860839844,348.38169860839844,353.54173278808594,353.15745544433594,353.15745544433594,353.15745544433594,354.5021209716797,355.8795928955078,355.8795928955078,357.4694366455078,362.1780548095703,361.50840759277344,361.50840759277344,361.50840759277344,354.01133728027344,352.91790771484375,350.95330810546875,350.95330810546875,350.95330810546875,321.08055114746094,315.79798889160156,302.38230895996094,288.657470703125,226.81195068359375,226.81195068359375,226.81195068359375,226.38796997070312,226.38796997070312,177.93093872070312,177.93093872070312,154.41937255859375,154.41937255859375,154.41937255859375,216.43402099609375,228.044677734375,228.044677734375,232.65786743164062,230.74288940429688,230.74288940429688,230.74288940429688,223.24563598632812,223.24563598632812,223.24563598632812,212.88082885742188,212.88082885742188,205.99887084960938,205.99887084960938,205.99887084960938,229.299560546875,215.54437255859375,192.91079711914062,192.91079711914062,168.8974609375,168.8974609375,168.8974609375,217.22213745117188,217.22213745117188,208.59872436523438,208.59872436523438,208.59872436523438,234.12408447265625,216.15087890625,216.15087890625,216.15087890625,235.08041381835938,236.26791381835938,236.26791381835938,221.86956787109375,221.86956787109375,221.86956787109375,213.22372436523438,213.22372436523438,213.22372436523438,218.85025024414062,192.26681518554688,192.26681518554688,192.26681518554688,205.20159912109375,205.20159912109375,195.51022338867188,195.51022338867188,195.51022338867188,206.60052490234375,206.60052490234375,170.45947265625,170.45947265625,170.45947265625,177.75833129882812,168.65591430664062,168.65591430664062,168.65591430664062,173.75946044921875,173.75946044921875,166.64028930664062,166.64028930664062,159.23956298828125,159.23956298828125,159.23956298828125,119.90731811523438,119.90731811523438,119.90731811523438,134.775146484375,134.775146484375,145.24581909179688,146.73446655273438,146.73446655273438,155.09945678710938,164.60540771484375,151.77679443359375,151.77679443359375,151.77679443359375,158.3231201171875,158.3231201171875,175.0177001953125,178.53445434570312,178.53445434570312,166.9388427734375,165.6434326171875,165.6434326171875,165.6434326171875,168.69406127929688
"S8",294.8922882080078,294.8922882080078,294.8922882080078,304.1659851074219,304.1659851074219,326.0218505859375,335.78431701660156,330.9427032470703,330.9427032470703,330.9427032470703,339.41139221191406,339.41139221191406,342.82289123535156,345.44798278808594,347.91700744628906,356.2234191894531,356.2234191894531,360.6124267578125,358.182373046875,358.182373046875,358.182373046875,360.5598907470703,360.5598907470703,361.3091125488281,361.3091125488281,361.3091125488281,367.4092254638672,367.4092254638672,367.4092254638672,372.5899658203125,363.33807373046875,363.33807373046875,363.33807373046875,362.5821228027344,358.4587860107422,358.4587860107422,352.91790771484375,345.46209716796875,340.35894775390625,340.35894775390625,340.35894775390625,332.94822692871094,310.927001953125,280.00645446777344,235.52377319335938,235.52377319335938,235.52377319335938,226.38796997070312,226.38796997070312,177.93093872070312,177.93093872070312,154.41937255859375,154.41937255859375,154.41937255859375,208.77313232421875,208.77313232421875,208.77313232421875,232.65786743164062,230.74288940429688,230.74288940429688,230.74288940429688,217.86123657226562,217.86123657226562,217.86123657226562,211.41189575195312,211.41189575195312,205.99887084960938,205.99887084960938,205.99887084960938,229.299560546875,211.33023071289062,136.98919677734375,136.98919677734375,136.98919677734375,152.72772216796875,152.72772216796875,217.22213745117188,217.22213745117188,135.37646484375,135.37646484375,135.37646484375,234.12408447265625,216.15087890625,216.15087890625,216.15087890625,235.08041381835938,236.26791381835938,236.26791381835938,221.86956787109375,221.86956787109375,221.86956787109375,213.22372436523438,213.22372436523438,213.22372436523438,218.85025024414062,192.26681518554688,192.26681518554688,192.26681518554688,205.20159912109375,205.20159912109375,195.51022338867188,176.70913696289062,176.70913696289062,176.70913696289062,206.60052490234375,149.7689208984375,149.7689208984375,149.7689208984375,157.99588012695312,157.99588012695312,168.65591430664062,168.65591430664062,162.56301879882812,97.21710205078125,97.21710205078125,97.21710205078125,111.23699951171875,111.23699951171875,144.19219970703125,119.90731811523438,119.90731811523438,119.90731811523438,134.48614501953125,134.48614501953125,145.24581909179688,146.73446655273438,146.73446655273438,155.09945678710938,147.65438842773438,147.65438842773438,147.65438842773438,151.77679443359375,158.3231201171875,158.3231201171875,175.0177001953125,194.81951904296875,163.96176147460938,163.96176147460938,163.96176147460938,201.02777099609375,201.02777099609375,201.02777099609375
"S9",294.8922882080078,294.8922882080078,294.8922882080078,304.1659851074219,304.1659851074219,326.0218505859375,335.78431701660156,330.9427032470703,330.9427032470703,330.9427032470703,339.41139221191406,339.41139221191406,342.82289123535156,345.44798278808594,347.91700744628906,356.2234191894531,356.2234191894531,360.6124267578125,358.182373046875,358.182373046875,358.182373046875,360.5598907470703,360.5598907470703,361.3091125488281,361.3091125488281,361.3091125488281,367.4092254638672,367.4092254638672,367.4092254638672,372.5899658203125,363.33807373046875,363.33807373046875,363.33807373046875,362.5821228027344,358.4587860107422,358.4587860107422,349.54515075683594,341.85577392578125,340.35894775390625,340.35894775390625,340.35894775390625,332.94822692871094,310.927001953125,280.00645446777344,235.52377319335938,235.52377319335938,215.95941162109375,198.4990234375,153.97171020507812,153.97171020507812,153.97171020507812,149.94561767578125,149.94561767578125,149.94561767578125,189.15878295898438,184.7794189453125,152.6627197265625,133.03976440429688,133.03976440429688,133.03976440429688,153.63168334960938,153.63168334960938,153.63168334960938,169.2694091796875,169.30624389648438,169.30624389648438,168.63400268554688,168.63400268554688,168.63400268554688,176.25677490234375,128.00164794921875,81.36285400390625,81.36285400390625,81.36285400390625,106.11831665039062,106.11831665039062,153.24447631835938,143.78787231445312,112.49114990234375,112.49114990234375,112.49114990234375,144.20947265625,139.98114013671875,139.98114013671875,139.98114013671875,152.57260131835938,166.35488891601562,166.35488891601562,126.45651245117188,126.45651245117188,126.45651245117188,145.71395874023438,145.71395874023438,145.71395874023438,151.91751098632812,113.60037231445312,113.60037231445312,113.60037231445312,117.93563842773438,117.93563842773438,115.35830688476562,92.94723510742188,92.06784057617188,92.06784057617188,92.06784057617188,101.56271362304688,148.199951171875,84.60354614257812,84.60354614257812,84.60354614257812,124.50155639648438,124.50155639648438,123.38644409179688,83.093017578125,83.093017578125,76.291748046875,76.291748046875,76.291748046875,110.197509765625,110.197509765625,122.192138671875,133.798095703125,134.48614501953125,96.58248901367188,96.58248901367188,96.58248901367188,137.42758178710938,155.09945678710938,147.65438842773438,147.65438842773438,147.65438842773438,151.77679443359375,158.3231201171875,158.3231201171875,175.0177001953125,194.81951904296875,163.96176147460938,163.96176147460938,163.96176147460938,201.02777099609375,201.02777099609375,201.02777099609375
